10 76 -> 84 fr=1002 (0.1013), cf=0.632, gamma=6.065, delta=0.085, M=-2.073e+003
5 -> ~87 fr=4763 (0.4815), cf=0.997, gamma=1.114, delta=0.049, M=-6.695e+002
76 -> ~80 fr=4294 (0.4341), cf=0.998, gamma=1.114, delta=0.045, M=-5.931e+002
76 -> ~88 fr=4300 (0.4347), cf=1.000, gamma=1.107, delta=0.042, M=-5.771e+002
1 -> ~86 fr=4401 (0.4449), cf=0.998, gamma=1.104, delta=0.042, M=-5.614e+002
71 -> ~82 fr=3936 (0.3979), cf=1.000, gamma=1.116, delta=0.041, M=-5.587e+002
45 -> ~82 fr=4042 (0.4086), cf=0.999, gamma=1.114, delta=0.042, M=-5.461e+002
69 -> ~82 fr=3626 (0.3666), cf=1.000, gamma=1.115, delta=0.038, M=-4.954e+002
69 -> ~83 fr=3627 (0.3667), cf=1.000, gamma=1.106, delta=0.035, M=-4.617e+002
69 -> ~81 fr=3618 (0.3658), cf=0.998, gamma=1.113, delta=0.037, M=-4.557e+002
50 -> ~83 fr=4888 (0.4941), cf=0.985, gamma=1.089, delta=0.041, M=-4.390e+002
20 -> ~80 fr=4200 (0.4246), cf=0.988, gamma=1.103, delta=0.040, M=-4.272e+002
20 -> ~84 fr=4193 (0.4239), cf=0.986, gamma=1.101, delta=0.039, M=-4.089e+002
66 -> ~84 fr=3049 (0.3082), cf=1.000, gamma=1.116, delta=0.032, M=-4.061e+002
25 -> ~84 fr=3021 (0.3054), cf=1.000, gamma=1.116, delta=0.032, M=-4.015e+002
66 -> ~80 fr=3048 (0.3081), cf=1.000, gamma=1.116, delta=0.032, M=-3.990e+002
59 -> ~82 fr=2958 (0.2990), cf=1.000, gamma=1.116, delta=0.031, M=-3.889e+002
45 -> ~86 fr=4011 (0.4055), cf=0.991, gamma=1.096, delta=0.036, M=-3.882e+002
50 -> ~89 fr=4868 (0.4921), cf=0.981, gamma=1.084, delta=0.038, M=-3.847e+002
10 -> ~82 fr=3926 (0.3969), cf=0.987, gamma=1.101, delta=0.037, M=-3.776e+002
41 -> ~83 fr=3594 (0.3633), cf=0.995, gamma=1.100, delta=0.033, M=-3.761e+002
25 -> ~80 fr=3015 (0.3048), cf=0.998, gamma=1.114, delta=0.031, M=-3.696e+002
66 -> ~87 fr=3039 (0.3072), cf=0.997, gamma=1.114, delta=0.031, M=-3.624e+002
25 -> ~86 fr=3020 (0.3053), cf=1.000, gamma=1.106, delta=0.029, M=-3.618e+002
59 -> ~83 fr=2958 (0.2990), cf=1.000, gamma=1.106, delta=0.029, M=-3.578e+002
59 -> ~86 fr=2957 (0.2989), cf=1.000, gamma=1.106, delta=0.029, M=-3.525e+002
35 -> ~86 fr=2881 (0.2912), cf=1.000, gamma=1.106, delta=0.028, M=-3.473e+002
71 -> ~87 fr=3871 (0.3913), cf=0.983, gamma=1.099, delta=0.035, M=-3.432e+002
74 -> ~86 fr=2849 (0.2880), cf=1.000, gamma=1.106, delta=0.028, M=-3.367e+002
74 -> ~83 fr=2849 (0.2880), cf=1.000, gamma=1.106, delta=0.028, M=-3.360e+002
74 -> ~80 fr=2842 (0.2873), cf=0.997, gamma=1.113, delta=0.029, M=-3.344e+002
48 -> ~86 fr=2952 (0.2984), cf=0.998, gamma=1.104, delta=0.028, M=-3.325e+002
41 -> ~80 fr=3566 (0.3605), cf=0.987, gamma=1.102, delta=0.033, M=-3.314e+002
56 -> ~84 fr=2923 (0.2955), cf=0.995, gamma=1.110, delta=0.029, M=-3.193e+002
71 -> ~84 fr=3863 (0.3905), cf=0.981, gamma=1.096, delta=0.034, M=-3.191e+002
50 -> ~80 fr=4810 (0.4863), cf=0.969, gamma=1.082, delta=0.037, M=-3.178e+002
49 -> ~86 fr=2649 (0.2678), cf=1.000, gamma=1.106, delta=0.026, M=-3.142e+002
6 -> ~84 fr=2623 (0.2652), cf=0.998, gamma=1.114, delta=0.027, M=-3.140e+002
76 -> ~86 fr=4219 (0.4265), cf=0.981, gamma=1.085, delta=0.033, M=-3.120e+002
41 -> ~84 fr=3558 (0.3597), cf=0.985, gamma=1.099, delta=0.033, M=-3.119e+002
