10 76 -> 84 fr=1019 (0.1030), cf=0.634, gamma=5.997, delta=0.086, M=-2.104e+003
5 -> ~87 fr=4741 (0.4793), cf=0.997, gamma=1.113, delta=0.049, M=-6.537e+002
76 -> ~80 fr=4330 (0.4377), cf=0.998, gamma=1.114, delta=0.045, M=-5.964e+002
76 -> ~88 fr=4337 (0.4384), cf=1.000, gamma=1.104, delta=0.041, M=-5.694e+002
71 -> ~82 fr=3943 (0.3986), cf=1.000, gamma=1.116, delta=0.042, M=-5.641e+002
1 -> ~86 fr=4427 (0.4475), cf=0.998, gamma=1.104, delta=0.042, M=-5.623e+002
45 -> ~82 fr=4077 (0.4122), cf=0.998, gamma=1.115, delta=0.042, M=-5.524e+002
69 -> ~82 fr=3628 (0.3668), cf=1.000, gamma=1.116, delta=0.038, M=-4.994e+002
69 -> ~83 fr=3629 (0.3669), cf=1.000, gamma=1.106, delta=0.035, M=-4.625e+002
69 -> ~81 fr=3619 (0.3659), cf=0.997, gamma=1.115, delta=0.038, M=-4.621e+002
50 -> ~83 fr=4869 (0.4922), cf=0.986, gamma=1.090, delta=0.041, M=-4.437e+002
20 -> ~80 fr=4172 (0.4218), cf=0.988, gamma=1.103, delta=0.039, M=-4.228e+002
20 -> ~84 fr=4167 (0.4212), cf=0.987, gamma=1.103, delta=0.039, M=-4.182e+002
66 -> ~84 fr=3052 (0.3085), cf=1.000, gamma=1.118, delta=0.033, M=-4.129e+002
66 -> ~80 fr=3052 (0.3085), cf=1.000, gamma=1.116, delta=0.032, M=-4.062e+002
25 -> ~84 fr=3002 (0.3035), cf=1.000, gamma=1.118, delta=0.032, M=-3.985e+002
59 -> ~82 fr=2979 (0.3012), cf=1.000, gamma=1.116, delta=0.031, M=-3.951e+002
45 -> ~86 fr=4048 (0.4092), cf=0.991, gamma=1.096, delta=0.036, M=-3.937e+002
10 -> ~82 fr=3932 (0.3975), cf=0.987, gamma=1.102, delta=0.037, M=-3.798e+002
50 -> ~89 fr=4840 (0.4893), cf=0.980, gamma=1.084, delta=0.038, M=-3.730e+002
41 -> ~83 fr=3564 (0.3603), cf=0.994, gamma=1.100, delta=0.033, M=-3.687e+002
25 -> ~80 fr=2997 (0.3030), cf=0.998, gamma=1.114, delta=0.031, M=-3.672e+002
59 -> ~83 fr=2979 (0.3012), cf=1.000, gamma=1.106, delta=0.029, M=-3.613e+002
25 -> ~86 fr=3002 (0.3035), cf=1.000, gamma=1.105, delta=0.029, M=-3.567e+002
35 -> ~86 fr=2941 (0.2973), cf=1.000, gamma=1.105, delta=0.028, M=-3.537e+002
59 -> ~86 fr=2978 (0.3011), cf=1.000, gamma=1.105, delta=0.029, M=-3.531e+002
66 -> ~87 fr=3040 (0.3073), cf=0.996, gamma=1.112, delta=0.031, M=-3.515e+002
71 -> ~87 fr=3880 (0.3922), cf=0.984, gamma=1.099, delta=0.035, M=-3.446e+002
41 -> ~80 fr=3540 (0.3579), cf=0.988, gamma=1.103, delta=0.033, M=-3.353e+002
74 -> ~83 fr=2839 (0.2870), cf=1.000, gamma=1.106, delta=0.027, M=-3.349e+002
74 -> ~80 fr=2832 (0.2863), cf=0.997, gamma=1.113, delta=0.029, M=-3.333e+002
74 -> ~86 fr=2839 (0.2870), cf=1.000, gamma=1.105, delta=0.027, M=-3.330e+002
48 -> ~86 fr=2922 (0.2954), cf=0.999, gamma=1.104, delta=0.028, M=-3.302e+002
56 -> ~84 fr=2902 (0.2934), cf=0.995, gamma=1.112, delta=0.030, M=-3.251e+002
6 -> ~84 fr=2638 (0.2667), cf=0.998, gamma=1.116, delta=0.028, M=-3.215e+002
71 -> ~84 fr=3866 (0.3908), cf=0.980, gamma=1.096, delta=0.034, M=-3.185e+002
49 -> ~86 fr=2693 (0.2722), cf=1.000, gamma=1.105, delta=0.026, M=-3.182e+002
76 -> ~86 fr=4257 (0.4303), cf=0.981, gamma=1.085, delta=0.034, M=-3.165e+002
50 -> ~80 fr=4786 (0.4838), cf=0.969, gamma=1.081, delta=0.036, M=-3.110e+002
41 -> ~84 fr=3527 (0.3566), cf=0.984, gamma=1.100, delta=0.033, M=-3.094e+002
54 -> ~82 fr=2404 (0.2430), cf=1.000, gamma=1.116, delta=0.025, M=-3.061e+002
79 -> ~84 fr=2370 (0.2396), cf=1.000, gamma=1.118, delta=0.025, M=-3.055e+002
79 -> ~81 fr=2370 (0.2396), cf=1.000, gamma=1.118, delta=0.025, M=-3.052e+002
10 -> ~81 fr=3898 (0.3941), cf=0.978, gamma=1.094, delta=0.034, M=-3.044e+002
49 -> ~82 fr=2683 (0.2712), cf=0.996, gamma=1.112, delta=0.027, M=-3.039e+002
26 -> ~81 fr=2400 (0.2426), cf=1.000, gamma=1.118, delta=0.026, M=-3.038e+002
79 -> ~82 fr=2370 (0.2396), cf=1.000, gamma=1.116, delta=0.025, M=-3.011e+002
53 -> ~82 fr=2354 (0.2380), cf=1.000, gamma=1.116, delta=0.025, M=-2.987e+002
46 -> ~84 fr=2277 (0.2302), cf=1.000, gamma=1.118, delta=0.024, M=-2.916e+002
26 -> ~87 fr=2398 (0.2424), cf=0.999, gamma=1.115, delta=0.025, M=-2.896e+002
66 -> ~86 fr=3032 (0.3065), cf=0.993, gamma=1.098, delta=0.027, M=-2.888e+002
26 -> ~82 fr=2397 (0.2423), cf=0.998, gamma=1.115, delta=0.025, M=-2.851e+002
30 -> ~84 fr=2212 (0.2236), cf=1.000, gamma=1.118, delta=0.024, M=-2.821e+002
20 66 -> ~88 fr=2408 (0.2434), cf=1.000, gamma=1.104, delta=0.023, M=-2.755e+002
78 -> ~84 fr=2167 (0.2191), cf=1.000, gamma=1.118, delta=0.023, M=-2.755e+002
79 -> ~83 fr=2370 (0.2396), cf=1.000, gamma=1.106, delta=0.023, M=-2.754e+002
26 -> ~83 fr=2400 (0.2426), cf=1.000, gamma=1.106, delta=0.023, M=-2.737e+002
1 -> ~89 fr=4323 (0.4370), cf=0.975, gamma=1.079, delta=0.032, M=-2.713e+002
5 -> ~81 fr=4591 (0.4641), cf=0.965, gamma=1.079, delta=0.034, M=-2.707e+002
50 74 -> ~84 fr=2652 (0.2681), cf=0.992, gamma=1.109, delta=0.026, M=-2.691e+002
76 -> ~87 fr=4209 (0.4255), cf=0.970, gamma=1.083, delta=0.033, M=-2.657e+002
74 -> ~89 fr=2821 (0.2852), cf=0.993, gamma=1.099, delta=0.026, M=-2.656e+002
46 -> ~83 fr=2277 (0.2302), cf=1.000, gamma=1.106, delta=0.022, M=-2.630e+002
31 -> ~87 fr=2267 (0.2292), cf=0.998, gamma=1.114, delta=0.023, M=-2.622e+002
22 -> ~83 fr=2429 (0.2456), cf=0.998, gamma=1.104, delta=0.023, M=-2.595e+002
29 -> ~80 fr=2450 (0.2477), cf=0.995, gamma=1.110, delta=0.025, M=-2.591e+002
46 -> ~89 fr=2276 (0.2301), cf=1.000, gamma=1.106, delta=0.022, M=-2.578e+002
6 -> ~86 fr=2630 (0.2659), cf=0.995, gamma=1.100, delta=0.024, M=-2.561e+002
10 -> ~83 fr=3895 (0.3938), cf=0.978, gamma=1.081, delta=0.030, M=-2.516e+002
11 45 -> ~85 fr=2333 (0.2358), cf=0.999, gamma=1.102, delta=0.022, M=-2.495e+002
45 -> ~85 fr=3991 (0.4035), cf=0.977, gamma=1.079, delta=0.029, M=-2.479e+002
59 69 -> ~87 fr=1988 (0.2010), cf=1.000, gamma=1.116, delta=0.021, M=-2.462e+002
11 50 -> ~86 fr=2267 (0.2292), cf=0.999, gamma=1.104, delta=0.022, M=-2.450e+002
40 -> ~86 fr=2141 (0.2164), cf=1.000, gamma=1.105, delta=0.021, M=-2.437e+002
16 -> ~82 fr=1947 (0.1968), cf=1.000, gamma=1.116, delta=0.021, M=-2.405e+002
