10 76 -> 84 fr=994 (0.1005), cf=0.629, gamma=6.085, delta=0.084, M=-2.059e+003
5 -> ~87 fr=4715 (0.4766), cf=0.996, gamma=1.112, delta=0.048, M=-6.378e+002
76 -> ~80 fr=4317 (0.4364), cf=0.998, gamma=1.115, delta=0.045, M=-5.964e+002
76 -> ~88 fr=4324 (0.4371), cf=1.000, gamma=1.105, delta=0.041, M=-5.717e+002
71 -> ~82 fr=3941 (0.3984), cf=1.000, gamma=1.117, delta=0.042, M=-5.673e+002
45 -> ~82 fr=4045 (0.4089), cf=0.999, gamma=1.116, delta=0.042, M=-5.593e+002
1 -> ~86 fr=4435 (0.4483), cf=0.999, gamma=1.102, delta=0.041, M=-5.570e+002
69 -> ~82 fr=3588 (0.3627), cf=1.000, gamma=1.117, delta=0.038, M=-4.953e+002
69 -> ~83 fr=3589 (0.3628), cf=1.000, gamma=1.108, delta=0.036, M=-4.657e+002
69 -> ~81 fr=3579 (0.3618), cf=0.997, gamma=1.115, delta=0.037, M=-4.540e+002
50 -> ~83 fr=4884 (0.4937), cf=0.985, gamma=1.092, delta=0.042, M=-4.525e+002
20 -> ~80 fr=4214 (0.4260), cf=0.988, gamma=1.103, delta=0.040, M=-4.300e+002
20 -> ~84 fr=4212 (0.4258), cf=0.987, gamma=1.101, delta=0.039, M=-4.173e+002
66 -> ~84 fr=3087 (0.3121), cf=1.000, gamma=1.115, delta=0.032, M=-4.085e+002
66 -> ~80 fr=3086 (0.3120), cf=1.000, gamma=1.116, delta=0.033, M=-4.073e+002
25 -> ~84 fr=3051 (0.3084), cf=1.000, gamma=1.115, delta=0.032, M=-3.965e+002
59 -> ~82 fr=2955 (0.2987), cf=1.000, gamma=1.117, delta=0.031, M=-3.937e+002
45 -> ~86 fr=4017 (0.4061), cf=0.992, gamma=1.094, delta=0.035, M=-3.879e+002
10 -> ~82 fr=3898 (0.3941), cf=0.988, gamma=1.103, delta=0.037, M=-3.850e+002
41 -> ~83 fr=3587 (0.3626), cf=0.994, gamma=1.102, delta=0.034, M=-3.816e+002
25 -> ~80 fr=3047 (0.3080), cf=0.998, gamma=1.115, delta=0.032, M=-3.812e+002
59 -> ~83 fr=2955 (0.2987), cf=1.000, gamma=1.108, delta=0.029, M=-3.654e+002
50 -> ~89 fr=4856 (0.4909), cf=0.979, gamma=1.083, delta=0.037, M=-3.654e+002
66 -> ~87 fr=3076 (0.3110), cf=0.996, gamma=1.112, delta=0.031, M=-3.596e+002
25 -> ~86 fr=3051 (0.3084), cf=1.000, gamma=1.103, delta=0.029, M=-3.568e+002
71 -> ~87 fr=3881 (0.3923), cf=0.985, gamma=1.099, delta=0.035, M=-3.502e+002
50 -> ~80 fr=4818 (0.4871), cf=0.972, gamma=1.085, delta=0.038, M=-3.440e+002
59 -> ~86 fr=2954 (0.2986), cf=1.000, gamma=1.103, delta=0.028, M=-3.428e+002
74 -> ~83 fr=2842 (0.2873), cf=1.000, gamma=1.108, delta=0.028, M=-3.426e+002
35 -> ~86 fr=2893 (0.2925), cf=1.000, gamma=1.103, delta=0.027, M=-3.401e+002
41 -> ~80 fr=3560 (0.3599), cf=0.987, gamma=1.102, delta=0.033, M=-3.328e+002
74 -> ~80 fr=2834 (0.2865), cf=0.997, gamma=1.113, delta=0.029, M=-3.313e+002
48 -> ~86 fr=2968 (0.3000), cf=0.999, gamma=1.102, delta=0.028, M=-3.301e+002
74 -> ~86 fr=2842 (0.2873), cf=1.000, gamma=1.103, delta=0.027, M=-3.270e+002
56 -> ~84 fr=2928 (0.2960), cf=0.995, gamma=1.110, delta=0.029, M=-3.232e+002
71 -> ~84 fr=3870 (0.3912), cf=0.982, gamma=1.095, delta=0.034, M=-3.200e+002
6 -> ~84 fr=2646 (0.2675), cf=0.998, gamma=1.113, delta=0.027, M=-3.143e+002
41 -> ~84 fr=3554 (0.3593), cf=0.985, gamma=1.099, delta=0.032, M=-3.118e+002
54 -> ~82 fr=2419 (0.2445), cf=1.000, gamma=1.117, delta=0.026, M=-3.103e+002
79 -> ~81 fr=2402 (0.2428), cf=1.000, gamma=1.118, delta=0.026, M=-3.093e+002
79 -> ~82 fr=2402 (0.2428), cf=1.000, gamma=1.117, delta=0.025, M=-3.077e+002
49 -> ~86 fr=2644 (0.2673), cf=1.000, gamma=1.103, delta=0.025, M=-3.054e+002
79 -> ~84 fr=2402 (0.2428), cf=1.000, gamma=1.115, delta=0.025, M=-3.027e+002
49 -> ~82 fr=2635 (0.2664), cf=0.997, gamma=1.113, delta=0.027, M=-3.025e+002
26 -> ~81 fr=2386 (0.2412), cf=1.000, gamma=1.117, delta=0.025, M=-3.011e+002
76 -> ~86 fr=4242 (0.4288), cf=0.981, gamma=1.082, delta=0.033, M=-3.007e+002
10 -> ~81 fr=3861 (0.3903), cf=0.978, gamma=1.094, delta=0.033, M=-2.977e+002
53 -> ~82 fr=2321 (0.2346), cf=1.000, gamma=1.117, delta=0.025, M=-2.957e+002
66 -> ~86 fr=3068 (0.3101), cf=0.994, gamma=1.097, delta=0.027, M=-2.901e+002
79 -> ~83 fr=2402 (0.2428), cf=1.000, gamma=1.108, delta=0.024, M=-2.857e+002
46 -> ~84 fr=2262 (0.2287), cf=1.000, gamma=1.115, delta=0.024, M=-2.823e+002
26 -> ~87 fr=2383 (0.2409), cf=0.998, gamma=1.114, delta=0.025, M=-2.821e+002
20 66 -> ~88 fr=2433 (0.2460), cf=1.000, gamma=1.105, delta=0.023, M=-2.811e+002
26 -> ~82 fr=2382 (0.2408), cf=0.998, gamma=1.115, delta=0.025, M=-2.805e+002
26 -> ~83 fr=2386 (0.2412), cf=1.000, gamma=1.108, delta=0.024, M=-2.777e+002
30 -> ~84 fr=2225 (0.2249), cf=1.000, gamma=1.115, delta=0.023, M=-2.770e+002
1 -> ~89 fr=4334 (0.4381), cf=0.976, gamma=1.079, delta=0.032, M=-2.753e+002
