10 76 -> 84 fr=998 (0.1009), cf=0.629, gamma=6.079, delta=0.084, M=-2.072e+003
5 -> ~87 fr=4744 (0.4796), cf=0.996, gamma=1.112, delta=0.048, M=-6.440e+002
76 -> ~80 fr=4258 (0.4304), cf=0.998, gamma=1.114, delta=0.044, M=-5.826e+002
76 -> ~88 fr=4265 (0.4312), cf=1.000, gamma=1.107, delta=0.042, M=-5.718e+002
71 -> ~82 fr=3949 (0.3992), cf=1.000, gamma=1.117, delta=0.042, M=-5.700e+002
1 -> ~86 fr=4410 (0.4458), cf=0.999, gamma=1.104, delta=0.042, M=-5.645e+002
45 -> ~82 fr=4037 (0.4081), cf=0.998, gamma=1.116, delta=0.042, M=-5.496e+002
69 -> ~82 fr=3639 (0.3679), cf=1.000, gamma=1.117, delta=0.039, M=-5.056e+002
69 -> ~83 fr=3640 (0.3680), cf=1.000, gamma=1.105, delta=0.035, M=-4.596e+002
69 -> ~81 fr=3630 (0.3670), cf=0.997, gamma=1.113, delta=0.037, M=-4.547e+002
50 -> ~83 fr=4904 (0.4958), cf=0.986, gamma=1.089, delta=0.041, M=-4.436e+002
20 -> ~80 fr=4187 (0.4233), cf=0.988, gamma=1.103, delta=0.039, M=-4.260e+002
20 -> ~84 fr=4183 (0.4229), cf=0.987, gamma=1.101, delta=0.039, M=-4.108e+002
66 -> ~84 fr=3068 (0.3101), cf=1.000, gamma=1.115, delta=0.032, M=-4.062e+002
66 -> ~80 fr=3067 (0.3100), cf=1.000, gamma=1.116, delta=0.032, M=-4.029e+002
59 -> ~82 fr=2975 (0.3007), cf=1.000, gamma=1.117, delta=0.032, M=-3.978e+002
25 -> ~84 fr=3018 (0.3051), cf=1.000, gamma=1.115, delta=0.031, M=-3.920e+002
10 -> ~82 fr=3945 (0.3988), cf=0.987, gamma=1.104, delta=0.037, M=-3.915e+002
45 -> ~86 fr=4006 (0.4050), cf=0.991, gamma=1.095, delta=0.035, M=-3.818e+002
25 -> ~80 fr=3014 (0.3047), cf=0.998, gamma=1.115, delta=0.031, M=-3.746e+002
50 -> ~89 fr=4877 (0.4930), cf=0.980, gamma=1.083, delta=0.038, M=-3.727e+002
41 -> ~83 fr=3608 (0.3647), cf=0.994, gamma=1.099, delta=0.033, M=-3.710e+002
25 -> ~86 fr=3018 (0.3051), cf=1.000, gamma=1.105, delta=0.029, M=-3.594e+002
59 -> ~83 fr=2975 (0.3007), cf=1.000, gamma=1.105, delta=0.029, M=-3.571e+002
66 -> ~87 fr=3057 (0.3090), cf=0.996, gamma=1.112, delta=0.031, M=-3.566e+002
59 -> ~86 fr=2974 (0.3006), cf=1.000, gamma=1.105, delta=0.029, M=-3.530e+002
35 -> ~86 fr=2889 (0.2921), cf=1.000, gamma=1.106, delta=0.028, M=-3.466e+002
71 -> ~87 fr=3886 (0.3928), cf=0.984, gamma=1.098, delta=0.035, M=-3.440e+002
41 -> ~80 fr=3584 (0.3623), cf=0.988, gamma=1.103, delta=0.034, M=-3.427e+002
74 -> ~80 fr=2843 (0.2874), cf=0.997, gamma=1.113, delta=0.029, M=-3.353e+002
74 -> ~86 fr=2850 (0.2881), cf=1.000, gamma=1.105, delta=0.027, M=-3.350e+002
74 -> ~83 fr=2850 (0.2881), cf=1.000, gamma=1.105, delta=0.027, M=-3.331e+002
48 -> ~86 fr=2934 (0.2966), cf=0.999, gamma=1.104, delta=0.028, M=-3.323e+002
56 -> ~84 fr=2923 (0.2955), cf=0.996, gamma=1.111, delta=0.029, M=-3.267e+002
50 -> ~80 fr=4825 (0.4878), cf=0.970, gamma=1.083, delta=0.037, M=-3.251e+002
41 -> ~84 fr=3578 (0.3617), cf=0.986, gamma=1.100, delta=0.033, M=-3.236e+002
6 -> ~84 fr=2642 (0.2671), cf=0.998, gamma=1.113, delta=0.027, M=-3.144e+002
76 -> ~86 fr=4188 (0.4234), cf=0.982, gamma=1.085, delta=0.033, M=-3.131e+002
49 -> ~86 fr=2645 (0.2674), cf=1.000, gamma=1.106, delta=0.026, M=-3.118e+002
54 -> ~82 fr=2421 (0.2447), cf=1.000, gamma=1.117, delta=0.026, M=-3.112e+002
79 -> ~82 fr=2414 (0.2440), cf=1.000, gamma=1.117, delta=0.026, M=-3.102e+002
71 -> ~84 fr=3871 (0.3913), cf=0.980, gamma=1.093, delta=0.033, M=-3.062e+002
79 -> ~81 fr=2414 (0.2440), cf=1.000, gamma=1.116, delta=0.025, M=-3.060e+002
79 -> ~84 fr=2414 (0.2440), cf=1.000, gamma=1.115, delta=0.025, M=-3.051e+002
66 -> ~86 fr=3051 (0.3084), cf=0.994, gamma=1.099, delta=0.028, M=-3.011e+002
26 -> ~81 fr=2409 (0.2435), cf=1.000, gamma=1.115, delta=0.025, M=-2.995e+002
10 -> ~81 fr=3909 (0.3952), cf=0.978, gamma=1.092, delta=0.033, M=-2.972e+002
49 -> ~82 fr=2634 (0.2663), cf=0.996, gamma=1.113, delta=0.027, M=-2.959e+002
53 -> ~82 fr=2315 (0.2340), cf=1.000, gamma=1.117, delta=0.025, M=-2.954e+002
26 -> ~82 fr=2406 (0.2432), cf=0.998, gamma=1.116, delta=0.025, M=-2.889e+002
46 -> ~84 fr=2285 (0.2310), cf=1.000, gamma=1.115, delta=0.024, M=-2.863e+002
26 -> ~87 fr=2406 (0.2432), cf=0.998, gamma=1.114, delta=0.025, M=-2.854e+002
20 66 -> ~88 fr=2414 (0.2440), cf=1.000, gamma=1.107, delta=0.024, M=-2.839e+002
79 -> ~83 fr=2414 (0.2440), cf=1.000, gamma=1.105, delta=0.023, M=-2.785e+002
30 -> ~84 fr=2198 (0.2222), cf=1.000, gamma=1.115, delta=0.023, M=-2.738e+002
26 -> ~83 fr=2409 (0.2435), cf=1.000, gamma=1.105, delta=0.023, M=-2.721e+002
31 -> ~87 fr=2281 (0.2306), cf=0.999, gamma=1.115, delta=0.024, M=-2.718e+002
78 -> ~84 fr=2180 (0.2204), cf=1.000, gamma=1.115, delta=0.023, M=-2.712e+002
74 -> ~89 fr=2834 (0.2865), cf=0.994, gamma=1.098, delta=0.026, M=-2.676e+002
29 -> ~80 fr=2441 (0.2468), cf=0.996, gamma=1.111, delta=0.025, M=-2.648e+002
50 74 -> ~84 fr=2672 (0.2701), cf=0.992, gamma=1.107, delta=0.026, M=-2.645e+002
1 -> ~89 fr=4307 (0.4354), cf=0.975, gamma=1.077, delta=0.031, M=-2.641e+002
5 -> ~81 fr=4597 (0.4647), cf=0.966, gamma=1.077, delta=0.033, M=-2.632e+002
46 -> ~83 fr=2285 (0.2310), cf=1.000, gamma=1.105, delta=0.022, M=-2.614e+002
