23 -> 90 fr=3387 (0.4633), cf=1.000, gamma=2.092, delta=0.242, M=-4.568e+003
22 -> ~90 fr=3817 (0.5221), cf=0.973, gamma=1.863, delta=0.242, M=-4.568e+003
21 26 63 -> 90 fr=2856 (0.3906), cf=0.955, gamma=1.997, delta=0.195, M=-2.701e+003
21 26 63 -> ~89 fr=2856 (0.3906), cf=0.955, gamma=1.997, delta=0.195, M=-2.701e+003
21 25 26 66 -> 90 fr=2821 (0.3859), cf=0.958, gamma=2.005, delta=0.193, M=-2.675e+003
21 25 26 66 -> ~89 fr=2821 (0.3859), cf=0.958, gamma=2.005, delta=0.193, M=-2.675e+003
21 25 26 -> 90 fr=2839 (0.3883), cf=0.954, gamma=1.997, delta=0.194, M=-2.670e+003
21 25 26 -> ~89 fr=2839 (0.3883), cf=0.954, gamma=1.997, delta=0.194, M=-2.670e+003
28 47 -> ~90 fr=3071 (0.4201), cf=0.943, gamma=1.806, delta=0.187, M=-2.415e+003
28 47 -> 89 fr=3071 (0.4201), cf=0.943, gamma=1.806, delta=0.187, M=-2.415e+003
21 26 -> 90 fr=2856 (0.3906), cf=0.902, gamma=1.888, delta=0.184, M=-2.271e+003
21 26 -> ~89 fr=2856 (0.3906), cf=0.902, gamma=1.888, delta=0.184, M=-2.271e+003
28 51 -> ~90 fr=2900 (0.3967), cf=0.940, gamma=1.801, delta=0.176, M=-2.156e+003
28 51 -> 89 fr=2900 (0.3967), cf=0.940, gamma=1.801, delta=0.176, M=-2.156e+003
26 46 -> 90 fr=2012 (0.2752), cf=1.000, gamma=2.092, delta=0.144, M=-1.920e+003
26 46 -> ~89 fr=2012 (0.2752), cf=1.000, gamma=2.092, delta=0.144, M=-1.920e+003
46 66 -> 90 fr=1977 (0.2704), cf=1.000, gamma=2.092, delta=0.141, M=-1.875e+003
46 66 -> ~89 fr=1977 (0.2704), cf=1.000, gamma=2.092, delta=0.141, M=-1.875e+003
26 50 -> 90 fr=1943 (0.2658), cf=1.000, gamma=2.092, delta=0.139, M=-1.833e+003
50 66 -> 90 fr=1943 (0.2658), cf=1.000, gamma=2.092, delta=0.139, M=-1.833e+003
26 50 -> ~89 fr=1943 (0.2658), cf=1.000, gamma=2.092, delta=0.139, M=-1.833e+003
50 66 -> ~89 fr=1943 (0.2658), cf=1.000, gamma=2.092, delta=0.139, M=-1.833e+003
21 25 80 -> 90 fr=2228 (0.3047), cf=0.957, gamma=2.002, delta=0.153, M=-1.824e+003
21 63 80 -> 90 fr=2228 (0.3047), cf=0.957, gamma=2.002, delta=0.153, M=-1.824e+003
21 25 80 -> ~89 fr=2228 (0.3047), cf=0.957, gamma=2.002, delta=0.153, M=-1.824e+003
21 63 80 -> ~89 fr=2228 (0.3047), cf=0.957, gamma=2.002, delta=0.153, M=-1.824e+003
21 80 -> 90 fr=2228 (0.3047), cf=0.922, gamma=1.929, delta=0.147, M=-1.603e+003
21 80 -> ~89 fr=2228 (0.3047), cf=0.922, gamma=1.929, delta=0.147, M=-1.603e+003
28 71 -> ~90 fr=2689 (0.3678), cf=0.896, gamma=1.717, delta=0.154, M=-1.587e+003
28 71 -> 89 fr=2689 (0.3678), cf=0.896, gamma=1.717, delta=0.154, M=-1.587e+003
46 -> 90 fr=2012 (0.2752), cf=0.938, gamma=1.962, delta=0.135, M=-1.466e+003
