23 -> 90 fr=3416 (0.4672), cf=1.000, gamma=2.078, delta=0.242, M=-4.589e+003
22 -> ~90 fr=3793 (0.5188), cf=0.974, gamma=1.877, delta=0.242, M=-4.589e+003
21 26 63 -> 90 fr=2871 (0.3927), cf=0.953, gamma=1.981, delta=0.194, M=-2.675e+003
21 26 63 -> ~89 fr=2871 (0.3927), cf=0.953, gamma=1.981, delta=0.194, M=-2.675e+003
21 25 26 66 -> 90 fr=2839 (0.3883), cf=0.957, gamma=1.989, delta=0.193, M=-2.657e+003
21 25 26 66 -> ~89 fr=2839 (0.3883), cf=0.957, gamma=1.989, delta=0.193, M=-2.657e+003
21 25 26 -> 90 fr=2855 (0.3905), cf=0.953, gamma=1.980, delta=0.193, M=-2.646e+003
21 25 26 -> ~89 fr=2855 (0.3905), cf=0.953, gamma=1.980, delta=0.193, M=-2.646e+003
28 47 -> ~90 fr=3045 (0.4165), cf=0.941, gamma=1.813, delta=0.187, M=-2.394e+003
28 47 -> 89 fr=3045 (0.4165), cf=0.941, gamma=1.813, delta=0.187, M=-2.394e+003
21 26 -> 90 fr=2871 (0.3927), cf=0.900, gamma=1.870, delta=0.183, M=-2.237e+003
21 26 -> ~89 fr=2871 (0.3927), cf=0.900, gamma=1.870, delta=0.183, M=-2.237e+003
28 51 -> ~90 fr=2880 (0.3939), cf=0.938, gamma=1.807, delta=0.176, M=-2.139e+003
28 51 -> 89 fr=2880 (0.3939), cf=0.938, gamma=1.807, delta=0.176, M=-2.139e+003
26 46 -> 90 fr=2012 (0.2752), cf=1.000, gamma=2.078, delta=0.143, M=-1.899e+003
26 46 -> ~89 fr=2012 (0.2752), cf=1.000, gamma=2.078, delta=0.143, M=-1.899e+003
46 66 -> 90 fr=1980 (0.2708), cf=1.000, gamma=2.078, delta=0.141, M=-1.859e+003
46 66 -> ~89 fr=1980 (0.2708), cf=1.000, gamma=2.078, delta=0.141, M=-1.859e+003
26 50 -> 90 fr=1950 (0.2667), cf=1.000, gamma=2.078, delta=0.138, M=-1.822e+003
50 66 -> 90 fr=1950 (0.2667), cf=1.000, gamma=2.078, delta=0.138, M=-1.822e+003
26 50 -> ~89 fr=1950 (0.2667), cf=1.000, gamma=2.078, delta=0.138, M=-1.822e+003
50 66 -> ~89 fr=1950 (0.2667), cf=1.000, gamma=2.078, delta=0.138, M=-1.822e+003
21 25 80 -> 90 fr=2245 (0.3071), cf=0.954, gamma=1.982, delta=0.152, M=-1.800e+003
21 63 80 -> 90 fr=2245 (0.3071), cf=0.954, gamma=1.982, delta=0.152, M=-1.800e+003
21 25 80 -> ~89 fr=2245 (0.3071), cf=0.954, gamma=1.982, delta=0.152, M=-1.800e+003
21 63 80 -> ~89 fr=2245 (0.3071), cf=0.954, gamma=1.982, delta=0.152, M=-1.800e+003
