23 -> 90 fr=3435 (0.4698), cf=1.000, gamma=2.063, delta=0.242, M=-4.566e+003
22 -> ~90 fr=3767 (0.5153), cf=0.972, gamma=1.886, delta=0.242, M=-4.566e+003
21 26 63 -> 90 fr=2872 (0.3928), cf=0.951, gamma=1.962, delta=0.193, M=-2.617e+003
21 26 63 -> ~89 fr=2872 (0.3928), cf=0.951, gamma=1.962, delta=0.193, M=-2.617e+003
21 25 26 66 -> 90 fr=2839 (0.3883), cf=0.956, gamma=1.971, delta=0.191, M=-2.601e+003
21 25 26 66 -> ~89 fr=2839 (0.3883), cf=0.956, gamma=1.971, delta=0.191, M=-2.601e+003
21 25 26 -> 90 fr=2855 (0.3905), cf=0.951, gamma=1.962, delta=0.191, M=-2.586e+003
21 25 26 -> ~89 fr=2855 (0.3905), cf=0.951, gamma=1.962, delta=0.191, M=-2.586e+003
28 47 -> ~90 fr=3019 (0.4129), cf=0.938, gamma=1.821, delta=0.186, M=-2.377e+003
28 47 -> 89 fr=3019 (0.4129), cf=0.938, gamma=1.821, delta=0.186, M=-2.377e+003
21 26 -> 90 fr=2872 (0.3928), cf=0.901, gamma=1.858, delta=0.181, M=-2.204e+003
21 26 -> ~89 fr=2872 (0.3928), cf=0.901, gamma=1.858, delta=0.181, M=-2.204e+003
28 51 -> ~90 fr=2839 (0.3883), cf=0.935, gamma=1.814, delta=0.174, M=-2.099e+003
28 51 -> 89 fr=2839 (0.3883), cf=0.935, gamma=1.814, delta=0.174, M=-2.099e+003
26 46 -> 90 fr=2005 (0.2742), cf=1.000, gamma=2.063, delta=0.141, M=-1.869e+003
26 46 -> ~89 fr=2005 (0.2742), cf=1.000, gamma=2.063, delta=0.141, M=-1.869e+003
46 66 -> 90 fr=1972 (0.2697), cf=1.000, gamma=2.063, delta=0.139, M=-1.828e+003
46 66 -> ~89 fr=1972 (0.2697), cf=1.000, gamma=2.063, delta=0.139, M=-1.828e+003
26 50 -> 90 fr=1955 (0.2674), cf=1.000, gamma=2.063, delta=0.138, M=-1.807e+003
50 66 -> 90 fr=1955 (0.2674), cf=1.000, gamma=2.063, delta=0.138, M=-1.807e+003
