23 -> 90 fr=3401 (0.4652), cf=1.000, gamma=2.082, delta=0.242, M=-4.559e+003
22 -> ~90 fr=3800 (0.5198), cf=0.972, gamma=1.870, delta=0.242, M=-4.559e+003
21 26 63 -> 90 fr=2855 (0.3905), cf=0.950, gamma=1.979, delta=0.193, M=-2.634e+003
21 26 63 -> ~89 fr=2855 (0.3905), cf=0.950, gamma=1.979, delta=0.193, M=-2.634e+003
21 25 26 66 -> 90 fr=2824 (0.3863), cf=0.955, gamma=1.988, delta=0.192, M=-2.621e+003
21 25 26 66 -> ~89 fr=2824 (0.3863), cf=0.955, gamma=1.988, delta=0.192, M=-2.621e+003
21 25 26 -> 90 fr=2841 (0.3886), cf=0.950, gamma=1.979, delta=0.192, M=-2.609e+003
21 25 26 -> ~89 fr=2841 (0.3886), cf=0.950, gamma=1.979, delta=0.192, M=-2.609e+003
28 47 -> ~90 fr=3053 (0.4176), cf=0.939, gamma=1.807, delta=0.186, M=-2.381e+003
28 47 -> 89 fr=3053 (0.4176), cf=0.939, gamma=1.807, delta=0.186, M=-2.381e+003
21 26 -> 90 fr=2855 (0.3905), cf=0.899, gamma=1.871, delta=0.182, M=-2.214e+003
21 26 -> ~89 fr=2855 (0.3905), cf=0.899, gamma=1.871, delta=0.182, M=-2.214e+003
28 51 -> ~90 fr=2868 (0.3923), cf=0.936, gamma=1.801, delta=0.174, M=-2.102e+003
28 51 -> 89 fr=2868 (0.3923), cf=0.936, gamma=1.801, delta=0.174, M=-2.102e+003
26 46 -> 90 fr=1987 (0.2718), cf=1.000, gamma=2.082, delta=0.141, M=-1.874e+003
26 46 -> ~89 fr=1987 (0.2718), cf=1.000, gamma=2.082, delta=0.141, M=-1.874e+003
46 66 -> 90 fr=1956 (0.2675), cf=1.000, gamma=2.082, delta=0.139, M=-1.835e+003
46 66 -> ~89 fr=1956 (0.2675), cf=1.000, gamma=2.082, delta=0.139, M=-1.835e+003
26 50 -> 90 fr=1944 (0.2659), cf=1.000, gamma=2.082, delta=0.138, M=-1.820e+003
50 66 -> 90 fr=1944 (0.2659), cf=1.000, gamma=2.082, delta=0.138, M=-1.820e+003
26 50 -> ~89 fr=1944 (0.2659), cf=1.000, gamma=2.082, delta=0.138, M=-1.820e+003
50 66 -> ~89 fr=1944 (0.2659), cf=1.000, gamma=2.082, delta=0.138, M=-1.820e+003
21 25 80 -> 90 fr=2251 (0.3079), cf=0.952, gamma=1.983, delta=0.153, M=-1.804e+003
21 63 80 -> 90 fr=2251 (0.3079), cf=0.952, gamma=1.983, delta=0.153, M=-1.804e+003
21 25 80 -> ~89 fr=2251 (0.3079), cf=0.952, gamma=1.983, delta=0.153, M=-1.804e+003
21 63 80 -> ~89 fr=2251 (0.3079), cf=0.952, gamma=1.983, delta=0.153, M=-1.804e+003
21 80 -> 90 fr=2251 (0.3079), cf=0.919, gamma=1.914, delta=0.147, M=-1.595e+003
21 80 -> ~89 fr=2251 (0.3079), cf=0.919, gamma=1.914, delta=0.147, M=-1.595e+003
28 71 -> ~90 fr=2672 (0.3655), cf=0.892, gamma=1.716, delta=0.152, M=-1.560e+003
28 71 -> 89 fr=2672 (0.3655), cf=0.892, gamma=1.716, delta=0.152, M=-1.560e+003
21 25 66 -> 90 fr=2916 (0.3989), cf=0.770, gamma=1.604, delta=0.150, M=-1.424e+003
