23 -> 90 fr=3412 (0.4667), cf=1.000, gamma=2.077, delta=0.242, M=-4.567e+003
22 -> ~90 fr=3791 (0.5185), cf=0.972, gamma=1.875, delta=0.242, M=-4.567e+003
21 26 63 -> 90 fr=2867 (0.3921), cf=0.952, gamma=1.978, delta=0.194, M=-2.658e+003
21 26 63 -> ~89 fr=2867 (0.3921), cf=0.952, gamma=1.978, delta=0.194, M=-2.658e+003
21 25 26 66 -> 90 fr=2834 (0.3876), cf=0.957, gamma=1.987, delta=0.193, M=-2.642e+003
21 25 26 66 -> ~89 fr=2834 (0.3876), cf=0.957, gamma=1.987, delta=0.193, M=-2.642e+003
21 25 26 -> 90 fr=2851 (0.3900), cf=0.952, gamma=1.978, delta=0.193, M=-2.629e+003
21 25 26 -> ~89 fr=2851 (0.3900), cf=0.952, gamma=1.978, delta=0.193, M=-2.629e+003
28 47 -> ~90 fr=3049 (0.4170), cf=0.942, gamma=1.816, delta=0.187, M=-2.412e+003
28 47 -> 89 fr=3049 (0.4170), cf=0.942, gamma=1.816, delta=0.187, M=-2.412e+003
21 26 -> 90 fr=2867 (0.3921), cf=0.900, gamma=1.869, delta=0.182, M=-2.227e+003
21 26 -> ~89 fr=2867 (0.3921), cf=0.900, gamma=1.869, delta=0.182, M=-2.227e+003
28 51 -> ~90 fr=2873 (0.3930), cf=0.938, gamma=1.809, delta=0.176, M=-2.139e+003
28 51 -> 89 fr=2873 (0.3930), cf=0.938, gamma=1.809, delta=0.176, M=-2.139e+003
26 46 -> 90 fr=2010 (0.2749), cf=1.000, gamma=2.077, delta=0.143, M=-1.895e+003
26 46 -> ~89 fr=2010 (0.2749), cf=1.000, gamma=2.077, delta=0.143, M=-1.895e+003
46 66 -> 90 fr=1977 (0.2704), cf=1.000, gamma=2.077, delta=0.140, M=-1.854e+003
46 66 -> ~89 fr=1977 (0.2704), cf=1.000, gamma=2.077, delta=0.140, M=-1.854e+003
21 25 80 -> 90 fr=2257 (0.3087), cf=0.954, gamma=1.980, delta=0.153, M=-1.811e+003
21 63 80 -> 90 fr=2257 (0.3087), cf=0.954, gamma=1.980, delta=0.153, M=-1.811e+003
21 25 80 -> ~89 fr=2257 (0.3087), cf=0.954, gamma=1.980, delta=0.153, M=-1.811e+003
21 63 80 -> ~89 fr=2257 (0.3087), cf=0.954, gamma=1.980, delta=0.153, M=-1.811e+003
26 50 -> 90 fr=1938 (0.2651), cf=1.000, gamma=2.077, delta=0.137, M=-1.806e+003
50 66 -> 90 fr=1938 (0.2651), cf=1.000, gamma=2.077, delta=0.137, M=-1.806e+003
26 50 -> ~89 fr=1938 (0.2651), cf=1.000, gamma=2.077, delta=0.137, M=-1.806e+003
50 66 -> ~89 fr=1938 (0.2651), cf=1.000, gamma=2.077, delta=0.137, M=-1.806e+003
