23 -> 90 fr=3408 (0.4661), cf=1.000, gamma=2.080, delta=0.242, M=-4.570e+003
22 -> ~90 fr=3796 (0.5192), cf=0.973, gamma=1.873, delta=0.242, M=-4.570e+003
21 26 63 -> 90 fr=2857 (0.3908), cf=0.953, gamma=1.983, delta=0.194, M=-2.657e+003
21 26 63 -> ~89 fr=2857 (0.3908), cf=0.953, gamma=1.983, delta=0.194, M=-2.657e+003
21 25 26 66 -> 90 fr=2828 (0.3868), cf=0.957, gamma=1.991, delta=0.192, M=-2.642e+003
21 25 26 66 -> ~89 fr=2828 (0.3868), cf=0.957, gamma=1.991, delta=0.192, M=-2.642e+003
21 25 26 -> 90 fr=2841 (0.3886), cf=0.953, gamma=1.982, delta=0.193, M=-2.628e+003
21 25 26 -> ~89 fr=2841 (0.3886), cf=0.953, gamma=1.982, delta=0.193, M=-2.628e+003
28 47 -> ~90 fr=3052 (0.4175), cf=0.941, gamma=1.813, delta=0.187, M=-2.406e+003
28 47 -> 89 fr=3052 (0.4175), cf=0.941, gamma=1.813, delta=0.187, M=-2.406e+003
21 26 -> 90 fr=2857 (0.3908), cf=0.900, gamma=1.871, delta=0.182, M=-2.218e+003
21 26 -> ~89 fr=2857 (0.3908), cf=0.900, gamma=1.871, delta=0.182, M=-2.218e+003
28 51 -> ~90 fr=2877 (0.3935), cf=0.939, gamma=1.808, delta=0.176, M=-2.143e+003
28 51 -> 89 fr=2877 (0.3935), cf=0.939, gamma=1.808, delta=0.176, M=-2.143e+003
26 46 -> 90 fr=2001 (0.2737), cf=1.000, gamma=2.080, delta=0.142, M=-1.888e+003
26 46 -> ~89 fr=2001 (0.2737), cf=1.000, gamma=2.080, delta=0.142, M=-1.888e+003
46 66 -> 90 fr=1972 (0.2697), cf=1.000, gamma=2.080, delta=0.140, M=-1.852e+003
46 66 -> ~89 fr=1972 (0.2697), cf=1.000, gamma=2.080, delta=0.140, M=-1.852e+003
21 25 80 -> 90 fr=2246 (0.3072), cf=0.956, gamma=1.989, delta=0.153, M=-1.821e+003
21 63 80 -> 90 fr=2246 (0.3072), cf=0.956, gamma=1.989, delta=0.153, M=-1.821e+003
21 25 80 -> ~89 fr=2246 (0.3072), cf=0.956, gamma=1.989, delta=0.153, M=-1.821e+003
21 63 80 -> ~89 fr=2246 (0.3072), cf=0.956, gamma=1.989, delta=0.153, M=-1.821e+003
26 50 -> 90 fr=1934 (0.2645), cf=1.000, gamma=2.080, delta=0.137, M=-1.805e+003
50 66 -> 90 fr=1934 (0.2645), cf=1.000, gamma=2.080, delta=0.137, M=-1.805e+003
26 50 -> ~89 fr=1934 (0.2645), cf=1.000, gamma=2.080, delta=0.137, M=-1.805e+003
50 66 -> ~89 fr=1934 (0.2645), cf=1.000, gamma=2.080, delta=0.137, M=-1.805e+003
21 80 -> 90 fr=2246 (0.3072), cf=0.921, gamma=1.915, delta=0.147, M=-1.596e+003
21 80 -> ~89 fr=2246 (0.3072), cf=0.921, gamma=1.915, delta=0.147, M=-1.596e+003
28 71 -> ~90 fr=2661 (0.3640), cf=0.892, gamma=1.719, delta=0.152, M=-1.556e+003
28 71 -> 89 fr=2661 (0.3640), cf=0.892, gamma=1.719, delta=0.152, M=-1.556e+003
46 -> 90 fr=2001 (0.2737), cf=0.940, gamma=1.955, delta=0.134, M=-1.451e+003
21 25 66 -> 90 fr=2920 (0.3994), cf=0.771, gamma=1.603, delta=0.150, M=-1.427e+003
21 25 66 -> ~89 fr=2920 (0.3994), cf=0.771, gamma=1.603, delta=0.150, M=-1.427e+003
21 63 66 -> 90 fr=2912 (0.3983), cf=0.770, gamma=1.602, delta=0.150, M=-1.415e+003
21 63 66 -> ~89 fr=2912 (0.3983), cf=0.770, gamma=1.602, delta=0.150, M=-1.415e+003
26 29 76 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 29 76 -> ~89 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 66 76 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 66 76 -> ~89 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 29 68 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 29 68 -> ~89 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 68 80 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 66 68 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 68 80 -> ~89 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
26 66 68 -> ~89 fr=1575 (0.2154), cf=1.000, gamma=2.080, delta=0.112, M=-1.392e+003
32 -> 90 fr=1568 (0.2145), cf=1.000, gamma=2.080, delta=0.111, M=-1.384e+003
50 -> 90 fr=1934 (0.2645), cf=0.937, gamma=1.949, delta=0.129, M=-1.369e+003
40 76 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
40 76 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
29 40 68 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
29 40 68 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
21 29 40 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
26 29 40 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
21 29 40 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
26 29 40 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
40 68 80 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
26 40 68 -> 90 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
40 68 80 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
26 40 68 -> ~89 fr=1545 (0.2113), cf=1.000, gamma=2.080, delta=0.110, M=-1.360e+003
26 29 -> 90 fr=1902 (0.2602), cf=0.937, gamma=1.950, delta=0.127, M=-1.340e+003
26 29 -> ~89 fr=1902 (0.2602), cf=0.937, gamma=1.950, delta=0.127, M=-1.340e+003
26 76 80 -> 90 fr=1575 (0.2154), cf=0.991, gamma=2.062, delta=0.111, M=-1.320e+003
26 76 80 -> ~89 fr=1575 (0.2154), cf=0.991, gamma=2.062, delta=0.111, M=-1.320e+003
20 88 -> ~90 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
20 88 -> 89 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
40 41 88 -> ~90 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
40 41 88 -> 89 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
40 71 88 -> ~90 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
40 71 88 -> 89 fr=1646 (0.2251), cf=1.000, gamma=1.926, delta=0.108, M=-1.301e+003
41 75 -> 90 fr=1484 (0.2030), cf=1.000, gamma=2.080, delta=0.105, M=-1.295e+003
41 75 -> ~89 fr=1484 (0.2030), cf=1.000, gamma=2.080, delta=0.105, M=-1.295e+003
28 75 -> 90 fr=1484 (0.2030), cf=1.000, gamma=2.080, delta=0.105, M=-1.295e+003
28 75 -> ~89 fr=1484 (0.2030), cf=1.000, gamma=2.080, delta=0.105, M=-1.295e+003
20 28 -> ~90 fr=2391 (0.3270), cf=0.882, gamma=1.698, delta=0.134, M=-1.249e+003
20 28 -> 89 fr=2391 (0.3270), cf=0.882, gamma=1.698, delta=0.134, M=-1.249e+003
29 76 -> 90 fr=1591 (0.2176), cf=0.974, gamma=2.025, delta=0.110, M=-1.231e+003
29 76 -> ~89 fr=1591 (0.2176), cf=0.974, gamma=2.025, delta=0.110, M=-1.231e+003
66 76 -> 90 fr=1591 (0.2176), cf=0.974, gamma=2.025, delta=0.110, M=-1.231e+003
66 76 -> ~89 fr=1591 (0.2176), cf=0.974, gamma=2.025, delta=0.110, M=-1.231e+003
29 68 -> 90 fr=1583 (0.2165), cf=0.974, gamma=2.025, delta=0.110, M=-1.222e+003
29 68 -> ~89 fr=1583 (0.2165), cf=0.974, gamma=2.025, delta=0.110, M=-1.222e+003
21 68 76 -> 90 fr=1583 (0.2165), cf=0.974, gamma=2.025, delta=0.110, M=-1.222e+003
21 68 76 -> ~89 fr=1583 (0.2165), cf=0.974, gamma=2.025, delta=0.110, M=-1.222e+003
28 40 -> ~90 fr=2258 (0.3088), cf=0.897, gamma=1.727, delta=0.130, M=-1.221e+003
28 40 -> 89 fr=2258 (0.3088), cf=0.897, gamma=1.727, delta=0.130, M=-1.221e+003
68 80 -> 90 fr=1575 (0.2154), cf=0.973, gamma=2.025, delta=0.109, M=-1.214e+003
68 80 -> ~89 fr=1575 (0.2154), cf=0.973, gamma=2.025, delta=0.109, M=-1.214e+003
21 66 -> 90 fr=2920 (0.3994), cf=0.736, gamma=1.531, delta=0.139, M=-1.210e+003
21 66 -> ~89 fr=2920 (0.3994), cf=0.736, gamma=1.531, delta=0.139, M=-1.210e+003
29 -> 90 fr=2002 (0.2738), cf=0.887, gamma=1.844, delta=0.125, M=-1.183e+003
28 -> ~90 fr=3540 (0.4842), cf=0.701, gamma=1.349, delta=0.125, M=-1.183e+003
76 80 -> 90 fr=1575 (0.2154), cf=0.965, gamma=2.007, delta=0.108, M=-1.171e+003
76 80 -> ~89 fr=1575 (0.2154), cf=0.965, gamma=2.007, delta=0.108, M=-1.171e+003
20 47 -> ~90 fr=2477 (0.3388), cf=0.851, gamma=1.638, delta=0.132, M=-1.151e+003
20 47 -> 89 fr=2477 (0.3388), cf=0.851, gamma=1.638, delta=0.132, M=-1.151e+003
21 63 -> 90 fr=2941 (0.4023), cf=0.721, gamma=1.499, delta=0.134, M=-1.137e+003
21 63 -> ~89 fr=2941 (0.4023), cf=0.721, gamma=1.499, delta=0.134, M=-1.137e+003
21 25 -> 90 fr=2933 (0.4012), cf=0.720, gamma=1.498, delta=0.133, M=-1.126e+003
21 25 -> ~89 fr=2933 (0.4012), cf=0.720, gamma=1.498, delta=0.133, M=-1.126e+003
47 71 -> ~90 fr=2687 (0.3675), cf=0.815, gamma=1.570, delta=0.133, M=-1.122e+003
47 71 -> 89 fr=2687 (0.3675), cf=0.815, gamma=1.570, delta=0.133, M=-1.122e+003
75 -> 90 fr=1484 (0.2030), cf=0.970, gamma=2.017, delta=0.102, M=-1.111e+003
71 -> ~90 fr=2828 (0.3868), cf=0.793, gamma=1.527, delta=0.133, M=-1.105e+003
71 -> 89 fr=2828 (0.3868), cf=0.793, gamma=1.527, delta=0.133, M=-1.105e+003
40 41 47 51 -> ~90 fr=1646 (0.2251), cf=0.963, gamma=1.855, delta=0.104, M=-1.065e+003
40 41 47 51 -> 89 fr=1646 (0.2251), cf=0.963, gamma=1.855, delta=0.104, M=-1.065e+003
26 39 41 66 -> 90 fr=1253 (0.1714), cf=1.000, gamma=2.080, delta=0.089, M=-1.059e+003
26 39 41 66 -> ~89 fr=1253 (0.1714), cf=1.000, gamma=2.080, delta=0.089, M=-1.059e+003
70 -> 90 fr=1192 (0.1630), cf=1.000, gamma=2.080, delta=0.085, M=-9.998e+002
20 51 -> ~90 fr=2308 (0.3157), cf=0.842, gamma=1.622, delta=0.121, M=-9.875e+002
20 51 -> 89 fr=2308 (0.3157), cf=0.842, gamma=1.622, delta=0.121, M=-9.875e+002
9 21 -> 90 fr=1433 (0.1960), cf=0.952, gamma=1.979, delta=0.097, M=-9.843e+002
9 21 -> ~89 fr=1433 (0.1960), cf=0.952, gamma=1.979, delta=0.097, M=-9.843e+002
39 41 66 -> 90 fr=1345 (0.1840), cf=0.969, gamma=2.016, delta=0.093, M=-9.817e+002
39 41 66 -> ~89 fr=1345 (0.1840), cf=0.969, gamma=2.016, delta=0.093, M=-9.817e+002
21 59 -> 90 fr=1162 (0.1589), cf=1.000, gamma=2.080, delta=0.083, M=-9.708e+002
21 59 -> ~89 fr=1162 (0.1589), cf=1.000, gamma=2.080, delta=0.083, M=-9.708e+002
20 -> 89 fr=2477 (0.3388), cf=0.814, gamma=1.568, delta=0.123, M=-9.649e+002
21 -> ~89 fr=2949 (0.4034), cf=0.691, gamma=1.437, delta=0.123, M=-9.649e+002
26 39 41 -> 90 fr=1314 (0.1797), cf=0.970, gamma=2.018, delta=0.091, M=-9.608e+002
26 39 41 -> ~89 fr=1314 (0.1797), cf=0.970, gamma=2.018, delta=0.091, M=-9.608e+002
47 -> ~90 fr=3288 (0.4497), cf=0.705, gamma=1.358, delta=0.119, M=-9.432e+002
39 41 -> 90 fr=1406 (0.1923), cf=0.944, gamma=1.964, delta=0.094, M=-9.332e+002
39 41 -> ~89 fr=1406 (0.1923), cf=0.944, gamma=1.964, delta=0.094, M=-9.332e+002
26 41 51 88 -> ~90 fr=1560 (0.2134), cf=0.945, gamma=1.821, delta=0.096, M=-9.178e+002
26 41 51 88 -> 89 fr=1560 (0.2134), cf=0.945, gamma=1.821, delta=0.096, M=-9.178e+002
40 41 51 -> ~90 fr=1646 (0.2251), cf=0.929, gamma=1.789, delta=0.099, M=-9.112e+002
40 41 51 -> 89 fr=1646 (0.2251), cf=0.929, gamma=1.789, delta=0.099, M=-9.112e+002
25 26 80 -> 90 fr=2511 (0.3435), cf=0.743, gamma=1.546, delta=0.121, M=-9.077e+002
26 63 80 -> 90 fr=2511 (0.3435), cf=0.743, gamma=1.546, delta=0.121, M=-9.077e+002
25 26 80 -> ~89 fr=2511 (0.3435), cf=0.743, gamma=1.546, delta=0.121, M=-9.077e+002
26 63 80 -> ~89 fr=2511 (0.3435), cf=0.743, gamma=1.546, delta=0.121, M=-9.077e+002
26 68 -> 90 fr=1575 (0.2154), cf=0.897, gamma=1.866, delta=0.100, M=-8.889e+002
26 68 -> ~89 fr=1575 (0.2154), cf=0.897, gamma=1.866, delta=0.100, M=-8.889e+002
40 73 -> ~90 fr=1174 (0.1606), cf=1.000, gamma=1.926, delta=0.077, M=-8.735e+002
40 73 -> 89 fr=1174 (0.1606), cf=1.000, gamma=1.926, delta=0.077, M=-8.735e+002
7 40 -> ~90 fr=1173 (0.1604), cf=1.000, gamma=1.926, delta=0.077, M=-8.726e+002
7 40 -> 89 fr=1173 (0.1604), cf=1.000, gamma=1.926, delta=0.077, M=-8.726e+002
26 76 -> 90 fr=1604 (0.2194), cf=0.879, gamma=1.828, delta=0.099, M=-8.456e+002
26 76 -> ~89 fr=1604 (0.2194), cf=0.879, gamma=1.828, delta=0.099, M=-8.456e+002
10 26 40 -> 90 fr=1024 (0.1401), cf=1.000, gamma=2.080, delta=0.073, M=-8.407e+002
10 26 40 -> ~89 fr=1024 (0.1401), cf=1.000, gamma=2.080, delta=0.073, M=-8.407e+002
40 72 -> ~90 fr=1127 (0.1542), cf=1.000, gamma=1.926, delta=0.074, M=-8.337e+002
40 72 -> 89 fr=1127 (0.1542), cf=1.000, gamma=1.926, delta=0.074, M=-8.337e+002
25 80 -> 90 fr=2555 (0.3495), cf=0.720, gamma=1.497, delta=0.116, M=-8.225e+002
63 80 -> 90 fr=2555 (0.3495), cf=0.720, gamma=1.497, delta=0.116, M=-8.225e+002
25 80 -> ~89 fr=2555 (0.3495), cf=0.720, gamma=1.497, delta=0.116, M=-8.225e+002
63 80 -> ~89 fr=2555 (0.3495), cf=0.720, gamma=1.497, delta=0.116, M=-8.225e+002
68 76 -> 90 fr=1583 (0.2165), cf=0.876, gamma=1.822, delta=0.098, M=-8.213e+002
