2 11 16 -> ~157 fr=177 (0.5584), cf=0.917, gamma=1.432, delta=0.168, M=-8.984e+001
2 11 16 -> 156 fr=177 (0.5584), cf=0.917, gamma=1.432, delta=0.168, M=-8.984e+001
2 16 -> ~157 fr=192 (0.6057), cf=0.865, gamma=1.351, delta=0.157, M=-8.662e+001
2 16 -> 156 fr=192 (0.6057), cf=0.865, gamma=1.351, delta=0.157, M=-8.662e+001
16 124 -> ~157 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
11 16 -> ~157 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
16 124 -> 156 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
11 16 -> 156 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
13 -> 157 fr=65 (0.2050), cf=0.942, gamma=2.620, delta=0.127, M=-6.981e+001
16 121 -> ~157 fr=148 (0.4669), cf=0.937, gamma=1.463, delta=0.148, M=-6.891e+001
16 121 -> 156 fr=148 (0.4669), cf=0.937, gamma=1.463, delta=0.148, M=-6.891e+001
16 131 -> ~157 fr=146 (0.4606), cf=0.924, gamma=1.443, delta=0.141, M=-6.258e+001
16 131 -> 156 fr=146 (0.4606), cf=0.924, gamma=1.443, delta=0.141, M=-6.258e+001
121 131 141 -> ~157 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
121 131 141 -> 156 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
7 11 -> ~157 fr=151 (0.4763), cf=0.910, gamma=1.420, delta=0.141, M=-6.128e+001
7 11 -> 156 fr=151 (0.4763), cf=0.910, gamma=1.420, delta=0.141, M=-6.128e+001
16 -> ~157 fr=192 (0.6057), cf=0.807, gamma=1.260, delta=0.125, M=-6.001e+001
121 131 -> ~157 fr=145 (0.4574), cf=0.918, gamma=1.433, delta=0.138, M=-5.959e+001
121 131 -> 156 fr=145 (0.4574), cf=0.918, gamma=1.433, delta=0.138, M=-5.959e+001
131 141 -> ~157 fr=148 (0.4669), cf=0.908, gamma=1.418, delta=0.138, M=-5.843e+001
131 141 -> 156 fr=148 (0.4669), cf=0.908, gamma=1.418, delta=0.138, M=-5.843e+001
121 141 150 -> ~157 fr=139 (0.4385), cf=0.927, gamma=1.447, delta=0.135, M=-5.831e+001
121 141 150 -> 156 fr=139 (0.4385), cf=0.927, gamma=1.447, delta=0.135, M=-5.831e+001
22 -> 157 fr=55 (0.1735), cf=0.948, gamma=2.637, delta=0.108, M=-5.750e+001
