2 16 -> ~157 fr=192 (0.6095), cf=0.873, gamma=1.361, delta=0.162, M=-9.124e+001
2 16 -> 156 fr=192 (0.6095), cf=0.873, gamma=1.361, delta=0.162, M=-9.124e+001
11 16 -> ~157 fr=177 (0.5619), cf=0.908, gamma=1.415, delta=0.165, M=-8.580e+001
11 16 -> 156 fr=177 (0.5619), cf=0.908, gamma=1.415, delta=0.165, M=-8.580e+001
16 124 -> ~157 fr=174 (0.5524), cf=0.911, gamma=1.421, delta=0.164, M=-8.368e+001
16 124 -> 156 fr=174 (0.5524), cf=0.911, gamma=1.421, delta=0.164, M=-8.368e+001
16 121 -> ~157 fr=146 (0.4635), cf=0.942, gamma=1.469, delta=0.148, M=-6.928e+001
16 121 -> 156 fr=146 (0.4635), cf=0.942, gamma=1.469, delta=0.148, M=-6.928e+001
13 -> 157 fr=64 (0.2032), cf=0.941, gamma=2.624, delta=0.126, M=-6.862e+001
7 11 -> ~157 fr=151 (0.4794), cf=0.915, gamma=1.427, delta=0.143, M=-6.329e+001
7 11 -> 156 fr=151 (0.4794), cf=0.915, gamma=1.427, delta=0.143, M=-6.329e+001
2 11 141 150 -> ~157 fr=146 (0.4635), cf=0.924, gamma=1.441, delta=0.142, M=-6.258e+001
2 11 141 150 -> 156 fr=146 (0.4635), cf=0.924, gamma=1.441, delta=0.142, M=-6.258e+001
16 -> ~157 fr=192 (0.6095), cf=0.807, gamma=1.258, delta=0.125, M=-6.066e+001
2 11 141 -> ~157 fr=152 (0.4825), cf=0.905, gamma=1.411, delta=0.141, M=-6.033e+001
2 11 141 -> 156 fr=152 (0.4825), cf=0.905, gamma=1.411, delta=0.141, M=-6.033e+001
121 141 150 -> ~157 fr=136 (0.4317), cf=0.938, gamma=1.463, delta=0.137, M=-5.997e+001
11 25 34 -> ~157 fr=136 (0.4317), cf=0.938, gamma=1.463, delta=0.137, M=-5.997e+001
121 141 150 -> 156 fr=136 (0.4317), cf=0.938, gamma=1.463, delta=0.137, M=-5.997e+001
11 25 34 -> 156 fr=136 (0.4317), cf=0.938, gamma=1.463, delta=0.137, M=-5.997e+001
121 131 141 -> ~157 fr=135 (0.4286), cf=0.938, gamma=1.462, delta=0.135, M=-5.910e+001
121 131 141 -> 156 fr=135 (0.4286), cf=0.938, gamma=1.462, delta=0.135, M=-5.910e+001
22 -> 157 fr=55 (0.1746), cf=0.948, gamma=2.643, delta=0.109, M=-5.777e+001
11 124 141 150 -> ~157 fr=138 (0.4381), cf=0.926, gamma=1.444, delta=0.135, M=-5.740e+001
11 124 141 150 -> 156 fr=138 (0.4381), cf=0.926, gamma=1.444, delta=0.135, M=-5.740e+001
121 141 -> ~157 fr=142 (0.4508), cf=0.916, gamma=1.429, delta=0.135, M=-5.687e+001
121 141 -> 156 fr=142 (0.4508), cf=0.916, gamma=1.429, delta=0.135, M=-5.687e+001
2 124 141 150 -> ~157 fr=150 (0.4762), cf=0.898, gamma=1.401, delta=0.136, M=-5.655e+001
2 124 141 150 -> 156 fr=150 (0.4762), cf=0.898, gamma=1.401, delta=0.136, M=-5.655e+001
11 131 141 -> ~157 fr=134 (0.4254), cf=0.931, gamma=1.451, delta=0.132, M=-5.607e+001
11 131 141 -> 156 fr=134 (0.4254), cf=0.931, gamma=1.451, delta=0.132, M=-5.607e+001
131 141 -> ~157 fr=143 (0.4540), cf=0.911, gamma=1.420, delta=0.134, M=-5.580e+001
131 141 -> 156 fr=143 (0.4540), cf=0.911, gamma=1.420, delta=0.134, M=-5.580e+001
2 11 25 -> ~157 fr=138 (0.4381), cf=0.920, gamma=1.435, delta=0.133, M=-5.536e+001
2 11 25 -> 156 fr=138 (0.4381), cf=0.920, gamma=1.435, delta=0.133, M=-5.536e+001
2 124 141 -> ~157 fr=156 (0.4952), cf=0.881, gamma=1.374, delta=0.135, M=-5.518e+001
2 124 141 -> 156 fr=156 (0.4952), cf=0.881, gamma=1.374, delta=0.135, M=-5.518e+001
121 131 -> ~157 fr=140 (0.4444), cf=0.915, gamma=1.427, delta=0.133, M=-5.511e+001
121 131 -> 156 fr=140 (0.4444), cf=0.915, gamma=1.427, delta=0.133, M=-5.511e+001
7 124 -> ~157 fr=144 (0.4571), cf=0.906, gamma=1.412, delta=0.133, M=-5.479e+001
7 124 -> 156 fr=144 (0.4571), cf=0.906, gamma=1.412, delta=0.133, M=-5.479e+001
11 124 141 -> ~157 fr=144 (0.4571), cf=0.906, gamma=1.412, delta=0.133, M=-5.479e+001
11 124 141 -> 156 fr=144 (0.4571), cf=0.906, gamma=1.412, delta=0.133, M=-5.479e+001
124 141 150 -> ~157 fr=150 (0.4762), cf=0.893, gamma=1.392, delta=0.134, M=-5.474e+001
124 141 150 -> 156 fr=150 (0.4762), cf=0.893, gamma=1.392, delta=0.134, M=-5.474e+001
102 111 121 -> ~157 fr=126 (0.4000), cf=0.940, gamma=1.466, delta=0.127, M=-5.381e+001
102 111 121 -> 156 fr=126 (0.4000), cf=0.940, gamma=1.466, delta=0.127, M=-5.381e+001
124 141 -> ~157 fr=156 (0.4952), cf=0.876, gamma=1.367, delta=0.133, M=-5.349e+001
124 141 -> 156 fr=156 (0.4952), cf=0.876, gamma=1.367, delta=0.133, M=-5.349e+001
11 141 150 -> ~157 fr=146 (0.4635), cf=0.896, gamma=1.397, delta=0.132, M=-5.291e+001
11 141 150 -> 156 fr=146 (0.4635), cf=0.896, gamma=1.397, delta=0.132, M=-5.291e+001
102 111 -> ~157 fr=131 (0.4159), cf=0.923, gamma=1.439, delta=0.127, M=-5.153e+001
102 111 -> 156 fr=131 (0.4159), cf=0.923, gamma=1.439, delta=0.127, M=-5.153e+001
11 141 -> ~157 fr=152 (0.4825), cf=0.879, gamma=1.370, delta=0.130, M=-5.142e+001
11 141 -> 156 fr=152 (0.4825), cf=0.879, gamma=1.370, delta=0.130, M=-5.142e+001
131 -> ~157 fr=148 (0.4698), cf=0.886, gamma=1.382, delta=0.130, M=-5.120e+001
131 -> 156 fr=148 (0.4698), cf=0.886, gamma=1.382, delta=0.130, M=-5.120e+001
11 25 124 -> ~157 fr=121 (0.3841), cf=0.938, gamma=1.463, delta=0.122, M=-4.989e+001
11 25 124 -> 156 fr=121 (0.3841), cf=0.938, gamma=1.463, delta=0.122, M=-4.989e+001
2 11 -> ~157 fr=187 (0.5937), cf=0.796, gamma=1.241, delta=0.115, M=-4.982e+001
2 11 -> 156 fr=187 (0.5937), cf=0.796, gamma=1.241, delta=0.115, M=-4.982e+001
11 25 -> ~157 fr=138 (0.4381), cf=0.902, gamma=1.407, delta=0.127, M=-4.967e+001
11 25 -> 156 fr=138 (0.4381), cf=0.902, gamma=1.407, delta=0.127, M=-4.967e+001
2 7 25 34 -> ~157 fr=132 (0.4190), cf=0.910, gamma=1.420, delta=0.124, M=-4.848e+001
2 7 25 34 -> 156 fr=132 (0.4190), cf=0.910, gamma=1.420, delta=0.124, M=-4.848e+001
2 141 150 -> ~157 fr=159 (0.5048), cf=0.855, gamma=1.333, delta=0.126, M=-4.838e+001
2 141 150 -> 156 fr=159 (0.5048), cf=0.855, gamma=1.333, delta=0.126, M=-4.838e+001
92 111 121 -> ~157 fr=113 (0.3587), cf=0.950, gamma=1.481, delta=0.116, M=-4.836e+001
92 111 121 -> 156 fr=113 (0.3587), cf=0.950, gamma=1.481, delta=0.116, M=-4.836e+001
2 7 -> ~157 fr=162 (0.5143), cf=0.848, gamma=1.323, delta=0.125, M=-4.823e+001
2 7 -> 156 fr=162 (0.5143), cf=0.848, gamma=1.323, delta=0.125, M=-4.823e+001
102 121 -> ~157 fr=138 (0.4381), cf=0.896, gamma=1.397, delta=0.125, M=-4.790e+001
102 121 -> 156 fr=138 (0.4381), cf=0.896, gamma=1.397, delta=0.125, M=-4.790e+001
4 -> 157 fr=59 (0.1873), cf=0.843, gamma=2.350, delta=0.108, M=-4.765e+001
92 102 -> ~157 fr=125 (0.3968), cf=0.919, gamma=1.433, delta=0.120, M=-4.683e+001
92 102 -> 156 fr=125 (0.3968), cf=0.919, gamma=1.433, delta=0.120, M=-4.683e+001
2 141 -> ~157 fr=165 (0.5238), cf=0.838, gamma=1.306, delta=0.123, M=-4.676e+001
2 141 -> 156 fr=165 (0.5238), cf=0.838, gamma=1.306, delta=0.123, M=-4.676e+001
11 34 102 -> ~157 fr=132 (0.4190), cf=0.904, gamma=1.410, delta=0.122, M=-4.666e+001
11 34 102 -> 156 fr=132 (0.4190), cf=0.904, gamma=1.410, delta=0.122, M=-4.666e+001
11 124 -> ~157 fr=170 (0.5397), cf=0.825, gamma=1.287, delta=0.120, M=-4.611e+001
11 124 -> 156 fr=170 (0.5397), cf=0.825, gamma=1.287, delta=0.120, M=-4.611e+001
25 34 124 -> ~157 fr=131 (0.4159), cf=0.903, gamma=1.409, delta=0.121, M=-4.588e+001
25 34 124 -> 156 fr=131 (0.4159), cf=0.903, gamma=1.409, delta=0.121, M=-4.588e+001
122 -> 157 fr=66 (0.2095), cf=0.776, gamma=2.164, delta=0.113, M=-4.583e+001
2 25 34 -> ~157 fr=147 (0.4667), cf=0.870, gamma=1.356, delta=0.123, M=-4.546e+001
2 25 34 -> 156 fr=147 (0.4667), cf=0.870, gamma=1.356, delta=0.123, M=-4.546e+001
11 34 -> ~157 fr=159 (0.5048), cf=0.846, gamma=1.319, delta=0.122, M=-4.542e+001
11 34 -> 156 fr=159 (0.5048), cf=0.846, gamma=1.319, delta=0.122, M=-4.542e+001
25 124 -> ~157 fr=132 (0.4190), cf=0.898, gamma=1.400, delta=0.120, M=-4.490e+001
25 124 -> 156 fr=132 (0.4190), cf=0.898, gamma=1.400, delta=0.120, M=-4.490e+001
7 121 150 -> ~157 fr=107 (0.3397), cf=0.947, gamma=1.477, delta=0.110, M=-4.405e+001
7 121 150 -> 156 fr=107 (0.3397), cf=0.947, gamma=1.477, delta=0.110, M=-4.405e+001
92 111 -> ~157 fr=113 (0.3587), cf=0.934, gamma=1.456, delta=0.112, M=-4.400e+001
92 111 -> 156 fr=113 (0.3587), cf=0.934, gamma=1.456, delta=0.112, M=-4.400e+001
92 121 -> ~157 fr=121 (0.3841), cf=0.917, gamma=1.429, delta=0.115, M=-4.387e+001
92 121 -> 156 fr=121 (0.3841), cf=0.917, gamma=1.429, delta=0.115, M=-4.387e+001
