4 6 12 14 -> 20 fr=210 (0.3339), cf=0.854, gamma=2.474, delta=0.199, M=-2.690e+002
4 6 12 14 -> ~19 fr=210 (0.3339), cf=0.854, gamma=2.474, delta=0.199, M=-2.690e+002
4 6 14 -> 20 fr=211 (0.3355), cf=0.844, gamma=2.446, delta=0.198, M=-2.673e+002
4 6 14 -> ~19 fr=211 (0.3355), cf=0.844, gamma=2.446, delta=0.198, M=-2.673e+002
4 6 12 -> 20 fr=212 (0.3370), cf=0.819, gamma=2.373, delta=0.195, M=-2.572e+002
4 6 12 -> ~19 fr=212 (0.3370), cf=0.819, gamma=2.373, delta=0.195, M=-2.572e+002
4 6 -> 20 fr=213 (0.3386), cf=0.810, gamma=2.348, delta=0.194, M=-2.563e+002
4 6 -> ~19 fr=213 (0.3386), cf=0.810, gamma=2.348, delta=0.194, M=-2.563e+002
4 12 14 -> 20 fr=210 (0.3339), cf=0.811, gamma=2.350, delta=0.192, M=-2.462e+002
4 12 14 -> ~19 fr=210 (0.3339), cf=0.811, gamma=2.350, delta=0.192, M=-2.462e+002
4 14 -> 20 fr=211 (0.3355), cf=0.802, gamma=2.326, delta=0.191, M=-2.451e+002
4 14 -> ~19 fr=211 (0.3355), cf=0.802, gamma=2.326, delta=0.191, M=-2.451e+002
4 12 -> 20 fr=212 (0.3370), cf=0.765, gamma=2.218, delta=0.185, M=-2.293e+002
4 12 -> ~19 fr=212 (0.3370), cf=0.765, gamma=2.218, delta=0.185, M=-2.293e+002
3 -> ~20 fr=344 (0.5469), cf=0.989, gamma=1.509, delta=0.185, M=-2.290e+002
3 -> 19 fr=344 (0.5469), cf=0.989, gamma=1.509, delta=0.185, M=-2.290e+002
6 12 14 -> 20 fr=212 (0.3370), cf=0.763, gamma=2.210, delta=0.185, M=-2.279e+002
6 12 14 -> ~19 fr=212 (0.3370), cf=0.763, gamma=2.210, delta=0.185, M=-2.279e+002
6 14 -> 20 fr=213 (0.3386), cf=0.750, gamma=2.174, delta=0.183, M=-2.249e+002
6 14 -> ~19 fr=213 (0.3386), cf=0.750, gamma=2.174, delta=0.183, M=-2.249e+002
6 8 12 -> 20 fr=188 (0.2989), cf=0.858, gamma=2.488, delta=0.179, M=-2.129e+002
6 8 12 -> ~19 fr=188 (0.2989), cf=0.858, gamma=2.488, delta=0.179, M=-2.129e+002
6 8 -> 20 fr=188 (0.2989), cf=0.851, gamma=2.466, delta=0.178, M=-2.092e+002
6 8 -> ~19 fr=188 (0.2989), cf=0.851, gamma=2.466, delta=0.178, M=-2.092e+002
