8 -> 36 fr=34 (0.3778), cf=1.000, gamma=2.647, delta=0.235, M=-5.722e+001
7 -> ~36 fr=56 (0.6222), cf=1.000, gamma=1.607, delta=0.235, M=-5.722e+001
5 21 -> 36 fr=33 (0.3667), cf=1.000, gamma=2.647, delta=0.228, M=-5.318e+001
5 16 20 -> 36 fr=33 (0.3667), cf=1.000, gamma=2.647, delta=0.228, M=-5.318e+001
5 18 20 -> 36 fr=33 (0.3667), cf=1.000, gamma=2.647, delta=0.228, M=-5.318e+001
2 18 -> 36 fr=32 (0.3556), cf=1.000, gamma=2.647, delta=0.221, M=-4.981e+001
5 16 -> 36 fr=33 (0.3667), cf=0.971, gamma=2.569, delta=0.224, M=-4.967e+001
5 20 -> 36 fr=33 (0.3667), cf=0.971, gamma=2.569, delta=0.224, M=-4.967e+001
5 18 -> 36 fr=33 (0.3667), cf=0.971, gamma=2.569, delta=0.224, M=-4.967e+001
2 5 -> 36 fr=31 (0.3444), cf=1.000, gamma=2.647, delta=0.214, M=-4.683e+001
2 16 -> 36 fr=31 (0.3444), cf=1.000, gamma=2.647, delta=0.214, M=-4.683e+001
6 -> ~36 fr=54 (0.6000), cf=0.982, gamma=1.578, delta=0.220, M=-4.682e+001
2 9 -> 36 fr=30 (0.3333), cf=1.000, gamma=2.647, delta=0.207, M=-4.412e+001
2 21 -> 36 fr=32 (0.3556), cf=0.941, gamma=2.491, delta=0.213, M=-4.355e+001
4 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
3 -> ~37 fr=72 (0.8000), cf=1.000, gamma=1.250, delta=0.160, M=-4.278e+001
15 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
1 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
6 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
7 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
