23 -> 90 fr=3416 (0.4672), cf=1.000, gamma=2.075, delta=0.242, M=-4.568e+003
22 -> ~90 fr=3787 (0.5180), cf=0.972, gamma=1.877, delta=0.242, M=-4.568e+003
21 26 63 -> 90 fr=2859 (0.3911), cf=0.951, gamma=1.974, delta=0.193, M=-2.629e+003
21 26 63 -> ~89 fr=2859 (0.3911), cf=0.951, gamma=1.974, delta=0.193, M=-2.629e+003
21 25 26 66 -> 90 fr=2825 (0.3864), cf=0.956, gamma=1.983, delta=0.192, M=-2.611e+003
21 25 26 66 -> ~89 fr=2825 (0.3864), cf=0.956, gamma=1.983, delta=0.192, M=-2.611e+003
21 25 26 -> 90 fr=2843 (0.3889), cf=0.951, gamma=1.973, delta=0.192, M=-2.600e+003
21 25 26 -> ~89 fr=2843 (0.3889), cf=0.951, gamma=1.973, delta=0.192, M=-2.600e+003
28 47 -> ~90 fr=3046 (0.4166), cf=0.940, gamma=1.814, delta=0.187, M=-2.397e+003
28 47 -> 89 fr=3046 (0.4166), cf=0.940, gamma=1.814, delta=0.187, M=-2.397e+003
21 26 -> 90 fr=2859 (0.3911), cf=0.900, gamma=1.867, delta=0.182, M=-2.209e+003
21 26 -> ~89 fr=2859 (0.3911), cf=0.900, gamma=1.867, delta=0.182, M=-2.209e+003
28 51 -> ~90 fr=2863 (0.3916), cf=0.936, gamma=1.806, delta=0.175, M=-2.109e+003
28 51 -> 89 fr=2863 (0.3916), cf=0.936, gamma=1.806, delta=0.175, M=-2.109e+003
26 46 -> 90 fr=2003 (0.2740), cf=1.000, gamma=2.075, delta=0.142, M=-1.883e+003
26 46 -> ~89 fr=2003 (0.2740), cf=1.000, gamma=2.075, delta=0.142, M=-1.883e+003
46 66 -> 90 fr=1969 (0.2693), cf=1.000, gamma=2.075, delta=0.140, M=-1.841e+003
46 66 -> ~89 fr=1969 (0.2693), cf=1.000, gamma=2.075, delta=0.140, M=-1.841e+003
26 50 -> 90 fr=1937 (0.2649), cf=1.000, gamma=2.075, delta=0.137, M=-1.801e+003
50 66 -> 90 fr=1937 (0.2649), cf=1.000, gamma=2.075, delta=0.137, M=-1.801e+003
26 50 -> ~89 fr=1937 (0.2649), cf=1.000, gamma=2.075, delta=0.137, M=-1.801e+003
50 66 -> ~89 fr=1937 (0.2649), cf=1.000, gamma=2.075, delta=0.137, M=-1.801e+003
21 25 80 -> 90 fr=2238 (0.3061), cf=0.953, gamma=1.977, delta=0.151, M=-1.782e+003
21 63 80 -> 90 fr=2238 (0.3061), cf=0.953, gamma=1.977, delta=0.151, M=-1.782e+003
21 25 80 -> ~89 fr=2238 (0.3061), cf=0.953, gamma=1.977, delta=0.151, M=-1.782e+003
21 63 80 -> ~89 fr=2238 (0.3061), cf=0.953, gamma=1.977, delta=0.151, M=-1.782e+003
21 80 -> 90 fr=2238 (0.3061), cf=0.919, gamma=1.907, delta=0.146, M=-1.569e+003
21 80 -> ~89 fr=2238 (0.3061), cf=0.919, gamma=1.907, delta=0.146, M=-1.569e+003
28 71 -> ~90 fr=2669 (0.3651), cf=0.890, gamma=1.718, delta=0.153, M=-1.559e+003
28 71 -> 89 fr=2669 (0.3651), cf=0.890, gamma=1.718, delta=0.153, M=-1.559e+003
46 -> 90 fr=2003 (0.2740), cf=0.941, gamma=1.953, delta=0.134, M=-1.453e+003
21 25 66 -> 90 fr=2910 (0.3980), cf=0.771, gamma=1.600, delta=0.149, M=-1.405e+003
21 25 66 -> ~89 fr=2910 (0.3980), cf=0.771, gamma=1.600, delta=0.149, M=-1.405e+003
21 63 66 -> 90 fr=2903 (0.3971), cf=0.771, gamma=1.599, delta=0.149, M=-1.394e+003
21 63 66 -> ~89 fr=2903 (0.3971), cf=0.771, gamma=1.599, delta=0.149, M=-1.394e+003
26 29 76 -> 90 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 29 76 -> ~89 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 66 76 -> 90 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 66 76 -> ~89 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 29 68 -> 90 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 29 68 -> ~89 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 68 80 -> 90 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 66 68 -> 90 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 68 80 -> ~89 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
26 66 68 -> ~89 fr=1582 (0.2164), cf=1.000, gamma=2.075, delta=0.112, M=-1.394e+003
32 -> 90 fr=1575 (0.2154), cf=1.000, gamma=2.075, delta=0.112, M=-1.387e+003
50 -> 90 fr=1937 (0.2649), cf=0.937, gamma=1.944, delta=0.129, M=-1.365e+003
40 76 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
40 76 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
29 40 68 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
29 40 68 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
21 29 40 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
26 29 40 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
21 29 40 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
26 29 40 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
40 68 80 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
26 40 68 -> 90 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
40 68 80 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
26 40 68 -> ~89 fr=1553 (0.2124), cf=1.000, gamma=2.075, delta=0.110, M=-1.363e+003
26 29 -> 90 fr=1905 (0.2606), cf=0.936, gamma=1.941, delta=0.126, M=-1.327e+003
26 29 -> ~89 fr=1905 (0.2606), cf=0.936, gamma=1.941, delta=0.126, M=-1.327e+003
26 76 80 -> 90 fr=1582 (0.2164), cf=0.990, gamma=2.054, delta=0.111, M=-1.313e+003
26 76 80 -> ~89 fr=1582 (0.2164), cf=0.990, gamma=2.054, delta=0.111, M=-1.313e+003
20 88 -> ~90 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
20 88 -> 89 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
40 41 88 -> ~90 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
40 41 88 -> 89 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
40 71 88 -> ~90 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
40 71 88 -> 89 fr=1651 (0.2258), cf=1.000, gamma=1.931, delta=0.109, M=-1.311e+003
41 75 -> 90 fr=1493 (0.2042), cf=1.000, gamma=2.075, delta=0.106, M=-1.299e+003
41 75 -> ~89 fr=1493 (0.2042), cf=1.000, gamma=2.075, delta=0.106, M=-1.299e+003
28 75 -> 90 fr=1493 (0.2042), cf=1.000, gamma=2.075, delta=0.106, M=-1.299e+003
28 75 -> ~89 fr=1493 (0.2042), cf=1.000, gamma=2.075, delta=0.106, M=-1.299e+003
20 28 -> ~90 fr=2390 (0.3269), cf=0.879, gamma=1.696, delta=0.134, M=-1.240e+003
20 28 -> 89 fr=2390 (0.3269), cf=0.879, gamma=1.696, delta=0.134, M=-1.240e+003
29 76 -> 90 fr=1596 (0.2183), cf=0.974, gamma=2.020, delta=0.110, M=-1.231e+003
29 76 -> ~89 fr=1596 (0.2183), cf=0.974, gamma=2.020, delta=0.110, M=-1.231e+003
66 76 -> 90 fr=1596 (0.2183), cf=0.974, gamma=2.020, delta=0.110, M=-1.231e+003
66 76 -> ~89 fr=1596 (0.2183), cf=0.974, gamma=2.020, delta=0.110, M=-1.231e+003
28 40 88 -> ~90 fr=1564 (0.2139), cf=1.000, gamma=1.931, delta=0.103, M=-1.228e+003
28 40 88 -> 89 fr=1564 (0.2139), cf=1.000, gamma=1.931, delta=0.103, M=-1.228e+003
29 68 -> 90 fr=1589 (0.2173), cf=0.974, gamma=2.020, delta=0.110, M=-1.223e+003
29 68 -> ~89 fr=1589 (0.2173), cf=0.974, gamma=2.020, delta=0.110, M=-1.223e+003
21 68 76 -> 90 fr=1589 (0.2173), cf=0.974, gamma=2.020, delta=0.110, M=-1.223e+003
21 68 76 -> ~89 fr=1589 (0.2173), cf=0.974, gamma=2.020, delta=0.110, M=-1.223e+003
68 80 -> 90 fr=1582 (0.2164), cf=0.974, gamma=2.020, delta=0.109, M=-1.216e+003
68 80 -> ~89 fr=1582 (0.2164), cf=0.974, gamma=2.020, delta=0.109, M=-1.216e+003
28 40 -> ~90 fr=2253 (0.3082), cf=0.895, gamma=1.727, delta=0.130, M=-1.214e+003
28 40 -> 89 fr=2253 (0.3082), cf=0.895, gamma=1.727, delta=0.130, M=-1.214e+003
21 66 -> 90 fr=2910 (0.3980), cf=0.738, gamma=1.530, delta=0.138, M=-1.197e+003
21 66 -> ~89 fr=2910 (0.3980), cf=0.738, gamma=1.530, delta=0.138, M=-1.197e+003
76 80 -> 90 fr=1582 (0.2164), cf=0.964, gamma=2.000, delta=0.108, M=-1.167e+003
76 80 -> ~89 fr=1582 (0.2164), cf=0.964, gamma=2.000, delta=0.108, M=-1.167e+003
29 -> 90 fr=1997 (0.2732), cf=0.884, gamma=1.835, delta=0.124, M=-1.162e+003
28 -> ~90 fr=3526 (0.4823), cf=0.698, gamma=1.347, delta=0.124, M=-1.162e+003
47 71 -> ~90 fr=2704 (0.3699), cf=0.818, gamma=1.579, delta=0.136, M=-1.159e+003
47 71 -> 89 fr=2704 (0.3699), cf=0.818, gamma=1.579, delta=0.136, M=-1.159e+003
20 47 -> ~90 fr=2477 (0.3388), cf=0.848, gamma=1.637, delta=0.132, M=-1.144e+003
20 47 -> 89 fr=2477 (0.3388), cf=0.848, gamma=1.637, delta=0.132, M=-1.144e+003
71 -> ~90 fr=2844 (0.3890), cf=0.794, gamma=1.533, delta=0.135, M=-1.136e+003
71 -> 89 fr=2844 (0.3890), cf=0.794, gamma=1.533, delta=0.135, M=-1.136e+003
75 -> 90 fr=1493 (0.2042), cf=0.972, gamma=2.017, delta=0.103, M=-1.124e+003
21 63 -> 90 fr=2937 (0.4017), cf=0.721, gamma=1.495, delta=0.133, M=-1.121e+003
21 63 -> ~89 fr=2937 (0.4017), cf=0.721, gamma=1.495, delta=0.133, M=-1.121e+003
21 25 -> 90 fr=2928 (0.4005), cf=0.720, gamma=1.494, delta=0.132, M=-1.108e+003
21 25 -> ~89 fr=2928 (0.4005), cf=0.720, gamma=1.494, delta=0.132, M=-1.108e+003
40 41 47 51 -> ~90 fr=1651 (0.2258), cf=0.962, gamma=1.856, delta=0.104, M=-1.066e+003
40 41 47 51 -> 89 fr=1651 (0.2258), cf=0.962, gamma=1.856, delta=0.104, M=-1.066e+003
26 39 41 66 -> 90 fr=1243 (0.1700), cf=1.000, gamma=2.075, delta=0.088, M=-1.046e+003
26 39 41 66 -> ~89 fr=1243 (0.1700), cf=1.000, gamma=2.075, delta=0.088, M=-1.046e+003
70 -> 90 fr=1197 (0.1637), cf=1.000, gamma=2.075, delta=0.085, M=-1.001e+003
21 54 -> 90 fr=1172 (0.1603), cf=1.000, gamma=2.075, delta=0.083, M=-9.768e+002
21 54 -> ~89 fr=1172 (0.1603), cf=1.000, gamma=2.075, delta=0.083, M=-9.768e+002
20 51 -> ~90 fr=2308 (0.3157), cf=0.838, gamma=1.617, delta=0.120, M=-9.731e+002
20 51 -> 89 fr=2308 (0.3157), cf=0.838, gamma=1.617, delta=0.120, M=-9.731e+002
21 59 -> 90 fr=1165 (0.1593), cf=1.000, gamma=2.075, delta=0.083, M=-9.701e+002
21 59 -> ~89 fr=1165 (0.1593), cf=1.000, gamma=2.075, delta=0.083, M=-9.701e+002
28 39 41 66 -> 90 fr=1163 (0.1591), cf=1.000, gamma=2.075, delta=0.082, M=-9.682e+002
28 39 41 66 -> ~89 fr=1163 (0.1591), cf=1.000, gamma=2.075, delta=0.082, M=-9.682e+002
39 41 66 -> 90 fr=1328 (0.1816), cf=0.969, gamma=2.010, delta=0.091, M=-9.611e+002
39 41 66 -> ~89 fr=1328 (0.1816), cf=0.969, gamma=2.010, delta=0.091, M=-9.611e+002
9 21 -> 90 fr=1408 (0.1926), cf=0.951, gamma=1.974, delta=0.095, M=-9.582e+002
9 21 -> ~89 fr=1408 (0.1926), cf=0.951, gamma=1.974, delta=0.095, M=-9.582e+002
20 -> 89 fr=2477 (0.3388), cf=0.810, gamma=1.564, delta=0.122, M=-9.546e+002
21 -> ~89 fr=2944 (0.4027), cf=0.692, gamma=1.436, delta=0.122, M=-9.546e+002
26 41 51 88 -> ~90 fr=1564 (0.2139), cf=0.951, gamma=1.837, delta=0.097, M=-9.504e+002
26 41 47 88 -> ~90 fr=1564 (0.2139), cf=0.951, gamma=1.837, delta=0.097, M=-9.504e+002
26 41 51 88 -> 89 fr=1564 (0.2139), cf=0.951, gamma=1.837, delta=0.097, M=-9.504e+002
26 41 47 88 -> 89 fr=1564 (0.2139), cf=0.951, gamma=1.837, delta=0.097, M=-9.504e+002
47 -> ~90 fr=3285 (0.4493), cf=0.704, gamma=1.360, delta=0.119, M=-9.489e+002
26 39 41 -> 90 fr=1308 (0.1789), cf=0.967, gamma=2.006, delta=0.090, M=-9.360e+002
26 39 41 -> ~89 fr=1308 (0.1789), cf=0.967, gamma=2.006, delta=0.090, M=-9.360e+002
26 68 -> 90 fr=1582 (0.2164), cf=0.904, gamma=1.875, delta=0.101, M=-9.149e+002
26 68 -> ~89 fr=1582 (0.2164), cf=0.904, gamma=1.875, delta=0.101, M=-9.149e+002
40 41 51 -> ~90 fr=1651 (0.2258), cf=0.926, gamma=1.788, delta=0.099, M=-9.076e+002
40 41 51 -> 89 fr=1651 (0.2258), cf=0.926, gamma=1.788, delta=0.099, M=-9.076e+002
39 41 -> 90 fr=1393 (0.1905), cf=0.941, gamma=1.951, delta=0.093, M=-9.045e+002
39 41 -> ~89 fr=1393 (0.1905), cf=0.941, gamma=1.951, delta=0.093, M=-9.045e+002
25 26 80 -> 90 fr=2516 (0.3441), cf=0.742, gamma=1.539, delta=0.121, M=-8.946e+002
26 63 80 -> 90 fr=2516 (0.3441), cf=0.742, gamma=1.539, delta=0.121, M=-8.946e+002
25 26 80 -> ~89 fr=2516 (0.3441), cf=0.742, gamma=1.539, delta=0.121, M=-8.946e+002
26 63 80 -> ~89 fr=2516 (0.3441), cf=0.742, gamma=1.539, delta=0.121, M=-8.946e+002
7 40 -> ~90 fr=1184 (0.1619), cf=1.000, gamma=1.931, delta=0.078, M=-8.853e+002
7 40 -> 89 fr=1184 (0.1619), cf=1.000, gamma=1.931, delta=0.078, M=-8.853e+002
40 73 -> ~90 fr=1173 (0.1604), cf=1.000, gamma=1.931, delta=0.077, M=-8.759e+002
40 73 -> 89 fr=1173 (0.1604), cf=1.000, gamma=1.931, delta=0.077, M=-8.759e+002
26 76 -> 90 fr=1616 (0.2210), cf=0.884, gamma=1.833, delta=0.100, M=-8.654e+002
26 76 -> ~89 fr=1616 (0.2210), cf=0.884, gamma=1.833, delta=0.100, M=-8.654e+002
10 26 40 -> 90 fr=1052 (0.1439), cf=1.000, gamma=2.075, delta=0.075, M=-8.635e+002
10 26 40 -> ~89 fr=1052 (0.1439), cf=1.000, gamma=2.075, delta=0.075, M=-8.635e+002
41 51 88 -> ~90 fr=1651 (0.2258), cf=0.913, gamma=1.762, delta=0.098, M=-8.549e+002
41 51 88 -> 89 fr=1651 (0.2258), cf=0.913, gamma=1.762, delta=0.098, M=-8.549e+002
68 76 -> 90 fr=1589 (0.2173), cf=0.883, gamma=1.831, delta=0.099, M=-8.438e+002
68 76 -> ~89 fr=1589 (0.2173), cf=0.883, gamma=1.831, delta=0.099, M=-8.438e+002
40 72 -> ~90 fr=1123 (0.1536), cf=1.000, gamma=1.931, delta=0.074, M=-8.335e+002
40 72 -> 89 fr=1123 (0.1536), cf=1.000, gamma=1.931, delta=0.074, M=-8.335e+002
26 80 -> 90 fr=2516 (0.3441), cf=0.723, gamma=1.500, delta=0.115, M=-8.061e+002
26 80 -> ~89 fr=2516 (0.3441), cf=0.723, gamma=1.500, delta=0.115, M=-8.061e+002
25 80 -> 90 fr=2554 (0.3493), cf=0.717, gamma=1.488, delta=0.115, M=-8.029e+002
63 80 -> 90 fr=2554 (0.3493), cf=0.717, gamma=1.488, delta=0.115, M=-8.029e+002
25 80 -> ~89 fr=2554 (0.3493), cf=0.717, gamma=1.488, delta=0.115, M=-8.029e+002
63 80 -> ~89 fr=2554 (0.3493), cf=0.717, gamma=1.488, delta=0.115, M=-8.029e+002
73 -> 89 fr=1574 (0.2153), cf=0.886, gamma=1.711, delta=0.089, M=-7.123e+002
27 82 -> ~90 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
27 82 -> 89 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
21 60 82 -> ~90 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
21 55 82 -> ~90 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
21 60 82 -> 89 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
21 55 82 -> 89 fr=949 (0.1298), cf=1.000, gamma=1.931, delta=0.063, M=-6.900e+002
26 41 51 66 -> ~90 fr=1564 (0.2139), cf=0.881, gamma=1.700, delta=0.088, M=-6.880e+002
26 41 51 66 -> 89 fr=1564 (0.2139), cf=0.881, gamma=1.700, delta=0.088, M=-6.880e+002
51 -> ~90 fr=3059 (0.4184), cf=0.688, gamma=1.329, delta=0.104, M=-6.857e+002
40 41 -> ~90 fr=1651 (0.2258), cf=0.862, gamma=1.664, delta=0.090, M=-6.744e+002
40 41 -> 89 fr=1651 (0.2258), cf=0.862, gamma=1.664, delta=0.090, M=-6.744e+002
26 63 -> 90 fr=3432 (0.4694), cf=0.575, gamma=1.193, delta=0.076, M=-6.612e+002
26 63 -> ~89 fr=3432 (0.4694), cf=0.575, gamma=1.193, delta=0.076, M=-6.612e+002
72 -> 89 fr=1481 (0.2026), cf=0.882, gamma=1.702, delta=0.084, M=-6.445e+002
25 26 66 -> 90 fr=3333 (0.4559), cf=0.589, gamma=1.223, delta=0.083, M=-6.444e+002
25 26 66 -> ~89 fr=3333 (0.4559), cf=0.589, gamma=1.223, delta=0.083, M=-6.444e+002
25 26 -> 90 fr=3416 (0.4672), cf=0.574, gamma=1.191, delta=0.075, M=-6.285e+002
25 26 -> ~89 fr=3416 (0.4672), cf=0.574, gamma=1.191, delta=0.075, M=-6.285e+002
17 40 68 -> 90 fr=787 (0.1076), cf=1.000, gamma=2.075, delta=0.056, M=-6.256e+002
17 66 68 -> 90 fr=787 (0.1076), cf=1.000, gamma=2.075, delta=0.056, M=-6.256e+002
17 40 68 -> ~89 fr=787 (0.1076), cf=1.000, gamma=2.075, delta=0.056, M=-6.256e+002
17 66 68 -> ~89 fr=787 (0.1076), cf=1.000, gamma=2.075, delta=0.056, M=-6.256e+002
