23 -> 90 fr=3414 (0.4668), cf=1.000, gamma=2.075, delta=0.242, M=-4.558e+003
22 -> ~90 fr=3788 (0.5180), cf=0.972, gamma=1.876, delta=0.242, M=-4.558e+003
21 26 63 -> 90 fr=2870 (0.3925), cf=0.953, gamma=1.978, delta=0.194, M=-2.665e+003
21 26 63 -> ~89 fr=2870 (0.3925), cf=0.953, gamma=1.978, delta=0.194, M=-2.665e+003
21 25 26 66 -> 90 fr=2836 (0.3878), cf=0.957, gamma=1.986, delta=0.193, M=-2.645e+003
21 25 26 66 -> ~89 fr=2836 (0.3878), cf=0.957, gamma=1.986, delta=0.193, M=-2.645e+003
21 25 26 -> 90 fr=2853 (0.3901), cf=0.953, gamma=1.978, delta=0.193, M=-2.634e+003
21 25 26 -> ~89 fr=2853 (0.3901), cf=0.953, gamma=1.978, delta=0.193, M=-2.634e+003
28 47 -> ~90 fr=3039 (0.4156), cf=0.939, gamma=1.812, delta=0.186, M=-2.375e+003
28 47 -> 89 fr=3039 (0.4156), cf=0.939, gamma=1.812, delta=0.186, M=-2.375e+003
21 26 -> 90 fr=2870 (0.3925), cf=0.899, gamma=1.865, delta=0.182, M=-2.219e+003
21 26 -> ~89 fr=2870 (0.3925), cf=0.899, gamma=1.865, delta=0.182, M=-2.219e+003
28 51 -> ~90 fr=2868 (0.3922), cf=0.934, gamma=1.804, delta=0.175, M=-2.104e+003
28 51 -> 89 fr=2868 (0.3922), cf=0.934, gamma=1.804, delta=0.175, M=-2.104e+003
26 46 -> 90 fr=2004 (0.2740), cf=1.000, gamma=2.075, delta=0.142, M=-1.884e+003
26 46 -> ~89 fr=2004 (0.2740), cf=1.000, gamma=2.075, delta=0.142, M=-1.884e+003
46 66 -> 90 fr=1970 (0.2694), cf=1.000, gamma=2.075, delta=0.140, M=-1.842e+003
46 66 -> ~89 fr=1970 (0.2694), cf=1.000, gamma=2.075, delta=0.140, M=-1.842e+003
21 25 80 -> 90 fr=2260 (0.3090), cf=0.954, gamma=1.980, delta=0.153, M=-1.816e+003
21 63 80 -> 90 fr=2260 (0.3090), cf=0.954, gamma=1.980, delta=0.153, M=-1.816e+003
21 25 80 -> ~89 fr=2260 (0.3090), cf=0.954, gamma=1.980, delta=0.153, M=-1.816e+003
21 63 80 -> ~89 fr=2260 (0.3090), cf=0.954, gamma=1.980, delta=0.153, M=-1.816e+003
26 50 -> 90 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
50 66 -> 90 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
26 50 -> ~89 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
50 66 -> ~89 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
21 80 -> 90 fr=2260 (0.3090), cf=0.919, gamma=1.907, delta=0.147, M=-1.594e+003
21 80 -> ~89 fr=2260 (0.3090), cf=0.919, gamma=1.907, delta=0.147, M=-1.594e+003
28 71 -> ~90 fr=2660 (0.3637), cf=0.891, gamma=1.721, delta=0.152, M=-1.559e+003
28 71 -> 89 fr=2660 (0.3637), cf=0.891, gamma=1.721, delta=0.152, M=-1.559e+003
46 -> 90 fr=2004 (0.2740), cf=0.939, gamma=1.947, delta=0.133, M=-1.440e+003
21 25 66 -> 90 fr=2930 (0.4007), cf=0.773, gamma=1.603, delta=0.151, M=-1.437e+003
21 25 66 -> ~89 fr=2930 (0.4007), cf=0.773, gamma=1.603, delta=0.151, M=-1.437e+003
21 63 66 -> 90 fr=2922 (0.3996), cf=0.772, gamma=1.602, delta=0.150, M=-1.425e+003
21 63 66 -> ~89 fr=2922 (0.3996), cf=0.772, gamma=1.602, delta=0.150, M=-1.425e+003
26 29 76 -> 90 fr=1585 (0.2167), cf=1.000, gamma=2.075, delta=0.112, M=-1.397e+003
26 29 76 -> ~89 fr=1585 (0.2167), cf=1.000, gamma=2.075, delta=0.112, M=-1.397e+003
26 66 76 -> 90 fr=1585 (0.2167), cf=1.000, gamma=2.075, delta=0.112, M=-1.397e+003
26 66 76 -> ~89 fr=1585 (0.2167), cf=1.000, gamma=2.075, delta=0.112, M=-1.397e+003
26 29 68 -> 90 fr=1585 (0.2167), cf=1.000, gamma=2.075, delta=0.112, M=-1.397e+003
