23 -> 90 fr=3418 (0.4675), cf=1.000, gamma=2.074, delta=0.242, M=-4.572e+003
22 -> ~90 fr=3787 (0.5179), cf=0.973, gamma=1.878, delta=0.242, M=-4.572e+003
21 26 63 -> 90 fr=2875 (0.3932), cf=0.953, gamma=1.976, delta=0.194, M=-2.665e+003
21 26 63 -> ~89 fr=2875 (0.3932), cf=0.953, gamma=1.976, delta=0.194, M=-2.665e+003
21 25 26 66 -> 90 fr=2845 (0.3891), cf=0.957, gamma=1.984, delta=0.193, M=-2.652e+003
21 25 26 66 -> ~89 fr=2845 (0.3891), cf=0.957, gamma=1.984, delta=0.193, M=-2.652e+003
21 25 26 -> 90 fr=2861 (0.3913), cf=0.952, gamma=1.976, delta=0.193, M=-2.640e+003
21 25 26 -> ~89 fr=2861 (0.3913), cf=0.952, gamma=1.976, delta=0.193, M=-2.640e+003
28 47 -> ~90 fr=3040 (0.4158), cf=0.940, gamma=1.815, delta=0.187, M=-2.391e+003
28 47 -> 89 fr=3040 (0.4158), cf=0.940, gamma=1.815, delta=0.187, M=-2.391e+003
21 26 -> 90 fr=2875 (0.3932), cf=0.902, gamma=1.871, delta=0.183, M=-2.249e+003
21 26 -> ~89 fr=2875 (0.3932), cf=0.902, gamma=1.871, delta=0.183, M=-2.249e+003
28 51 -> ~90 fr=2853 (0.3902), cf=0.938, gamma=1.812, delta=0.175, M=-2.121e+003
28 51 -> 89 fr=2853 (0.3902), cf=0.938, gamma=1.812, delta=0.175, M=-2.121e+003
26 46 -> 90 fr=2015 (0.2756), cf=1.000, gamma=2.074, delta=0.143, M=-1.897e+003
26 46 -> ~89 fr=2015 (0.2756), cf=1.000, gamma=2.074, delta=0.143, M=-1.897e+003
46 66 -> 90 fr=1985 (0.2715), cf=1.000, gamma=2.074, delta=0.141, M=-1.860e+003
46 66 -> ~89 fr=1985 (0.2715), cf=1.000, gamma=2.074, delta=0.141, M=-1.860e+003
26 50 -> 90 fr=1954 (0.2672), cf=1.000, gamma=2.074, delta=0.138, M=-1.822e+003
50 66 -> 90 fr=1954 (0.2672), cf=1.000, gamma=2.074, delta=0.138, M=-1.822e+003
26 50 -> ~89 fr=1954 (0.2672), cf=1.000, gamma=2.074, delta=0.138, M=-1.822e+003
50 66 -> ~89 fr=1954 (0.2672), cf=1.000, gamma=2.074, delta=0.138, M=-1.822e+003
21 25 80 -> 90 fr=2261 (0.3092), cf=0.954, gamma=1.979, delta=0.153, M=-1.814e+003
21 63 80 -> 90 fr=2261 (0.3092), cf=0.954, gamma=1.979, delta=0.153, M=-1.814e+003
21 25 80 -> ~89 fr=2261 (0.3092), cf=0.954, gamma=1.979, delta=0.153, M=-1.814e+003
21 63 80 -> ~89 fr=2261 (0.3092), cf=0.954, gamma=1.979, delta=0.153, M=-1.814e+003
21 80 -> 90 fr=2261 (0.3092), cf=0.920, gamma=1.908, delta=0.147, M=-1.597e+003
21 80 -> ~89 fr=2261 (0.3092), cf=0.920, gamma=1.908, delta=0.147, M=-1.597e+003
28 71 -> ~90 fr=2664 (0.3643), cf=0.894, gamma=1.725, delta=0.153, M=-1.578e+003
28 71 -> 89 fr=2664 (0.3643), cf=0.894, gamma=1.725, delta=0.153, M=-1.578e+003
21 25 66 -> 90 fr=2946 (0.4029), cf=0.774, gamma=1.606, delta=0.152, M=-1.464e+003
21 25 66 -> ~89 fr=2946 (0.4029), cf=0.774, gamma=1.606, delta=0.152, M=-1.464e+003
46 -> 90 fr=2015 (0.2756), cf=0.939, gamma=1.948, delta=0.134, M=-1.452e+003
21 63 66 -> 90 fr=2938 (0.4018), cf=0.774, gamma=1.605, delta=0.151, M=-1.451e+003
21 63 66 -> ~89 fr=2938 (0.4018), cf=0.774, gamma=1.605, delta=0.151, M=-1.451e+003
26 29 76 -> 90 fr=1577 (0.2157), cf=1.000, gamma=2.074, delta=0.112, M=-1.388e+003
