23 -> 90 fr=3417 (0.4673), cf=1.000, gamma=2.074, delta=0.242, M=-4.568e+003
22 -> ~90 fr=3787 (0.5179), cf=0.972, gamma=1.877, delta=0.242, M=-4.568e+003
21 26 63 -> 90 fr=2866 (0.3920), cf=0.950, gamma=1.971, delta=0.193, M=-2.629e+003
21 26 63 -> ~89 fr=2866 (0.3920), cf=0.950, gamma=1.971, delta=0.193, M=-2.629e+003
21 25 26 66 -> 90 fr=2836 (0.3879), cf=0.955, gamma=1.981, delta=0.192, M=-2.621e+003
21 25 26 66 -> ~89 fr=2836 (0.3879), cf=0.955, gamma=1.981, delta=0.192, M=-2.621e+003
21 25 26 -> 90 fr=2851 (0.3899), cf=0.950, gamma=1.971, delta=0.192, M=-2.602e+003
21 25 26 -> ~89 fr=2851 (0.3899), cf=0.950, gamma=1.971, delta=0.192, M=-2.602e+003
28 47 -> ~90 fr=3029 (0.4143), cf=0.940, gamma=1.815, delta=0.186, M=-2.375e+003
28 47 -> 89 fr=3029 (0.4143), cf=0.940, gamma=1.815, delta=0.186, M=-2.375e+003
21 26 -> 90 fr=2866 (0.3920), cf=0.899, gamma=1.865, delta=0.182, M=-2.214e+003
21 26 -> ~89 fr=2866 (0.3920), cf=0.899, gamma=1.865, delta=0.182, M=-2.214e+003
28 51 -> ~90 fr=2861 (0.3913), cf=0.937, gamma=1.809, delta=0.175, M=-2.117e+003
28 51 -> 89 fr=2861 (0.3913), cf=0.937, gamma=1.809, delta=0.175, M=-2.117e+003
26 46 -> 90 fr=2003 (0.2739), cf=1.000, gamma=2.074, delta=0.142, M=-1.882e+003
26 46 -> ~89 fr=2003 (0.2739), cf=1.000, gamma=2.074, delta=0.142, M=-1.882e+003
46 66 -> 90 fr=1973 (0.2698), cf=1.000, gamma=2.074, delta=0.140, M=-1.845e+003
46 66 -> ~89 fr=1973 (0.2698), cf=1.000, gamma=2.074, delta=0.140, M=-1.845e+003
