,BEST,POS_SUM,POS_AVE,BOTH_SUM,BOTH_AVE
adult, 0.8009,0.8009,0.8009,0.8009,0.8009
anneal, 0.7678,0.7633,0.7633,0.7678,0.7678
breast, 0.9186,0.9186,0.9186,0.9186,0.9186
cylBands, 0.4389,0.4389,0.4389,0.4389,0.4389
flare, 0.8295,0.8295,0.8295,0.8295,0.8295
glass, 0.6136,0.6091,0.6091,0.6136,0.6136
heart, 0.5387,0.5387,0.5387,0.5387,0.5387
hepatitis, 0.8875,0.8875,0.8875,0.8875,0.8875
horseColic, 0.7324,0.7324,0.7324,0.7324,0.7324
ionosphere, 0.8917,0.8917,0.8917,0.8917,0.8917
iris, 0.9600,0.9600,0.9600,0.9600,0.9600
led7, 0.0991,0.0991,0.0991,0.0991,0.0991
letRecog, 0.0390,0.0390,0.0390,0.0390,0.0390
mushroom, 0.9856,0.9658,0.9658,0.9856,0.9856
pageBlocks, 0.8974,0.8974,0.8974,0.8974,0.8974
penDigits, 0.1896,0.1896,0.1896,0.1896,0.1896
pima, 0.6571,0.6571,0.6571,0.6571,0.6571
soybean-large, 0.4507,0.4507,0.4507,0.4507,0.4507
wine, 0.8611,0.8556,0.8556,0.8611,0.8611
zoo, 0.7818,0.7273,0.7273,0.7818,0.7818
