25 27 47 -> ~55 fr=75 (0.5357), cf=0.974, gamma=1.229, delta=0.100, M=-2.018e+001
25 27 47 -> 56 fr=75 (0.5357), cf=0.974, gamma=1.229, delta=0.100, M=-2.018e+001
27 29 30 -> ~55 fr=90 (0.6429), cf=0.938, gamma=1.182, delta=0.099, M=-1.989e+001
27 29 30 -> 56 fr=90 (0.6429), cf=0.938, gamma=1.182, delta=0.099, M=-1.989e+001
27 30 47 -> ~55 fr=89 (0.6357), cf=0.937, gamma=1.182, delta=0.098, M=-1.924e+001
27 30 47 -> 56 fr=89 (0.6357), cf=0.937, gamma=1.182, delta=0.098, M=-1.924e+001
15 17 27 29 -> ~55 fr=73 (0.5214), cf=0.973, gamma=1.228, delta=0.097, M=-1.915e+001
15 17 27 29 -> 56 fr=73 (0.5214), cf=0.973, gamma=1.228, delta=0.097, M=-1.915e+001
25 27 29 -> ~55 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
25 27 29 -> 56 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
27 30 -> ~55 fr=94 (0.6714), cf=0.922, gamma=1.162, delta=0.094, M=-1.867e+001
27 30 -> 56 fr=94 (0.6714), cf=0.922, gamma=1.162, delta=0.094, M=-1.867e+001
27 29 47 -> ~55 fr=88 (0.6286), cf=0.936, gamma=1.181, delta=0.096, M=-1.861e+001
27 29 47 -> 56 fr=88 (0.6286), cf=0.936, gamma=1.181, delta=0.096, M=-1.861e+001
29 30 47 -> ~55 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
29 30 47 -> 56 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
15 25 27 -> ~55 fr=66 (0.4714), cf=0.985, gamma=1.242, delta=0.092, M=-1.845e+001
15 25 29 -> ~55 fr=66 (0.4714), cf=0.985, gamma=1.242, delta=0.092, M=-1.845e+001
15 25 27 -> 56 fr=66 (0.4714), cf=0.985, gamma=1.242, delta=0.092, M=-1.845e+001
15 25 29 -> 56 fr=66 (0.4714), cf=0.985, gamma=1.242, delta=0.092, M=-1.845e+001
23 25 27 -> ~55 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
25 30 47 -> ~55 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
23 25 27 -> 56 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
25 30 47 -> 56 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
25 27 34 -> ~55 fr=56 (0.4000), cf=1.000, gamma=1.261, delta=0.083, M=-1.719e+001
25 27 34 -> 56 fr=56 (0.4000), cf=1.000, gamma=1.261, delta=0.083, M=-1.719e+001
25 29 30 -> ~55 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
25 29 30 -> 56 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
15 27 29 -> ~55 fr=73 (0.5214), cf=0.961, gamma=1.211, delta=0.091, M=-1.677e+001
15 27 29 -> 56 fr=73 (0.5214), cf=0.961, gamma=1.211, delta=0.091, M=-1.677e+001
25 27 -> ~55 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
25 27 -> 56 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
25 47 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
25 47 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 25 29 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 25 29 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
30 47 -> ~55 fr=96 (0.6857), cf=0.906, gamma=1.142, delta=0.085, M=-1.642e+001
30 47 -> 56 fr=96 (0.6857), cf=0.906, gamma=1.142, delta=0.085, M=-1.642e+001
23 29 47 -> ~55 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
23 29 47 -> 56 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
15 23 25 -> ~55 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 25 30 -> ~55 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 23 25 -> 56 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 25 30 -> 56 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
27 47 -> ~55 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
29 47 -> ~55 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
27 47 -> 56 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
29 47 -> 56 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
15 17 27 -> ~55 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
15 17 27 -> 56 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
19 23 27 29 -> ~55 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
19 23 27 29 -> 56 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
15 25 -> ~55 fr=66 (0.4714), cf=0.971, gamma=1.224, delta=0.086, M=-1.586e+001
15 25 -> 56 fr=66 (0.4714), cf=0.971, gamma=1.224, delta=0.086, M=-1.586e+001
15 23 29 -> ~55 fr=66 (0.4714), cf=0.971, gamma=1.224, delta=0.086, M=-1.586e+001
15 23 29 -> 56 fr=66 (0.4714), cf=0.971, gamma=1.224, delta=0.086, M=-1.586e+001
25 29 -> ~55 fr=83 (0.5929), cf=0.933, gamma=1.176, delta=0.089, M=-1.575e+001
25 29 -> 56 fr=83 (0.5929), cf=0.933, gamma=1.176, delta=0.089, M=-1.575e+001
29 30 -> ~55 fr=95 (0.6786), cf=0.905, gamma=1.141, delta=0.084, M=-1.573e+001
29 30 -> 56 fr=95 (0.6786), cf=0.905, gamma=1.141, delta=0.084, M=-1.573e+001
6 14 54 -> 55 fr=17 (0.1214), cf=0.586, gamma=2.830, delta=0.079, M=-1.517e+001
6 14 54 -> ~56 fr=17 (0.1214), cf=0.586, gamma=2.830, delta=0.079, M=-1.517e+001
19 23 27 -> ~55 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
19 23 27 -> 56 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
47 53 -> ~55 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
47 53 -> 56 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
6 12 54 -> 55 fr=21 (0.1500), cf=0.477, gamma=2.304, delta=0.085, M=-1.489e+001
6 12 54 -> ~56 fr=21 (0.1500), cf=0.477, gamma=2.304, delta=0.085, M=-1.489e+001
27 29 -> ~55 fr=96 (0.6857), cf=0.897, gamma=1.132, delta=0.080, M=-1.471e+001
27 29 -> 56 fr=96 (0.6857), cf=0.897, gamma=1.132, delta=0.080, M=-1.471e+001
15 17 29 -> ~55 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
15 17 29 -> 56 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
23 25 -> ~55 fr=77 (0.5500), cf=0.939, gamma=1.184, delta=0.086, M=-1.463e+001
23 25 -> 56 fr=77 (0.5500), cf=0.939, gamma=1.184, delta=0.086, M=-1.463e+001
14 54 -> 55 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
14 54 -> ~56 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
6 11 12 24 -> 55 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
6 11 12 24 -> ~56 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
23 27 -> ~55 fr=90 (0.6429), cf=0.909, gamma=1.147, delta=0.082, M=-1.433e+001
23 27 -> 56 fr=90 (0.6429), cf=0.909, gamma=1.147, delta=0.082, M=-1.433e+001
15 27 -> ~55 fr=76 (0.5429), cf=0.938, gamma=1.183, delta=0.084, M=-1.417e+001
