25 27 47 -> ~55 fr=72 (0.5217), cf=0.986, gamma=1.237, delta=0.100, M=-2.101e+001
25 27 47 -> 56 fr=72 (0.5217), cf=0.986, gamma=1.237, delta=0.100, M=-2.101e+001
25 27 29 30 -> ~55 fr=76 (0.5507), cf=0.974, gamma=1.222, delta=0.100, M=-2.031e+001
25 27 29 30 -> 56 fr=76 (0.5507), cf=0.974, gamma=1.222, delta=0.100, M=-2.031e+001
15 25 27 -> ~55 fr=63 (0.4565), cf=1.000, gamma=1.255, delta=0.093, M=-1.993e+001
15 25 29 -> ~55 fr=63 (0.4565), cf=1.000, gamma=1.255, delta=0.093, M=-1.993e+001
15 25 27 -> 56 fr=63 (0.4565), cf=1.000, gamma=1.255, delta=0.093, M=-1.993e+001
15 25 29 -> 56 fr=63 (0.4565), cf=1.000, gamma=1.255, delta=0.093, M=-1.993e+001
25 27 29 -> ~55 fr=79 (0.5725), cf=0.963, gamma=1.209, delta=0.099, M=-1.944e+001
25 27 29 -> 56 fr=79 (0.5725), cf=0.963, gamma=1.209, delta=0.099, M=-1.944e+001
25 29 30 -> ~55 fr=78 (0.5652), cf=0.963, gamma=1.208, delta=0.097, M=-1.890e+001
25 29 30 -> 56 fr=78 (0.5652), cf=0.963, gamma=1.208, delta=0.097, M=-1.890e+001
6 12 54 -> 55 fr=22 (0.1594), cf=0.512, gamma=2.522, delta=0.096, M=-1.881e+001
6 12 54 -> ~56 fr=22 (0.1594), cf=0.512, gamma=2.522, delta=0.096, M=-1.881e+001
15 25 30 -> ~55 fr=60 (0.4348), cf=1.000, gamma=1.255, delta=0.088, M=-1.858e+001
15 25 30 -> 56 fr=60 (0.4348), cf=1.000, gamma=1.255, delta=0.088, M=-1.858e+001
1 27 29 30 -> ~55 fr=81 (0.5870), cf=0.953, gamma=1.196, delta=0.096, M=-1.826e+001
1 27 29 30 -> 56 fr=81 (0.5870), cf=0.953, gamma=1.196, delta=0.096, M=-1.826e+001
23 25 27 -> ~55 fr=72 (0.5217), cf=0.973, gamma=1.221, delta=0.094, M=-1.825e+001
25 30 47 -> ~55 fr=72 (0.5217), cf=0.973, gamma=1.221, delta=0.094, M=-1.825e+001
23 25 27 -> 56 fr=72 (0.5217), cf=0.973, gamma=1.221, delta=0.094, M=-1.825e+001
25 30 47 -> 56 fr=72 (0.5217), cf=0.973, gamma=1.221, delta=0.094, M=-1.825e+001
15 25 47 -> ~55 fr=59 (0.4275), cf=1.000, gamma=1.255, delta=0.087, M=-1.814e+001
15 25 47 -> 56 fr=59 (0.4275), cf=1.000, gamma=1.255, delta=0.087, M=-1.814e+001
25 27 30 -> ~55 fr=76 (0.5507), cf=0.962, gamma=1.207, delta=0.094, M=-1.785e+001
25 27 30 -> 56 fr=76 (0.5507), cf=0.962, gamma=1.207, delta=0.094, M=-1.785e+001
12 54 -> 55 fr=22 (0.1594), cf=0.489, gamma=2.410, delta=0.093, M=-1.756e+001
12 54 -> ~56 fr=22 (0.1594), cf=0.489, gamma=2.410, delta=0.093, M=-1.756e+001
14 54 -> 55 fr=18 (0.1304), cf=0.600, gamma=2.957, delta=0.086, M=-1.750e+001
14 54 -> ~56 fr=18 (0.1304), cf=0.600, gamma=2.957, delta=0.086, M=-1.750e+001
