1 27 29 30 -> ~55 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
1 27 29 30 -> 56 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
6 11 14 54 -> 55 fr=18 (0.1286), cf=0.621, gamma=2.996, delta=0.086, M=-1.772e+001
6 11 14 54 -> ~56 fr=18 (0.1286), cf=0.621, gamma=2.996, delta=0.086, M=-1.772e+001
27 29 30 -> ~55 fr=89 (0.6357), cf=0.927, gamma=1.169, delta=0.092, M=-1.728e+001
27 29 30 -> 56 fr=89 (0.6357), cf=0.927, gamma=1.169, delta=0.092, M=-1.728e+001
25 27 34 -> ~55 fr=56 (0.4000), cf=1.000, gamma=1.261, delta=0.083, M=-1.719e+001
25 27 34 -> 56 fr=56 (0.4000), cf=1.000, gamma=1.261, delta=0.083, M=-1.719e+001
11 14 54 -> 55 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
6 14 54 -> 55 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
11 14 54 -> ~56 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
6 14 54 -> ~56 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
21 23 25 27 -> ~55 fr=55 (0.3929), cf=1.000, gamma=1.261, delta=0.081, M=-1.677e+001
21 23 25 27 -> 56 fr=55 (0.3929), cf=1.000, gamma=1.261, delta=0.081, M=-1.677e+001
25 27 47 -> ~55 fr=68 (0.4857), cf=0.971, gamma=1.225, delta=0.089, M=-1.675e+001
25 27 47 -> 56 fr=68 (0.4857), cf=0.971, gamma=1.225, delta=0.089, M=-1.675e+001
25 27 29 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
25 27 29 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 29 30 47 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
1 27 29 47 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 29 30 47 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
1 27 29 47 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
1 27 30 -> ~55 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
1 27 30 -> 56 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
15 25 27 -> ~55 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 25 29 -> ~55 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 25 27 -> 56 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
15 25 29 -> 56 fr=61 (0.4357), cf=0.984, gamma=1.241, delta=0.085, M=-1.622e+001
27 30 -> ~55 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
27 30 -> 56 fr=93 (0.6643), cf=0.912, gamma=1.150, delta=0.087, M=-1.615e+001
14 54 -> 55 fr=18 (0.1286), cf=0.581, gamma=2.803, delta=0.083, M=-1.613e+001
14 54 -> ~56 fr=18 (0.1286), cf=0.581, gamma=2.803, delta=0.083, M=-1.613e+001
23 27 29 47 -> ~55 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
23 27 29 47 -> 56 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
19 23 27 29 -> ~55 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
19 23 27 29 -> 56 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
23 25 27 -> ~55 fr=70 (0.5000), cf=0.959, gamma=1.209, delta=0.087, M=-1.539e+001
6 11 12 -> 55 fr=26 (0.1857), cf=0.388, gamma=1.873, delta=0.087, M=-1.539e+001
23 25 27 -> 56 fr=70 (0.5000), cf=0.959, gamma=1.209, delta=0.087, M=-1.539e+001
6 11 12 -> ~56 fr=26 (0.1857), cf=0.388, gamma=1.873, delta=0.087, M=-1.539e+001
23 29 30 -> ~55 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
27 29 39 -> ~55 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
1 27 47 -> ~55 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
23 29 30 -> 56 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
27 29 39 -> 56 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
1 27 47 -> 56 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
25 29 30 -> ~55 fr=74 (0.5286), cf=0.949, gamma=1.197, delta=0.087, M=-1.515e+001
25 29 30 -> 56 fr=74 (0.5286), cf=0.949, gamma=1.197, delta=0.087, M=-1.515e+001
1 23 27 29 -> ~55 fr=74 (0.5286), cf=0.949, gamma=1.197, delta=0.087, M=-1.515e+001
1 23 27 29 -> 56 fr=74 (0.5286), cf=0.949, gamma=1.197, delta=0.087, M=-1.515e+001
23 27 47 -> ~55 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
23 27 47 -> 56 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
29 30 -> ~55 fr=94 (0.6714), cf=0.904, gamma=1.140, delta=0.082, M=-1.507e+001
29 30 -> 56 fr=94 (0.6714), cf=0.904, gamma=1.140, delta=0.082, M=-1.507e+001
27 29 47 -> ~55 fr=85 (0.6071), cf=0.924, gamma=1.165, delta=0.086, M=-1.500e+001
1 27 29 -> ~55 fr=85 (0.6071), cf=0.924, gamma=1.165, delta=0.086, M=-1.500e+001
27 29 47 -> 56 fr=85 (0.6071), cf=0.924, gamma=1.165, delta=0.086, M=-1.500e+001
