25 27 47 -> ~55 fr=69 (0.4964), cf=0.972, gamma=1.228, delta=0.092, M=-1.747e+001
25 27 47 -> 56 fr=69 (0.4964), cf=0.972, gamma=1.228, delta=0.092, M=-1.747e+001
6 11 12 24 -> 55 fr=20 (0.1439), cf=0.556, gamma=2.663, delta=0.090, M=-1.736e+001
6 11 12 24 -> ~56 fr=20 (0.1439), cf=0.556, gamma=2.663, delta=0.090, M=-1.736e+001
6 12 24 -> 55 fr=21 (0.1511), cf=0.525, gamma=2.516, delta=0.091, M=-1.716e+001
6 12 24 -> ~56 fr=21 (0.1511), cf=0.525, gamma=2.516, delta=0.091, M=-1.716e+001
25 27 29 30 -> ~55 fr=73 (0.5252), cf=0.961, gamma=1.214, delta=0.092, M=-1.707e+001
25 27 29 30 -> 56 fr=73 (0.5252), cf=0.961, gamma=1.214, delta=0.092, M=-1.707e+001
1 27 29 30 -> ~55 fr=81 (0.5827), cf=0.942, gamma=1.190, delta=0.093, M=-1.697e+001
1 27 29 30 -> 56 fr=81 (0.5827), cf=0.942, gamma=1.190, delta=0.093, M=-1.697e+001
25 27 34 -> ~55 fr=55 (0.3957), cf=1.000, gamma=1.264, delta=0.083, M=-1.696e+001
25 27 34 -> 56 fr=55 (0.3957), cf=1.000, gamma=1.264, delta=0.083, M=-1.696e+001
25 27 29 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.201, delta=0.093, M=-1.691e+001
25 27 29 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.201, delta=0.093, M=-1.691e+001
15 25 27 -> ~55 fr=62 (0.4460), cf=0.984, gamma=1.244, delta=0.087, M=-1.687e+001
15 25 29 -> ~55 fr=62 (0.4460), cf=0.984, gamma=1.244, delta=0.087, M=-1.687e+001
15 25 27 -> 56 fr=62 (0.4460), cf=0.984, gamma=1.244, delta=0.087, M=-1.687e+001
15 25 29 -> 56 fr=62 (0.4460), cf=0.984, gamma=1.244, delta=0.087, M=-1.687e+001
6 24 -> 55 fr=22 (0.1583), cf=0.489, gamma=2.343, delta=0.091, M=-1.652e+001
6 24 -> ~56 fr=22 (0.1583), cf=0.489, gamma=2.343, delta=0.091, M=-1.652e+001
25 47 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.212, delta=0.089, M=-1.611e+001
25 47 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.212, delta=0.089, M=-1.611e+001
15 17 27 29 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.212, delta=0.089, M=-1.611e+001
15 17 27 29 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.212, delta=0.089, M=-1.611e+001
25 29 -> ~55 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
25 29 -> 56 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
23 29 30 47 -> ~55 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
23 27 29 30 -> ~55 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
23 29 30 47 -> 56 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
23 27 29 30 -> 56 fr=79 (0.5683), cf=0.940, gamma=1.188, delta=0.090, M=-1.592e+001
27 29 30 -> ~55 fr=89 (0.6403), cf=0.918, gamma=1.159, delta=0.088, M=-1.590e+001
27 29 30 -> 56 fr=89 (0.6403), cf=0.918, gamma=1.159, delta=0.088, M=-1.590e+001
23 25 27 -> ~55 fr=70 (0.5036), cf=0.959, gamma=1.212, delta=0.088, M=-1.565e+001
23 25 27 -> 56 fr=70 (0.5036), cf=0.959, gamma=1.212, delta=0.088, M=-1.565e+001
1 27 29 47 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.188, delta=0.089, M=-1.542e+001
1 27 29 47 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.188, delta=0.089, M=-1.542e+001
15 27 29 39 -> ~55 fr=64 (0.4604), cf=0.970, gamma=1.225, delta=0.085, M=-1.522e+001
15 27 29 39 -> 56 fr=64 (0.4604), cf=0.970, gamma=1.225, delta=0.085, M=-1.522e+001
14 19 54 -> 55 fr=14 (0.1007), cf=0.700, gamma=3.355, delta=0.071, M=-1.521e+001
14 19 54 -> ~56 fr=14 (0.1007), cf=0.700, gamma=3.355, delta=0.071, M=-1.521e+001
15 25 30 -> ~55 fr=58 (0.4173), cf=0.983, gamma=1.242, delta=0.081, M=-1.517e+001
15 25 30 -> 56 fr=58 (0.4173), cf=0.983, gamma=1.242, delta=0.081, M=-1.517e+001
23 27 30 -> ~55 fr=81 (0.5827), cf=0.931, gamma=1.176, delta=0.087, M=-1.507e+001
23 27 30 -> 56 fr=81 (0.5827), cf=0.931, gamma=1.176, delta=0.087, M=-1.507e+001
6 12 19 54 -> 55 fr=17 (0.1223), cf=0.586, gamma=2.810, delta=0.079, M=-1.505e+001
6 12 19 54 -> ~56 fr=17 (0.1223), cf=0.586, gamma=2.810, delta=0.079, M=-1.505e+001
25 27 30 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.198, delta=0.087, M=-1.497e+001
25 27 30 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.198, delta=0.087, M=-1.497e+001
25 27 -> ~55 fr=77 (0.5540), cf=0.939, gamma=1.187, delta=0.087, M=-1.493e+001
25 27 -> 56 fr=77 (0.5540), cf=0.939, gamma=1.187, delta=0.087, M=-1.493e+001
23 27 29 47 -> ~55 fr=77 (0.5540), cf=0.939, gamma=1.187, delta=0.087, M=-1.493e+001
23 27 29 47 -> 56 fr=77 (0.5540), cf=0.939, gamma=1.187, delta=0.087, M=-1.493e+001
27 29 39 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.166, delta=0.086, M=-1.485e+001
1 27 30 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.166, delta=0.086, M=-1.485e+001
27 29 39 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.166, delta=0.086, M=-1.485e+001
1 27 30 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.166, delta=0.086, M=-1.485e+001
15 23 29 -> ~55 fr=63 (0.4532), cf=0.969, gamma=1.225, delta=0.083, M=-1.479e+001
15 23 29 -> 56 fr=63 (0.4532), cf=0.969, gamma=1.225, delta=0.083, M=-1.479e+001
11 12 24 -> 55 fr=20 (0.1439), cf=0.500, gamma=2.397, delta=0.084, M=-1.477e+001
11 12 24 -> ~56 fr=20 (0.1439), cf=0.500, gamma=2.397, delta=0.084, M=-1.477e+001
25 34 -> ~55 fr=57 (0.4101), cf=0.983, gamma=1.242, delta=0.080, M=-1.476e+001
25 34 -> 56 fr=57 (0.4101), cf=0.983, gamma=1.242, delta=0.080, M=-1.476e+001
15 23 25 -> ~55 fr=57 (0.4101), cf=0.983, gamma=1.242, delta=0.080, M=-1.476e+001
15 23 25 -> 56 fr=57 (0.4101), cf=0.983, gamma=1.242, delta=0.080, M=-1.476e+001
12 24 -> 55 fr=21 (0.1511), cf=0.477, gamma=2.288, delta=0.085, M=-1.475e+001
12 24 -> ~56 fr=21 (0.1511), cf=0.477, gamma=2.288, delta=0.085, M=-1.475e+001
23 25 -> ~55 fr=72 (0.5180), cf=0.947, gamma=1.197, delta=0.085, M=-1.452e+001
23 25 -> 56 fr=72 (0.5180), cf=0.947, gamma=1.197, delta=0.085, M=-1.452e+001
15 25 -> ~55 fr=62 (0.4460), cf=0.969, gamma=1.224, delta=0.082, M=-1.438e+001
