1 27 29 30 -> ~55 fr=84 (0.6000), cf=0.944, gamma=1.190, delta=0.096, M=-1.826e+001
1 27 29 30 -> 56 fr=84 (0.6000), cf=0.944, gamma=1.190, delta=0.096, M=-1.826e+001
25 27 47 -> ~55 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 47 -> 56 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 29 30 -> ~55 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
25 27 29 30 -> 56 fr=75 (0.5357), cf=0.962, gamma=1.213, delta=0.094, M=-1.775e+001
25 27 29 -> ~55 fr=79 (0.5643), cf=0.952, gamma=1.200, delta=0.094, M=-1.761e+001
25 27 29 -> 56 fr=79 (0.5643), cf=0.952, gamma=1.200, delta=0.094, M=-1.761e+001
27 29 30 -> ~55 fr=92 (0.6571), cf=0.920, gamma=1.160, delta=0.091, M=-1.730e+001
27 29 30 -> 56 fr=92 (0.6571), cf=0.920, gamma=1.160, delta=0.091, M=-1.730e+001
25 27 34 -> ~55 fr=55 (0.3929), cf=1.000, gamma=1.261, delta=0.081, M=-1.677e+001
25 27 34 -> 56 fr=55 (0.3929), cf=1.000, gamma=1.261, delta=0.081, M=-1.677e+001
15 25 27 -> ~55 fr=62 (0.4429), cf=0.984, gamma=1.241, delta=0.086, M=-1.665e+001
15 25 29 -> ~55 fr=62 (0.4429), cf=0.984, gamma=1.241, delta=0.086, M=-1.665e+001
15 25 27 -> 56 fr=62 (0.4429), cf=0.984, gamma=1.241, delta=0.086, M=-1.665e+001
15 25 29 -> 56 fr=62 (0.4429), cf=0.984, gamma=1.241, delta=0.086, M=-1.665e+001
1 27 29 47 -> ~55 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
1 27 29 47 -> 56 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
25 29 30 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
25 29 30 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
1 27 30 -> ~55 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
1 27 30 -> 56 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
23 25 27 -> ~55 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
25 30 47 -> ~55 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
23 25 27 -> 56 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
25 30 47 -> 56 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
15 17 27 29 -> ~55 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
15 17 27 29 -> 56 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
