25 30 47 -> ~55 fr=72 (0.5143), cf=0.986, gamma=1.244, delta=0.101, M=-2.141e+001
25 27 47 -> ~55 fr=72 (0.5143), cf=0.986, gamma=1.244, delta=0.101, M=-2.141e+001
25 30 47 -> 56 fr=72 (0.5143), cf=0.986, gamma=1.244, delta=0.101, M=-2.141e+001
25 27 47 -> 56 fr=72 (0.5143), cf=0.986, gamma=1.244, delta=0.101, M=-2.141e+001
25 29 30 -> ~55 fr=77 (0.5500), cf=0.975, gamma=1.229, delta=0.103, M=-2.127e+001
25 29 30 -> 56 fr=77 (0.5500), cf=0.975, gamma=1.229, delta=0.103, M=-2.127e+001
23 25 29 -> ~55 fr=76 (0.5429), cf=0.974, gamma=1.229, delta=0.101, M=-2.072e+001
23 25 29 -> 56 fr=76 (0.5429), cf=0.974, gamma=1.229, delta=0.101, M=-2.072e+001
25 27 29 -> ~55 fr=80 (0.5714), cf=0.964, gamma=1.216, delta=0.101, M=-2.042e+001
25 27 29 -> 56 fr=80 (0.5714), cf=0.964, gamma=1.216, delta=0.101, M=-2.042e+001
23 29 30 47 -> ~55 fr=80 (0.5714), cf=0.964, gamma=1.216, delta=0.101, M=-2.042e+001
23 29 30 47 -> 56 fr=80 (0.5714), cf=0.964, gamma=1.216, delta=0.101, M=-2.042e+001
23 25 47 -> ~55 fr=70 (0.5000), cf=0.986, gamma=1.243, delta=0.098, M=-2.038e+001
23 25 47 -> 56 fr=70 (0.5000), cf=0.986, gamma=1.243, delta=0.098, M=-2.038e+001
25 47 -> ~55 fr=74 (0.5286), cf=0.974, gamma=1.228, delta=0.098, M=-1.966e+001
25 47 -> 56 fr=74 (0.5286), cf=0.974, gamma=1.228, delta=0.098, M=-1.966e+001
23 25 27 -> ~55 fr=74 (0.5286), cf=0.974, gamma=1.228, delta=0.098, M=-1.966e+001
23 25 27 -> 56 fr=74 (0.5286), cf=0.974, gamma=1.228, delta=0.098, M=-1.966e+001
25 29 -> ~55 fr=82 (0.5857), cf=0.953, gamma=1.203, delta=0.099, M=-1.925e+001
25 29 -> 56 fr=82 (0.5857), cf=0.953, gamma=1.203, delta=0.099, M=-1.925e+001
23 27 29 30 -> ~55 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
1 27 29 30 -> ~55 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
23 27 29 30 -> 56 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
1 27 29 30 -> 56 fr=81 (0.5786), cf=0.953, gamma=1.202, delta=0.097, M=-1.869e+001
27 29 30 -> ~55 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
27 29 30 -> 56 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
23 25 -> ~55 fr=76 (0.5429), cf=0.962, gamma=1.213, delta=0.095, M=-1.826e+001
23 25 -> 56 fr=76 (0.5429), cf=0.962, gamma=1.213, delta=0.095, M=-1.826e+001
23 29 30 -> ~55 fr=84 (0.6000), cf=0.944, gamma=1.190, delta=0.096, M=-1.826e+001
23 29 30 -> 56 fr=84 (0.6000), cf=0.944, gamma=1.190, delta=0.096, M=-1.826e+001
25 27 -> ~55 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
25 27 -> 56 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
23 27 29 47 -> ~55 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
23 27 29 47 -> 56 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
23 29 47 -> ~55 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
23 27 30 -> ~55 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
23 29 47 -> 56 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
23 27 30 -> 56 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
1 27 29 47 -> ~55 fr=79 (0.5643), cf=0.952, gamma=1.200, delta=0.094, M=-1.761e+001
1 27 29 47 -> 56 fr=79 (0.5643), cf=0.952, gamma=1.200, delta=0.094, M=-1.761e+001
27 30 -> ~55 fr=95 (0.6786), cf=0.913, gamma=1.152, delta=0.090, M=-1.750e+001
27 30 -> 56 fr=95 (0.6786), cf=0.913, gamma=1.152, delta=0.090, M=-1.750e+001
6 12 24 -> 55 fr=20 (0.1429), cf=0.556, gamma=2.682, delta=0.090, M=-1.750e+001
6 12 24 -> ~56 fr=20 (0.1429), cf=0.556, gamma=2.682, delta=0.090, M=-1.750e+001
29 30 47 -> ~55 fr=89 (0.6357), cf=0.927, gamma=1.169, delta=0.092, M=-1.728e+001
29 30 47 -> 56 fr=89 (0.6357), cf=0.927, gamma=1.169, delta=0.092, M=-1.728e+001
23 27 47 -> ~55 fr=82 (0.5857), cf=0.943, gamma=1.189, delta=0.093, M=-1.715e+001
23 27 47 -> 56 fr=82 (0.5857), cf=0.943, gamma=1.189, delta=0.093, M=-1.715e+001
27 29 47 -> ~55 fr=88 (0.6286), cf=0.926, gamma=1.168, delta=0.091, M=-1.668e+001
27 29 47 -> 56 fr=88 (0.6286), cf=0.926, gamma=1.168, delta=0.091, M=-1.668e+001
6 24 -> 55 fr=21 (0.1500), cf=0.512, gamma=2.473, delta=0.089, M=-1.667e+001
6 24 -> ~56 fr=21 (0.1500), cf=0.512, gamma=2.473, delta=0.089, M=-1.667e+001
23 30 47 -> ~55 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
23 30 47 -> 56 fr=81 (0.5786), cf=0.942, gamma=1.188, delta=0.092, M=-1.661e+001
25 30 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
25 30 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
15 17 27 29 -> ~55 fr=72 (0.5143), cf=0.960, gamma=1.211, delta=0.090, M=-1.630e+001
15 17 27 29 -> 56 fr=72 (0.5143), cf=0.960, gamma=1.211, delta=0.090, M=-1.630e+001
23 27 29 -> ~55 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
23 27 29 -> 56 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
23 27 -> ~55 fr=90 (0.6429), cf=0.918, gamma=1.158, delta=0.088, M=-1.605e+001
23 27 -> 56 fr=90 (0.6429), cf=0.918, gamma=1.158, delta=0.088, M=-1.605e+001
6 12 54 -> 55 fr=21 (0.1500), cf=0.500, gamma=2.414, delta=0.088, M=-1.605e+001
6 12 54 -> ~56 fr=21 (0.1500), cf=0.500, gamma=2.414, delta=0.088, M=-1.605e+001
1 25 53 -> ~55 fr=53 (0.3786), cf=1.000, gamma=1.261, delta=0.078, M=-1.596e+001
1 25 53 -> 56 fr=53 (0.3786), cf=1.000, gamma=1.261, delta=0.078, M=-1.596e+001
