2 16 -> ~157 fr=188 (0.5968), cf=0.858, gamma=1.366, delta=0.160, M=-8.793e+001
2 16 -> 156 fr=188 (0.5968), cf=0.858, gamma=1.366, delta=0.160, M=-8.793e+001
11 16 -> ~157 fr=173 (0.5492), cf=0.901, gamma=1.433, delta=0.166, M=-8.540e+001
11 16 -> 156 fr=173 (0.5492), cf=0.901, gamma=1.433, delta=0.166, M=-8.540e+001
16 124 -> ~157 fr=172 (0.5460), cf=0.896, gamma=1.425, delta=0.163, M=-8.191e+001
16 124 -> 156 fr=172 (0.5460), cf=0.896, gamma=1.425, delta=0.163, M=-8.191e+001
13 -> 157 fr=66 (0.2095), cf=0.957, gamma=2.575, delta=0.128, M=-7.108e+001
16 121 -> ~157 fr=144 (0.4571), cf=0.929, gamma=1.478, delta=0.148, M=-6.750e+001
16 121 -> 156 fr=144 (0.4571), cf=0.929, gamma=1.478, delta=0.148, M=-6.750e+001
7 11 -> ~157 fr=149 (0.4730), cf=0.903, gamma=1.437, delta=0.144, M=-6.232e+001
7 11 -> 156 fr=149 (0.4730), cf=0.903, gamma=1.437, delta=0.144, M=-6.232e+001
16 -> ~157 fr=188 (0.5968), cf=0.797, gamma=1.267, delta=0.126, M=-6.025e+001
121 141 150 -> ~157 fr=132 (0.4190), cf=0.930, gamma=1.479, delta=0.136, M=-5.833e+001
121 141 150 -> 156 fr=132 (0.4190), cf=0.930, gamma=1.479, delta=0.136, M=-5.833e+001
22 -> 157 fr=57 (0.1810), cf=0.950, gamma=2.558, delta=0.110, M=-5.799e+001
121 131 141 -> ~157 fr=131 (0.4159), cf=0.929, gamma=1.478, delta=0.135, M=-5.745e+001
121 131 141 -> 156 fr=131 (0.4159), cf=0.929, gamma=1.478, delta=0.135, M=-5.745e+001
2 11 124 141 150 -> ~157 fr=133 (0.4222), cf=0.924, gamma=1.469, delta=0.135, M=-5.712e+001
2 11 124 141 150 -> 156 fr=133 (0.4222), cf=0.924, gamma=1.469, delta=0.135, M=-5.712e+001
121 141 -> ~157 fr=139 (0.4413), cf=0.908, gamma=1.445, delta=0.136, M=-5.655e+001
121 141 -> 156 fr=139 (0.4413), cf=0.908, gamma=1.445, delta=0.136, M=-5.655e+001
7 124 -> ~157 fr=145 (0.4603), cf=0.895, gamma=1.424, delta=0.137, M=-5.654e+001
7 124 -> 156 fr=145 (0.4603), cf=0.895, gamma=1.424, delta=0.137, M=-5.654e+001
2 11 124 141 -> ~157 fr=140 (0.4444), cf=0.903, gamma=1.437, delta=0.135, M=-5.558e+001
2 11 124 141 -> 156 fr=140 (0.4444), cf=0.903, gamma=1.437, delta=0.135, M=-5.558e+001
11 25 34 -> ~157 fr=131 (0.4159), cf=0.923, gamma=1.468, delta=0.133, M=-5.537e+001
11 25 34 -> 156 fr=131 (0.4159), cf=0.923, gamma=1.468, delta=0.133, M=-5.537e+001
11 124 141 150 -> ~157 fr=133 (0.4222), cf=0.917, gamma=1.459, delta=0.133, M=-5.510e+001
11 124 141 150 -> 156 fr=133 (0.4222), cf=0.917, gamma=1.459, delta=0.133, M=-5.510e+001
2 11 141 150 -> ~157 fr=139 (0.4413), cf=0.903, gamma=1.436, delta=0.134, M=-5.467e+001
2 11 141 150 -> 156 fr=139 (0.4413), cf=0.903, gamma=1.436, delta=0.134, M=-5.467e+001
2 11 141 -> ~157 fr=146 (0.4635), cf=0.885, gamma=1.408, delta=0.134, M=-5.395e+001
2 11 141 -> 156 fr=146 (0.4635), cf=0.885, gamma=1.408, delta=0.134, M=-5.395e+001
121 131 -> ~157 fr=136 (0.4317), cf=0.907, gamma=1.442, delta=0.132, M=-5.387e+001
121 131 -> 156 fr=136 (0.4317), cf=0.907, gamma=1.442, delta=0.132, M=-5.387e+001
11 124 141 -> ~157 fr=140 (0.4444), cf=0.897, gamma=1.428, delta=0.133, M=-5.375e+001
11 124 141 -> 156 fr=140 (0.4444), cf=0.897, gamma=1.428, delta=0.133, M=-5.375e+001
2 11 25 -> ~157 fr=133 (0.4222), cf=0.911, gamma=1.449, delta=0.131, M=-5.316e+001
2 11 25 -> 156 fr=133 (0.4222), cf=0.911, gamma=1.449, delta=0.131, M=-5.316e+001
131 141 -> ~157 fr=137 (0.4349), cf=0.901, gamma=1.434, delta=0.132, M=-5.290e+001
131 141 -> 156 fr=137 (0.4349), cf=0.901, gamma=1.434, delta=0.132, M=-5.290e+001
102 111 121 -> ~157 fr=123 (0.3905), cf=0.932, gamma=1.482, delta=0.127, M=-5.279e+001
102 111 121 -> 156 fr=123 (0.3905), cf=0.932, gamma=1.482, delta=0.127, M=-5.279e+001
2 124 141 -> ~157 fr=153 (0.4857), cf=0.864, gamma=1.375, delta=0.133, M=-5.235e+001
2 124 141 -> 156 fr=153 (0.4857), cf=0.864, gamma=1.375, delta=0.133, M=-5.235e+001
2 7 -> ~157 fr=161 (0.5111), cf=0.843, gamma=1.341, delta=0.130, M=-5.113e+001
2 7 -> 156 fr=161 (0.5111), cf=0.843, gamma=1.341, delta=0.130, M=-5.113e+001
124 141 -> ~157 fr=153 (0.4857), cf=0.860, gamma=1.367, delta=0.131, M=-5.078e+001
124 141 -> 156 fr=153 (0.4857), cf=0.860, gamma=1.367, delta=0.131, M=-5.078e+001
102 111 -> ~157 fr=127 (0.4032), cf=0.914, gamma=1.454, delta=0.126, M=-5.004e+001
102 111 -> 156 fr=127 (0.4032), cf=0.914, gamma=1.454, delta=0.126, M=-5.004e+001
11 25 124 -> ~157 fr=118 (0.3746), cf=0.929, gamma=1.478, delta=0.121, M=-4.879e+001
11 25 124 -> 156 fr=118 (0.3746), cf=0.929, gamma=1.478, delta=0.121, M=-4.879e+001
131 -> ~157 fr=142 (0.4508), cf=0.877, gamma=1.395, delta=0.128, M=-4.868e+001
131 -> 156 fr=142 (0.4508), cf=0.877, gamma=1.395, delta=0.128, M=-4.868e+001
102 121 -> ~157 fr=136 (0.4317), cf=0.889, gamma=1.414, delta=0.126, M=-4.852e+001
102 121 -> 156 fr=136 (0.4317), cf=0.889, gamma=1.414, delta=0.126, M=-4.852e+001
2 11 -> ~157 fr=182 (0.5778), cf=0.784, gamma=1.248, delta=0.115, M=-4.803e+001
2 11 -> 156 fr=182 (0.5778), cf=0.784, gamma=1.248, delta=0.115, M=-4.803e+001
122 -> 157 fr=68 (0.2159), cf=0.800, gamma=2.154, delta=0.116, M=-4.798e+001
92 111 121 -> ~157 fr=110 (0.3492), cf=0.940, gamma=1.496, delta=0.116, M=-4.691e+001
92 111 121 -> 156 fr=110 (0.3492), cf=0.940, gamma=1.496, delta=0.116, M=-4.691e+001
92 102 -> ~157 fr=123 (0.3905), cf=0.911, gamma=1.449, delta=0.121, M=-4.685e+001
92 102 -> 156 fr=123 (0.3905), cf=0.911, gamma=1.449, delta=0.121, M=-4.685e+001
11 141 150 -> ~157 fr=139 (0.4413), cf=0.874, gamma=1.391, delta=0.124, M=-4.612e+001
11 141 150 -> 156 fr=139 (0.4413), cf=0.874, gamma=1.391, delta=0.124, M=-4.612e+001
11 25 -> ~157 fr=133 (0.4222), cf=0.887, gamma=1.411, delta=0.123, M=-4.605e+001
11 25 -> 156 fr=133 (0.4222), cf=0.887, gamma=1.411, delta=0.123, M=-4.605e+001
11 141 -> ~157 fr=146 (0.4635), cf=0.859, gamma=1.366, delta=0.124, M=-4.592e+001
11 141 -> 156 fr=146 (0.4635), cf=0.859, gamma=1.366, delta=0.124, M=-4.592e+001
4 -> 157 fr=60 (0.1905), cf=0.833, gamma=2.244, delta=0.106, M=-4.475e+001
11 124 -> ~157 fr=167 (0.5302), cf=0.811, gamma=1.290, delta=0.119, M=-4.473e+001
11 124 -> 156 fr=167 (0.5302), cf=0.811, gamma=1.290, delta=0.119, M=-4.473e+001
7 121 150 -> ~157 fr=107 (0.3397), cf=0.939, gamma=1.493, delta=0.112, M=-4.470e+001
