2 16 -> ~157 fr=193 (0.6127), cf=0.873, gamma=1.355, delta=0.161, M=-9.063e+001
2 16 -> 156 fr=193 (0.6127), cf=0.873, gamma=1.355, delta=0.161, M=-9.063e+001
16 124 -> ~157 fr=176 (0.5587), cf=0.917, gamma=1.422, delta=0.166, M=-8.683e+001
16 124 -> 156 fr=176 (0.5587), cf=0.917, gamma=1.422, delta=0.166, M=-8.683e+001
11 16 -> ~157 fr=177 (0.5619), cf=0.912, gamma=1.416, delta=0.165, M=-8.606e+001
11 16 -> 156 fr=177 (0.5619), cf=0.912, gamma=1.416, delta=0.165, M=-8.606e+001
13 -> 157 fr=68 (0.2159), cf=0.958, gamma=2.694, delta=0.136, M=-7.856e+001
16 121 -> ~157 fr=151 (0.4794), cf=0.938, gamma=1.455, delta=0.150, M=-7.070e+001
16 121 -> 156 fr=151 (0.4794), cf=0.938, gamma=1.455, delta=0.150, M=-7.070e+001
16 -> ~157 fr=193 (0.6127), cf=0.825, gamma=1.280, delta=0.134, M=-6.775e+001
7 11 -> ~157 fr=152 (0.4825), cf=0.921, gamma=1.429, delta=0.145, M=-6.509e+001
7 11 -> 156 fr=152 (0.4825), cf=0.921, gamma=1.429, delta=0.145, M=-6.509e+001
121 141 150 -> ~157 fr=142 (0.4508), cf=0.940, gamma=1.459, delta=0.142, M=-6.431e+001
121 141 150 -> 156 fr=142 (0.4508), cf=0.940, gamma=1.459, delta=0.142, M=-6.431e+001
2 11 141 150 -> ~157 fr=149 (0.4730), cf=0.925, gamma=1.436, delta=0.144, M=-6.427e+001
2 11 141 150 -> 156 fr=149 (0.4730), cf=0.925, gamma=1.436, delta=0.144, M=-6.427e+001
121 131 141 -> ~157 fr=139 (0.4413), cf=0.946, gamma=1.467, delta=0.141, M=-6.391e+001
121 131 141 -> 156 fr=139 (0.4413), cf=0.946, gamma=1.467, delta=0.141, M=-6.391e+001
131 141 -> ~157 fr=147 (0.4667), cf=0.925, gamma=1.435, delta=0.141, M=-6.236e+001
