2 16 -> ~157 fr=191 (0.6063), cf=0.880, gamma=1.366, delta=0.162, M=-9.054e+001
2 16 -> 156 fr=191 (0.6063), cf=0.880, gamma=1.366, delta=0.162, M=-9.054e+001
16 124 -> ~157 fr=177 (0.5619), cf=0.917, gamma=1.423, delta=0.167, M=-8.826e+001
16 124 -> 156 fr=177 (0.5619), cf=0.917, gamma=1.423, delta=0.167, M=-8.826e+001
11 16 -> ~157 fr=177 (0.5619), cf=0.912, gamma=1.416, delta=0.165, M=-8.606e+001
11 16 -> 156 fr=177 (0.5619), cf=0.912, gamma=1.416, delta=0.165, M=-8.606e+001
16 121 -> ~157 fr=152 (0.4825), cf=0.950, gamma=1.474, delta=0.155, M=-7.660e+001
16 121 -> 156 fr=152 (0.4825), cf=0.950, gamma=1.474, delta=0.155, M=-7.660e+001
13 -> 157 fr=66 (0.2095), cf=0.943, gamma=2.652, delta=0.131, M=-7.261e+001
16 131 -> ~157 fr=147 (0.4667), cf=0.936, gamma=1.453, delta=0.145, M=-6.674e+001
16 131 -> 156 fr=147 (0.4667), cf=0.936, gamma=1.453, delta=0.145, M=-6.674e+001
121 131 141 -> ~157 fr=142 (0.4508), cf=0.947, gamma=1.469, delta=0.144, M=-6.667e+001
121 131 141 -> 156 fr=142 (0.4508), cf=0.947, gamma=1.469, delta=0.144, M=-6.667e+001
121 141 150 -> ~157 fr=144 (0.4571), cf=0.941, gamma=1.460, delta=0.144, M=-6.617e+001
121 141 150 -> 156 fr=144 (0.4571), cf=0.941, gamma=1.460, delta=0.144, M=-6.617e+001
121 141 -> ~157 fr=150 (0.4762), cf=0.926, gamma=1.437, delta=0.145, M=-6.524e+001
121 141 -> 156 fr=150 (0.4762), cf=0.926, gamma=1.437, delta=0.145, M=-6.524e+001
7 11 -> ~157 fr=151 (0.4794), cf=0.921, gamma=1.429, delta=0.144, M=-6.410e+001
7 11 -> 156 fr=151 (0.4794), cf=0.921, gamma=1.429, delta=0.144, M=-6.410e+001
11 131 141 -> ~157 fr=141 (0.4476), cf=0.940, gamma=1.459, delta=0.141, M=-6.339e+001
