2 11 16 -> ~157 fr=178 (0.5651), cf=0.904, gamma=1.409, delta=0.164, M=-8.516e+001
2 11 16 -> 156 fr=178 (0.5651), cf=0.904, gamma=1.409, delta=0.164, M=-8.516e+001
2 16 -> ~157 fr=191 (0.6063), cf=0.857, gamma=1.336, delta=0.152, M=-8.176e+001
2 16 -> 156 fr=191 (0.6063), cf=0.857, gamma=1.336, delta=0.152, M=-8.176e+001
11 16 -> ~157 fr=178 (0.5651), cf=0.894, gamma=1.395, delta=0.160, M=-8.107e+001
11 16 -> 156 fr=178 (0.5651), cf=0.894, gamma=1.395, delta=0.160, M=-8.107e+001
16 124 -> ~157 fr=174 (0.5524), cf=0.897, gamma=1.399, delta=0.157, M=-7.749e+001
16 124 -> 156 fr=174 (0.5524), cf=0.897, gamma=1.399, delta=0.157, M=-7.749e+001
13 -> 157 fr=62 (0.1968), cf=0.939, gamma=2.619, delta=0.122, M=-6.556e+001
16 121 -> ~157 fr=146 (0.4635), cf=0.930, gamma=1.450, delta=0.144, M=-6.473e+001
16 121 -> 156 fr=146 (0.4635), cf=0.930, gamma=1.450, delta=0.144, M=-6.473e+001
22 -> 157 fr=59 (0.1873), cf=0.952, gamma=2.653, delta=0.117, M=-6.360e+001
7 11 -> ~157 fr=153 (0.4857), cf=0.911, gamma=1.420, delta=0.144, M=-6.327e+001
7 11 -> 156 fr=153 (0.4857), cf=0.911, gamma=1.420, delta=0.144, M=-6.327e+001
121 131 141 -> ~157 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
121 131 141 -> 156 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
11 25 34 -> ~157 fr=138 (0.4381), cf=0.932, gamma=1.454, delta=0.137, M=-5.953e+001
11 25 34 -> 156 fr=138 (0.4381), cf=0.932, gamma=1.454, delta=0.137, M=-5.953e+001
16 131 -> ~157 fr=142 (0.4508), cf=0.922, gamma=1.438, delta=0.137, M=-5.888e+001
16 131 -> 156 fr=142 (0.4508), cf=0.922, gamma=1.438, delta=0.137, M=-5.888e+001
131 141 -> ~157 fr=146 (0.4635), cf=0.913, gamma=1.423, delta=0.138, M=-5.852e+001
131 141 -> 156 fr=146 (0.4635), cf=0.913, gamma=1.423, delta=0.138, M=-5.852e+001
2 11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.927, gamma=1.445, delta=0.136, M=-5.828e+001
2 11 124 141 150 -> 156 fr=139 (0.4413), cf=0.927, gamma=1.445, delta=0.136, M=-5.828e+001
2 11 141 150 -> ~157 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
2 11 141 150 -> 156 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
121 141 150 -> ~157 fr=138 (0.4381), cf=0.926, gamma=1.444, delta=0.135, M=-5.740e+001
121 141 150 -> 156 fr=138 (0.4381), cf=0.926, gamma=1.444, delta=0.135, M=-5.740e+001
2 11 141 -> ~157 fr=154 (0.4889), cf=0.890, gamma=1.388, delta=0.137, M=-5.673e+001
2 11 141 -> 156 fr=154 (0.4889), cf=0.890, gamma=1.388, delta=0.137, M=-5.673e+001
11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.921, gamma=1.435, delta=0.134, M=-5.622e+001
11 124 141 150 -> 156 fr=139 (0.4413), cf=0.921, gamma=1.435, delta=0.134, M=-5.622e+001
11 121 141 -> ~157 fr=134 (0.4254), cf=0.931, gamma=1.451, delta=0.132, M=-5.607e+001
11 121 141 -> 156 fr=134 (0.4254), cf=0.931, gamma=1.451, delta=0.132, M=-5.607e+001
16 -> ~157 fr=191 (0.6063), cf=0.799, gamma=1.246, delta=0.120, M=-5.599e+001
121 131 -> ~157 fr=143 (0.4540), cf=0.911, gamma=1.420, delta=0.134, M=-5.580e+001
121 131 -> 156 fr=143 (0.4540), cf=0.911, gamma=1.420, delta=0.134, M=-5.580e+001
121 141 -> ~157 fr=145 (0.4603), cf=0.906, gamma=1.413, delta=0.135, M=-5.569e+001
121 141 -> 156 fr=145 (0.4603), cf=0.906, gamma=1.413, delta=0.135, M=-5.569e+001
2 11 25 -> ~157 fr=140 (0.4444), cf=0.915, gamma=1.427, delta=0.133, M=-5.511e+001
2 11 25 -> 156 fr=140 (0.4444), cf=0.915, gamma=1.427, delta=0.133, M=-5.511e+001
7 124 -> ~157 fr=146 (0.4635), cf=0.901, gamma=1.405, delta=0.134, M=-5.472e+001
7 124 -> 156 fr=146 (0.4635), cf=0.901, gamma=1.405, delta=0.134, M=-5.472e+001
11 124 141 -> ~157 fr=146 (0.4635), cf=0.901, gamma=1.405, delta=0.134, M=-5.472e+001
