2 16 -> ~157 fr=192 (0.6095), cf=0.865, gamma=1.355, delta=0.160, M=-9.013e+001
2 16 -> 156 fr=192 (0.6095), cf=0.865, gamma=1.355, delta=0.160, M=-9.013e+001
16 124 -> ~157 fr=175 (0.5556), cf=0.911, gamma=1.428, delta=0.167, M=-8.693e+001
16 124 -> 156 fr=175 (0.5556), cf=0.911, gamma=1.428, delta=0.167, M=-8.693e+001
11 16 -> ~157 fr=175 (0.5556), cf=0.902, gamma=1.414, delta=0.163, M=-8.271e+001
11 16 -> 156 fr=175 (0.5556), cf=0.902, gamma=1.414, delta=0.163, M=-8.271e+001
16 121 -> ~157 fr=152 (0.4825), cf=0.938, gamma=1.470, delta=0.154, M=-7.432e+001
16 121 -> 156 fr=152 (0.4825), cf=0.938, gamma=1.470, delta=0.154, M=-7.432e+001
13 -> 157 fr=63 (0.2000), cf=0.955, gamma=2.638, delta=0.124, M=-6.889e+001
16 131 -> ~157 fr=145 (0.4603), cf=0.935, gamma=1.466, delta=0.146, M=-6.716e+001
16 131 -> 156 fr=145 (0.4603), cf=0.935, gamma=1.466, delta=0.146, M=-6.716e+001
121 131 141 -> ~157 fr=139 (0.4413), cf=0.939, gamma=1.472, delta=0.141, M=-6.374e+001
121 131 141 -> 156 fr=139 (0.4413), cf=0.939, gamma=1.472, delta=0.141, M=-6.374e+001
131 141 -> ~157 fr=146 (0.4635), cf=0.918, gamma=1.439, delta=0.141, M=-6.168e+001
131 141 -> 156 fr=146 (0.4635), cf=0.918, gamma=1.439, delta=0.141, M=-6.168e+001
102 111 121 -> ~157 fr=133 (0.4222), cf=0.943, gamma=1.478, delta=0.137, M=-6.064e+001
102 111 121 -> 156 fr=133 (0.4222), cf=0.943, gamma=1.478, delta=0.137, M=-6.064e+001
121 141 150 -> ~157 fr=140 (0.4444), cf=0.927, gamma=1.453, delta=0.139, M=-6.025e+001
121 141 150 -> 156 fr=140 (0.4444), cf=0.927, gamma=1.453, delta=0.139, M=-6.025e+001
16 -> ~157 fr=192 (0.6095), cf=0.800, gamma=1.254, delta=0.123, M=-6.016e+001
