2 16 -> ~157 fr=196 (0.6222), cf=0.875, gamma=1.338, delta=0.157, M=-8.872e+001
2 16 -> 156 fr=196 (0.6222), cf=0.875, gamma=1.338, delta=0.157, M=-8.872e+001
16 124 -> ~157 fr=179 (0.5683), cf=0.909, gamma=1.389, delta=0.159, M=-8.115e+001
16 124 -> 156 fr=179 (0.5683), cf=0.909, gamma=1.389, delta=0.159, M=-8.115e+001
11 16 -> ~157 fr=179 (0.5683), cf=0.904, gamma=1.382, delta=0.157, M=-7.907e+001
11 16 -> 156 fr=179 (0.5683), cf=0.904, gamma=1.382, delta=0.157, M=-7.907e+001
13 -> 157 fr=61 (0.1937), cf=0.968, gamma=2.798, delta=0.124, M=-7.257e+001
16 121 -> ~157 fr=152 (0.4825), cf=0.944, gamma=1.444, delta=0.148, M=-7.030e+001
16 121 -> 156 fr=152 (0.4825), cf=0.944, gamma=1.444, delta=0.148, M=-7.030e+001
121 131 141 -> ~157 fr=141 (0.4476), cf=0.946, gamma=1.447, delta=0.138, M=-6.247e+001
121 131 141 -> 156 fr=141 (0.4476), cf=0.946, gamma=1.447, delta=0.138, M=-6.247e+001
7 11 -> ~157 fr=153 (0.4857), cf=0.922, gamma=1.409, delta=0.141, M=-6.234e+001
7 11 -> 156 fr=153 (0.4857), cf=0.922, gamma=1.409, delta=0.141, M=-6.234e+001
22 -> 157 fr=56 (0.1778), cf=0.949, gamma=2.743, delta=0.113, M=-6.194e+001
16 131 -> ~157 fr=148 (0.4698), cf=0.931, gamma=1.423, delta=0.140, M=-6.194e+001
16 131 -> 156 fr=148 (0.4698), cf=0.931, gamma=1.423, delta=0.140, M=-6.194e+001
131 141 -> ~157 fr=149 (0.4730), cf=0.925, gamma=1.415, delta=0.139, M=-6.071e+001
131 141 -> 156 fr=149 (0.4730), cf=0.925, gamma=1.415, delta=0.139, M=-6.071e+001
121 141 150 -> ~157 fr=141 (0.4476), cf=0.940, gamma=1.437, delta=0.136, M=-6.015e+001
121 141 150 -> 156 fr=141 (0.4476), cf=0.940, gamma=1.437, delta=0.136, M=-6.015e+001
121 131 -> ~157 fr=146 (0.4635), cf=0.930, gamma=1.422, delta=0.138, M=-6.013e+001
121 131 -> 156 fr=146 (0.4635), cf=0.930, gamma=1.422, delta=0.138, M=-6.013e+001
121 141 -> ~157 fr=148 (0.4698), cf=0.925, gamma=1.414, delta=0.138, M=-5.981e+001
121 141 -> 156 fr=148 (0.4698), cf=0.925, gamma=1.414, delta=0.138, M=-5.981e+001
16 -> ~157 fr=196 (0.6222), cf=0.813, gamma=1.244, delta=0.122, M=-5.947e+001
11 124 141 150 -> ~157 fr=140 (0.4444), cf=0.940, gamma=1.437, delta=0.135, M=-5.928e+001
11 124 141 150 -> 156 fr=140 (0.4444), cf=0.940, gamma=1.437, delta=0.135, M=-5.928e+001
124 141 150 -> ~157 fr=155 (0.4921), cf=0.906, gamma=1.386, delta=0.137, M=-5.825e+001
124 141 150 -> 156 fr=155 (0.4921), cf=0.906, gamma=1.386, delta=0.137, M=-5.825e+001
2 11 141 150 -> ~157 fr=148 (0.4698), cf=0.919, gamma=1.406, delta=0.136, M=-5.775e+001
2 11 141 150 -> 156 fr=148 (0.4698), cf=0.919, gamma=1.406, delta=0.136, M=-5.775e+001
124 141 -> ~157 fr=162 (0.5143), cf=0.890, gamma=1.361, delta=0.136, M=-5.757e+001
124 141 -> 156 fr=162 (0.5143), cf=0.890, gamma=1.361, delta=0.136, M=-5.757e+001
131 -> ~157 fr=154 (0.4889), cf=0.906, gamma=1.385, delta=0.136, M=-5.732e+001
131 -> 156 fr=154 (0.4889), cf=0.906, gamma=1.385, delta=0.136, M=-5.732e+001
2 11 141 -> ~157 fr=155 (0.4921), cf=0.901, gamma=1.378, delta=0.135, M=-5.637e+001
2 11 141 -> 156 fr=155 (0.4921), cf=0.901, gamma=1.378, delta=0.135, M=-5.637e+001
102 111 121 -> ~157 fr=130 (0.4127), cf=0.949, gamma=1.451, delta=0.128, M=-5.564e+001
102 111 121 -> 156 fr=130 (0.4127), cf=0.949, gamma=1.451, delta=0.128, M=-5.564e+001
11 25 34 -> ~157 fr=135 (0.4286), cf=0.938, gamma=1.434, delta=0.130, M=-5.512e+001
11 25 34 -> 156 fr=135 (0.4286), cf=0.938, gamma=1.434, delta=0.130, M=-5.512e+001
7 124 -> ~157 fr=149 (0.4730), cf=0.909, gamma=1.389, delta=0.133, M=-5.473e+001
7 124 -> 156 fr=149 (0.4730), cf=0.909, gamma=1.389, delta=0.133, M=-5.473e+001
102 111 -> ~157 fr=135 (0.4286), cf=0.931, gamma=1.424, delta=0.128, M=-5.297e+001
102 111 -> 156 fr=135 (0.4286), cf=0.931, gamma=1.424, delta=0.128, M=-5.297e+001
92 111 121 -> ~157 fr=118 (0.3746), cf=0.959, gamma=1.467, delta=0.119, M=-5.132e+001
92 111 121 -> 156 fr=118 (0.3746), cf=0.959, gamma=1.467, delta=0.119, M=-5.132e+001
11 141 150 -> ~157 fr=148 (0.4698), cf=0.897, gamma=1.372, delta=0.127, M=-5.021e+001
11 141 150 -> 156 fr=148 (0.4698), cf=0.897, gamma=1.372, delta=0.127, M=-5.021e+001
111 141 -> ~157 fr=134 (0.4254), cf=0.924, gamma=1.413, delta=0.124, M=-5.014e+001
111 141 -> 156 fr=134 (0.4254), cf=0.924, gamma=1.413, delta=0.124, M=-5.014e+001
2 7 -> ~157 fr=166 (0.5270), cf=0.860, gamma=1.315, delta=0.126, M=-4.978e+001
2 7 -> 156 fr=166 (0.5270), cf=0.860, gamma=1.315, delta=0.126, M=-4.978e+001
2 11 25 -> ~157 fr=136 (0.4317), cf=0.919, gamma=1.405, delta=0.124, M=-4.973e+001
2 11 25 -> 156 fr=136 (0.4317), cf=0.919, gamma=1.405, delta=0.124, M=-4.973e+001
92 102 121 -> ~157 fr=125 (0.3968), cf=0.940, gamma=1.437, delta=0.121, M=-4.952e+001
92 102 121 -> 156 fr=125 (0.3968), cf=0.940, gamma=1.437, delta=0.121, M=-4.952e+001
11 141 -> ~157 fr=155 (0.4921), cf=0.881, gamma=1.347, delta=0.127, M=-4.937e+001
11 141 -> 156 fr=155 (0.4921), cf=0.881, gamma=1.347, delta=0.127, M=-4.937e+001
122 -> 157 fr=66 (0.2095), cf=0.776, gamma=2.244, delta=0.116, M=-4.904e+001
111 121 -> ~157 fr=135 (0.4286), cf=0.918, gamma=1.404, delta=0.123, M=-4.895e+001
111 121 -> 156 fr=135 (0.4286), cf=0.918, gamma=1.404, delta=0.123, M=-4.895e+001
2 141 -> ~157 fr=171 (0.5429), cf=0.847, gamma=1.294, delta=0.123, M=-4.857e+001
2 141 -> 156 fr=171 (0.5429), cf=0.847, gamma=1.294, delta=0.123, M=-4.857e+001
2 11 34 -> ~157 fr=161 (0.5111), cf=0.866, gamma=1.324, delta=0.125, M=-4.825e+001
2 11 34 -> 156 fr=161 (0.5111), cf=0.866, gamma=1.324, delta=0.125, M=-4.825e+001
2 11 124 -> ~157 fr=172 (0.5460), cf=0.843, gamma=1.289, delta=0.123, M=-4.808e+001
2 11 124 -> 156 fr=172 (0.5460), cf=0.843, gamma=1.289, delta=0.123, M=-4.808e+001
102 121 -> ~157 fr=141 (0.4476), cf=0.904, gamma=1.382, delta=0.124, M=-4.807e+001
102 121 -> 156 fr=141 (0.4476), cf=0.904, gamma=1.382, delta=0.124, M=-4.807e+001
4 -> 157 fr=57 (0.1810), cf=0.838, gamma=2.422, delta=0.106, M=-4.766e+001
92 102 -> ~157 fr=128 (0.4063), cf=0.928, gamma=1.418, delta=0.120, M=-4.758e+001
92 102 -> 156 fr=128 (0.4063), cf=0.928, gamma=1.418, delta=0.120, M=-4.758e+001
2 11 -> ~157 fr=188 (0.5968), cf=0.807, gamma=1.234, delta=0.113, M=-4.751e+001
2 11 -> 156 fr=188 (0.5968), cf=0.807, gamma=1.234, delta=0.113, M=-4.751e+001
92 111 -> ~157 fr=118 (0.3746), cf=0.944, gamma=1.443, delta=0.115, M=-4.662e+001
92 111 -> 156 fr=118 (0.3746), cf=0.944, gamma=1.443, delta=0.115, M=-4.662e+001
11 124 -> ~157 fr=172 (0.5460), cf=0.839, gamma=1.283, delta=0.120, M=-4.662e+001
11 124 -> 156 fr=172 (0.5460), cf=0.839, gamma=1.283, delta=0.120, M=-4.662e+001
92 121 -> ~157 fr=125 (0.3968), cf=0.926, gamma=1.416, delta=0.117, M=-4.539e+001
92 121 -> 156 fr=125 (0.3968), cf=0.926, gamma=1.416, delta=0.117, M=-4.539e+001
7 121 150 -> ~157 fr=113 (0.3587), cf=0.950, gamma=1.452, delta=0.112, M=-4.536e+001
7 121 150 -> 156 fr=113 (0.3587), cf=0.950, gamma=1.452, delta=0.112, M=-4.536e+001
11 34 -> ~157 fr=161 (0.5111), cf=0.856, gamma=1.310, delta=0.121, M=-4.519e+001
11 34 -> 156 fr=161 (0.5111), cf=0.856, gamma=1.310, delta=0.121, M=-4.519e+001
2 124 -> ~157 fr=189 (0.6000), cf=0.797, gamma=1.219, delta=0.108, M=-4.468e+001
2 124 -> 156 fr=189 (0.6000), cf=0.797, gamma=1.219, delta=0.108, M=-4.468e+001
2 25 34 -> ~157 fr=147 (0.4667), cf=0.880, gamma=1.346, delta=0.120, M=-4.436e+001
2 25 34 -> 156 fr=147 (0.4667), cf=0.880, gamma=1.346, delta=0.120, M=-4.436e+001
121 150 -> ~157 fr=148 (0.4698), cf=0.876, gamma=1.339, delta=0.119, M=-4.356e+001
121 150 -> 156 fr=148 (0.4698), cf=0.876, gamma=1.339, delta=0.119, M=-4.356e+001
124 -> ~157 fr=189 (0.6000), cf=0.794, gamma=1.214, delta=0.106, M=-4.334e+001
7 121 -> ~157 fr=124 (0.3937), cf=0.919, gamma=1.405, delta=0.113, M=-4.276e+001
7 121 -> 156 fr=124 (0.3937), cf=0.919, gamma=1.405, delta=0.113, M=-4.276e+001
11 25 -> ~157 fr=136 (0.4317), cf=0.895, gamma=1.368, delta=0.116, M=-4.253e+001
