2 16 -> ~157 fr=193 (0.6127), cf=0.877, gamma=1.361, delta=0.163, M=-9.258e+001
2 16 -> 156 fr=193 (0.6127), cf=0.877, gamma=1.361, delta=0.163, M=-9.258e+001
16 124 -> ~157 fr=180 (0.5714), cf=0.914, gamma=1.418, delta=0.168, M=-9.050e+001
16 124 -> 156 fr=180 (0.5714), cf=0.914, gamma=1.418, delta=0.168, M=-9.050e+001
11 16 -> ~157 fr=176 (0.5587), cf=0.917, gamma=1.422, delta=0.166, M=-8.683e+001
11 16 -> 156 fr=176 (0.5587), cf=0.917, gamma=1.422, delta=0.166, M=-8.683e+001
13 -> 157 fr=66 (0.2095), cf=0.943, gamma=2.652, delta=0.131, M=-7.261e+001
16 121 -> ~157 fr=150 (0.4762), cf=0.938, gamma=1.455, delta=0.149, M=-6.969e+001
16 121 -> 156 fr=150 (0.4762), cf=0.938, gamma=1.455, delta=0.149, M=-6.969e+001
7 11 -> ~157 fr=152 (0.4825), cf=0.921, gamma=1.429, delta=0.145, M=-6.509e+001
7 11 -> 156 fr=152 (0.4825), cf=0.921, gamma=1.429, delta=0.145, M=-6.509e+001
16 -> ~157 fr=193 (0.6127), cf=0.818, gamma=1.269, delta=0.130, M=-6.459e+001
7 124 -> ~157 fr=152 (0.4825), cf=0.916, gamma=1.421, delta=0.143, M=-6.303e+001
7 124 -> 156 fr=152 (0.4825), cf=0.916, gamma=1.421, delta=0.143, M=-6.303e+001
22 -> 157 fr=56 (0.1778), cf=0.949, gamma=2.669, delta=0.111, M=-5.987e+001
121 131 141 -> ~157 fr=137 (0.4349), cf=0.938, gamma=1.456, delta=0.136, M=-5.982e+001
121 131 141 -> 156 fr=137 (0.4349), cf=0.938, gamma=1.456, delta=0.136, M=-5.982e+001
2 11 141 150 -> ~157 fr=144 (0.4571), cf=0.923, gamma=1.432, delta=0.138, M=-5.959e+001
2 11 141 150 -> 156 fr=144 (0.4571), cf=0.923, gamma=1.432, delta=0.138, M=-5.959e+001
2 11 141 -> ~157 fr=150 (0.4762), cf=0.909, gamma=1.411, delta=0.139, M=-5.912e+001
2 11 141 -> 156 fr=150 (0.4762), cf=0.909, gamma=1.411, delta=0.139, M=-5.912e+001
2 124 141 -> ~157 fr=160 (0.5079), cf=0.884, gamma=1.372, delta=0.138, M=-5.782e+001
2 124 141 -> 156 fr=160 (0.5079), cf=0.884, gamma=1.372, delta=0.138, M=-5.782e+001
121 131 -> ~157 fr=142 (0.4508), cf=0.922, gamma=1.431, delta=0.136, M=-5.779e+001
121 131 -> 156 fr=142 (0.4508), cf=0.922, gamma=1.431, delta=0.136, M=-5.779e+001
121 141 150 -> ~157 fr=139 (0.4413), cf=0.927, gamma=1.438, delta=0.134, M=-5.723e+001
121 141 150 -> 156 fr=139 (0.4413), cf=0.927, gamma=1.438, delta=0.134, M=-5.723e+001
11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.927, gamma=1.438, delta=0.134, M=-5.723e+001
11 124 141 150 -> 156 fr=139 (0.4413), cf=0.927, gamma=1.438, delta=0.134, M=-5.723e+001
121 124 141 -> ~157 fr=141 (0.4476), cf=0.922, gamma=1.430, delta=0.135, M=-5.691e+001
121 124 141 -> 156 fr=141 (0.4476), cf=0.922, gamma=1.430, delta=0.135, M=-5.691e+001
121 141 -> ~157 fr=145 (0.4603), cf=0.912, gamma=1.415, delta=0.135, M=-5.648e+001
121 141 -> 156 fr=145 (0.4603), cf=0.912, gamma=1.415, delta=0.135, M=-5.648e+001
11 124 141 -> ~157 fr=145 (0.4603), cf=0.912, gamma=1.415, delta=0.135, M=-5.648e+001
11 124 141 -> 156 fr=145 (0.4603), cf=0.912, gamma=1.415, delta=0.135, M=-5.648e+001
124 141 -> ~157 fr=160 (0.5079), cf=0.879, gamma=1.364, delta=0.136, M=-5.609e+001
124 141 -> 156 fr=160 (0.5079), cf=0.879, gamma=1.364, delta=0.136, M=-5.609e+001
131 141 -> ~157 fr=144 (0.4571), cf=0.911, gamma=1.414, delta=0.134, M=-5.559e+001
131 141 -> 156 fr=144 (0.4571), cf=0.911, gamma=1.414, delta=0.134, M=-5.559e+001
11 25 34 -> ~157 fr=132 (0.4190), cf=0.936, gamma=1.453, delta=0.131, M=-5.557e+001
11 25 34 -> 156 fr=132 (0.4190), cf=0.936, gamma=1.453, delta=0.131, M=-5.557e+001
102 111 121 -> ~157 fr=127 (0.4032), cf=0.941, gamma=1.460, delta=0.127, M=-5.371e+001
102 111 121 -> 156 fr=127 (0.4032), cf=0.941, gamma=1.460, delta=0.127, M=-5.371e+001
131 -> ~157 fr=149 (0.4730), cf=0.892, gamma=1.384, delta=0.131, M=-5.268e+001
131 -> 156 fr=149 (0.4730), cf=0.892, gamma=1.384, delta=0.131, M=-5.268e+001
2 11 25 -> ~157 fr=133 (0.4222), cf=0.924, gamma=1.433, delta=0.128, M=-5.220e+001
2 11 25 -> 156 fr=133 (0.4222), cf=0.924, gamma=1.433, delta=0.128, M=-5.220e+001
2 11 124 -> ~157 fr=173 (0.5492), cf=0.840, gamma=1.303, delta=0.128, M=-5.215e+001
2 11 124 -> 156 fr=173 (0.5492), cf=0.840, gamma=1.303, delta=0.128, M=-5.215e+001
2 7 -> ~157 fr=165 (0.5238), cf=0.855, gamma=1.327, delta=0.129, M=-5.134e+001
2 7 -> 156 fr=165 (0.5238), cf=0.855, gamma=1.327, delta=0.129, M=-5.134e+001
2 11 -> ~157 fr=185 (0.5873), cf=0.808, gamma=1.254, delta=0.119, M=-5.067e+001
2 11 -> 156 fr=185 (0.5873), cf=0.808, gamma=1.254, delta=0.119, M=-5.067e+001
11 141 -> ~157 fr=150 (0.4762), cf=0.882, gamma=1.369, delta=0.128, M=-5.014e+001
11 141 -> 156 fr=150 (0.4762), cf=0.882, gamma=1.369, delta=0.128, M=-5.014e+001
102 111 -> ~157 fr=130 (0.4127), cf=0.922, gamma=1.431, delta=0.124, M=-4.980e+001
102 111 -> 156 fr=130 (0.4127), cf=0.922, gamma=1.431, delta=0.124, M=-4.980e+001
2 124 -> ~157 fr=190 (0.6032), cf=0.792, gamma=1.228, delta=0.112, M=-4.936e+001
2 124 -> 156 fr=190 (0.6032), cf=0.792, gamma=1.228, delta=0.112, M=-4.936e+001
11 124 -> ~157 fr=173 (0.5492), cf=0.832, gamma=1.291, delta=0.124, M=-4.920e+001
11 124 -> 156 fr=173 (0.5492), cf=0.832, gamma=1.291, delta=0.124, M=-4.920e+001
102 121 -> ~157 fr=139 (0.4413), cf=0.897, gamma=1.392, delta=0.124, M=-4.771e+001
102 121 -> 156 fr=139 (0.4413), cf=0.897, gamma=1.392, delta=0.124, M=-4.771e+001
92 111 121 -> ~157 fr=115 (0.3651), cf=0.943, gamma=1.463, delta=0.115, M=-4.680e+001
92 102 141 -> ~157 fr=115 (0.3651), cf=0.943, gamma=1.463, delta=0.115, M=-4.680e+001
92 111 121 -> 156 fr=115 (0.3651), cf=0.943, gamma=1.463, delta=0.115, M=-4.680e+001
