9 36 65 -> 103 fr=79 (0.1285), cf=0.975, gamma=7.593, delta=0.112, M=-2.247e+002
9 23 36 38 56 -> 103 fr=78 (0.1268), cf=0.975, gamma=7.590, delta=0.110, M=-2.184e+002
9 36 38 56 74 -> 103 fr=79 (0.1285), cf=0.952, gamma=7.410, delta=0.111, M=-2.184e+002
36 65 -> 103 fr=79 (0.1285), cf=0.929, gamma=7.235, delta=0.111, M=-2.129e+002
9 23 36 38 -> 103 fr=78 (0.1268), cf=0.951, gamma=7.405, delta=0.110, M=-2.121e+002
9 36 38 56 77 -> 103 fr=79 (0.1285), cf=0.898, gamma=6.989, delta=0.110, M=-2.057e+002
9 36 38 56 72 -> 103 fr=79 (0.1285), cf=0.898, gamma=6.989, delta=0.110, M=-2.057e+002
9 23 38 65 -> 103 fr=78 (0.1268), cf=0.918, gamma=7.144, delta=0.109, M=-2.042e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1268), cf=0.918, gamma=7.144, delta=0.109, M=-2.042e+002
23 36 38 56 74 -> 103 fr=78 (0.1268), cf=0.907, gamma=7.061, delta=0.109, M=-2.018e+002
23 36 38 56 72 -> 103 fr=78 (0.1268), cf=0.907, gamma=7.061, delta=0.109, M=-2.018e+002
23 36 38 56 -> 103 fr=78 (0.1268), cf=0.897, gamma=6.979, delta=0.109, M=-1.995e+002
9 23 38 56 -> 103 fr=78 (0.1268), cf=0.886, gamma=6.900, delta=0.108, M=-1.974e+002
9 23 65 -> 103 fr=78 (0.1268), cf=0.876, gamma=6.823, delta=0.108, M=-1.953e+002
9 36 38 74 -> 103 fr=79 (0.1285), cf=0.840, gamma=6.543, delta=0.109, M=-1.937e+002
23 36 38 72 74 -> 103 fr=78 (0.1268), cf=0.867, gamma=6.747, delta=0.108, M=-1.933e+002
9 36 38 56 -> 103 fr=79 (0.1285), cf=0.832, gamma=6.474, delta=0.109, M=-1.919e+002
9 36 56 72 74 -> 103 fr=79 (0.1285), cf=0.832, gamma=6.474, delta=0.109, M=-1.919e+002
23 36 38 74 -> 103 fr=78 (0.1268), cf=0.857, gamma=6.673, delta=0.108, M=-1.913e+002
23 36 38 72 -> 103 fr=78 (0.1268), cf=0.857, gamma=6.673, delta=0.108, M=-1.913e+002
23 36 38 77 -> 103 fr=78 (0.1268), cf=0.848, gamma=6.600, delta=0.108, M=-1.894e+002
9 23 36 56 72 -> 103 fr=78 (0.1268), cf=0.839, gamma=6.529, delta=0.107, M=-1.876e+002
9 23 36 72 74 -> 103 fr=78 (0.1268), cf=0.830, gamma=6.460, delta=0.107, M=-1.859e+002
9 36 56 74 -> 103 fr=79 (0.1285), cf=0.798, gamma=6.212, delta=0.108, M=-1.853e+002
9 36 38 77 -> 103 fr=79 (0.1285), cf=0.798, gamma=6.212, delta=0.108, M=-1.853e+002
9 36 38 72 -> 103 fr=79 (0.1285), cf=0.798, gamma=6.212, delta=0.108, M=-1.853e+002
9 23 36 72 -> 103 fr=78 (0.1268), cf=0.821, gamma=6.392, delta=0.107, M=-1.841e+002
9 38 65 -> 103 fr=79 (0.1285), cf=0.790, gamma=6.150, delta=0.108, M=-1.837e+002
23 38 65 -> 103 fr=78 (0.1268), cf=0.813, gamma=6.325, delta=0.107, M=-1.825e+002
9 23 36 56 -> 103 fr=78 (0.1268), cf=0.804, gamma=6.260, delta=0.107, M=-1.808e+002
23 36 56 72 74 -> 103 fr=78 (0.1268), cf=0.804, gamma=6.260, delta=0.107, M=-1.808e+002
9 23 36 74 -> 103 fr=78 (0.1268), cf=0.796, gamma=6.196, delta=0.106, M=-1.792e+002
9 23 36 -> 103 fr=78 (0.1268), cf=0.788, gamma=6.133, delta=0.106, M=-1.777e+002
23 36 56 72 -> 103 fr=78 (0.1268), cf=0.788, gamma=6.133, delta=0.106, M=-1.777e+002
