9 36 65 -> 103 fr=79 (0.1280), cf=0.963, gamma=7.524, delta=0.111, M=-2.217e+002
9 23 36 38 56 -> 103 fr=78 (0.1264), cf=0.975, gamma=7.615, delta=0.110, M=-2.187e+002
9 36 38 56 74 -> 103 fr=79 (0.1280), cf=0.940, gamma=7.345, delta=0.111, M=-2.158e+002
23 36 65 -> 103 fr=78 (0.1264), cf=0.951, gamma=7.429, delta=0.109, M=-2.124e+002
9 23 36 38 -> 103 fr=78 (0.1264), cf=0.951, gamma=7.429, delta=0.109, M=-2.124e+002
36 65 -> 103 fr=79 (0.1280), cf=0.919, gamma=7.174, delta=0.110, M=-2.106e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1264), cf=0.918, gamma=7.167, delta=0.109, M=-2.045e+002
9 36 38 56 77 -> 103 fr=79 (0.1280), cf=0.888, gamma=6.933, delta=0.110, M=-2.038e+002
9 36 38 56 72 -> 103 fr=79 (0.1280), cf=0.888, gamma=6.933, delta=0.110, M=-2.038e+002
9 23 38 65 -> 103 fr=78 (0.1264), cf=0.907, gamma=7.084, delta=0.109, M=-2.021e+002
23 36 38 56 74 -> 103 fr=78 (0.1264), cf=0.907, gamma=7.084, delta=0.109, M=-2.021e+002
23 36 38 56 72 -> 103 fr=78 (0.1264), cf=0.907, gamma=7.084, delta=0.109, M=-2.021e+002
23 36 38 56 -> 103 fr=78 (0.1264), cf=0.897, gamma=7.002, delta=0.108, M=-1.998e+002
23 36 38 72 74 -> 103 fr=78 (0.1264), cf=0.876, gamma=6.845, delta=0.108, M=-1.956e+002
9 23 65 -> 103 fr=78 (0.1264), cf=0.867, gamma=6.769, delta=0.108, M=-1.935e+002
23 36 38 74 -> 103 fr=78 (0.1264), cf=0.867, gamma=6.769, delta=0.108, M=-1.935e+002
23 36 38 72 -> 103 fr=78 (0.1264), cf=0.867, gamma=6.769, delta=0.108, M=-1.935e+002
9 23 38 56 -> 103 fr=78 (0.1264), cf=0.867, gamma=6.769, delta=0.108, M=-1.935e+002
23 36 38 77 -> 103 fr=78 (0.1264), cf=0.857, gamma=6.694, delta=0.108, M=-1.916e+002
9 36 38 56 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
9 36 38 74 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
9 36 56 72 74 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
9 23 36 56 72 -> 103 fr=78 (0.1264), cf=0.839, gamma=6.550, delta=0.107, M=-1.879e+002
9 23 36 72 74 -> 103 fr=78 (0.1264), cf=0.830, gamma=6.481, delta=0.107, M=-1.861e+002
9 23 36 72 -> 103 fr=78 (0.1264), cf=0.821, gamma=6.413, delta=0.107, M=-1.844e+002
9 36 56 74 -> 103 fr=79 (0.1280), cf=0.790, gamma=6.170, delta=0.107, M=-1.840e+002
23 38 65 -> 103 fr=78 (0.1264), cf=0.813, gamma=6.346, delta=0.106, M=-1.827e+002
9 36 38 77 -> 103 fr=79 (0.1280), cf=0.782, gamma=6.109, delta=0.107, M=-1.825e+002
9 36 38 72 -> 103 fr=79 (0.1280), cf=0.782, gamma=6.109, delta=0.107, M=-1.825e+002
9 23 36 56 -> 103 fr=78 (0.1264), cf=0.804, gamma=6.280, delta=0.106, M=-1.811e+002
23 36 56 72 74 -> 103 fr=78 (0.1264), cf=0.804, gamma=6.280, delta=0.106, M=-1.811e+002
23 36 38 -> 103 fr=78 (0.1264), cf=0.796, gamma=6.216, delta=0.106, M=-1.795e+002
9 23 36 74 -> 103 fr=78 (0.1264), cf=0.796, gamma=6.216, delta=0.106, M=-1.795e+002
9 38 65 -> 103 fr=79 (0.1280), cf=0.767, gamma=5.990, delta=0.107, M=-1.795e+002
9 23 36 -> 103 fr=78 (0.1264), cf=0.788, gamma=6.153, delta=0.106, M=-1.780e+002
23 36 56 72 -> 103 fr=78 (0.1264), cf=0.788, gamma=6.153, delta=0.106, M=-1.780e+002
9 36 56 72 -> 103 fr=79 (0.1280), cf=0.745, gamma=5.821, delta=0.106, M=-1.753e+002
23 36 72 74 -> 103 fr=78 (0.1264), cf=0.772, gamma=6.032, delta=0.105, M=-1.750e+002
9 36 38 -> 103 fr=79 (0.1280), cf=0.731, gamma=5.713, delta=0.106, M=-1.727e+002
9 36 72 74 -> 103 fr=79 (0.1280), cf=0.731, gamma=5.713, delta=0.106, M=-1.727e+002
23 36 72 -> 103 fr=78 (0.1264), cf=0.757, gamma=5.914, delta=0.105, M=-1.721e+002
23 36 56 74 -> 103 fr=78 (0.1264), cf=0.757, gamma=5.914, delta=0.105, M=-1.721e+002
23 65 -> 103 fr=78 (0.1264), cf=0.750, gamma=5.858, delta=0.105, M=-1.707e+002
9 36 56 77 -> 103 fr=79 (0.1280), cf=0.718, gamma=5.609, delta=0.105, M=-1.701e+002
36 38 56 72 74 -> 103 fr=79 (0.1280), cf=0.718, gamma=5.609, delta=0.105, M=-1.701e+002
23 36 56 -> 103 fr=78 (0.1264), cf=0.743, gamma=5.802, delta=0.105, M=-1.694e+002
36 38 56 74 -> 103 fr=79 (0.1280), cf=0.712, gamma=5.559, delta=0.105, M=-1.689e+002
9 23 56 72 74 -> 103 fr=78 (0.1264), cf=0.736, gamma=5.747, delta=0.104, M=-1.681e+002
9 36 74 -> 103 fr=79 (0.1280), cf=0.705, gamma=5.509, delta=0.105, M=-1.676e+002
23 36 74 -> 103 fr=78 (0.1264), cf=0.729, gamma=5.693, delta=0.104, M=-1.667e+002
9 23 56 72 -> 103 fr=78 (0.1264), cf=0.729, gamma=5.693, delta=0.104, M=-1.667e+002
9 65 -> 103 fr=79 (0.1280), cf=0.693, gamma=5.412, delta=0.104, M=-1.653e+002
23 36 77 -> 103 fr=78 (0.1264), cf=0.716, gamma=5.589, delta=0.104, M=-1.642e+002
9 23 56 74 -> 103 fr=78 (0.1264), cf=0.709, gamma=5.538, delta=0.104, M=-1.630e+002
23 38 56 72 74 -> 103 fr=78 (0.1264), cf=0.709, gamma=5.538, delta=0.104, M=-1.630e+002
9 36 56 -> 103 fr=79 (0.1280), cf=0.675, gamma=5.274, delta=0.104, M=-1.618e+002
9 23 56 -> 103 fr=78 (0.1264), cf=0.703, gamma=5.488, delta=0.103, M=-1.618e+002
23 38 56 74 -> 103 fr=78 (0.1264), cf=0.703, gamma=5.488, delta=0.103, M=-1.618e+002
23 38 56 72 -> 103 fr=78 (0.1264), cf=0.703, gamma=5.488, delta=0.103, M=-1.618e+002
9 36 72 -> 103 fr=79 (0.1280), cf=0.669, gamma=5.229, delta=0.104, M=-1.607e+002
9 23 38 -> 103 fr=78 (0.1264), cf=0.696, gamma=5.439, delta=0.103, M=-1.606e+002
23 38 56 -> 103 fr=78 (0.1264), cf=0.696, gamma=5.439, delta=0.103, M=-1.606e+002
9 38 56 74 -> 103 fr=79 (0.1280), cf=0.658, gamma=5.142, delta=0.103, M=-1.586e+002
36 38 56 72 77 -> 103 fr=79 (0.1280), cf=0.658, gamma=5.142, delta=0.103, M=-1.586e+002
36 38 56 77 -> 103 fr=79 (0.1280), cf=0.653, gamma=5.099, delta=0.103, M=-1.575e+002
9 36 77 -> 103 fr=79 (0.1280), cf=0.648, gamma=5.057, delta=0.103, M=-1.565e+002
36 56 72 74 -> 103 fr=79 (0.1280), cf=0.648, gamma=5.057, delta=0.103, M=-1.565e+002
23 36 -> 103 fr=78 (0.1264), cf=0.672, gamma=5.252, delta=0.102, M=-1.560e+002
9 38 56 77 -> 103 fr=79 (0.1280), cf=0.632, gamma=4.936, delta=0.102, M=-1.534e+002
9 38 56 72 -> 103 fr=79 (0.1280), cf=0.632, gamma=4.936, delta=0.102, M=-1.534e+002
36 56 74 -> 103 fr=79 (0.1280), cf=0.617, gamma=4.820, delta=0.101, M=-1.505e+002
9 36 -> 103 fr=79 (0.1280), cf=0.612, gamma=4.783, delta=0.101, M=-1.496e+002
9 38 56 -> 103 fr=79 (0.1280), cf=0.598, gamma=4.674, delta=0.101, M=-1.468e+002
36 38 72 74 -> 103 fr=79 (0.1280), cf=0.598, gamma=4.674, delta=0.101, M=-1.468e+002
36 38 74 -> 103 fr=79 (0.1280), cf=0.594, gamma=4.639, delta=0.100, M=-1.459e+002
9 23 72 74 -> 103 fr=78 (0.1264), cf=0.609, gamma=4.759, delta=0.100, M=-1.439e+002
9 23 72 -> 103 fr=78 (0.1264), cf=0.605, gamma=4.722, delta=0.100, M=-1.429e+002
38 65 -> 103 fr=79 (0.1280), cf=0.577, gamma=4.504, delta=0.100, M=-1.424e+002
23 56 72 74 -> 103 fr=78 (0.1264), cf=0.600, gamma=4.686, delta=0.099, M=-1.420e+002
36 38 56 72 -> 103 fr=79 (0.1280), cf=0.572, gamma=4.471, delta=0.099, M=-1.415e+002
9 23 74 -> 103 fr=78 (0.1264), cf=0.591, gamma=4.615, delta=0.099, M=-1.402e+002
23 56 72 -> 103 fr=78 (0.1264), cf=0.591, gamma=4.615, delta=0.099, M=-1.402e+002
36 56 72 77 -> 103 fr=79 (0.1280), cf=0.564, gamma=4.407, delta=0.099, M=-1.399e+002
9 23 -> 103 fr=78 (0.1264), cf=0.586, gamma=4.580, delta=0.099, M=-1.393e+002
36 38 72 77 -> 103 fr=79 (0.1280), cf=0.556, gamma=4.345, delta=0.099, M=-1.382e+002
36 38 77 -> 103 fr=79 (0.1280), cf=0.552, gamma=4.315, delta=0.098, M=-1.374e+002
23 56 74 -> 103 fr=78 (0.1264), cf=0.574, gamma=4.479, delta=0.098, M=-1.368e+002
36 72 74 -> 103 fr=79 (0.1280), cf=0.549, gamma=4.285, delta=0.098, M=-1.366e+002
9 56 72 74 -> 103 fr=79 (0.1280), cf=0.545, gamma=4.255, delta=0.098, M=-1.358e+002
35 46 50 55 89 -> 113 fr=82 (0.1329), cf=0.536, gamma=4.033, delta=0.100, M=-1.358e+002
35 46 50 52 55 -> 113 fr=82 (0.1329), cf=0.536, gamma=4.033, delta=0.100, M=-1.358e+002
35 46 50 63 83 89 -> 113 fr=82 (0.1329), cf=0.536, gamma=4.033, delta=0.100, M=-1.358e+002
