9 36 65 -> 103 fr=79 (0.1297), cf=0.963, gamma=7.427, delta=0.112, M=-2.206e+002
9 23 36 38 56 -> 103 fr=78 (0.1281), cf=0.975, gamma=7.516, delta=0.111, M=-2.176e+002
9 36 38 56 74 -> 103 fr=79 (0.1297), cf=0.952, gamma=7.337, delta=0.112, M=-2.175e+002
36 65 -> 103 fr=79 (0.1297), cf=0.929, gamma=7.165, delta=0.112, M=-2.121e+002
9 23 36 38 -> 103 fr=78 (0.1281), cf=0.951, gamma=7.333, delta=0.111, M=-2.113e+002
9 36 38 56 77 -> 103 fr=79 (0.1297), cf=0.908, gamma=7.000, delta=0.111, M=-2.072e+002
9 36 38 56 72 -> 103 fr=79 (0.1297), cf=0.908, gamma=7.000, delta=0.111, M=-2.072e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1281), cf=0.918, gamma=7.074, delta=0.110, M=-2.034e+002
9 23 38 65 -> 103 fr=78 (0.1281), cf=0.907, gamma=6.992, delta=0.110, M=-2.010e+002
23 36 38 56 74 -> 103 fr=78 (0.1281), cf=0.907, gamma=6.992, delta=0.110, M=-2.010e+002
23 36 38 56 72 -> 103 fr=78 (0.1281), cf=0.907, gamma=6.992, delta=0.110, M=-2.010e+002
23 36 38 56 -> 103 fr=78 (0.1281), cf=0.897, gamma=6.911, delta=0.110, M=-1.987e+002
9 23 65 -> 103 fr=78 (0.1281), cf=0.876, gamma=6.756, delta=0.109, M=-1.945e+002
9 36 38 56 -> 103 fr=79 (0.1297), cf=0.840, gamma=6.479, delta=0.110, M=-1.929e+002
9 36 38 74 -> 103 fr=79 (0.1297), cf=0.840, gamma=6.479, delta=0.110, M=-1.929e+002
9 23 38 56 -> 103 fr=78 (0.1281), cf=0.867, gamma=6.681, delta=0.109, M=-1.925e+002
23 36 38 72 74 -> 103 fr=78 (0.1281), cf=0.867, gamma=6.681, delta=0.109, M=-1.925e+002
9 36 56 72 74 -> 103 fr=79 (0.1297), cf=0.832, gamma=6.411, delta=0.109, M=-1.911e+002
23 36 38 74 -> 103 fr=78 (0.1281), cf=0.857, gamma=6.608, delta=0.109, M=-1.905e+002
23 36 38 72 -> 103 fr=78 (0.1281), cf=0.857, gamma=6.608, delta=0.109, M=-1.905e+002
23 36 38 77 -> 103 fr=78 (0.1281), cf=0.848, gamma=6.536, delta=0.108, M=-1.886e+002
9 23 36 56 72 -> 103 fr=78 (0.1281), cf=0.839, gamma=6.465, delta=0.108, M=-1.868e+002
9 36 38 77 -> 103 fr=79 (0.1297), cf=0.806, gamma=6.214, delta=0.109, M=-1.860e+002
9 36 38 72 -> 103 fr=79 (0.1297), cf=0.806, gamma=6.214, delta=0.109, M=-1.860e+002
9 23 36 72 74 -> 103 fr=78 (0.1281), cf=0.830, gamma=6.397, delta=0.108, M=-1.850e+002
9 36 56 74 -> 103 fr=79 (0.1297), cf=0.798, gamma=6.152, delta=0.109, M=-1.844e+002
9 23 36 72 -> 103 fr=78 (0.1281), cf=0.821, gamma=6.329, delta=0.108, M=-1.833e+002
23 38 65 -> 103 fr=78 (0.1281), cf=0.813, gamma=6.263, delta=0.108, M=-1.816e+002
