9 36 65 -> 103 fr=79 (0.1291), cf=0.988, gamma=7.650, delta=0.112, M=-2.280e+002
9 23 36 38 56 -> 103 fr=78 (0.1275), cf=1.000, gamma=7.747, delta=0.111, M=-2.261e+002
9 23 36 38 -> 103 fr=78 (0.1275), cf=0.987, gamma=7.649, delta=0.111, M=-2.217e+002
9 36 38 56 74 -> 103 fr=79 (0.1291), cf=0.963, gamma=7.463, delta=0.112, M=-2.210e+002
23 36 65 -> 103 fr=78 (0.1275), cf=0.975, gamma=7.553, delta=0.111, M=-2.180e+002
36 65 -> 103 fr=79 (0.1291), cf=0.952, gamma=7.373, delta=0.112, M=-2.179e+002
9 36 38 56 77 -> 103 fr=79 (0.1291), cf=0.919, gamma=7.116, delta=0.111, M=-2.100e+002
9 36 38 56 72 -> 103 fr=79 (0.1291), cf=0.919, gamma=7.116, delta=0.111, M=-2.100e+002
9 23 38 65 -> 103 fr=78 (0.1275), cf=0.940, gamma=7.280, delta=0.110, M=-2.089e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1275), cf=0.940, gamma=7.280, delta=0.110, M=-2.089e+002
23 36 38 56 74 -> 103 fr=78 (0.1275), cf=0.929, gamma=7.193, delta=0.110, M=-2.063e+002
23 36 38 56 72 -> 103 fr=78 (0.1275), cf=0.929, gamma=7.193, delta=0.110, M=-2.063e+002
23 36 38 56 -> 103 fr=78 (0.1275), cf=0.918, gamma=7.109, delta=0.110, M=-2.038e+002
9 23 38 56 -> 103 fr=78 (0.1275), cf=0.918, gamma=7.109, delta=0.110, M=-2.038e+002
9 23 65 -> 103 fr=78 (0.1275), cf=0.907, gamma=7.026, delta=0.109, M=-2.014e+002
23 36 38 72 74 -> 103 fr=78 (0.1275), cf=0.897, gamma=6.945, delta=0.109, M=-1.991e+002
9 36 38 74 -> 103 fr=79 (0.1291), cf=0.868, gamma=6.725, delta=0.110, M=-1.990e+002
23 36 38 74 -> 103 fr=78 (0.1275), cf=0.886, gamma=6.867, delta=0.109, M=-1.970e+002
23 36 38 72 -> 103 fr=78 (0.1275), cf=0.886, gamma=6.867, delta=0.109, M=-1.970e+002
9 36 38 56 -> 103 fr=79 (0.1291), cf=0.849, gamma=6.581, delta=0.109, M=-1.951e+002
23 36 38 77 -> 103 fr=78 (0.1275), cf=0.876, gamma=6.789, delta=0.109, M=-1.949e+002
9 36 56 72 74 -> 103 fr=79 (0.1291), cf=0.840, gamma=6.511, delta=0.109, M=-1.933e+002
9 36 38 77 -> 103 fr=79 (0.1291), cf=0.832, gamma=6.442, delta=0.109, M=-1.915e+002
9 36 38 72 -> 103 fr=79 (0.1291), cf=0.832, gamma=6.442, delta=0.109, M=-1.915e+002
23 38 65 -> 103 fr=78 (0.1275), cf=0.857, gamma=6.640, delta=0.108, M=-1.909e+002
9 23 36 56 72 -> 103 fr=78 (0.1275), cf=0.857, gamma=6.640, delta=0.108, M=-1.909e+002
9 23 36 72 74 -> 103 fr=78 (0.1275), cf=0.857, gamma=6.640, delta=0.108, M=-1.909e+002
9 23 36 72 -> 103 fr=78 (0.1275), cf=0.848, gamma=6.568, delta=0.108, M=-1.890e+002
9 38 65 -> 103 fr=79 (0.1291), cf=0.806, gamma=6.245, delta=0.108, M=-1.865e+002
9 36 56 74 -> 103 fr=79 (0.1291), cf=0.806, gamma=6.245, delta=0.108, M=-1.865e+002
9 23 36 56 -> 103 fr=78 (0.1275), cf=0.821, gamma=6.361, delta=0.107, M=-1.837e+002
9 23 36 74 -> 103 fr=78 (0.1275), cf=0.821, gamma=6.361, delta=0.107, M=-1.837e+002
23 36 56 72 74 -> 103 fr=78 (0.1275), cf=0.821, gamma=6.361, delta=0.107, M=-1.837e+002
9 23 36 -> 103 fr=78 (0.1275), cf=0.813, gamma=6.294, delta=0.107, M=-1.821e+002
23 36 38 -> 103 fr=78 (0.1275), cf=0.813, gamma=6.294, delta=0.107, M=-1.821e+002
23 36 56 72 -> 103 fr=78 (0.1275), cf=0.804, gamma=6.229, delta=0.107, M=-1.804e+002
9 36 38 -> 103 fr=79 (0.1291), cf=0.775, gamma=6.000, delta=0.108, M=-1.803e+002
23 65 -> 103 fr=78 (0.1275), cf=0.796, gamma=6.166, delta=0.107, M=-1.788e+002
9 36 72 74 -> 103 fr=79 (0.1291), cf=0.767, gamma=5.942, delta=0.107, M=-1.788e+002
9 36 56 72 -> 103 fr=79 (0.1291), cf=0.760, gamma=5.885, delta=0.107, M=-1.774e+002
23 36 72 74 -> 103 fr=78 (0.1275), cf=0.788, gamma=6.104, delta=0.107, M=-1.773e+002
9 23 56 72 74 -> 103 fr=78 (0.1275), cf=0.780, gamma=6.043, delta=0.106, M=-1.758e+002
23 36 72 -> 103 fr=78 (0.1275), cf=0.772, gamma=5.983, delta=0.106, M=-1.743e+002
23 36 56 74 -> 103 fr=78 (0.1275), cf=0.772, gamma=5.983, delta=0.106, M=-1.743e+002
9 23 56 72 -> 103 fr=78 (0.1275), cf=0.772, gamma=5.983, delta=0.106, M=-1.743e+002
9 36 74 -> 103 fr=79 (0.1291), cf=0.738, gamma=5.720, delta=0.107, M=-1.733e+002
