9 36 65 -> 103 fr=80 (0.1292), cf=0.964, gamma=7.458, delta=0.112, M=-2.238e+002
9 23 36 38 56 -> 103 fr=79 (0.1276), cf=0.975, gamma=7.546, delta=0.111, M=-2.209e+002
9 36 38 56 74 -> 103 fr=80 (0.1292), cf=0.941, gamma=7.282, delta=0.111, M=-2.179e+002
23 36 65 -> 103 fr=79 (0.1276), cf=0.952, gamma=7.365, delta=0.110, M=-2.145e+002
9 23 36 38 -> 103 fr=79 (0.1276), cf=0.952, gamma=7.365, delta=0.110, M=-2.145e+002
36 65 -> 103 fr=80 (0.1292), cf=0.920, gamma=7.115, delta=0.111, M=-2.127e+002
9 36 38 56 77 -> 103 fr=80 (0.1292), cf=0.909, gamma=7.034, delta=0.111, M=-2.104e+002
9 36 38 56 72 -> 103 fr=80 (0.1292), cf=0.909, gamma=7.034, delta=0.111, M=-2.104e+002
9 23 38 65 -> 103 fr=79 (0.1276), cf=0.919, gamma=7.108, delta=0.110, M=-2.066e+002
23 36 38 56 -> 103 fr=79 (0.1276), cf=0.919, gamma=7.108, delta=0.110, M=-2.066e+002
9 23 65 -> 103 fr=79 (0.1276), cf=0.878, gamma=6.792, delta=0.109, M=-1.976e+002
9 23 38 56 -> 103 fr=79 (0.1276), cf=0.878, gamma=6.792, delta=0.109, M=-1.976e+002
23 36 38 74 -> 103 fr=79 (0.1276), cf=0.868, gamma=6.717, delta=0.109, M=-1.956e+002
23 36 38 77 -> 103 fr=79 (0.1276), cf=0.868, gamma=6.717, delta=0.109, M=-1.956e+002
23 36 38 72 -> 103 fr=79 (0.1276), cf=0.868, gamma=6.717, delta=0.109, M=-1.956e+002
9 36 38 56 -> 103 fr=80 (0.1292), cf=0.833, gamma=6.448, delta=0.109, M=-1.942e+002
9 36 38 74 -> 103 fr=80 (0.1292), cf=0.833, gamma=6.448, delta=0.109, M=-1.942e+002
9 36 56 72 74 -> 103 fr=80 (0.1292), cf=0.816, gamma=6.316, delta=0.109, M=-1.908e+002
9 36 38 77 -> 103 fr=80 (0.1292), cf=0.808, gamma=6.253, delta=0.109, M=-1.891e+002
9 36 38 72 -> 103 fr=80 (0.1292), cf=0.808, gamma=6.253, delta=0.109, M=-1.891e+002
9 23 36 56 72 -> 103 fr=79 (0.1276), cf=0.832, gamma=6.434, delta=0.108, M=-1.881e+002
9 23 36 72 74 -> 103 fr=79 (0.1276), cf=0.823, gamma=6.367, delta=0.108, M=-1.864e+002
9 38 65 -> 103 fr=80 (0.1292), cf=0.792, gamma=6.129, delta=0.108, M=-1.859e+002
23 38 65 -> 103 fr=79 (0.1276), cf=0.814, gamma=6.302, delta=0.107, M=-1.847e+002
9 23 36 72 -> 103 fr=79 (0.1276), cf=0.814, gamma=6.302, delta=0.107, M=-1.847e+002
9 36 56 74 -> 103 fr=80 (0.1292), cf=0.784, gamma=6.069, delta=0.108, M=-1.844e+002
23 36 38 -> 103 fr=79 (0.1276), cf=0.806, gamma=6.237, delta=0.107, M=-1.831e+002
9 23 36 56 -> 103 fr=79 (0.1276), cf=0.798, gamma=6.174, delta=0.107, M=-1.815e+002
23 36 56 72 74 -> 103 fr=79 (0.1276), cf=0.798, gamma=6.174, delta=0.107, M=-1.815e+002
9 23 36 74 -> 103 fr=79 (0.1276), cf=0.790, gamma=6.113, delta=0.107, M=-1.799e+002
23 36 56 72 -> 103 fr=79 (0.1276), cf=0.790, gamma=6.113, delta=0.107, M=-1.799e+002
9 23 36 -> 103 fr=79 (0.1276), cf=0.782, gamma=6.052, delta=0.107, M=-1.784e+002
9 36 38 -> 103 fr=80 (0.1292), cf=0.748, gamma=5.785, delta=0.107, M=-1.772e+002
9 36 56 72 -> 103 fr=80 (0.1292), cf=0.748, gamma=5.785, delta=0.107, M=-1.772e+002
9 36 72 74 -> 103 fr=80 (0.1292), cf=0.734, gamma=5.679, delta=0.106, M=-1.745e+002
23 65 -> 103 fr=79 (0.1276), cf=0.760, gamma=5.878, delta=0.106, M=-1.740e+002
23 36 56 74 -> 103 fr=79 (0.1276), cf=0.760, gamma=5.878, delta=0.106, M=-1.740e+002
23 36 72 74 -> 103 fr=79 (0.1276), cf=0.760, gamma=5.878, delta=0.106, M=-1.740e+002
23 36 56 -> 103 fr=79 (0.1276), cf=0.752, gamma=5.822, delta=0.106, M=-1.726e+002
23 36 72 -> 103 fr=79 (0.1276), cf=0.752, gamma=5.822, delta=0.106, M=-1.726e+002
9 65 -> 103 fr=80 (0.1292), cf=0.721, gamma=5.577, delta=0.106, M=-1.720e+002
9 36 56 77 -> 103 fr=80 (0.1292), cf=0.721, gamma=5.577, delta=0.106, M=-1.720e+002
36 38 56 74 -> 103 fr=80 (0.1292), cf=0.721, gamma=5.577, delta=0.106, M=-1.720e+002
9 23 56 72 74 -> 103 fr=79 (0.1276), cf=0.738, gamma=5.713, delta=0.105, M=-1.699e+002
9 36 74 -> 103 fr=80 (0.1292), cf=0.708, gamma=5.478, delta=0.106, M=-1.695e+002
9 23 56 72 -> 103 fr=79 (0.1276), cf=0.731, gamma=5.660, delta=0.105, M=-1.686e+002
23 36 74 -> 103 fr=79 (0.1276), cf=0.725, gamma=5.608, delta=0.105, M=-1.673e+002
23 36 77 -> 103 fr=79 (0.1276), cf=0.718, gamma=5.557, delta=0.105, M=-1.661e+002
9 23 38 -> 103 fr=79 (0.1276), cf=0.718, gamma=5.557, delta=0.105, M=-1.661e+002
9 23 56 74 -> 103 fr=79 (0.1276), cf=0.712, gamma=5.507, delta=0.104, M=-1.648e+002
9 36 72 -> 103 fr=80 (0.1292), cf=0.678, gamma=5.246, delta=0.105, M=-1.636e+002
36 38 56 77 -> 103 fr=80 (0.1292), cf=0.678, gamma=5.246, delta=0.105, M=-1.636e+002
9 38 56 74 -> 103 fr=80 (0.1292), cf=0.678, gamma=5.246, delta=0.105, M=-1.636e+002
9 23 56 -> 103 fr=79 (0.1276), cf=0.705, gamma=5.458, delta=0.104, M=-1.636e+002
23 38 56 -> 103 fr=79 (0.1276), cf=0.705, gamma=5.458, delta=0.104, M=-1.636e+002
9 36 56 -> 103 fr=80 (0.1292), cf=0.672, gamma=5.202, delta=0.104, M=-1.625e+002
65 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
23 36 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
36 74 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
36 77 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
36 72 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
9 23 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
23 56 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
56 74 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
56 77 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
56 72 98 -> 103 fr=63 (0.1018), cf=1.000, gamma=7.738, delta=0.089, M=-1.615e+002
9 38 56 77 -> 103 fr=80 (0.1292), cf=0.661, gamma=5.116, delta=0.104, M=-1.603e+002
9 38 56 72 -> 103 fr=80 (0.1292), cf=0.661, gamma=5.116, delta=0.104, M=-1.603e+002
9 36 77 -> 103 fr=80 (0.1292), cf=0.656, gamma=5.074, delta=0.104, M=-1.593e+002
23 36 -> 103 fr=79 (0.1276), cf=0.675, gamma=5.224, delta=0.103, M=-1.578e+002
23 98 -> 103 fr=63 (0.1018), cf=0.984, gamma=7.617, delta=0.088, M=-1.574e+002
38 65 69 -> 103 fr=63 (0.1018), cf=0.984, gamma=7.617, delta=0.088, M=-1.574e+002
36 56 69 74 -> 103 fr=63 (0.1018), cf=0.984, gamma=7.617, delta=0.088, M=-1.574e+002
36 56 72 74 -> 103 fr=80 (0.1292), cf=0.645, gamma=4.992, delta=0.103, M=-1.572e+002
36 56 74 -> 103 fr=80 (0.1292), cf=0.620, gamma=4.798, delta=0.102, M=-1.522e+002
9 38 56 -> 103 fr=80 (0.1292), cf=0.620, gamma=4.798, delta=0.102, M=-1.522e+002
9 36 -> 103 fr=80 (0.1292), cf=0.615, gamma=4.762, delta=0.102, M=-1.513e+002
36 38 74 -> 103 fr=80 (0.1292), cf=0.606, gamma=4.689, delta=0.102, M=-1.494e+002
9 23 72 74 -> 103 fr=79 (0.1276), cf=0.622, gamma=4.813, delta=0.101, M=-1.474e+002
9 23 72 -> 103 fr=79 (0.1276), cf=0.617, gamma=4.775, delta=0.101, M=-1.465e+002
36 38 56 72 -> 103 fr=80 (0.1292), cf=0.588, gamma=4.551, delta=0.101, M=-1.458e+002
9 23 74 -> 103 fr=79 (0.1276), cf=0.603, gamma=4.666, delta=0.100, M=-1.437e+002
36 38 77 -> 103 fr=80 (0.1292), cf=0.576, gamma=4.453, delta=0.100, M=-1.432e+002
9 23 -> 103 fr=79 (0.1276), cf=0.598, gamma=4.631, delta=0.100, M=-1.428e+002
23 56 72 74 -> 103 fr=79 (0.1276), cf=0.598, gamma=4.631, delta=0.100, M=-1.428e+002
23 56 72 -> 103 fr=79 (0.1276), cf=0.594, gamma=4.596, delta=0.100, M=-1.419e+002
36 56 72 77 -> 103 fr=80 (0.1292), cf=0.567, gamma=4.390, delta=0.100, M=-1.415e+002
38 65 -> 103 fr=80 (0.1292), cf=0.563, gamma=4.359, delta=0.100, M=-1.407e+002
9 56 72 74 -> 103 fr=80 (0.1292), cf=0.559, gamma=4.329, delta=0.099, M=-1.398e+002
35 46 50 55 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 55 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 63 83 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 63 83 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 59 63 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 59 63 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 63 79 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 63 79 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 63 69 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 63 69 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 59 67 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 59 67 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 59 69 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 59 69 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 67 69 83 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 67 69 83 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 67 69 79 89 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
35 46 50 52 67 69 79 -> 113 fr=82 (0.1325), cf=0.550, gamma=4.154, delta=0.101, M=-1.392e+002
36 38 56 -> 103 fr=80 (0.1292), cf=0.556, gamma=4.299, delta=0.099, M=-1.390e+002
36 98 -> 103 fr=63 (0.1018), cf=0.887, gamma=6.866, delta=0.087, M=-1.387e+002
56 98 -> 103 fr=63 (0.1018), cf=0.887, gamma=6.866, delta=0.087, M=-1.387e+002
9 74 98 -> 103 fr=63 (0.1018), cf=0.887, gamma=6.866, delta=0.087, M=-1.387e+002
9 77 98 -> 103 fr=63 (0.1018), cf=0.887, gamma=6.866, delta=0.087, M=-1.387e+002
9 72 98 -> 103 fr=63 (0.1018), cf=0.887, gamma=6.866, delta=0.087, M=-1.387e+002
35 46 50 63 89 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 52 63 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 67 83 89 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 52 67 83 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 67 79 89 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 52 67 79 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 67 69 89 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
35 46 50 52 67 69 -> 113 fr=82 (0.1325), cf=0.547, gamma=4.127, delta=0.100, M=-1.384e+002
23 56 74 -> 103 fr=79 (0.1276), cf=0.577, gamma=4.462, delta=0.099, M=-1.384e+002
36 72 74 -> 103 fr=80 (0.1292), cf=0.552, gamma=4.269, delta=0.099, M=-1.382e+002
23 56 -> 103 fr=79 (0.1276), cf=0.572, gamma=4.429, delta=0.099, M=-1.375e+002
36 56 77 -> 103 fr=80 (0.1292), cf=0.548, gamma=4.240, delta=0.099, M=-1.374e+002
74 98 -> 103 fr=63 (0.1018), cf=0.875, gamma=6.770, delta=0.087, M=-1.366e+002
77 98 -> 103 fr=63 (0.1018), cf=0.875, gamma=6.770, delta=0.087, M=-1.366e+002
72 98 -> 103 fr=63 (0.1018), cf=0.875, gamma=6.770, delta=0.087, M=-1.366e+002
9 56 74 -> 103 fr=80 (0.1292), cf=0.544, gamma=4.211, delta=0.099, M=-1.366e+002
35 41 46 50 55 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
35 46 50 59 89 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
35 46 50 52 59 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
35 41 46 50 63 83 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
35 41 46 50 59 63 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
35 41 46 50 63 79 -> 113 fr=82 (0.1325), cf=0.532, gamma=4.019, delta=0.100, M=-1.353e+002
