9 36 65 -> 103 fr=79 (0.1293), cf=0.963, gamma=7.451, delta=0.112, M=-2.208e+002
9 23 36 38 56 -> 103 fr=78 (0.1277), cf=0.975, gamma=7.541, delta=0.111, M=-2.179e+002
9 36 38 56 74 -> 103 fr=79 (0.1293), cf=0.952, gamma=7.361, delta=0.112, M=-2.178e+002
23 36 65 -> 103 fr=78 (0.1277), cf=0.963, gamma=7.448, delta=0.111, M=-2.146e+002
36 65 -> 103 fr=79 (0.1293), cf=0.929, gamma=7.188, delta=0.111, M=-2.123e+002
9 23 36 38 -> 103 fr=78 (0.1277), cf=0.951, gamma=7.357, delta=0.110, M=-2.116e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1277), cf=0.929, gamma=7.182, delta=0.110, M=-2.061e+002
9 36 38 56 77 -> 103 fr=79 (0.1293), cf=0.898, gamma=6.943, delta=0.111, M=-2.052e+002
9 36 38 56 72 -> 103 fr=79 (0.1293), cf=0.898, gamma=6.943, delta=0.111, M=-2.052e+002
23 36 38 56 74 -> 103 fr=78 (0.1277), cf=0.918, gamma=7.097, delta=0.110, M=-2.036e+002
23 36 38 56 72 -> 103 fr=78 (0.1277), cf=0.918, gamma=7.097, delta=0.110, M=-2.036e+002
9 23 38 65 -> 103 fr=78 (0.1277), cf=0.907, gamma=7.015, delta=0.109, M=-2.013e+002
23 36 38 56 -> 103 fr=78 (0.1277), cf=0.907, gamma=7.015, delta=0.109, M=-2.013e+002
9 23 65 -> 103 fr=78 (0.1277), cf=0.876, gamma=6.778, delta=0.109, M=-1.947e+002
23 36 38 72 74 -> 103 fr=78 (0.1277), cf=0.876, gamma=6.778, delta=0.109, M=-1.947e+002
23 36 38 74 -> 103 fr=78 (0.1277), cf=0.867, gamma=6.703, delta=0.109, M=-1.927e+002
23 36 38 72 -> 103 fr=78 (0.1277), cf=0.867, gamma=6.703, delta=0.109, M=-1.927e+002
9 23 38 56 -> 103 fr=78 (0.1277), cf=0.867, gamma=6.703, delta=0.109, M=-1.927e+002
9 36 38 56 -> 103 fr=79 (0.1293), cf=0.832, gamma=6.432, delta=0.109, M=-1.914e+002
9 36 38 74 -> 103 fr=79 (0.1293), cf=0.832, gamma=6.432, delta=0.109, M=-1.914e+002
9 36 56 72 74 -> 103 fr=79 (0.1293), cf=0.832, gamma=6.432, delta=0.109, M=-1.914e+002
23 36 38 77 -> 103 fr=78 (0.1277), cf=0.857, gamma=6.629, delta=0.108, M=-1.908e+002
9 23 36 56 72 -> 103 fr=78 (0.1277), cf=0.839, gamma=6.487, delta=0.108, M=-1.871e+002
9 23 36 72 74 -> 103 fr=78 (0.1277), cf=0.830, gamma=6.418, delta=0.108, M=-1.853e+002
9 36 56 74 -> 103 fr=79 (0.1293), cf=0.798, gamma=6.172, delta=0.108, M=-1.847e+002
9 23 36 72 -> 103 fr=78 (0.1277), cf=0.821, gamma=6.350, delta=0.108, M=-1.836e+002
9 36 38 77 -> 103 fr=79 (0.1293), cf=0.790, gamma=6.110, delta=0.108, M=-1.832e+002
9 36 38 72 -> 103 fr=79 (0.1293), cf=0.790, gamma=6.110, delta=0.108, M=-1.832e+002
23 38 65 -> 103 fr=78 (0.1277), cf=0.813, gamma=6.284, delta=0.107, M=-1.819e+002
23 36 56 72 74 -> 103 fr=78 (0.1277), cf=0.813, gamma=6.284, delta=0.107, M=-1.819e+002
9 38 65 -> 103 fr=79 (0.1293), cf=0.782, gamma=6.050, delta=0.108, M=-1.816e+002
9 23 36 56 -> 103 fr=78 (0.1277), cf=0.804, gamma=6.219, delta=0.107, M=-1.803e+002
23 36 38 -> 103 fr=78 (0.1277), cf=0.796, gamma=6.156, delta=0.107, M=-1.787e+002
9 23 36 74 -> 103 fr=78 (0.1277), cf=0.796, gamma=6.156, delta=0.107, M=-1.787e+002
23 36 56 72 -> 103 fr=78 (0.1277), cf=0.796, gamma=6.156, delta=0.107, M=-1.787e+002
9 23 36 -> 103 fr=78 (0.1277), cf=0.788, gamma=6.094, delta=0.107, M=-1.772e+002
9 36 56 72 -> 103 fr=79 (0.1293), cf=0.752, gamma=5.819, delta=0.107, M=-1.759e+002
36 38 56 72 74 -> 103 fr=79 (0.1293), cf=0.745, gamma=5.764, delta=0.107, M=-1.745e+002
23 36 72 74 -> 103 fr=78 (0.1277), cf=0.772, gamma=5.973, delta=0.106, M=-1.742e+002
9 36 38 -> 103 fr=79 (0.1293), cf=0.738, gamma=5.710, delta=0.107, M=-1.732e+002
9 36 72 74 -> 103 fr=79 (0.1293), cf=0.738, gamma=5.710, delta=0.107, M=-1.732e+002
36 38 56 74 -> 103 fr=79 (0.1293), cf=0.738, gamma=5.710, delta=0.107, M=-1.732e+002
23 36 56 74 -> 103 fr=78 (0.1277), cf=0.765, gamma=5.914, delta=0.106, M=-1.727e+002
23 65 -> 103 fr=78 (0.1277), cf=0.757, gamma=5.857, delta=0.106, M=-1.713e+002
23 36 72 -> 103 fr=78 (0.1277), cf=0.757, gamma=5.857, delta=0.106, M=-1.713e+002
9 36 56 77 -> 103 fr=79 (0.1293), cf=0.725, gamma=5.606, delta=0.106, M=-1.706e+002
23 36 56 -> 103 fr=78 (0.1277), cf=0.750, gamma=5.801, delta=0.106, M=-1.699e+002
9 23 56 72 74 -> 103 fr=78 (0.1277), cf=0.743, gamma=5.745, delta=0.105, M=-1.686e+002
9 36 74 -> 103 fr=79 (0.1293), cf=0.712, gamma=5.505, delta=0.106, M=-1.680e+002
9 23 56 72 -> 103 fr=78 (0.1277), cf=0.736, gamma=5.691, delta=0.105, M=-1.672e+002
9 65 -> 103 fr=79 (0.1293), cf=0.705, gamma=5.455, delta=0.106, M=-1.668e+002
23 36 74 -> 103 fr=78 (0.1277), cf=0.729, gamma=5.638, delta=0.105, M=-1.659e+002
23 36 77 -> 103 fr=78 (0.1277), cf=0.716, gamma=5.535, delta=0.105, M=-1.634e+002
9 23 56 74 -> 103 fr=78 (0.1277), cf=0.716, gamma=5.535, delta=0.105, M=-1.634e+002
9 38 56 74 -> 103 fr=79 (0.1293), cf=0.687, gamma=5.313, delta=0.105, M=-1.633e+002
36 56 69 74 -> 103 fr=63 (0.1031), cf=1.000, gamma=7.734, delta=0.090, M=-1.622e+002
9 23 56 -> 103 fr=78 (0.1277), cf=0.709, gamma=5.484, delta=0.104, M=-1.622e+002
23 38 56 72 74 -> 103 fr=78 (0.1277), cf=0.709, gamma=5.484, delta=0.104, M=-1.622e+002
9 36 56 -> 103 fr=79 (0.1293), cf=0.681, gamma=5.267, delta=0.105, M=-1.621e+002
36 38 56 72 77 -> 103 fr=79 (0.1293), cf=0.681, gamma=5.267, delta=0.105, M=-1.621e+002
9 36 72 -> 103 fr=79 (0.1293), cf=0.675, gamma=5.222, delta=0.105, M=-1.610e+002
36 38 56 77 -> 103 fr=79 (0.1293), cf=0.675, gamma=5.222, delta=0.105, M=-1.610e+002
9 23 38 -> 103 fr=78 (0.1277), cf=0.703, gamma=5.435, delta=0.104, M=-1.610e+002
23 38 56 74 -> 103 fr=78 (0.1277), cf=0.703, gamma=5.435, delta=0.104, M=-1.610e+002
23 38 56 72 -> 103 fr=78 (0.1277), cf=0.703, gamma=5.435, delta=0.104, M=-1.610e+002
36 56 72 74 -> 103 fr=79 (0.1293), cf=0.669, gamma=5.178, delta=0.104, M=-1.599e+002
23 38 56 -> 103 fr=78 (0.1277), cf=0.696, gamma=5.386, delta=0.104, M=-1.598e+002
38 65 69 -> 103 fr=63 (0.1031), cf=0.984, gamma=7.613, delta=0.090, M=-1.581e+002
9 38 56 77 -> 103 fr=79 (0.1293), cf=0.658, gamma=5.092, delta=0.104, M=-1.577e+002
9 38 56 72 -> 103 fr=79 (0.1293), cf=0.658, gamma=5.092, delta=0.104, M=-1.577e+002
9 36 77 -> 103 fr=79 (0.1293), cf=0.653, gamma=5.050, delta=0.104, M=-1.567e+002
23 36 -> 103 fr=78 (0.1277), cf=0.672, gamma=5.201, delta=0.103, M=-1.552e+002
36 56 74 -> 103 fr=79 (0.1293), cf=0.637, gamma=4.927, delta=0.103, M=-1.536e+002
9 38 56 -> 103 fr=79 (0.1293), cf=0.622, gamma=4.811, delta=0.102, M=-1.506e+002
9 36 -> 103 fr=79 (0.1293), cf=0.617, gamma=4.773, delta=0.102, M=-1.497e+002
36 38 72 74 -> 103 fr=79 (0.1293), cf=0.617, gamma=4.773, delta=0.102, M=-1.497e+002
36 38 74 -> 103 fr=79 (0.1293), cf=0.612, gamma=4.736, delta=0.102, M=-1.487e+002
9 23 72 74 -> 103 fr=78 (0.1277), cf=0.619, gamma=4.788, delta=0.101, M=-1.449e+002
36 38 56 72 -> 103 fr=79 (0.1293), cf=0.590, gamma=4.560, delta=0.101, M=-1.442e+002
9 23 72 -> 103 fr=78 (0.1277), cf=0.614, gamma=4.750, delta=0.101, M=-1.440e+002
38 65 -> 103 fr=79 (0.1293), cf=0.581, gamma=4.493, delta=0.101, M=-1.424e+002
23 56 72 74 -> 103 fr=78 (0.1277), cf=0.605, gamma=4.676, delta=0.100, M=-1.421e+002
36 56 72 77 -> 103 fr=79 (0.1293), cf=0.577, gamma=4.460, delta=0.100, M=-1.416e+002
9 23 74 -> 103 fr=78 (0.1277), cf=0.600, gamma=4.641, delta=0.100, M=-1.412e+002
36 38 72 77 -> 103 fr=79 (0.1293), cf=0.572, gamma=4.428, delta=0.100, M=-1.407e+002
9 23 -> 103 fr=78 (0.1277), cf=0.595, gamma=4.605, delta=0.100, M=-1.403e+002
23 56 72 -> 103 fr=78 (0.1277), cf=0.595, gamma=4.605, delta=0.100, M=-1.403e+002
36 38 77 -> 103 fr=79 (0.1293), cf=0.568, gamma=4.396, delta=0.100, M=-1.399e+002
36 72 74 -> 103 fr=79 (0.1293), cf=0.564, gamma=4.364, delta=0.100, M=-1.390e+002
9 56 72 74 -> 103 fr=79 (0.1293), cf=0.564, gamma=4.364, delta=0.100, M=-1.390e+002
36 38 56 -> 103 fr=79 (0.1293), cf=0.556, gamma=4.303, delta=0.099, M=-1.374e+002
23 56 74 -> 103 fr=78 (0.1277), cf=0.578, gamma=4.469, delta=0.099, M=-1.368e+002
36 56 77 -> 103 fr=79 (0.1293), cf=0.552, gamma=4.273, delta=0.099, M=-1.366e+002
9 56 74 -> 103 fr=79 (0.1293), cf=0.549, gamma=4.243, delta=0.099, M=-1.358e+002
35 46 50 55 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 55 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 63 83 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 63 83 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 59 63 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 59 63 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 63 79 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 63 79 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 59 67 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 59 67 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 59 69 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 59 69 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 63 67 69 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 63 67 69 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 57 67 69 83 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 57 67 69 83 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 57 67 69 79 89 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
35 46 50 52 57 67 69 79 -> 113 fr=82 (0.1342), cf=0.539, gamma=4.020, delta=0.101, M=-1.357e+002
23 56 -> 103 fr=78 (0.1277), cf=0.569, gamma=4.403, delta=0.099, M=-1.351e+002
35 46 50 63 67 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 63 67 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 63 69 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 63 69 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 67 69 83 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 67 69 83 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 57 67 83 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 57 67 83 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 67 69 79 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 67 69 79 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 57 67 79 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 57 67 79 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 57 67 69 89 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
35 46 50 52 57 67 69 -> 113 fr=82 (0.1342), cf=0.536, gamma=3.993, delta=0.101, M=-1.350e+002
36 74 -> 103 fr=79 (0.1293), cf=0.541, gamma=4.185, delta=0.098, M=-1.342e+002
35 46 50 63 89 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 52 63 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 67 83 89 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 52 67 83 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 67 79 89 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 52 67 79 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 67 69 89 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 46 50 52 67 69 -> 113 fr=82 (0.1342), cf=0.532, gamma=3.968, delta=0.100, M=-1.342e+002
35 41 46 50 55 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 46 50 59 89 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 46 50 52 59 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 63 83 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 59 63 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 63 79 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 59 67 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 59 69 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 50 55 63 89 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 63 67 69 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 50 63 83 89 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 50 59 63 89 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 50 63 79 89 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 42 50 52 55 63 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 42 50 52 63 83 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 42 50 52 59 63 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 42 50 52 63 79 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 50 63 67 69 89 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 57 67 69 83 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 46 50 57 67 69 79 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 41 42 50 52 63 67 69 97 -> 113 fr=82 (0.1342), cf=0.522, gamma=3.892, delta=0.100, M=-1.320e+002
35 46 55 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 55 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 63 83 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 63 83 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 59 63 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 59 63 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 63 79 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 63 79 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 59 67 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 59 67 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 59 69 89 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 46 52 59 69 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 41 46 50 63 67 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
35 41 46 50 63 69 -> 113 fr=82 (0.1342), cf=0.519, gamma=3.867, delta=0.100, M=-1.312e+002
