11 30 33 41 45 -> 48 fr=90 (0.3273), cf=0.928, gamma=1.724, delta=0.137, M=-5.387e+001
11 33 41 45 -> 48 fr=91 (0.3309), cf=0.919, gamma=1.708, delta=0.137, M=-5.278e+001
30 33 41 45 -> 48 fr=91 (0.3309), cf=0.919, gamma=1.708, delta=0.137, M=-5.278e+001
11 30 41 45 -> 48 fr=91 (0.3309), cf=0.919, gamma=1.708, delta=0.137, M=-5.278e+001
30 31 41 -> 48 fr=104 (0.3782), cf=0.867, gamma=1.610, delta=0.143, M=-5.201e+001
33 41 45 -> 48 fr=92 (0.3345), cf=0.911, gamma=1.693, delta=0.137, M=-5.179e+001
11 41 45 -> 48 fr=92 (0.3345), cf=0.911, gamma=1.693, delta=0.137, M=-5.179e+001
31 41 -> 48 fr=105 (0.3818), cf=0.861, gamma=1.599, delta=0.143, M=-5.149e+001
30 31 33 45 -> 48 fr=105 (0.3818), cf=0.861, gamma=1.599, delta=0.143, M=-5.149e+001
31 33 45 -> 48 fr=106 (0.3855), cf=0.855, gamma=1.588, delta=0.143, M=-5.100e+001
30 41 45 -> 48 fr=92 (0.3345), cf=0.902, gamma=1.676, delta=0.135, M=-4.985e+001
11 30 33 45 -> 48 fr=115 (0.4182), cf=0.816, gamma=1.515, delta=0.142, M=-4.949e+001
30 31 45 -> 48 fr=106 (0.3855), cf=0.848, gamma=1.576, delta=0.141, M=-4.944e+001
30 33 45 -> 48 fr=116 (0.4218), cf=0.811, gamma=1.507, delta=0.142, M=-4.929e+001
31 45 -> 48 fr=107 (0.3891), cf=0.843, gamma=1.565, delta=0.141, M=-4.902e+001
41 45 -> 48 fr=93 (0.3382), cf=0.894, gamma=1.662, delta=0.135, M=-4.901e+001
11 33 45 -> 48 fr=116 (0.4218), cf=0.806, gamma=1.497, delta=0.140, M=-4.793e+001
33 45 -> 48 fr=117 (0.4255), cf=0.801, gamma=1.489, delta=0.140, M=-4.778e+001
11 30 45 -> 48 fr=116 (0.4218), cf=0.800, gamma=1.486, delta=0.138, M=-4.660e+001
11 45 -> 48 fr=117 (0.4255), cf=0.791, gamma=1.469, delta=0.136, M=-4.517e+001
30 45 -> 48 fr=117 (0.4255), cf=0.791, gamma=1.469, delta=0.136, M=-4.517e+001
10 47 -> ~48 fr=64 (0.2327), cf=0.914, gamma=1.980, delta=0.115, M=-4.438e+001
10 32 -> ~48 fr=64 (0.2327), cf=0.901, gamma=1.952, delta=0.113, M=-4.243e+001
30 31 33 -> 48 fr=129 (0.4691), cf=0.729, gamma=1.354, delta=0.123, M=-4.003e+001
31 33 -> 48 fr=130 (0.4727), cf=0.718, gamma=1.335, delta=0.119, M=-3.814e+001
11 30 33 41 -> 48 fr=112 (0.4073), cf=0.772, gamma=1.435, delta=0.124, M=-3.728e+001
11 33 41 -> 48 fr=113 (0.4109), cf=0.769, gamma=1.428, delta=0.123, M=-3.716e+001
30 33 41 -> 48 fr=115 (0.4182), cf=0.762, gamma=1.415, delta=0.123, M=-3.698e+001
33 41 -> 48 fr=116 (0.4218), cf=0.758, gamma=1.409, delta=0.122, M=-3.691e+001
30 31 -> 48 fr=131 (0.4764), cf=0.708, gamma=1.316, delta=0.114, M=-3.634e+001
11 30 41 -> 48 fr=113 (0.4109), cf=0.758, gamma=1.409, delta=0.119, M=-3.493e+001
11 41 -> 48 fr=114 (0.4145), cf=0.755, gamma=1.403, delta=0.119, M=-3.485e+001
30 41 -> 48 fr=117 (0.4255), cf=0.741, gamma=1.376, delta=0.116, M=-3.366e+001
6 39 -> ~48 fr=67 (0.2436), cf=0.788, gamma=1.707, delta=0.101, M=-2.930e+001
33 38 -> 48 fr=96 (0.3491), cf=0.768, gamma=1.427, delta=0.104, M=-2.726e+001
38 -> 48 fr=96 (0.3491), cf=0.762, gamma=1.416, delta=0.103, M=-2.624e+001
30 31 41 -> ~50 fr=120 (0.4364), cf=1.000, gamma=1.136, delta=0.052, M=-2.059e+001
5 11 21 30 33 -> 48 fr=60 (0.2182), cf=0.833, gamma=1.548, delta=0.077, M=-2.023e+001
5 9 30 -> 48 fr=30 (0.1091), cf=1.000, gamma=1.858, delta=0.050, M=-2.010e+001
5 11 30 33 -> 48 fr=65 (0.2364), cf=0.813, gamma=1.510, delta=0.080, M=-2.002e+001
5 21 30 33 -> 48 fr=61 (0.2218), cf=0.824, gamma=1.532, delta=0.077, M=-1.970e+001
5 11 33 -> 48 fr=66 (0.2400), cf=0.805, gamma=1.496, delta=0.080, M=-1.958e+001
5 21 33 -> 48 fr=61 (0.2218), cf=0.813, gamma=1.511, delta=0.075, M=-1.857e+001
5 9 -> 48 fr=31 (0.1127), cf=0.969, gamma=1.800, delta=0.050, M=-1.799e+001
31 41 -> ~50 fr=121 (0.4400), cf=0.992, gamma=1.127, delta=0.050, M=-1.754e+001
5 30 33 -> 48 fr=66 (0.2400), cf=0.786, gamma=1.460, delta=0.076, M=-1.753e+001
6 42 -> ~48 fr=35 (0.1273), cf=0.854, gamma=1.848, delta=0.058, M=-1.747e+001
31 33 45 -> ~51 fr=123 (0.4473), cf=0.992, gamma=1.123, delta=0.049, M=-1.732e+001
5 33 -> 48 fr=67 (0.2436), cf=0.779, gamma=1.448, delta=0.075, M=-1.718e+001
5 11 30 -> 48 fr=65 (0.2364), cf=0.783, gamma=1.455, delta=0.074, M=-1.693e+001
5 11 -> 48 fr=66 (0.2400), cf=0.776, gamma=1.443, delta=0.074, M=-1.658e+001
41 45 -> ~51 fr=104 (0.3782), cf=1.000, gamma=1.132, delta=0.044, M=-1.642e+001
30 33 45 -> ~51 fr=140 (0.5091), cf=0.979, gamma=1.108, delta=0.050, M=-1.613e+001
30 33 41 45 -> ~50 fr=99 (0.3600), cf=1.000, gamma=1.136, delta=0.043, M=-1.593e+001
11 30 41 45 -> ~50 fr=99 (0.3600), cf=1.000, gamma=1.136, delta=0.043, M=-1.593e+001
5 21 30 -> 48 fr=61 (0.2218), cf=0.782, gamma=1.453, delta=0.069, M=-1.553e+001
16 30 41 -> ~50 fr=123 (0.4473), cf=0.984, gamma=1.118, delta=0.047, M=-1.538e+001
