2 11 16 -> ~157 fr=176 (0.5552), cf=0.907, gamma=1.417, delta=0.163, M=-8.407e+001
2 11 16 -> 156 fr=176 (0.5552), cf=0.907, gamma=1.417, delta=0.163, M=-8.407e+001
2 16 -> ~157 fr=191 (0.6025), cf=0.860, gamma=1.344, delta=0.154, M=-8.285e+001
2 16 -> 156 fr=191 (0.6025), cf=0.860, gamma=1.344, delta=0.154, M=-8.285e+001
11 16 -> ~157 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
11 16 -> 156 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
16 124 -> ~157 fr=173 (0.5457), cf=0.906, gamma=1.414, delta=0.160, M=-7.998e+001
16 124 -> 156 fr=173 (0.5457), cf=0.906, gamma=1.414, delta=0.160, M=-7.998e+001
13 -> 157 fr=64 (0.2019), cf=0.941, gamma=2.617, delta=0.125, M=-6.826e+001
16 121 -> ~157 fr=147 (0.4637), cf=0.930, gamma=1.453, delta=0.145, M=-6.569e+001
16 121 -> 156 fr=147 (0.4637), cf=0.930, gamma=1.453, delta=0.145, M=-6.569e+001
22 -> 157 fr=59 (0.1861), cf=0.952, gamma=2.646, delta=0.116, M=-6.329e+001
16 131 -> ~157 fr=144 (0.4543), cf=0.929, gamma=1.451, delta=0.141, M=-6.284e+001
16 131 -> 156 fr=144 (0.4543), cf=0.929, gamma=1.451, delta=0.141, M=-6.284e+001
121 131 141 -> ~157 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
121 131 141 -> 156 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
7 11 -> ~157 fr=149 (0.4700), cf=0.914, gamma=1.427, delta=0.141, M=-6.133e+001
7 11 -> 156 fr=149 (0.4700), cf=0.914, gamma=1.427, delta=0.141, M=-6.133e+001
131 141 -> ~157 fr=147 (0.4637), cf=0.913, gamma=1.426, delta=0.138, M=-5.945e+001
131 141 -> 156 fr=147 (0.4637), cf=0.913, gamma=1.426, delta=0.138, M=-5.945e+001
121 141 -> ~157 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
121 141 -> 156 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
