2 16 -> ~157 fr=190 (0.6032), cf=0.880, gamma=1.372, delta=0.163, M=-9.113e+001
2 16 -> 156 fr=190 (0.6032), cf=0.880, gamma=1.372, delta=0.163, M=-9.113e+001
11 16 -> ~157 fr=176 (0.5587), cf=0.912, gamma=1.422, delta=0.166, M=-8.650e+001
11 16 -> 156 fr=176 (0.5587), cf=0.912, gamma=1.422, delta=0.166, M=-8.650e+001
16 124 -> ~157 fr=175 (0.5556), cf=0.911, gamma=1.421, delta=0.165, M=-8.508e+001
16 124 -> 156 fr=175 (0.5556), cf=0.911, gamma=1.421, delta=0.165, M=-8.508e+001
13 -> 157 fr=67 (0.2127), cf=0.944, gamma=2.631, delta=0.132, M=-7.335e+001
16 121 -> ~157 fr=149 (0.4730), cf=0.937, gamma=1.461, delta=0.149, M=-6.993e+001
16 121 -> 156 fr=149 (0.4730), cf=0.937, gamma=1.461, delta=0.149, M=-6.993e+001
2 11 141 150 -> ~157 fr=148 (0.4698), cf=0.931, gamma=1.452, delta=0.146, M=-6.667e+001
2 11 141 150 -> 156 fr=148 (0.4698), cf=0.931, gamma=1.452, delta=0.146, M=-6.667e+001
2 11 141 -> ~157 fr=155 (0.4921), cf=0.912, gamma=1.422, delta=0.146, M=-6.529e+001
2 11 141 -> 156 fr=155 (0.4921), cf=0.912, gamma=1.422, delta=0.146, M=-6.529e+001
22 -> 157 fr=58 (0.1841), cf=0.967, gamma=2.695, delta=0.116, M=-6.489e+001
16 131 -> ~157 fr=144 (0.4571), cf=0.929, gamma=1.449, delta=0.142, M=-6.283e+001
16 131 -> 156 fr=144 (0.4571), cf=0.929, gamma=1.449, delta=0.142, M=-6.283e+001
7 11 -> ~157 fr=150 (0.4762), cf=0.915, gamma=1.426, delta=0.142, M=-6.231e+001
7 11 -> 156 fr=150 (0.4762), cf=0.915, gamma=1.426, delta=0.142, M=-6.231e+001
11 124 141 150 -> ~157 fr=141 (0.4476), cf=0.934, gamma=1.456, delta=0.140, M=-6.223e+001
11 124 141 150 -> 156 fr=141 (0.4476), cf=0.934, gamma=1.456, delta=0.140, M=-6.223e+001
16 -> ~157 fr=190 (0.6032), cf=0.815, gamma=1.272, delta=0.129, M=-6.172e+001
121 141 -> ~157 fr=147 (0.4667), cf=0.919, gamma=1.433, delta=0.141, M=-6.146e+001
121 141 -> 156 fr=147 (0.4667), cf=0.919, gamma=1.433, delta=0.141, M=-6.146e+001
11 131 141 -> ~157 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
11 131 141 -> 156 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
11 124 141 -> ~157 fr=148 (0.4698), cf=0.914, gamma=1.425, delta=0.140, M=-6.039e+001
11 124 141 -> 156 fr=148 (0.4698), cf=0.914, gamma=1.425, delta=0.140, M=-6.039e+001
131 141 -> ~157 fr=147 (0.4667), cf=0.913, gamma=1.424, delta=0.139, M=-5.945e+001
131 141 -> 156 fr=147 (0.4667), cf=0.913, gamma=1.424, delta=0.139, M=-5.945e+001
2 124 141 150 -> ~157 fr=153 (0.4857), cf=0.900, gamma=1.403, delta=0.140, M=-5.941e+001
2 124 141 150 -> 156 fr=153 (0.4857), cf=0.900, gamma=1.403, delta=0.140, M=-5.941e+001
2 124 141 -> ~157 fr=160 (0.5079), cf=0.884, gamma=1.378, delta=0.139, M=-5.917e+001
2 124 141 -> 156 fr=160 (0.5079), cf=0.884, gamma=1.378, delta=0.139, M=-5.917e+001
124 141 150 -> ~157 fr=153 (0.4857), cf=0.895, gamma=1.395, delta=0.138, M=-5.757e+001
124 141 150 -> 156 fr=153 (0.4857), cf=0.895, gamma=1.395, delta=0.138, M=-5.757e+001
7 124 -> ~157 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
7 124 -> 156 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
124 141 -> ~157 fr=160 (0.5079), cf=0.879, gamma=1.371, delta=0.137, M=-5.743e+001
124 141 -> 156 fr=160 (0.5079), cf=0.879, gamma=1.371, delta=0.137, M=-5.743e+001
121 131 -> ~157 fr=144 (0.4571), cf=0.911, gamma=1.421, delta=0.135, M=-5.670e+001
121 131 -> 156 fr=144 (0.4571), cf=0.911, gamma=1.421, delta=0.135, M=-5.670e+001
11 141 150 -> ~157 fr=148 (0.4698), cf=0.902, gamma=1.407, delta=0.136, M=-5.654e+001
11 141 150 -> 156 fr=148 (0.4698), cf=0.902, gamma=1.407, delta=0.136, M=-5.654e+001
11 141 -> ~157 fr=155 (0.4921), cf=0.886, gamma=1.381, delta=0.136, M=-5.594e+001
11 141 -> 156 fr=155 (0.4921), cf=0.886, gamma=1.381, delta=0.136, M=-5.594e+001
102 111 121 -> ~157 fr=130 (0.4127), cf=0.935, gamma=1.458, delta=0.130, M=-5.487e+001
102 111 121 -> 156 fr=130 (0.4127), cf=0.935, gamma=1.458, delta=0.130, M=-5.487e+001
131 -> ~157 fr=152 (0.4825), cf=0.889, gamma=1.386, delta=0.134, M=-5.483e+001
131 -> 156 fr=152 (0.4825), cf=0.889, gamma=1.386, delta=0.134, M=-5.483e+001
102 111 -> ~157 fr=135 (0.4286), cf=0.925, gamma=1.442, delta=0.131, M=-5.483e+001
102 111 -> 156 fr=135 (0.4286), cf=0.925, gamma=1.442, delta=0.131, M=-5.483e+001
11 25 34 -> ~157 fr=132 (0.4190), cf=0.930, gamma=1.450, delta=0.130, M=-5.439e+001
11 25 34 -> 156 fr=132 (0.4190), cf=0.930, gamma=1.450, delta=0.130, M=-5.439e+001
2 141 -> ~157 fr=168 (0.5333), cf=0.848, gamma=1.323, delta=0.130, M=-5.278e+001
2 141 -> 156 fr=168 (0.5333), cf=0.848, gamma=1.323, delta=0.130, M=-5.278e+001
2 11 -> ~157 fr=187 (0.5937), cf=0.803, gamma=1.252, delta=0.119, M=-5.261e+001
2 11 -> 156 fr=187 (0.5937), cf=0.803, gamma=1.252, delta=0.119, M=-5.261e+001
2 7 -> ~157 fr=162 (0.5143), cf=0.857, gamma=1.337, delta=0.130, M=-5.127e+001
2 7 -> 156 fr=162 (0.5143), cf=0.857, gamma=1.337, delta=0.130, M=-5.127e+001
11 124 -> ~157 fr=173 (0.5492), cf=0.828, gamma=1.291, delta=0.124, M=-4.930e+001
11 124 -> 156 fr=173 (0.5492), cf=0.828, gamma=1.291, delta=0.124, M=-4.930e+001
102 121 -> ~157 fr=141 (0.4476), cf=0.892, gamma=1.392, delta=0.126, M=-4.863e+001
102 121 -> 156 fr=141 (0.4476), cf=0.892, gamma=1.392, delta=0.126, M=-4.863e+001
92 111 121 -> ~157 fr=116 (0.3683), cf=0.943, gamma=1.471, delta=0.118, M=-4.831e+001
92 111 121 -> 156 fr=116 (0.3683), cf=0.943, gamma=1.471, delta=0.118, M=-4.831e+001
4 -> 157 fr=60 (0.1905), cf=0.833, gamma=2.323, delta=0.108, M=-4.744e+001
111 141 -> ~157 fr=133 (0.4222), cf=0.905, gamma=1.411, delta=0.123, M=-4.744e+001
111 141 -> 156 fr=133 (0.4222), cf=0.905, gamma=1.411, delta=0.123, M=-4.744e+001
122 -> 157 fr=66 (0.2095), cf=0.786, gamma=2.190, delta=0.114, M=-4.711e+001
92 102 141 -> ~157 fr=116 (0.3683), cf=0.935, gamma=1.459, delta=0.116, M=-4.615e+001
92 102 141 -> 156 fr=116 (0.3683), cf=0.935, gamma=1.459, delta=0.116, M=-4.615e+001
11 34 -> ~157 fr=158 (0.5016), cf=0.849, gamma=1.325, delta=0.123, M=-4.597e+001
11 34 -> 156 fr=158 (0.5016), cf=0.849, gamma=1.325, delta=0.123, M=-4.597e+001
2 124 -> ~157 fr=187 (0.5937), cf=0.786, gamma=1.225, delta=0.109, M=-4.577e+001
2 124 -> 156 fr=187 (0.5937), cf=0.786, gamma=1.225, delta=0.109, M=-4.577e+001
92 102 -> ~157 fr=126 (0.4000), cf=0.913, gamma=1.424, delta=0.119, M=-4.570e+001
92 102 -> 156 fr=126 (0.4000), cf=0.913, gamma=1.424, delta=0.119, M=-4.570e+001
111 121 -> ~157 fr=135 (0.4286), cf=0.894, gamma=1.394, delta=0.121, M=-4.551e+001
111 121 -> 156 fr=135 (0.4286), cf=0.894, gamma=1.394, delta=0.121, M=-4.551e+001
11 25 -> ~157 fr=134 (0.4254), cf=0.893, gamma=1.393, delta=0.120, M=-4.474e+001
11 25 -> 156 fr=134 (0.4254), cf=0.893, gamma=1.393, delta=0.120, M=-4.474e+001
