2 16 -> ~157 fr=192 (0.6057), cf=0.865, gamma=1.351, delta=0.157, M=-8.662e+001
2 16 -> 156 fr=192 (0.6057), cf=0.865, gamma=1.351, delta=0.157, M=-8.662e+001
16 124 -> ~157 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
16 124 -> 156 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
11 16 -> ~157 fr=176 (0.5552), cf=0.898, gamma=1.402, delta=0.159, M=-7.995e+001
11 16 -> 156 fr=176 (0.5552), cf=0.898, gamma=1.402, delta=0.159, M=-7.995e+001
13 -> 157 fr=64 (0.2019), cf=0.955, gamma=2.656, delta=0.126, M=-7.088e+001
16 121 -> ~157 fr=149 (0.4700), cf=0.931, gamma=1.454, delta=0.147, M=-6.764e+001
16 121 -> 156 fr=149 (0.4700), cf=0.931, gamma=1.454, delta=0.147, M=-6.764e+001
22 -> 157 fr=60 (0.1893), cf=0.968, gamma=2.691, delta=0.119, M=-6.759e+001
16 131 -> ~157 fr=144 (0.4543), cf=0.929, gamma=1.451, delta=0.141, M=-6.284e+001
16 131 -> 156 fr=144 (0.4543), cf=0.929, gamma=1.451, delta=0.141, M=-6.284e+001
121 131 141 -> ~157 fr=138 (0.4353), cf=0.939, gamma=1.466, delta=0.138, M=-6.178e+001
121 131 141 -> 156 fr=138 (0.4353), cf=0.939, gamma=1.466, delta=0.138, M=-6.178e+001
2 11 124 141 150 -> ~157 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
2 11 124 141 150 -> 156 fr=140 (0.4416), cf=0.933, gamma=1.457, delta=0.139, M=-6.135e+001
131 141 -> ~157 fr=146 (0.4606), cf=0.918, gamma=1.434, delta=0.139, M=-6.052e+001
131 141 -> 156 fr=146 (0.4606), cf=0.918, gamma=1.434, delta=0.139, M=-6.052e+001
121 141 150 -> ~157 fr=139 (0.4385), cf=0.933, gamma=1.457, delta=0.137, M=-6.045e+001
121 141 150 -> 156 fr=139 (0.4385), cf=0.933, gamma=1.457, delta=0.137, M=-6.045e+001
7 11 -> ~157 fr=151 (0.4763), cf=0.904, gamma=1.412, delta=0.139, M=-5.935e+001
7 11 -> 156 fr=151 (0.4763), cf=0.904, gamma=1.412, delta=0.139, M=-5.935e+001
11 124 141 150 -> ~157 fr=140 (0.4416), cf=0.927, gamma=1.448, delta=0.137, M=-5.919e+001
11 124 141 150 -> 156 fr=140 (0.4416), cf=0.927, gamma=1.448, delta=0.137, M=-5.919e+001
2 11 124 141 -> ~157 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
2 11 141 150 -> ~157 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
2 11 124 141 -> 156 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
2 11 141 150 -> 156 fr=146 (0.4606), cf=0.913, gamma=1.425, delta=0.137, M=-5.853e+001
2 124 141 150 -> ~157 fr=154 (0.4858), cf=0.895, gamma=1.398, delta=0.138, M=-5.851e+001
2 124 141 150 -> 156 fr=154 (0.4858), cf=0.895, gamma=1.398, delta=0.138, M=-5.851e+001
121 131 -> ~157 fr=143 (0.4511), cf=0.917, gamma=1.431, delta=0.136, M=-5.778e+001
121 131 -> 156 fr=143 (0.4511), cf=0.917, gamma=1.431, delta=0.136, M=-5.778e+001
121 141 -> ~157 fr=145 (0.4574), cf=0.912, gamma=1.424, delta=0.136, M=-5.761e+001
121 141 -> 156 fr=145 (0.4574), cf=0.912, gamma=1.424, delta=0.136, M=-5.761e+001
2 124 141 -> ~157 fr=160 (0.5047), cf=0.879, gamma=1.373, delta=0.137, M=-5.737e+001
2 124 141 -> 156 fr=160 (0.5047), cf=0.879, gamma=1.373, delta=0.137, M=-5.737e+001
16 -> ~157 fr=192 (0.6057), cf=0.800, gamma=1.249, delta=0.121, M=-5.708e+001
124 141 150 -> ~157 fr=154 (0.4858), cf=0.890, gamma=1.390, delta=0.136, M=-5.671e+001
124 141 150 -> 156 fr=154 (0.4858), cf=0.890, gamma=1.390, delta=0.136, M=-5.671e+001
2 11 141 -> ~157 fr=152 (0.4795), cf=0.894, gamma=1.396, delta=0.136, M=-5.660e+001
2 11 141 -> 156 fr=152 (0.4795), cf=0.894, gamma=1.396, delta=0.136, M=-5.660e+001
11 124 141 -> ~157 fr=146 (0.4606), cf=0.907, gamma=1.416, delta=0.135, M=-5.660e+001
11 124 141 -> 156 fr=146 (0.4606), cf=0.907, gamma=1.416, delta=0.135, M=-5.660e+001
11 25 34 -> ~157 fr=134 (0.4227), cf=0.931, gamma=1.453, delta=0.132, M=-5.611e+001
11 25 34 -> 156 fr=134 (0.4227), cf=0.931, gamma=1.453, delta=0.132, M=-5.611e+001
102 111 121 -> ~157 fr=131 (0.4132), cf=0.936, gamma=1.461, delta=0.130, M=-5.575e+001
102 111 121 -> 156 fr=131 (0.4132), cf=0.936, gamma=1.461, delta=0.130, M=-5.575e+001
102 111 -> ~157 fr=136 (0.4290), cf=0.925, gamma=1.445, delta=0.132, M=-5.572e+001
102 111 -> 156 fr=136 (0.4290), cf=0.925, gamma=1.445, delta=0.132, M=-5.572e+001
124 141 -> ~157 fr=160 (0.5047), cf=0.874, gamma=1.365, delta=0.135, M=-5.568e+001
124 141 -> 156 fr=160 (0.5047), cf=0.874, gamma=1.365, delta=0.135, M=-5.568e+001
131 -> ~157 fr=151 (0.4763), cf=0.893, gamma=1.395, delta=0.135, M=-5.566e+001
131 -> 156 fr=151 (0.4763), cf=0.893, gamma=1.395, delta=0.135, M=-5.566e+001
7 124 -> ~157 fr=148 (0.4669), cf=0.897, gamma=1.401, delta=0.134, M=-5.471e+001
7 124 -> 156 fr=148 (0.4669), cf=0.897, gamma=1.401, delta=0.134, M=-5.471e+001
11 141 150 -> ~157 fr=146 (0.4606), cf=0.896, gamma=1.399, delta=0.131, M=-5.293e+001
11 141 150 -> 156 fr=146 (0.4606), cf=0.896, gamma=1.399, delta=0.131, M=-5.293e+001
2 11 25 -> ~157 fr=136 (0.4290), cf=0.913, gamma=1.425, delta=0.128, M=-5.176e+001
2 11 25 -> 156 fr=136 (0.4290), cf=0.913, gamma=1.425, delta=0.128, M=-5.176e+001
11 141 -> ~157 fr=152 (0.4795), cf=0.879, gamma=1.372, delta=0.130, M=-5.142e+001
11 141 -> 156 fr=152 (0.4795), cf=0.879, gamma=1.372, delta=0.130, M=-5.142e+001
122 -> 157 fr=69 (0.2177), cf=0.793, gamma=2.205, delta=0.119, M=-5.086e+001
92 111 121 -> ~157 fr=119 (0.3754), cf=0.944, gamma=1.475, delta=0.121, M=-5.064e+001
92 111 121 -> 156 fr=119 (0.3754), cf=0.944, gamma=1.475, delta=0.121, M=-5.064e+001
92 102 121 -> ~157 fr=127 (0.4006), cf=0.927, gamma=1.448, delta=0.124, M=-5.041e+001
92 102 121 -> 156 fr=127 (0.4006), cf=0.927, gamma=1.448, delta=0.124, M=-5.041e+001
11 25 124 -> ~157 fr=121 (0.3817), cf=0.938, gamma=1.465, delta=0.121, M=-4.996e+001
11 25 124 -> 156 fr=121 (0.3817), cf=0.938, gamma=1.465, delta=0.121, M=-4.996e+001
92 102 -> ~157 fr=131 (0.4132), cf=0.916, gamma=1.431, delta=0.124, M=-4.962e+001
92 102 -> 156 fr=131 (0.4132), cf=0.916, gamma=1.431, delta=0.124, M=-4.962e+001
102 121 -> ~157 fr=142 (0.4479), cf=0.893, gamma=1.395, delta=0.127, M=-4.950e+001
102 121 -> 156 fr=142 (0.4479), cf=0.893, gamma=1.395, delta=0.127, M=-4.950e+001
111 141 -> ~157 fr=133 (0.4196), cf=0.911, gamma=1.423, delta=0.125, M=-4.933e+001
111 141 -> 156 fr=133 (0.4196), cf=0.911, gamma=1.423, delta=0.125, M=-4.933e+001
2 141 150 -> ~157 fr=161 (0.5079), cf=0.852, gamma=1.330, delta=0.126, M=-4.873e+001
2 141 150 -> 156 fr=161 (0.5079), cf=0.852, gamma=1.330, delta=0.126, M=-4.873e+001
4 -> 157 fr=60 (0.1893), cf=0.845, gamma=2.350, delta=0.109, M=-4.870e+001
2 7 -> ~157 fr=164 (0.5174), cf=0.845, gamma=1.320, delta=0.125, M=-4.863e+001
2 7 -> 156 fr=164 (0.5174), cf=0.845, gamma=1.320, delta=0.125, M=-4.863e+001
2 11 124 -> ~157 fr=171 (0.5394), cf=0.830, gamma=1.296, delta=0.123, M=-4.846e+001
2 11 124 -> 156 fr=171 (0.5394), cf=0.830, gamma=1.296, delta=0.123, M=-4.846e+001
2 11 34 -> ~157 fr=160 (0.5047), cf=0.851, gamma=1.329, delta=0.125, M=-4.778e+001
2 11 34 -> 156 fr=160 (0.5047), cf=0.851, gamma=1.329, delta=0.125, M=-4.778e+001
111 121 -> ~157 fr=135 (0.4259), cf=0.900, gamma=1.405, delta=0.123, M=-4.729e+001
111 121 -> 156 fr=135 (0.4259), cf=0.900, gamma=1.405, delta=0.123, M=-4.729e+001
2 141 -> ~157 fr=167 (0.5268), cf=0.835, gamma=1.304, delta=0.123, M=-4.723e+001
2 141 -> 156 fr=167 (0.5268), cf=0.835, gamma=1.304, delta=0.123, M=-4.723e+001
72 82 92 -> ~157 fr=100 (0.3155), cf=0.971, gamma=1.516, delta=0.107, M=-4.661e+001
72 82 92 -> 156 fr=100 (0.3155), cf=0.971, gamma=1.516, delta=0.107, M=-4.661e+001
92 121 -> ~157 fr=127 (0.4006), cf=0.914, gamma=1.427, delta=0.120, M=-4.652e+001
92 121 -> 156 fr=127 (0.4006), cf=0.914, gamma=1.427, delta=0.120, M=-4.652e+001
92 111 -> ~157 fr=119 (0.3754), cf=0.930, gamma=1.452, delta=0.117, M=-4.637e+001
92 111 -> 156 fr=119 (0.3754), cf=0.930, gamma=1.452, delta=0.117, M=-4.637e+001
11 25 -> ~157 fr=136 (0.4290), cf=0.895, gamma=1.397, delta=0.122, M=-4.635e+001
11 25 -> 156 fr=136 (0.4290), cf=0.895, gamma=1.397, delta=0.122, M=-4.635e+001
11 34 -> ~157 fr=160 (0.5047), cf=0.847, gamma=1.322, delta=0.123, M=-4.631e+001
11 34 -> 156 fr=160 (0.5047), cf=0.847, gamma=1.322, delta=0.123, M=-4.631e+001
11 124 -> ~157 fr=171 (0.5394), cf=0.822, gamma=1.284, delta=0.119, M=-4.566e+001
11 124 -> 156 fr=171 (0.5394), cf=0.822, gamma=1.284, delta=0.119, M=-4.566e+001
72 82 102 -> ~157 fr=109 (0.3438), cf=0.948, gamma=1.480, delta=0.112, M=-4.554e+001
72 82 102 -> 156 fr=109 (0.3438), cf=0.948, gamma=1.480, delta=0.112, M=-4.554e+001
34 72 102 -> ~157 fr=115 (0.3628), cf=0.935, gamma=1.460, delta=0.114, M=-4.550e+001
34 72 102 -> 156 fr=115 (0.3628), cf=0.935, gamma=1.460, delta=0.114, M=-4.550e+001
2 124 -> ~157 fr=187 (0.5899), cf=0.786, gamma=1.227, delta=0.109, M=-4.543e+001
2 124 -> 156 fr=187 (0.5899), cf=0.786, gamma=1.227, delta=0.109, M=-4.543e+001
2 11 -> ~157 fr=186 (0.5868), cf=0.788, gamma=1.231, delta=0.110, M=-4.542e+001
2 11 -> 156 fr=186 (0.5868), cf=0.788, gamma=1.231, delta=0.110, M=-4.542e+001
34 82 102 -> ~157 fr=120 (0.3785), cf=0.923, gamma=1.441, delta=0.116, M=-4.512e+001
34 82 102 -> 156 fr=120 (0.3785), cf=0.923, gamma=1.441, delta=0.116, M=-4.512e+001
25 34 124 -> ~157 fr=132 (0.4164), cf=0.898, gamma=1.402, delta=0.119, M=-4.496e+001
25 34 124 -> 156 fr=132 (0.4164), cf=0.898, gamma=1.402, delta=0.119, M=-4.496e+001
7 121 150 -> ~157 fr=111 (0.3502), cf=0.941, gamma=1.469, delta=0.112, M=-4.476e+001
7 121 150 -> 156 fr=111 (0.3502), cf=0.941, gamma=1.469, delta=0.112, M=-4.476e+001
2 25 34 -> ~157 fr=146 (0.4606), cf=0.869, gamma=1.357, delta=0.121, M=-4.466e+001
2 25 34 -> 156 fr=146 (0.4606), cf=0.869, gamma=1.357, delta=0.121, M=-4.466e+001
92 141 -> ~157 fr=119 (0.3754), cf=0.922, gamma=1.441, delta=0.115, M=-4.439e+001
92 141 -> 156 fr=119 (0.3754), cf=0.922, gamma=1.441, delta=0.115, M=-4.439e+001
52 72 92 -> ~157 fr=104 (0.3281), cf=0.954, gamma=1.490, delta=0.108, M=-4.434e+001
52 72 92 -> 156 fr=104 (0.3281), cf=0.954, gamma=1.490, delta=0.108, M=-4.434e+001
72 102 -> ~157 fr=116 (0.3659), cf=0.928, gamma=1.449, delta=0.113, M=-4.419e+001
72 102 -> 156 fr=116 (0.3659), cf=0.928, gamma=1.449, delta=0.113, M=-4.419e+001
72 92 -> ~157 fr=107 (0.3375), cf=0.947, gamma=1.479, delta=0.109, M=-4.414e+001
72 92 -> 156 fr=107 (0.3375), cf=0.947, gamma=1.479, delta=0.109, M=-4.414e+001
25 124 -> ~157 fr=133 (0.4196), cf=0.893, gamma=1.394, delta=0.119, M=-4.403e+001
25 124 -> 156 fr=133 (0.4196), cf=0.893, gamma=1.394, delta=0.119, M=-4.403e+001
25 34 52 -> ~157 fr=115 (0.3628), cf=0.927, gamma=1.448, delta=0.112, M=-4.348e+001
25 34 52 -> 156 fr=115 (0.3628), cf=0.927, gamma=1.448, delta=0.112, M=-4.348e+001
82 102 141 150 -> ~157 fr=112 (0.3533), cf=0.933, gamma=1.457, delta=0.111, M=-4.337e+001
82 102 141 150 -> 156 fr=112 (0.3533), cf=0.933, gamma=1.457, delta=0.111, M=-4.337e+001
124 -> ~157 fr=187 (0.5899), cf=0.779, gamma=1.217, delta=0.105, M=-4.284e+001
62 92 -> ~157 fr=114 (0.3596), cf=0.927, gamma=1.447, delta=0.111, M=-4.277e+001
62 92 -> 156 fr=114 (0.3596), cf=0.927, gamma=1.447, delta=0.111, M=-4.277e+001
2 34 102 -> ~157 fr=147 (0.4637), cf=0.860, gamma=1.342, delta=0.118, M=-4.246e+001
2 34 102 -> 156 fr=147 (0.4637), cf=0.860, gamma=1.342, delta=0.118, M=-4.246e+001
92 -> ~157 fr=133 (0.4196), cf=0.887, gamma=1.385, delta=0.117, M=-4.238e+001
92 -> 156 fr=133 (0.4196), cf=0.887, gamma=1.385, delta=0.117, M=-4.238e+001
62 102 -> ~157 fr=116 (0.3659), cf=0.921, gamma=1.438, delta=0.111, M=-4.225e+001
25 52 -> ~157 fr=116 (0.3659), cf=0.921, gamma=1.438, delta=0.111, M=-4.225e+001
62 102 -> 156 fr=116 (0.3659), cf=0.921, gamma=1.438, delta=0.111, M=-4.225e+001
25 52 -> 156 fr=116 (0.3659), cf=0.921, gamma=1.438, delta=0.111, M=-4.225e+001
52 62 -> ~157 fr=121 (0.3817), cf=0.910, gamma=1.421, delta=0.113, M=-4.211e+001
52 62 -> 156 fr=121 (0.3817), cf=0.910, gamma=1.421, delta=0.113, M=-4.211e+001
25 34 121 -> ~157 fr=110 (0.3470), cf=0.932, gamma=1.456, delta=0.109, M=-4.198e+001
25 34 121 -> 156 fr=110 (0.3470), cf=0.932, gamma=1.456, delta=0.109, M=-4.198e+001
