27 52 56 -> ~96 fr=16562 (0.3768), cf=0.966, gamma=1.270, delta=0.080, M=-3.962e+003
27 52 56 -> 97 fr=16562 (0.3768), cf=0.966, gamma=1.270, delta=0.080, M=-3.962e+003
27 52 -> ~96 fr=16724 (0.3805), cf=0.963, gamma=1.266, delta=0.080, M=-3.900e+003
27 52 -> 97 fr=16724 (0.3805), cf=0.963, gamma=1.266, delta=0.080, M=-3.900e+003
27 56 -> ~96 fr=16710 (0.3801), cf=0.951, gamma=1.250, delta=0.076, M=-3.419e+003
27 56 -> 97 fr=16710 (0.3801), cf=0.951, gamma=1.250, delta=0.076, M=-3.419e+003
27 -> ~96 fr=16872 (0.3838), cf=0.948, gamma=1.247, delta=0.076, M=-3.374e+003
27 -> 97 fr=16872 (0.3838), cf=0.948, gamma=1.247, delta=0.076, M=-3.374e+003
23 52 56 -> ~96 fr=26153 (0.5950), cf=0.876, gamma=1.152, delta=0.078, M=-3.233e+003
23 52 56 -> 97 fr=26153 (0.5950), cf=0.876, gamma=1.152, delta=0.078, M=-3.233e+003
42 52 56 -> ~96 fr=12175 (0.2770), cf=0.979, gamma=1.287, delta=0.062, M=-3.030e+003
42 52 56 -> 97 fr=12175 (0.2770), cf=0.979, gamma=1.287, delta=0.062, M=-3.030e+003
42 52 -> ~96 fr=12240 (0.2785), cf=0.976, gamma=1.283, delta=0.061, M=-2.966e+003
42 52 -> 97 fr=12240 (0.2785), cf=0.976, gamma=1.283, delta=0.061, M=-2.966e+003
52 56 -> ~96 fr=32627 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.928e+003
52 56 -> 97 fr=32627 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.928e+003
23 52 -> ~96 fr=26427 (0.6012), cf=0.867, gamma=1.139, delta=0.074, M=-2.900e+003
23 52 -> 97 fr=26427 (0.6012), cf=0.867, gamma=1.139, delta=0.074, M=-2.900e+003
42 56 -> ~96 fr=12267 (0.2791), cf=0.969, gamma=1.274, delta=0.060, M=-2.752e+003
42 56 -> 97 fr=12267 (0.2791), cf=0.969, gamma=1.274, delta=0.060, M=-2.752e+003
42 -> ~96 fr=12332 (0.2805), cf=0.967, gamma=1.271, delta=0.060, M=-2.699e+003
42 -> 97 fr=12332 (0.2805), cf=0.967, gamma=1.271, delta=0.060, M=-2.699e+003
24 51 -> 96 fr=4692 (0.1067), cf=0.548, gamma=2.289, delta=0.060, M=-2.465e+003
24 51 -> ~97 fr=4692 (0.1067), cf=0.548, gamma=2.289, delta=0.060, M=-2.465e+003
23 56 -> ~96 fr=26459 (0.6019), cf=0.854, gamma=1.122, delta=0.065, M=-2.337e+003
23 56 -> 97 fr=26459 (0.6019), cf=0.854, gamma=1.122, delta=0.065, M=-2.337e+003
52 -> ~96 fr=33009 (0.7509), cf=0.797, gamma=1.048, delta=0.034, M=-2.141e+003
23 -> ~96 fr=26733 (0.6082), cf=0.845, gamma=1.111, delta=0.061, M=-2.060e+003
23 -> 97 fr=26733 (0.6082), cf=0.845, gamma=1.111, delta=0.061, M=-2.060e+003
50 56 -> ~96 fr=12834 (0.2920), cf=0.897, gamma=1.180, delta=0.044, M=-1.217e+003
50 56 -> 97 fr=12834 (0.2920), cf=0.897, gamma=1.180, delta=0.044, M=-1.217e+003
50 -> ~96 fr=12944 (0.2945), cf=0.891, gamma=1.171, delta=0.043, M=-1.114e+003
50 -> 97 fr=12944 (0.2945), cf=0.891, gamma=1.171, delta=0.043, M=-1.114e+003
31 56 -> ~96 fr=6160 (0.1401), cf=0.954, gamma=1.254, delta=0.028, M=-1.021e+003
31 56 -> 97 fr=6160 (0.1401), cf=0.954, gamma=1.254, delta=0.028, M=-1.021e+003
31 -> 97 fr=6202 (0.1411), cf=0.952, gamma=1.251, delta=0.028, M=-9.972e+002
44 56 61 -> ~96 fr=9877 (0.2247), cf=0.902, gamma=1.186, delta=0.035, M=-9.231e+002
44 56 61 -> 97 fr=9877 (0.2247), cf=0.902, gamma=1.186, delta=0.035, M=-9.231e+002
44 56 -> ~96 fr=9987 (0.2272), cf=0.901, gamma=1.184, delta=0.035, M=-9.189e+002
44 56 -> 97 fr=9987 (0.2272), cf=0.901, gamma=1.184, delta=0.035, M=-9.189e+002
44 61 -> ~96 fr=10038 (0.2284), cf=0.899, gamma=1.182, delta=0.035, M=-8.991e+002
44 61 -> 97 fr=10038 (0.2284), cf=0.899, gamma=1.182, delta=0.035, M=-8.991e+002
44 -> ~96 fr=10149 (0.2309), cf=0.898, gamma=1.180, delta=0.035, M=-8.936e+002
44 -> 97 fr=10149 (0.2309), cf=0.898, gamma=1.180, delta=0.035, M=-8.936e+002
16 56 61 -> ~96 fr=5333 (0.1213), cf=0.948, gamma=1.246, delta=0.024, M=-8.092e+002
16 56 61 -> 97 fr=5333 (0.1213), cf=0.948, gamma=1.246, delta=0.024, M=-8.092e+002
16 56 -> ~96 fr=5402 (0.1229), cf=0.947, gamma=1.245, delta=0.024, M=-8.074e+002
