10 76 -> 84 fr=1003 (0.1013), cf=0.630, gamma=6.054, delta=0.085, M=-2.076e+003
5 -> ~87 fr=4777 (0.4827), cf=0.996, gamma=1.112, delta=0.049, M=-6.499e+002
76 -> ~80 fr=4312 (0.4357), cf=0.998, gamma=1.114, delta=0.044, M=-5.872e+002
76 -> ~88 fr=4320 (0.4365), cf=1.000, gamma=1.106, delta=0.042, M=-5.771e+002
71 -> ~82 fr=3960 (0.4001), cf=1.000, gamma=1.116, delta=0.042, M=-5.658e+002
1 -> ~86 fr=4401 (0.4447), cf=0.998, gamma=1.105, delta=0.042, M=-5.617e+002
45 -> ~82 fr=4057 (0.4099), cf=0.999, gamma=1.115, delta=0.042, M=-5.613e+002
69 -> ~82 fr=3630 (0.3668), cf=1.000, gamma=1.116, delta=0.038, M=-4.984e+002
69 -> ~83 fr=3631 (0.3669), cf=1.000, gamma=1.106, delta=0.035, M=-4.630e+002
69 -> ~81 fr=3621 (0.3659), cf=0.997, gamma=1.113, delta=0.037, M=-4.539e+002
50 -> ~83 fr=4875 (0.4926), cf=0.985, gamma=1.090, delta=0.041, M=-4.400e+002
20 -> ~80 fr=4175 (0.4218), cf=0.988, gamma=1.103, delta=0.039, M=-4.223e+002
20 -> ~84 fr=4173 (0.4216), cf=0.987, gamma=1.102, delta=0.039, M=-4.173e+002
66 -> ~84 fr=3066 (0.3098), cf=1.000, gamma=1.116, delta=0.032, M=-4.082e+002
66 -> ~80 fr=3065 (0.3097), cf=1.000, gamma=1.116, delta=0.032, M=-4.015e+002
25 -> ~84 fr=3028 (0.3060), cf=1.000, gamma=1.116, delta=0.032, M=-3.959e+002
59 -> ~82 fr=2974 (0.3005), cf=1.000, gamma=1.116, delta=0.031, M=-3.933e+002
10 -> ~82 fr=3955 (0.3996), cf=0.988, gamma=1.103, delta=0.037, M=-3.900e+002
45 -> ~86 fr=4021 (0.4063), cf=0.990, gamma=1.095, delta=0.035, M=-3.817e+002
41 -> ~83 fr=3578 (0.3615), cf=0.995, gamma=1.101, delta=0.033, M=-3.810e+002
25 -> ~80 fr=3023 (0.3054), cf=0.998, gamma=1.114, delta=0.031, M=-3.706e+002
25 -> ~86 fr=3028 (0.3060), cf=1.000, gamma=1.106, delta=0.029, M=-3.631e+002
50 -> ~89 fr=4843 (0.4893), cf=0.979, gamma=1.083, delta=0.037, M=-3.618e+002
59 -> ~83 fr=2974 (0.3005), cf=1.000, gamma=1.106, delta=0.029, M=-3.607e+002
66 -> ~87 fr=3055 (0.3087), cf=0.996, gamma=1.112, delta=0.031, M=-3.556e+002
59 -> ~86 fr=2973 (0.3004), cf=1.000, gamma=1.106, delta=0.029, M=-3.550e+002
35 -> ~86 fr=2912 (0.2942), cf=1.000, gamma=1.106, delta=0.028, M=-3.520e+002
