1 5 23 27 -> ~38 fr=342 (0.4949), cf=0.820, gamma=1.259, delta=0.102, M=-6.903e+001
1 5 23 27 -> 37 fr=342 (0.4949), cf=0.820, gamma=1.259, delta=0.102, M=-6.903e+001
1 5 9 19 27 -> ~38 fr=338 (0.4891), cf=0.818, gamma=1.257, delta=0.100, M=-6.615e+001
1 5 9 19 27 -> 37 fr=338 (0.4891), cf=0.818, gamma=1.257, delta=0.100, M=-6.615e+001
1 5 19 27 -> ~38 fr=346 (0.5007), cf=0.812, gamma=1.247, delta=0.099, M=-6.598e+001
1 5 19 27 -> 37 fr=346 (0.5007), cf=0.812, gamma=1.247, delta=0.099, M=-6.598e+001
5 23 27 -> ~38 fr=371 (0.5369), cf=0.793, gamma=1.217, delta=0.096, M=-6.545e+001
5 23 27 -> 37 fr=371 (0.5369), cf=0.793, gamma=1.217, delta=0.096, M=-6.545e+001
1 5 9 27 -> ~38 fr=340 (0.4920), cf=0.815, gamma=1.252, delta=0.099, M=-6.520e+001
1 5 9 27 -> 37 fr=340 (0.4920), cf=0.815, gamma=1.252, delta=0.099, M=-6.520e+001
1 5 27 -> ~38 fr=348 (0.5036), cf=0.809, gamma=1.243, delta=0.098, M=-6.510e+001
1 5 27 -> 37 fr=348 (0.5036), cf=0.809, gamma=1.243, delta=0.098, M=-6.510e+001
1 5 23 -> ~38 fr=360 (0.5210), cf=0.798, gamma=1.226, delta=0.096, M=-6.368e+001
1 5 23 -> 37 fr=360 (0.5210), cf=0.798, gamma=1.226, delta=0.096, M=-6.368e+001
1 5 9 19 -> ~38 fr=358 (0.5181), cf=0.799, gamma=1.227, delta=0.096, M=-6.331e+001
1 5 9 19 -> 37 fr=358 (0.5181), cf=0.799, gamma=1.227, delta=0.096, M=-6.331e+001
1 5 19 -> ~38 fr=366 (0.5297), cf=0.792, gamma=1.216, delta=0.094, M=-6.264e+001
1 5 19 -> 37 fr=366 (0.5297), cf=0.792, gamma=1.216, delta=0.094, M=-6.264e+001
1 5 9 -> ~38 fr=360 (0.5210), cf=0.796, gamma=1.223, delta=0.095, M=-6.256e+001
1 5 9 -> 37 fr=360 (0.5210), cf=0.796, gamma=1.223, delta=0.095, M=-6.256e+001
5 23 -> ~38 fr=391 (0.5658), cf=0.773, gamma=1.187, delta=0.089, M=-6.218e+001
5 23 -> 37 fr=391 (0.5658), cf=0.773, gamma=1.187, delta=0.089, M=-6.218e+001
1 5 -> ~38 fr=368 (0.5326), cf=0.790, gamma=1.213, delta=0.093, M=-6.196e+001
1 5 -> 37 fr=368 (0.5326), cf=0.790, gamma=1.213, delta=0.093, M=-6.196e+001
5 27 -> ~38 fr=378 (0.5470), cf=0.781, gamma=1.199, delta=0.091, M=-6.107e+001
5 27 -> 37 fr=378 (0.5470), cf=0.781, gamma=1.199, delta=0.091, M=-6.107e+001
5 -> ~38 fr=400 (0.5789), cf=0.762, gamma=1.170, delta=0.084, M=-5.943e+001
8 -> 38 fr=93 (0.1346), cf=0.769, gamma=2.204, delta=0.074, M=-5.713e+001
1 19 23 27 -> ~38 fr=371 (0.5369), cf=0.719, gamma=1.104, delta=0.051, M=-2.215e+001
1 19 23 27 -> 37 fr=371 (0.5369), cf=0.719, gamma=1.104, delta=0.051, M=-2.215e+001
1 23 27 32 -> ~38 fr=342 (0.4949), cf=0.728, gamma=1.117, delta=0.052, M=-2.075e+001
1 23 27 32 -> 37 fr=342 (0.4949), cf=0.728, gamma=1.117, delta=0.052, M=-2.075e+001
1 23 27 -> ~38 fr=379 (0.5485), cf=0.708, gamma=1.088, delta=0.044, M=-1.861e+001
1 23 27 -> 37 fr=379 (0.5485), cf=0.708, gamma=1.088, delta=0.044, M=-1.861e+001
1 14 19 23 32 -> ~38 fr=326 (0.4718), cf=0.728, gamma=1.117, delta=0.050, M=-1.836e+001
