9 36 65 -> 103 fr=79 (0.1282), cf=0.963, gamma=7.512, delta=0.111, M=-2.215e+002
9 23 36 38 56 -> 103 fr=78 (0.1266), cf=0.975, gamma=7.603, delta=0.110, M=-2.186e+002
9 36 38 56 74 -> 103 fr=79 (0.1282), cf=0.940, gamma=7.333, delta=0.111, M=-2.157e+002
23 36 65 -> 103 fr=78 (0.1266), cf=0.951, gamma=7.417, delta=0.110, M=-2.123e+002
9 23 36 38 -> 103 fr=78 (0.1266), cf=0.951, gamma=7.417, delta=0.110, M=-2.123e+002
36 65 -> 103 fr=79 (0.1282), cf=0.919, gamma=7.163, delta=0.110, M=-2.105e+002
9 23 38 65 -> 103 fr=78 (0.1266), cf=0.929, gamma=7.241, delta=0.109, M=-2.068e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1266), cf=0.929, gamma=7.241, delta=0.109, M=-2.068e+002
9 36 38 56 77 -> 103 fr=79 (0.1282), cf=0.898, gamma=7.000, delta=0.110, M=-2.058e+002
9 36 38 56 72 -> 103 fr=79 (0.1282), cf=0.898, gamma=7.000, delta=0.110, M=-2.058e+002
23 36 38 56 74 -> 103 fr=78 (0.1266), cf=0.918, gamma=7.155, delta=0.109, M=-2.043e+002
23 36 38 56 72 -> 103 fr=78 (0.1266), cf=0.918, gamma=7.155, delta=0.109, M=-2.043e+002
23 36 38 56 -> 103 fr=78 (0.1266), cf=0.907, gamma=7.072, delta=0.109, M=-2.019e+002
9 23 65 -> 103 fr=78 (0.1266), cf=0.886, gamma=6.911, delta=0.108, M=-1.975e+002
9 23 38 56 -> 103 fr=78 (0.1266), cf=0.886, gamma=6.911, delta=0.108, M=-1.975e+002
23 36 38 72 74 -> 103 fr=78 (0.1266), cf=0.886, gamma=6.911, delta=0.108, M=-1.975e+002
23 36 38 74 -> 103 fr=78 (0.1266), cf=0.876, gamma=6.834, delta=0.108, M=-1.954e+002
23 36 38 72 -> 103 fr=78 (0.1266), cf=0.876, gamma=6.834, delta=0.108, M=-1.954e+002
23 36 38 77 -> 103 fr=78 (0.1266), cf=0.867, gamma=6.758, delta=0.108, M=-1.934e+002
9 36 38 56 -> 103 fr=79 (0.1282), cf=0.832, gamma=6.484, delta=0.108, M=-1.921e+002
9 36 38 74 -> 103 fr=79 (0.1282), cf=0.832, gamma=6.484, delta=0.108, M=-1.921e+002
9 36 56 72 74 -> 103 fr=79 (0.1282), cf=0.806, gamma=6.286, delta=0.108, M=-1.870e+002
23 38 65 -> 103 fr=78 (0.1266), cf=0.830, gamma=6.470, delta=0.107, M=-1.860e+002
9 38 65 -> 103 fr=79 (0.1282), cf=0.798, gamma=6.222, delta=0.108, M=-1.854e+002
9 36 38 77 -> 103 fr=79 (0.1282), cf=0.798, gamma=6.222, delta=0.108, M=-1.854e+002
9 36 38 72 -> 103 fr=79 (0.1282), cf=0.798, gamma=6.222, delta=0.108, M=-1.854e+002
9 23 36 56 72 -> 103 fr=78 (0.1266), cf=0.821, gamma=6.402, delta=0.107, M=-1.843e+002
9 36 56 74 -> 103 fr=79 (0.1282), cf=0.790, gamma=6.160, delta=0.107, M=-1.838e+002
9 23 36 72 74 -> 103 fr=78 (0.1266), cf=0.813, gamma=6.335, delta=0.107, M=-1.826e+002
23 36 38 -> 103 fr=78 (0.1266), cf=0.804, gamma=6.270, delta=0.106, M=-1.810e+002
9 23 36 56 -> 103 fr=78 (0.1266), cf=0.804, gamma=6.270, delta=0.106, M=-1.810e+002
9 23 36 72 -> 103 fr=78 (0.1266), cf=0.804, gamma=6.270, delta=0.106, M=-1.810e+002
9 23 36 74 -> 103 fr=78 (0.1266), cf=0.796, gamma=6.206, delta=0.106, M=-1.794e+002
23 36 56 72 74 -> 103 fr=78 (0.1266), cf=0.796, gamma=6.206, delta=0.106, M=-1.794e+002
