9 36 65 -> 103 fr=79 (0.1291), cf=0.963, gamma=7.463, delta=0.112, M=-2.210e+002
9 23 36 38 56 -> 103 fr=78 (0.1275), cf=0.975, gamma=7.553, delta=0.111, M=-2.180e+002
9 36 38 56 74 -> 103 fr=79 (0.1291), cf=0.940, gamma=7.286, delta=0.111, M=-2.151e+002
23 36 65 -> 103 fr=78 (0.1275), cf=0.951, gamma=7.369, delta=0.110, M=-2.117e+002
9 23 36 38 -> 103 fr=78 (0.1275), cf=0.951, gamma=7.369, delta=0.110, M=-2.117e+002
36 65 -> 103 fr=79 (0.1291), cf=0.919, gamma=7.116, delta=0.111, M=-2.100e+002
23 36 38 56 72 74 -> 103 fr=78 (0.1275), cf=0.929, gamma=7.193, delta=0.110, M=-2.063e+002
23 36 38 56 74 -> 103 fr=78 (0.1275), cf=0.918, gamma=7.109, delta=0.110, M=-2.038e+002
23 36 38 56 72 -> 103 fr=78 (0.1275), cf=0.918, gamma=7.109, delta=0.110, M=-2.038e+002
9 36 38 56 77 -> 103 fr=79 (0.1291), cf=0.888, gamma=6.876, delta=0.110, M=-2.031e+002
9 36 38 56 72 -> 103 fr=79 (0.1291), cf=0.888, gamma=6.876, delta=0.110, M=-2.031e+002
9 23 38 65 -> 103 fr=78 (0.1275), cf=0.907, gamma=7.026, delta=0.109, M=-2.014e+002
23 36 38 56 -> 103 fr=78 (0.1275), cf=0.907, gamma=7.026, delta=0.109, M=-2.014e+002
9 23 65 -> 103 fr=78 (0.1275), cf=0.876, gamma=6.789, delta=0.109, M=-1.949e+002
23 36 38 72 74 -> 103 fr=78 (0.1275), cf=0.876, gamma=6.789, delta=0.109, M=-1.949e+002
23 36 38 74 -> 103 fr=78 (0.1275), cf=0.867, gamma=6.714, delta=0.108, M=-1.929e+002
23 36 38 72 -> 103 fr=78 (0.1275), cf=0.867, gamma=6.714, delta=0.108, M=-1.929e+002
9 23 38 56 -> 103 fr=78 (0.1275), cf=0.867, gamma=6.714, delta=0.108, M=-1.929e+002
23 36 38 77 -> 103 fr=78 (0.1275), cf=0.857, gamma=6.640, delta=0.108, M=-1.909e+002
9 36 38 56 -> 103 fr=79 (0.1291), cf=0.823, gamma=6.375, delta=0.109, M=-1.898e+002
9 36 38 74 -> 103 fr=79 (0.1291), cf=0.823, gamma=6.375, delta=0.109, M=-1.898e+002
9 36 56 72 74 -> 103 fr=79 (0.1291), cf=0.814, gamma=6.309, delta=0.109, M=-1.881e+002
9 23 36 56 72 -> 103 fr=78 (0.1275), cf=0.830, gamma=6.428, delta=0.108, M=-1.854e+002
9 23 36 72 74 -> 103 fr=78 (0.1275), cf=0.821, gamma=6.361, delta=0.107, M=-1.837e+002
9 36 56 74 -> 103 fr=79 (0.1291), cf=0.790, gamma=6.120, delta=0.108, M=-1.833e+002
9 23 36 72 -> 103 fr=78 (0.1275), cf=0.813, gamma=6.294, delta=0.107, M=-1.821e+002
9 36 38 77 -> 103 fr=79 (0.1291), cf=0.782, gamma=6.059, delta=0.108, M=-1.818e+002
9 36 38 72 -> 103 fr=79 (0.1291), cf=0.782, gamma=6.059, delta=0.108, M=-1.818e+002
23 38 65 -> 103 fr=78 (0.1275), cf=0.804, gamma=6.229, delta=0.107, M=-1.804e+002
9 23 36 56 -> 103 fr=78 (0.1275), cf=0.804, gamma=6.229, delta=0.107, M=-1.804e+002
23 36 56 72 74 -> 103 fr=78 (0.1275), cf=0.804, gamma=6.229, delta=0.107, M=-1.804e+002
23 36 38 -> 103 fr=78 (0.1275), cf=0.796, gamma=6.166, delta=0.107, M=-1.788e+002
9 23 36 74 -> 103 fr=78 (0.1275), cf=0.796, gamma=6.166, delta=0.107, M=-1.788e+002
9 38 65 -> 103 fr=79 (0.1291), cf=0.767, gamma=5.942, delta=0.107, M=-1.788e+002
9 23 36 -> 103 fr=78 (0.1275), cf=0.788, gamma=6.104, delta=0.107, M=-1.773e+002
23 36 56 72 -> 103 fr=78 (0.1275), cf=0.788, gamma=6.104, delta=0.107, M=-1.773e+002
23 36 56 74 -> 103 fr=78 (0.1275), cf=0.765, gamma=5.924, delta=0.106, M=-1.729e+002
23 36 72 74 -> 103 fr=78 (0.1275), cf=0.765, gamma=5.924, delta=0.106, M=-1.729e+002
9 36 38 -> 103 fr=79 (0.1291), cf=0.731, gamma=5.667, delta=0.106, M=-1.720e+002
9 36 56 72 -> 103 fr=79 (0.1291), cf=0.731, gamma=5.667, delta=0.106, M=-1.720e+002
9 36 72 74 -> 103 fr=79 (0.1291), cf=0.725, gamma=5.615, delta=0.106, M=-1.707e+002
36 38 56 72 74 -> 103 fr=79 (0.1291), cf=0.725, gamma=5.615, delta=0.106, M=-1.707e+002
23 65 -> 103 fr=78 (0.1275), cf=0.750, gamma=5.810, delta=0.106, M=-1.701e+002
23 36 56 -> 103 fr=78 (0.1275), cf=0.750, gamma=5.810, delta=0.106, M=-1.701e+002
23 36 72 -> 103 fr=78 (0.1275), cf=0.750, gamma=5.810, delta=0.106, M=-1.701e+002
36 38 56 74 -> 103 fr=79 (0.1291), cf=0.718, gamma=5.564, delta=0.106, M=-1.694e+002
9 36 56 77 -> 103 fr=79 (0.1291), cf=0.712, gamma=5.514, delta=0.106, M=-1.682e+002
9 23 56 72 74 -> 103 fr=78 (0.1275), cf=0.736, gamma=5.701, delta=0.105, M=-1.674e+002
9 36 74 -> 103 fr=79 (0.1291), cf=0.705, gamma=5.464, delta=0.105, M=-1.670e+002
23 36 74 -> 103 fr=78 (0.1275), cf=0.729, gamma=5.647, delta=0.105, M=-1.661e+002
9 23 56 72 -> 103 fr=78 (0.1275), cf=0.729, gamma=5.647, delta=0.105, M=-1.661e+002
9 65 -> 103 fr=79 (0.1291), cf=0.699, gamma=5.416, delta=0.105, M=-1.658e+002
23 36 77 -> 103 fr=78 (0.1275), cf=0.716, gamma=5.544, delta=0.104, M=-1.635e+002
9 23 56 74 -> 103 fr=78 (0.1275), cf=0.716, gamma=5.544, delta=0.104, M=-1.635e+002
23 38 56 72 74 -> 103 fr=78 (0.1275), cf=0.716, gamma=5.544, delta=0.104, M=-1.635e+002
9 23 56 -> 103 fr=78 (0.1275), cf=0.709, gamma=5.493, delta=0.104, M=-1.623e+002
23 38 56 74 -> 103 fr=78 (0.1275), cf=0.709, gamma=5.493, delta=0.104, M=-1.623e+002
23 38 56 72 -> 103 fr=78 (0.1275), cf=0.709, gamma=5.493, delta=0.104, M=-1.623e+002
9 38 56 74 -> 103 fr=79 (0.1291), cf=0.675, gamma=5.231, delta=0.104, M=-1.612e+002
23 38 56 -> 103 fr=78 (0.1275), cf=0.703, gamma=5.444, delta=0.104, M=-1.611e+002
9 36 56 -> 103 fr=79 (0.1291), cf=0.669, gamma=5.186, delta=0.104, M=-1.600e+002
36 38 56 72 77 -> 103 fr=79 (0.1291), cf=0.669, gamma=5.186, delta=0.104, M=-1.600e+002
9 23 38 -> 103 fr=78 (0.1275), cf=0.696, gamma=5.395, delta=0.104, M=-1.599e+002
36 38 56 77 -> 103 fr=79 (0.1291), cf=0.664, gamma=5.143, delta=0.104, M=-1.590e+002
9 36 72 -> 103 fr=79 (0.1291), cf=0.658, gamma=5.100, delta=0.104, M=-1.579e+002
36 56 72 74 -> 103 fr=79 (0.1291), cf=0.648, gamma=5.016, delta=0.103, M=-1.558e+002
9 38 56 77 -> 103 fr=79 (0.1291), cf=0.648, gamma=5.016, delta=0.103, M=-1.558e+002
9 38 56 72 -> 103 fr=79 (0.1291), cf=0.648, gamma=5.016, delta=0.103, M=-1.558e+002
23 36 -> 103 fr=78 (0.1275), cf=0.672, gamma=5.209, delta=0.103, M=-1.553e+002
9 36 77 -> 103 fr=79 (0.1291), cf=0.642, gamma=4.976, delta=0.103, M=-1.548e+002
38 65 69 -> 103 fr=62 (0.1013), cf=0.984, gamma=7.624, delta=0.088, M=-1.547e+002
36 56 69 74 -> 103 fr=62 (0.1013), cf=0.984, gamma=7.624, delta=0.088, M=-1.547e+002
36 56 74 -> 103 fr=79 (0.1291), cf=0.622, gamma=4.819, delta=0.102, M=-1.508e+002
9 38 56 -> 103 fr=79 (0.1291), cf=0.612, gamma=4.744, delta=0.102, M=-1.489e+002
9 36 -> 103 fr=79 (0.1291), cf=0.608, gamma=4.708, delta=0.102, M=-1.479e+002
36 38 72 74 -> 103 fr=79 (0.1291), cf=0.598, gamma=4.636, delta=0.101, M=-1.461e+002
36 38 74 -> 103 fr=79 (0.1291), cf=0.594, gamma=4.602, delta=0.101, M=-1.452e+002
9 23 72 74 -> 103 fr=78 (0.1275), cf=0.609, gamma=4.721, delta=0.100, M=-1.432e+002
36 38 56 72 -> 103 fr=79 (0.1291), cf=0.581, gamma=4.500, delta=0.100, M=-1.426e+002
9 23 72 -> 103 fr=78 (0.1275), cf=0.605, gamma=4.684, delta=0.100, M=-1.423e+002
23 56 72 74 -> 103 fr=78 (0.1275), cf=0.605, gamma=4.684, delta=0.100, M=-1.423e+002
9 23 74 -> 103 fr=78 (0.1275), cf=0.595, gamma=4.613, delta=0.100, M=-1.404e+002
23 56 72 -> 103 fr=78 (0.1275), cf=0.595, gamma=4.613, delta=0.100, M=-1.404e+002
38 65 -> 103 fr=79 (0.1291), cf=0.568, gamma=4.403, delta=0.100, M=-1.400e+002
9 23 -> 103 fr=78 (0.1275), cf=0.591, gamma=4.578, delta=0.100, M=-1.395e+002
35 46 48 50 55 89 -> 113 fr=76 (0.1242), cf=0.673, gamma=5.020, delta=0.099, M=-1.384e+002
35 46 48 50 52 55 -> 113 fr=76 (0.1242), cf=0.673, gamma=5.020, delta=0.099, M=-1.384e+002
35 46 48 50 63 83 89 -> 113 fr=76 (0.1242), cf=0.673, gamma=5.020, delta=0.099, M=-1.384e+002
