12 -> ~17 fr=2361 (0.8201), cf=0.990, gamma=1.097, delta=0.073, M=-4.488e+002
2 -> ~16 fr=2112 (0.7336), cf=0.989, gamma=1.111, delta=0.073, M=-3.709e+002
6 -> ~20 fr=2109 (0.7325), cf=0.992, gamma=1.099, delta=0.066, M=-3.338e+002
2 -> ~19 fr=2107 (0.7319), cf=0.987, gamma=1.094, delta=0.063, M=-2.969e+002
6 -> ~21 fr=2099 (0.7291), cf=0.987, gamma=1.089, delta=0.060, M=-2.783e+002
14 -> ~22 fr=1873 (0.6506), cf=0.993, gamma=1.100, delta=0.059, M=-2.636e+002
8 -> ~16 fr=1873 (0.6506), cf=0.984, gamma=1.105, delta=0.062, M=-2.499e+002
8 -> ~15 fr=1874 (0.6509), cf=0.984, gamma=1.097, delta=0.058, M=-2.303e+002
14 -> ~16 fr=1845 (0.6408), cf=0.978, gamma=1.098, delta=0.057, M=-2.116e+002
14 -> ~19 fr=1855 (0.6443), cf=0.983, gamma=1.089, delta=0.053, M=-2.020e+002
9 -> ~15 fr=1645 (0.5714), cf=0.989, gamma=1.102, delta=0.053, M=-1.997e+002
8 -> ~22 fr=1869 (0.6492), cf=0.982, gamma=1.088, delta=0.053, M=-1.990e+002
4 -> ~16 fr=1620 (0.5627), cf=0.980, gamma=1.100, delta=0.051, M=-1.735e+002
4 -> ~17 fr=1630 (0.5662), cf=0.986, gamma=1.093, delta=0.048, M=-1.719e+002
9 -> ~21 fr=1641 (0.5700), cf=0.986, gamma=1.089, delta=0.046, M=-1.644e+002
9 -> ~17 fr=1633 (0.5672), cf=0.981, gamma=1.088, delta=0.046, M=-1.522e+002
9 -> ~23 fr=1627 (0.5651), cf=0.978, gamma=1.089, delta=0.046, M=-1.474e+002
4 -> ~18 fr=1622 (0.5634), cf=0.981, gamma=1.085, delta=0.044, M=-1.447e+002
4 -> ~22 fr=1618 (0.5620), cf=0.979, gamma=1.085, delta=0.044, M=-1.398e+002
10 -> ~16 fr=1188 (0.4126), cf=0.978, gamma=1.098, delta=0.037, M=-1.003e+002
3 -> ~24 fr=1198 (0.4161), cf=0.977, gamma=1.091, delta=0.035, M=-9.197e+001
10 -> ~24 fr=1186 (0.4119), cf=0.976, gamma=1.090, delta=0.034, M=-8.817e+001
3 -> ~15 fr=1195 (0.4151), cf=0.975, gamma=1.086, delta=0.033, M=-8.373e+001
3 -> ~21 fr=1200 (0.4168), cf=0.979, gamma=1.081, delta=0.031, M=-8.104e+001
3 -> ~23 fr=1194 (0.4147), cf=0.974, gamma=1.085, delta=0.032, M=-8.075e+001
10 -> ~22 fr=1186 (0.4119), cf=0.976, gamma=1.082, delta=0.031, M=-7.902e+001
10 -> ~19 fr=1186 (0.4119), cf=0.976, gamma=1.082, delta=0.031, M=-7.851e+001
10 -> ~18 fr=1185 (0.4116), cf=0.975, gamma=1.079, delta=0.030, M=-7.408e+001
7 -> ~19 fr=958 (0.3328), cf=0.983, gamma=1.089, delta=0.027, M=-7.075e+001
3 -> ~20 fr=1188 (0.4126), cf=0.969, gamma=1.074, delta=0.029, M=-6.404e+001
3 -> ~19 fr=1188 (0.4126), cf=0.969, gamma=1.074, delta=0.028, M=-6.357e+001
10 -> ~20 fr=1177 (0.4088), cf=0.969, gamma=1.074, delta=0.028, M=-6.264e+001
13 -> ~15 fr=966 (0.3355), cf=0.974, gamma=1.085, delta=0.026, M=-6.089e+001
7 13 -> ~23 fr=534 (0.1855), cf=0.998, gamma=1.112, delta=0.019, M=-5.979e+001
7 -> ~23 fr=949 (0.3296), cf=0.973, gamma=1.084, delta=0.026, M=-5.799e+001
7 13 -> ~17 fr=534 (0.1855), cf=0.998, gamma=1.107, delta=0.018, M=-5.706e+001
1 13 -> ~21 fr=520 (0.1806), cf=1.000, gamma=1.104, delta=0.017, M=-5.700e+001
13 -> ~23 fr=964 (0.3348), cf=0.972, gamma=1.082, delta=0.025, M=-5.660e+001
13 -> ~17 fr=966 (0.3355), cf=0.974, gamma=1.080, delta=0.025, M=-5.566e+001
7 -> ~21 fr=952 (0.3307), cf=0.976, gamma=1.078, delta=0.024, M=-5.496e+001
7 13 -> ~20 fr=533 (0.1851), cf=0.996, gamma=1.104, delta=0.018, M=-5.345e+001
7 -> ~18 fr=950 (0.3300), cf=0.974, gamma=1.078, delta=0.024, M=-5.322e+001
1 13 -> ~24 fr=517 (0.1796), cf=0.994, gamma=1.110, delta=0.018, M=-5.227e+001
7 -> ~20 fr=948 (0.3293), cf=0.972, gamma=1.078, delta=0.024, M=-5.194e+001
7 -> ~24 fr=944 (0.3279), cf=0.968, gamma=1.081, delta=0.025, M=-5.168e+001
1 13 -> ~20 fr=518 (0.1799), cf=0.996, gamma=1.104, delta=0.017, M=-5.161e+001
13 -> ~24 fr=959 (0.3331), cf=0.967, gamma=1.079, delta=0.024, M=-5.055e+001
13 -> ~21 fr=965 (0.3352), cf=0.973, gamma=1.074, delta=0.023, M=-4.995e+001
7 -> ~17 fr=946 (0.3286), cf=0.970, gamma=1.076, delta=0.023, M=-4.865e+001
13 -> ~18 fr=962 (0.3341), cf=0.970, gamma=1.073, delta=0.023, M=-4.687e+001
13 -> ~20 fr=960 (0.3334), cf=0.968, gamma=1.073, delta=0.023, M=-4.586e+001
1 -> ~21 fr=726 (0.2522), cf=0.976, gamma=1.077, delta=0.018, M=-3.857e+001
1 -> ~15 fr=721 (0.2504), cf=0.969, gamma=1.080, delta=0.019, M=-3.692e+001
