25 27 29 -> ~55 fr=78 (0.5652), cf=0.963, gamma=1.208, delta=0.097, M=-1.890e+001
25 27 29 -> 56 fr=78 (0.5652), cf=0.963, gamma=1.208, delta=0.097, M=-1.890e+001
26 -> 55 fr=14 (0.1014), cf=0.778, gamma=3.833, delta=0.075, M=-1.803e+001
1 27 29 -> ~55 fr=84 (0.6087), cf=0.944, gamma=1.184, delta=0.095, M=-1.783e+001
1 27 29 -> 56 fr=84 (0.6087), cf=0.944, gamma=1.184, delta=0.095, M=-1.783e+001
27 30 -> ~55 fr=93 (0.6739), cf=0.921, gamma=1.155, delta=0.091, M=-1.754e+001
27 30 -> 56 fr=93 (0.6739), cf=0.921, gamma=1.155, delta=0.091, M=-1.754e+001
25 27 47 -> ~55 fr=69 (0.5000), cf=0.972, gamma=1.219, delta=0.090, M=-1.683e+001
25 27 47 -> 56 fr=69 (0.5000), cf=0.972, gamma=1.219, delta=0.090, M=-1.683e+001
15 25 27 -> ~55 fr=63 (0.4565), cf=0.984, gamma=1.235, delta=0.087, M=-1.673e+001
15 25 29 -> ~55 fr=63 (0.4565), cf=0.984, gamma=1.235, delta=0.087, M=-1.673e+001
15 25 27 -> 56 fr=63 (0.4565), cf=0.984, gamma=1.235, delta=0.087, M=-1.673e+001
15 25 29 -> 56 fr=63 (0.4565), cf=0.984, gamma=1.235, delta=0.087, M=-1.673e+001
27 29 39 -> ~55 fr=82 (0.5942), cf=0.943, gamma=1.182, delta=0.092, M=-1.672e+001
27 29 39 -> 56 fr=82 (0.5942), cf=0.943, gamma=1.182, delta=0.092, M=-1.672e+001
25 27 -> ~55 fr=78 (0.5652), cf=0.951, gamma=1.193, delta=0.092, M=-1.668e+001
25 27 -> 56 fr=78 (0.5652), cf=0.951, gamma=1.193, delta=0.092, M=-1.668e+001
6 12 54 -> 55 fr=21 (0.1522), cf=0.488, gamma=2.407, delta=0.089, M=-1.624e+001
6 12 54 -> ~56 fr=21 (0.1522), cf=0.488, gamma=2.407, delta=0.089, M=-1.624e+001
27 29 -> ~55 fr=96 (0.6957), cf=0.906, gamma=1.136, delta=0.083, M=-1.599e+001
27 29 -> 56 fr=96 (0.6957), cf=0.906, gamma=1.136, delta=0.083, M=-1.599e+001
6 14 54 -> 55 fr=17 (0.1232), cf=0.586, gamma=2.889, delta=0.081, M=-1.571e+001
6 14 54 -> ~56 fr=17 (0.1232), cf=0.586, gamma=2.889, delta=0.081, M=-1.571e+001
1 23 27 -> ~55 fr=76 (0.5507), cf=0.950, gamma=1.192, delta=0.089, M=-1.570e+001
1 23 27 -> 56 fr=76 (0.5507), cf=0.950, gamma=1.192, delta=0.089, M=-1.570e+001
23 27 -> ~55 fr=87 (0.6304), cf=0.926, gamma=1.161, delta=0.087, M=-1.567e+001
23 27 -> 56 fr=87 (0.6304), cf=0.926, gamma=1.161, delta=0.087, M=-1.567e+001
1 27 -> ~55 fr=90 (0.6522), cf=0.918, gamma=1.152, delta=0.086, M=-1.561e+001
1 27 -> 56 fr=90 (0.6522), cf=0.918, gamma=1.152, delta=0.086, M=-1.561e+001
27 -> ~55 fr=102 (0.7391), cf=0.887, gamma=1.113, delta=0.075, M=-1.554e+001
14 54 -> 55 fr=17 (0.1232), cf=0.567, gamma=2.793, delta=0.079, M=-1.497e+001
14 54 -> ~56 fr=17 (0.1232), cf=0.567, gamma=2.793, delta=0.079, M=-1.497e+001
25 29 -> ~55 fr=78 (0.5652), cf=0.940, gamma=1.179, delta=0.086, M=-1.470e+001
25 29 -> 56 fr=78 (0.5652), cf=0.940, gamma=1.179, delta=0.086, M=-1.470e+001
15 25 30 -> ~55 fr=58 (0.4203), cf=0.983, gamma=1.233, delta=0.080, M=-1.465e+001
15 25 30 -> 56 fr=58 (0.4203), cf=0.983, gamma=1.233, delta=0.080, M=-1.465e+001
15 23 -> ~55 fr=64 (0.4638), cf=0.970, gamma=1.217, delta=0.083, M=-1.464e+001
15 23 -> 56 fr=64 (0.4638), cf=0.970, gamma=1.217, delta=0.083, M=-1.464e+001
6 11 12 24 -> 55 fr=18 (0.1304), cf=0.529, gamma=2.609, delta=0.080, M=-1.463e+001
6 11 12 24 -> ~56 fr=18 (0.1304), cf=0.529, gamma=2.609, delta=0.080, M=-1.463e+001
6 12 24 -> 55 fr=19 (0.1377), cf=0.500, gamma=2.464, delta=0.082, M=-1.447e+001
6 12 24 -> ~56 fr=19 (0.1377), cf=0.500, gamma=2.464, delta=0.082, M=-1.447e+001
15 25 47 -> ~55 fr=57 (0.4130), cf=0.983, gamma=1.233, delta=0.078, M=-1.425e+001
15 25 47 -> 56 fr=57 (0.4130), cf=0.983, gamma=1.233, delta=0.078, M=-1.425e+001
15 25 -> ~55 fr=63 (0.4565), cf=0.969, gamma=1.216, delta=0.081, M=-1.423e+001
15 25 -> 56 fr=63 (0.4565), cf=0.969, gamma=1.216, delta=0.081, M=-1.423e+001
12 54 -> 55 fr=21 (0.1522), cf=0.447, gamma=2.202, delta=0.083, M=-1.406e+001
12 54 -> ~56 fr=21 (0.1522), cf=0.447, gamma=2.202, delta=0.083, M=-1.406e+001
6 12 -> 55 fr=27 (0.1957), cf=0.333, gamma=1.643, delta=0.077, M=-1.387e+001
6 12 -> ~56 fr=27 (0.1957), cf=0.333, gamma=1.643, delta=0.077, M=-1.387e+001
25 30 47 -> ~55 fr=67 (0.4855), cf=0.957, gamma=1.201, delta=0.081, M=-1.373e+001
25 30 47 -> 56 fr=67 (0.4855), cf=0.957, gamma=1.201, delta=0.081, M=-1.373e+001
23 29 30 47 -> ~55 fr=75 (0.5435), cf=0.938, gamma=1.176, delta=0.081, M=-1.332e+001
23 29 30 47 -> 56 fr=75 (0.5435), cf=0.938, gamma=1.176, delta=0.081, M=-1.332e+001
29 30 47 -> ~55 fr=85 (0.6159), cf=0.914, gamma=1.147, delta=0.079, M=-1.289e+001
29 30 47 -> 56 fr=85 (0.6159), cf=0.914, gamma=1.147, delta=0.079, M=-1.289e+001
30 47 -> ~55 fr=91 (0.6594), cf=0.901, gamma=1.130, delta=0.076, M=-1.284e+001
30 47 -> 56 fr=91 (0.6594), cf=0.901, gamma=1.130, delta=0.076, M=-1.284e+001
6 11 24 -> 55 fr=18 (0.1304), cf=0.486, gamma=2.398, delta=0.076, M=-1.284e+001
6 11 24 -> ~56 fr=18 (0.1304), cf=0.486, gamma=2.398, delta=0.076, M=-1.284e+001
6 24 -> 55 fr=19 (0.1377), cf=0.463, gamma=2.284, delta=0.077, M=-1.281e+001
6 24 -> ~56 fr=19 (0.1377), cf=0.463, gamma=2.284, delta=0.077, M=-1.281e+001
25 47 -> ~55 fr=69 (0.5000), cf=0.945, gamma=1.186, delta=0.078, M=-1.261e+001
