1 -> ~85 fr=167 (0.5045), cf=0.888, gamma=1.407, delta=0.146, M=-6.733e+001
1 -> 84 fr=167 (0.5045), cf=0.888, gamma=1.407, delta=0.146, M=-6.733e+001
5 38 -> 85 fr=37 (0.1118), cf=0.841, gamma=2.281, delta=0.063, M=-2.582e+001
5 38 -> ~84 fr=37 (0.1118), cf=0.841, gamma=2.281, delta=0.063, M=-2.582e+001
38 -> 85 fr=38 (0.1148), cf=0.809, gamma=2.194, delta=0.062, M=-2.414e+001
5 25 -> 85 fr=67 (0.2024), cf=0.554, gamma=1.502, delta=0.068, M=-1.591e+001
5 25 -> ~84 fr=67 (0.2024), cf=0.554, gamma=1.502, delta=0.068, M=-1.591e+001
65 -> 84 fr=48 (0.1450), cf=0.923, gamma=1.462, delta=0.046, M=-1.512e+001
49 -> 84 fr=64 (0.1934), cf=0.865, gamma=1.370, delta=0.052, M=-1.424e+001
16 -> ~85 fr=142 (0.4290), cf=0.743, gamma=1.177, delta=0.065, M=-1.416e+001
16 -> 84 fr=142 (0.4290), cf=0.743, gamma=1.177, delta=0.065, M=-1.416e+001
3 25 -> 85 fr=68 (0.2054), cf=0.523, gamma=1.419, delta=0.061, M=-1.287e+001
3 25 -> ~84 fr=68 (0.2054), cf=0.523, gamma=1.419, delta=0.061, M=-1.287e+001
79 -> 84 fr=45 (0.1360), cf=0.900, gamma=1.425, delta=0.041, M=-1.225e+001
5 15 -> 85 fr=35 (0.1057), cf=0.648, gamma=1.759, delta=0.046, M=-1.224e+001
5 15 -> ~84 fr=35 (0.1057), cf=0.648, gamma=1.759, delta=0.046, M=-1.224e+001
5 20 47 -> 85 fr=34 (0.1027), cf=0.654, gamma=1.774, delta=0.045, M=-1.218e+001
5 20 47 -> ~84 fr=34 (0.1027), cf=0.654, gamma=1.774, delta=0.045, M=-1.218e+001
15 -> 85 fr=36 (0.1088), cf=0.632, gamma=1.714, delta=0.045, M=-1.167e+001
5 29 -> 85 fr=45 (0.1360), cf=0.584, gamma=1.586, delta=0.050, M=-1.162e+001
5 29 -> ~84 fr=45 (0.1360), cf=0.584, gamma=1.586, delta=0.050, M=-1.162e+001
5 47 -> 85 fr=45 (0.1360), cf=0.563, gamma=1.526, delta=0.047, M=-1.013e+001
5 47 -> ~84 fr=45 (0.1360), cf=0.563, gamma=1.526, delta=0.047, M=-1.013e+001
66 -> 84 fr=66 (0.1994), cf=0.815, gamma=1.290, delta=0.045, M=-1.009e+001
27 -> 84 fr=81 (0.2447), cf=0.786, gamma=1.245, delta=0.048, M=-9.917e+000
46 71 -> ~85 fr=55 (0.1662), cf=0.833, gamma=1.320, delta=0.040, M=-9.592e+000
46 71 -> 84 fr=55 (0.1662), cf=0.833, gamma=1.320, delta=0.040, M=-9.592e+000
46 -> 84 fr=64 (0.1934), cf=0.810, gamma=1.283, delta=0.043, M=-9.376e+000
42 -> 84 fr=41 (0.1239), cf=0.872, gamma=1.382, delta=0.034, M=-9.331e+000
61 71 -> ~85 fr=59 (0.1782), cf=0.819, gamma=1.298, delta=0.041, M=-9.271e+000
61 71 -> 84 fr=59 (0.1782), cf=0.819, gamma=1.298, delta=0.041, M=-9.271e+000
29 -> 85 fr=47 (0.1420), cf=0.540, gamma=1.466, delta=0.045, M=-9.118e+000
5 21 35 -> 85 fr=36 (0.1088), cf=0.571, gamma=1.550, delta=0.039, M=-8.410e+000
5 21 35 -> ~84 fr=36 (0.1088), cf=0.571, gamma=1.550, delta=0.039, M=-8.410e+000
61 -> 84 fr=70 (0.2115), cf=0.787, gamma=1.246, delta=0.042, M=-8.382e+000
20 47 -> 85 fr=35 (0.1057), cf=0.574, gamma=1.557, delta=0.038, M=-8.285e+000
20 47 -> ~84 fr=35 (0.1057), cf=0.574, gamma=1.557, delta=0.038, M=-8.285e+000
3 57 -> ~85 fr=48 (0.1450), cf=0.828, gamma=1.311, delta=0.034, M=-7.976e+000
3 57 -> 84 fr=48 (0.1450), cf=0.828, gamma=1.311, delta=0.034, M=-7.976e+000
23 72 -> ~85 fr=68 (0.2054), cf=0.782, gamma=1.238, delta=0.039, M=-7.744e+000
23 72 -> 84 fr=68 (0.2054), cf=0.782, gamma=1.238, delta=0.039, M=-7.744e+000
47 -> 85 fr=48 (0.1450), cf=0.516, gamma=1.400, delta=0.041, M=-7.710e+000
5 35 -> 85 fr=84 (0.2538), cf=0.447, gamma=1.212, delta=0.044, M=-7.609e+000
5 35 -> ~84 fr=84 (0.2538), cf=0.447, gamma=1.212, delta=0.044, M=-7.609e+000
56 -> 84 fr=39 (0.1178), cf=0.848, gamma=1.343, delta=0.030, M=-7.524e+000
21 72 -> 85 fr=35 (0.1057), cf=0.556, gamma=1.507, delta=0.036, M=-7.380e+000
21 72 -> ~84 fr=35 (0.1057), cf=0.556, gamma=1.507, delta=0.036, M=-7.380e+000
5 21 -> 85 fr=40 (0.1208), cf=0.533, gamma=1.447, delta=0.037, M=-7.244e+000
5 21 -> ~84 fr=40 (0.1208), cf=0.533, gamma=1.447, delta=0.037, M=-7.244e+000
32 -> 84 fr=38 (0.1148), cf=0.844, gamma=1.337, delta=0.029, M=-7.165e+000
36 71 -> ~85 fr=55 (0.1662), cf=0.797, gamma=1.262, delta=0.035, M=-7.139e+000
36 71 -> 84 fr=55 (0.1662), cf=0.797, gamma=1.262, delta=0.035, M=-7.139e+000
57 -> 84 fr=50 (0.1511), cf=0.806, gamma=1.277, delta=0.033, M=-7.022e+000
50 -> 84 fr=34 (0.1027), cf=0.850, gamma=1.346, delta=0.026, M=-6.693e+000
3 21 35 -> 85 fr=36 (0.1088), cf=0.537, gamma=1.458, delta=0.034, M=-6.690e+000
3 21 35 -> ~84 fr=36 (0.1088), cf=0.537, gamma=1.458, delta=0.034, M=-6.690e+000
21 35 -> 85 fr=38 (0.1148), cf=0.528, gamma=1.432, delta=0.035, M=-6.580e+000
21 35 -> ~84 fr=38 (0.1148), cf=0.528, gamma=1.432, delta=0.035, M=-6.580e+000
23 -> ~85 fr=90 (0.2719), cf=0.738, gamma=1.168, delta=0.039, M=-6.528e+000
23 -> 84 fr=90 (0.2719), cf=0.738, gamma=1.168, delta=0.039, M=-6.528e+000
5 48 -> 85 fr=34 (0.1027), cf=0.540, gamma=1.464, delta=0.033, M=-6.426e+000
5 48 -> ~84 fr=34 (0.1027), cf=0.540, gamma=1.464, delta=0.033, M=-6.426e+000
3 9 35 -> 85 fr=41 (0.1239), cf=0.512, gamma=1.390, delta=0.035, M=-6.287e+000
3 9 35 -> ~84 fr=41 (0.1239), cf=0.512, gamma=1.390, delta=0.035, M=-6.287e+000
3 48 -> 85 fr=34 (0.1027), cf=0.531, gamma=1.441, delta=0.031, M=-6.042e+000
3 48 -> ~84 fr=34 (0.1027), cf=0.531, gamma=1.441, delta=0.031, M=-6.042e+000
3 35 -> 85 fr=85 (0.2568), cf=0.431, gamma=1.171, delta=0.037, M=-5.908e+000
3 35 -> ~84 fr=85 (0.2568), cf=0.431, gamma=1.171, delta=0.037, M=-5.908e+000
48 -> 85 fr=35 (0.1057), cf=0.522, gamma=1.417, delta=0.031, M=-5.808e+000
35 -> ~84 fr=89 (0.2689), cf=0.426, gamma=1.155, delta=0.036, M=-5.765e+000
3 5 -> 85 fr=114 (0.3444), cf=0.397, gamma=1.078, delta=0.025, M=-5.624e+000
3 5 -> ~84 fr=114 (0.3444), cf=0.397, gamma=1.078, delta=0.025, M=-5.624e+000
21 -> 85 fr=43 (0.1299), cf=0.494, gamma=1.341, delta=0.033, M=-5.597e+000
