1 -> ~85 fr=171 (0.5151), cf=0.881, gamma=1.400, delta=0.147, M=-6.888e+001
1 -> 84 fr=171 (0.5151), cf=0.881, gamma=1.400, delta=0.147, M=-6.888e+001
5 38 -> 85 fr=35 (0.1054), cf=0.833, gamma=2.249, delta=0.059, M=-2.355e+001
5 38 -> ~84 fr=35 (0.1054), cf=0.833, gamma=2.249, delta=0.059, M=-2.355e+001
38 -> 85 fr=37 (0.1114), cf=0.804, gamma=2.171, delta=0.060, M=-2.293e+001
3 16 72 -> ~85 fr=91 (0.2741), cf=0.827, gamma=1.314, delta=0.066, M=-1.668e+001
3 16 72 -> 84 fr=91 (0.2741), cf=0.827, gamma=1.314, delta=0.066, M=-1.668e+001
65 -> 84 fr=48 (0.1446), cf=0.923, gamma=1.466, delta=0.046, M=-1.526e+001
16 -> ~85 fr=143 (0.4307), cf=0.745, gamma=1.183, delta=0.067, M=-1.497e+001
16 -> 84 fr=143 (0.4307), cf=0.745, gamma=1.183, delta=0.067, M=-1.497e+001
3 49 -> ~85 fr=62 (0.1867), cf=0.873, gamma=1.387, delta=0.052, M=-1.472e+001
3 49 -> 84 fr=62 (0.1867), cf=0.873, gamma=1.387, delta=0.052, M=-1.472e+001
49 -> 84 fr=67 (0.2018), cf=0.859, gamma=1.364, delta=0.054, M=-1.457e+001
5 25 29 -> 85 fr=38 (0.1145), cf=0.667, gamma=1.799, delta=0.051, M=-1.434e+001
5 25 29 -> ~84 fr=38 (0.1145), cf=0.667, gamma=1.799, delta=0.051, M=-1.434e+001
79 -> 84 fr=51 (0.1536), cf=0.879, gamma=1.397, delta=0.044, M=-1.238e+001
3 66 -> ~85 fr=71 (0.2139), cf=0.826, gamma=1.311, delta=0.051, M=-1.214e+001
3 66 -> 84 fr=71 (0.2139), cf=0.826, gamma=1.311, delta=0.051, M=-1.214e+001
5 25 35 -> 85 fr=59 (0.1777), cf=0.541, gamma=1.461, delta=0.056, M=-1.192e+001
5 25 35 -> ~84 fr=59 (0.1777), cf=0.541, gamma=1.461, delta=0.056, M=-1.192e+001
25 29 35 -> 85 fr=37 (0.1114), cf=0.627, gamma=1.693, delta=0.046, M=-1.160e+001
25 29 35 -> ~84 fr=37 (0.1114), cf=0.627, gamma=1.693, delta=0.046, M=-1.160e+001
5 15 -> 85 fr=36 (0.1084), cf=0.632, gamma=1.705, delta=0.045, M=-1.151e+001
5 15 -> ~84 fr=36 (0.1084), cf=0.632, gamma=1.705, delta=0.045, M=-1.151e+001
66 -> 84 fr=71 (0.2139), cf=0.816, gamma=1.296, delta=0.049, M=-1.124e+001
5 25 -> 85 fr=64 (0.1928), cf=0.520, gamma=1.404, delta=0.056, M=-1.123e+001
5 25 -> ~84 fr=64 (0.1928), cf=0.520, gamma=1.404, delta=0.056, M=-1.123e+001
25 29 -> 85 fr=39 (0.1175), cf=0.609, gamma=1.645, delta=0.046, M=-1.121e+001
