1 15 -> 31 fr=487 (0.3899), cf=0.947, gamma=1.123, delta=0.043, M=-4.235e+001
1 -> 31 fr=510 (0.4083), cf=0.943, gamma=1.117, delta=0.043, M=-4.137e+001
15 27 -> 31 fr=928 (0.7430), cf=0.880, gamma=1.043, delta=0.031, M=-3.091e+001
11 -> 31 fr=330 (0.2642), cf=0.951, gamma=1.127, delta=0.030, M=-2.720e+001
1 15 -> ~32 fr=490 (0.3923), cf=0.953, gamma=1.061, delta=0.023, M=-1.784e+001
1 -> ~32 fr=514 (0.4115), cf=0.950, gamma=1.058, delta=0.022, M=-1.710e+001
20 23 -> 31 fr=660 (0.5284), cf=0.889, gamma=1.054, delta=0.027, M=-1.637e+001
23 -> 31 fr=671 (0.5372), cf=0.888, gamma=1.052, delta=0.026, M=-1.576e+001
6 -> 31 fr=386 (0.3090), cf=0.910, gamma=1.079, delta=0.023, M=-1.369e+001
11 -> ~32 fr=333 (0.2666), cf=0.960, gamma=1.068, delta=0.017, M=-1.346e+001
15 27 -> ~33 fr=1035 (0.8287), cf=0.982, gamma=1.011, delta=0.009, M=-1.210e+001
1 15 -> ~33 fr=511 (0.4091), cf=0.994, gamma=1.024, delta=0.009, M=-1.139e+001
15 27 -> ~32 fr=965 (0.7726), cf=0.916, gamma=1.019, delta=0.015, M=-1.135e+001
15 -> ~33 fr=1044 (0.8359), cf=0.981, gamma=1.010, delta=0.009, M=-1.118e+001
15 -> ~32 fr=973 (0.7790), cf=0.914, gamma=1.018, delta=0.014, M=-1.069e+001
1 -> ~33 fr=537 (0.4299), cf=0.993, gamma=1.022, delta=0.009, M=-1.058e+001
1 -> ~34 fr=541 (0.4331), cf=1.000, gamma=1.015, delta=0.006, M=-1.031e+001
26 -> ~31 fr=188 (0.1505), cf=0.168, gamma=1.076, delta=0.011, M=-8.752e+000
6 12 23 -> ~33 fr=265 (0.2122), cf=1.000, gamma=1.030, delta=0.006, M=-8.724e+000
6 12 -> ~33 fr=302 (0.2418), cf=0.997, gamma=1.026, delta=0.006, M=-7.605e+000
23 -> ~35 fr=756 (0.6053), cf=1.000, gamma=1.006, delta=0.004, M=-7.471e+000
7 20 -> 31 fr=396 (0.3171), cf=0.888, gamma=1.052, delta=0.016, M=-7.185e+000
27 -> ~32 fr=1099 (0.8799), cf=0.904, gamma=1.006, delta=0.005, M=-6.904e+000
7 -> 31 fr=408 (0.3267), cf=0.885, gamma=1.049, delta=0.015, M=-6.717e+000
2 12 -> 31 fr=201 (0.1609), cf=0.910, gamma=1.078, delta=0.012, M=-6.605e+000
6 -> ~33 fr=420 (0.3363), cf=0.991, gamma=1.020, delta=0.007, M=-6.483e+000
20 27 -> ~33 fr=1138 (0.9111), cf=0.976, gamma=1.005, delta=0.004, M=-6.335e+000
27 -> ~33 fr=1185 (0.9488), cf=0.975, gamma=1.003, delta=0.003, M=-6.226e+000
23 -> ~33 fr=743 (0.5949), cf=0.983, gamma=1.012, delta=0.007, M=-6.069e+000
12 20 29 -> 31 fr=416 (0.3331), cf=0.881, gamma=1.044, delta=0.014, M=-5.974e+000
11 -> ~34 fr=347 (0.2778), cf=1.000, gamma=1.015, delta=0.004, M=-5.906e+000
15 23 -> ~34 fr=697 (0.5580), cf=0.994, gamma=1.009, delta=0.005, M=-5.659e+000
