11 30 33 41 45 -> 48 fr=86 (0.3162), cf=0.925, gamma=1.747, delta=0.135, M=-5.204e+001
11 33 41 45 -> 48 fr=87 (0.3199), cf=0.916, gamma=1.730, delta=0.135, M=-5.099e+001
30 33 41 45 -> 48 fr=87 (0.3199), cf=0.916, gamma=1.730, delta=0.135, M=-5.099e+001
11 30 41 45 -> 48 fr=87 (0.3199), cf=0.916, gamma=1.730, delta=0.135, M=-5.099e+001
33 41 45 -> 48 fr=88 (0.3235), cf=0.907, gamma=1.714, delta=0.135, M=-5.004e+001
11 41 45 -> 48 fr=88 (0.3235), cf=0.907, gamma=1.714, delta=0.135, M=-5.004e+001
30 41 45 -> 48 fr=88 (0.3235), cf=0.898, gamma=1.696, delta=0.133, M=-4.814e+001
41 45 -> 48 fr=89 (0.3272), cf=0.890, gamma=1.681, delta=0.133, M=-4.734e+001
30 31 33 45 -> 48 fr=97 (0.3566), cf=0.851, gamma=1.607, delta=0.135, M=-4.570e+001
11 30 31 33 41 -> 48 fr=92 (0.3382), cf=0.868, gamma=1.639, delta=0.132, M=-4.528e+001
31 33 45 -> 48 fr=98 (0.3603), cf=0.845, gamma=1.596, delta=0.135, M=-4.523e+001
30 31 41 -> 48 fr=95 (0.3493), cf=0.856, gamma=1.617, delta=0.133, M=-4.517e+001
11 31 33 41 -> 48 fr=93 (0.3419), cf=0.861, gamma=1.627, delta=0.132, M=-4.469e+001
31 41 -> 48 fr=96 (0.3529), cf=0.850, gamma=1.605, delta=0.133, M=-4.466e+001
11 30 33 45 -> 48 fr=110 (0.4044), cf=0.797, gamma=1.506, delta=0.136, M=-4.446e+001
30 33 45 -> 48 fr=111 (0.4081), cf=0.793, gamma=1.498, delta=0.136, M=-4.432e+001
30 31 45 -> 48 fr=98 (0.3603), cf=0.838, gamma=1.582, delta=0.133, M=-4.376e+001
31 45 -> 48 fr=99 (0.3640), cf=0.832, gamma=1.571, delta=0.132, M=-4.336e+001
10 47 -> ~48 fr=66 (0.2426), cf=0.904, gamma=1.921, delta=0.116, M=-4.313e+001
11 33 45 -> 48 fr=111 (0.4081), cf=0.787, gamma=1.487, delta=0.134, M=-4.305e+001
33 45 -> 48 fr=112 (0.4118), cf=0.783, gamma=1.479, delta=0.133, M=-4.295e+001
11 30 45 -> 48 fr=111 (0.4081), cf=0.782, gamma=1.477, delta=0.132, M=-4.182e+001
11 45 -> 48 fr=112 (0.4118), cf=0.772, gamma=1.459, delta=0.130, M=-4.053e+001
30 45 -> 48 fr=112 (0.4118), cf=0.772, gamma=1.459, delta=0.130, M=-4.053e+001
11 30 33 41 -> 48 fr=108 (0.3971), cf=0.766, gamma=1.447, delta=0.123, M=-3.626e+001
11 33 41 -> 48 fr=109 (0.4007), cf=0.757, gamma=1.430, delta=0.120, M=-3.506e+001
30 33 41 -> 48 fr=110 (0.4044), cf=0.753, gamma=1.423, delta=0.120, M=-3.499e+001
11 30 31 33 -> 48 fr=119 (0.4375), cf=0.721, gamma=1.362, delta=0.116, M=-3.417e+001
38 41 -> 48 fr=71 (0.2610), cf=0.887, gamma=1.676, delta=0.105, M=-3.410e+001
11 30 41 -> 48 fr=109 (0.4007), cf=0.752, gamma=1.420, delta=0.119, M=-3.398e+001
33 41 -> 48 fr=111 (0.4081), cf=0.745, gamma=1.407, delta=0.118, M=-3.388e+001
30 31 33 -> 48 fr=120 (0.4412), cf=0.714, gamma=1.349, delta=0.114, M=-3.329e+001
11 41 -> 48 fr=110 (0.4044), cf=0.743, gamma=1.404, delta=0.116, M=-3.288e+001
11 31 33 -> 48 fr=120 (0.4412), cf=0.710, gamma=1.341, delta=0.112, M=-3.231e+001
30 41 -> 48 fr=112 (0.4118), cf=0.732, gamma=1.383, delta=0.114, M=-3.181e+001
31 33 -> 48 fr=121 (0.4449), cf=0.703, gamma=1.329, delta=0.110, M=-3.150e+001
11 31 38 -> 48 fr=82 (0.3015), cf=0.820, gamma=1.549, delta=0.107, M=-3.037e+001
30 31 -> 48 fr=122 (0.4485), cf=0.693, gamma=1.309, delta=0.106, M=-2.979e+001
31 38 -> 48 fr=82 (0.3015), cf=0.812, gamma=1.534, delta=0.105, M=-2.913e+001
11 38 -> 48 fr=93 (0.3419), cf=0.756, gamma=1.428, delta=0.103, M=-2.595e+001
38 -> 48 fr=94 (0.3456), cf=0.752, gamma=1.420, delta=0.102, M=-2.576e+001
6 39 -> ~48 fr=66 (0.2426), cf=0.759, gamma=1.612, delta=0.092, M=-2.389e+001
5 11 21 30 33 -> 48 fr=56 (0.2059), cf=0.824, gamma=1.556, delta=0.074, M=-1.865e+001
30 31 41 -> ~50 fr=111 (0.4081), cf=1.000, gamma=1.133, delta=0.048, M=-1.819e+001
5 21 30 33 -> 48 fr=57 (0.2096), cf=0.814, gamma=1.538, delta=0.073, M=-1.817e+001
9 11 30 33 -> 48 fr=56 (0.2059), cf=0.812, gamma=1.533, delta=0.072, M=-1.753e+001
5 11 21 33 -> 48 fr=56 (0.2059), cf=0.812, gamma=1.533, delta=0.072, M=-1.753e+001
5 11 30 33 -> 48 fr=59 (0.2169), cf=0.797, gamma=1.506, delta=0.073, M=-1.730e+001
9 11 33 -> 48 fr=57 (0.2096), cf=0.803, gamma=1.516, delta=0.071, M=-1.709e+001
9 11 30 -> 48 fr=57 (0.2096), cf=0.803, gamma=1.516, delta=0.071, M=-1.709e+001
5 21 33 -> 48 fr=57 (0.2096), cf=0.803, gamma=1.516, delta=0.071, M=-1.709e+001
5 11 33 -> 48 fr=60 (0.2206), cf=0.789, gamma=1.491, delta=0.073, M=-1.691e+001
9 11 -> 48 fr=58 (0.2132), cf=0.795, gamma=1.501, delta=0.071, M=-1.668e+001
21 31 33 45 -> ~51 fr=101 (0.3713), cf=1.000, gamma=1.138, delta=0.045, M=-1.660e+001
