1 10 15 19 28 35 -> 42 fr=4352 (0.8831), cf=0.945, gamma=1.053, delta=0.044, M=-4.819e+002
1 15 19 28 35 -> 42 fr=4352 (0.8831), cf=0.945, gamma=1.053, delta=0.044, M=-4.793e+002
10 15 19 28 35 -> 42 fr=4352 (0.8831), cf=0.944, gamma=1.053, delta=0.044, M=-4.766e+002
15 19 28 35 -> 42 fr=4352 (0.8831), cf=0.944, gamma=1.052, delta=0.044, M=-4.740e+002
1 10 15 19 28 31 -> 42 fr=4352 (0.8831), cf=0.944, gamma=1.052, delta=0.044, M=-4.687e+002
1 15 19 28 31 -> 42 fr=4352 (0.8831), cf=0.944, gamma=1.052, delta=0.043, M=-4.661e+002
10 15 19 28 31 -> 42 fr=4352 (0.8831), cf=0.943, gamma=1.051, delta=0.043, M=-4.635e+002
15 19 28 31 -> 42 fr=4352 (0.8831), cf=0.943, gamma=1.051, delta=0.043, M=-4.608e+002
1 10 15 19 28 -> 42 fr=4355 (0.8837), cf=0.943, gamma=1.051, delta=0.043, M=-4.600e+002
1 10 15 19 35 -> 42 fr=4357 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.551e+002
1 15 19 35 -> 42 fr=4357 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.525e+002
10 15 19 28 38 -> 42 fr=4355 (0.8837), cf=0.942, gamma=1.050, delta=0.042, M=-4.521e+002
10 15 19 35 -> 42 fr=4357 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.499e+002
10 15 19 28 -> 42 fr=4355 (0.8837), cf=0.942, gamma=1.050, delta=0.042, M=-4.495e+002
15 19 35 -> 42 fr=4357 (0.8841), cf=0.941, gamma=1.049, delta=0.041, M=-4.447e+002
1 15 19 28 -> 42 fr=4355 (0.8837), cf=0.942, gamma=1.049, delta=0.042, M=-4.443e+002
1 10 15 19 31 -> 42 fr=4357 (0.8841), cf=0.941, gamma=1.049, delta=0.041, M=-4.421e+002
1 15 19 31 -> 42 fr=4357 (0.8841), cf=0.941, gamma=1.049, delta=0.041, M=-4.395e+002
10 15 19 31 -> 42 fr=4357 (0.8841), cf=0.941, gamma=1.048, delta=0.041, M=-4.369e+002
15 19 28 38 -> 42 fr=4355 (0.8837), cf=0.941, gamma=1.048, delta=0.041, M=-4.340e+002
1 10 15 19 -> 42 fr=4360 (0.8847), cf=0.940, gamma=1.048, delta=0.040, M=-4.336e+002
15 19 31 38 -> 42 fr=4357 (0.8841), cf=0.940, gamma=1.048, delta=0.041, M=-4.318e+002
15 19 28 -> 42 fr=4355 (0.8837), cf=0.941, gamma=1.048, delta=0.041, M=-4.315e+002
15 19 31 -> 42 fr=4357 (0.8841), cf=0.940, gamma=1.048, delta=0.040, M=-4.292e+002
10 15 19 38 -> 42 fr=4360 (0.8847), cf=0.940, gamma=1.047, delta=0.040, M=-4.259e+002
10 15 19 -> 42 fr=4360 (0.8847), cf=0.939, gamma=1.047, delta=0.040, M=-4.233e+002
1 15 19 -> 42 fr=4360 (0.8847), cf=0.939, gamma=1.047, delta=0.039, M=-4.182e+002
15 19 38 -> 42 fr=4360 (0.8847), cf=0.938, gamma=1.045, delta=0.038, M=-4.055e+002
15 19 -> 42 fr=4360 (0.8847), cf=0.937, gamma=1.044, delta=0.038, M=-3.954e+002
1 10 19 28 35 -> 42 fr=4362 (0.8851), cf=0.936, gamma=1.043, delta=0.037, M=-3.832e+002
1 19 28 35 -> 42 fr=4362 (0.8851), cf=0.936, gamma=1.043, delta=0.036, M=-3.807e+002
10 19 28 35 -> 42 fr=4362 (0.8851), cf=0.936, gamma=1.043, delta=0.036, M=-3.782e+002
19 28 35 -> 42 fr=4362 (0.8851), cf=0.935, gamma=1.042, delta=0.036, M=-3.757e+002
1 10 19 28 31 -> 42 fr=4362 (0.8851), cf=0.935, gamma=1.042, delta=0.036, M=-3.708e+002
1 19 28 31 -> 42 fr=4362 (0.8851), cf=0.935, gamma=1.042, delta=0.036, M=-3.683e+002
10 19 28 31 -> 42 fr=4362 (0.8851), cf=0.935, gamma=1.042, delta=0.035, M=-3.658e+002
19 28 31 -> 42 fr=4362 (0.8851), cf=0.934, gamma=1.041, delta=0.035, M=-3.634e+002
1 10 19 28 -> 42 fr=4365 (0.8858), cf=0.934, gamma=1.041, delta=0.035, M=-3.627e+002
1 10 19 35 -> 42 fr=4367 (0.8862), cf=0.934, gamma=1.040, delta=0.034, M=-3.582e+002
1 19 35 -> 42 fr=4367 (0.8862), cf=0.933, gamma=1.040, delta=0.034, M=-3.557e+002
10 19 28 38 -> 42 fr=4365 (0.8858), cf=0.933, gamma=1.040, delta=0.034, M=-3.553e+002
10 19 35 -> 42 fr=4367 (0.8862), cf=0.933, gamma=1.040, delta=0.034, M=-3.532e+002
10 19 28 -> 42 fr=4365 (0.8858), cf=0.933, gamma=1.040, delta=0.034, M=-3.529e+002
19 35 -> 42 fr=4367 (0.8862), cf=0.933, gamma=1.039, delta=0.034, M=-3.483e+002
1 19 28 -> 42 fr=4365 (0.8858), cf=0.933, gamma=1.040, delta=0.034, M=-3.480e+002
1 10 19 31 -> 42 fr=4367 (0.8862), cf=0.933, gamma=1.039, delta=0.033, M=-3.459e+002
1 19 31 -> 42 fr=4367 (0.8862), cf=0.932, gamma=1.039, delta=0.033, M=-3.435e+002
