1 10 15 19 28 35 -> 42 fr=4359 (0.8853), cf=0.946, gamma=1.053, delta=0.045, M=-4.958e+002
1 15 19 28 35 -> 42 fr=4359 (0.8853), cf=0.945, gamma=1.053, delta=0.044, M=-4.931e+002
10 15 19 28 35 -> 42 fr=4359 (0.8853), cf=0.945, gamma=1.053, delta=0.044, M=-4.904e+002
15 19 28 35 -> 42 fr=4359 (0.8853), cf=0.945, gamma=1.052, delta=0.044, M=-4.878e+002
1 10 15 19 28 31 -> 42 fr=4358 (0.8851), cf=0.944, gamma=1.052, delta=0.044, M=-4.782e+002
1 15 19 28 31 -> 42 fr=4358 (0.8851), cf=0.944, gamma=1.052, delta=0.043, M=-4.756e+002
1 10 15 19 28 -> 42 fr=4361 (0.8857), cf=0.944, gamma=1.051, delta=0.043, M=-4.749e+002
10 15 19 28 31 -> 42 fr=4358 (0.8851), cf=0.944, gamma=1.051, delta=0.043, M=-4.729e+002
15 19 28 31 -> 42 fr=4358 (0.8851), cf=0.944, gamma=1.051, delta=0.043, M=-4.703e+002
1 10 15 19 35 -> 42 fr=4364 (0.8863), cf=0.943, gamma=1.050, delta=0.042, M=-4.690e+002
10 15 19 28 38 -> 42 fr=4361 (0.8857), cf=0.943, gamma=1.050, delta=0.043, M=-4.669e+002
1 15 19 35 -> 42 fr=4364 (0.8863), cf=0.943, gamma=1.050, delta=0.042, M=-4.663e+002
10 15 19 28 -> 42 fr=4361 (0.8857), cf=0.943, gamma=1.050, delta=0.042, M=-4.643e+002
10 15 19 35 -> 42 fr=4364 (0.8863), cf=0.942, gamma=1.050, delta=0.042, M=-4.611e+002
1 15 19 28 -> 42 fr=4361 (0.8857), cf=0.943, gamma=1.050, delta=0.042, M=-4.590e+002
15 19 35 -> 42 fr=4364 (0.8863), cf=0.942, gamma=1.049, delta=0.041, M=-4.558e+002
1 10 15 19 31 -> 42 fr=4363 (0.8861), cf=0.942, gamma=1.049, delta=0.041, M=-4.516e+002
1 15 19 31 -> 42 fr=4363 (0.8861), cf=0.942, gamma=1.049, delta=0.041, M=-4.490e+002
