1 10 15 19 28 35 -> 42 fr=4352 (0.8835), cf=0.944, gamma=1.052, delta=0.044, M=-4.699e+002
1 15 19 28 35 -> 42 fr=4352 (0.8835), cf=0.944, gamma=1.052, delta=0.043, M=-4.673e+002
10 15 19 28 35 -> 42 fr=4352 (0.8835), cf=0.944, gamma=1.051, delta=0.043, M=-4.647e+002
15 19 28 35 -> 42 fr=4352 (0.8835), cf=0.944, gamma=1.051, delta=0.043, M=-4.620e+002
1 15 19 28 31 -> 42 fr=4352 (0.8835), cf=0.943, gamma=1.050, delta=0.042, M=-4.542e+002
15 19 28 31 -> 42 fr=4352 (0.8835), cf=0.943, gamma=1.050, delta=0.042, M=-4.490e+002
1 10 15 19 28 -> 42 fr=4354 (0.8839), cf=0.942, gamma=1.049, delta=0.042, M=-4.440e+002
1 10 15 19 35 -> 42 fr=4357 (0.8845), cf=0.942, gamma=1.049, delta=0.041, M=-4.432e+002
1 15 19 35 -> 42 fr=4357 (0.8845), cf=0.941, gamma=1.049, delta=0.041, M=-4.406e+002
10 15 19 28 38 -> 42 fr=4354 (0.8839), cf=0.941, gamma=1.049, delta=0.041, M=-4.363e+002
10 15 19 35 -> 42 fr=4357 (0.8845), cf=0.941, gamma=1.048, delta=0.041, M=-4.354e+002
1 15 19 28 -> 42 fr=4354 (0.8839), cf=0.941, gamma=1.048, delta=0.041, M=-4.337e+002
10 15 19 28 -> 42 fr=4354 (0.8839), cf=0.941, gamma=1.048, delta=0.041, M=-4.337e+002
15 19 35 -> 42 fr=4357 (0.8845), cf=0.941, gamma=1.048, delta=0.040, M=-4.303e+002
1 15 19 31 -> 42 fr=4357 (0.8845), cf=0.940, gamma=1.048, delta=0.040, M=-4.277e+002
15 19 28 38 -> 42 fr=4354 (0.8839), cf=0.940, gamma=1.048, delta=0.040, M=-4.234e+002
15 19 28 -> 42 fr=4354 (0.8839), cf=0.940, gamma=1.047, delta=0.040, M=-4.209e+002
10 15 19 31 -> 42 fr=4357 (0.8845), cf=0.940, gamma=1.047, delta=0.040, M=-4.200e+002
1 10 15 19 -> 42 fr=4359 (0.8849), cf=0.939, gamma=1.047, delta=0.039, M=-4.178e+002
15 19 31 38 -> 42 fr=4357 (0.8845), cf=0.940, gamma=1.047, delta=0.039, M=-4.175e+002
15 19 31 -> 42 fr=4357 (0.8845), cf=0.939, gamma=1.046, delta=0.039, M=-4.149e+002
1 15 19 -> 42 fr=4359 (0.8849), cf=0.939, gamma=1.046, delta=0.039, M=-4.076e+002
10 15 19 38 -> 42 fr=4359 (0.8849), cf=0.939, gamma=1.046, delta=0.039, M=-4.076e+002
10 15 19 -> 42 fr=4359 (0.8849), cf=0.938, gamma=1.045, delta=0.038, M=-4.051e+002
15 19 38 -> 42 fr=4359 (0.8849), cf=0.937, gamma=1.044, delta=0.038, M=-3.924e+002
15 19 -> 42 fr=4359 (0.8849), cf=0.937, gamma=1.043, delta=0.037, M=-3.824e+002
1 10 19 28 35 -> 42 fr=4363 (0.8857), cf=0.935, gamma=1.041, delta=0.035, M=-3.632e+002
1 19 28 35 -> 42 fr=4363 (0.8857), cf=0.934, gamma=1.041, delta=0.035, M=-3.607e+002
10 19 28 35 -> 42 fr=4363 (0.8857), cf=0.934, gamma=1.041, delta=0.035, M=-3.583e+002
19 28 35 -> 42 fr=4363 (0.8857), cf=0.934, gamma=1.041, delta=0.034, M=-3.558e+002
1 19 28 31 -> 42 fr=4363 (0.8857), cf=0.933, gamma=1.040, delta=0.034, M=-3.485e+002
19 28 31 -> 42 fr=4363 (0.8857), cf=0.933, gamma=1.039, delta=0.034, M=-3.436e+002
1 10 19 28 -> 42 fr=4365 (0.8861), cf=0.932, gamma=1.039, delta=0.033, M=-3.391e+002
1 10 19 35 -> 42 fr=4368 (0.8867), cf=0.932, gamma=1.038, delta=0.033, M=-3.384e+002
1 19 35 -> 42 fr=4368 (0.8867), cf=0.932, gamma=1.038, delta=0.033, M=-3.360e+002
10 19 28 38 -> 42 fr=4365 (0.8861), cf=0.932, gamma=1.038, delta=0.033, M=-3.318e+002
10 19 35 -> 42 fr=4368 (0.8867), cf=0.932, gamma=1.038, delta=0.032, M=-3.311e+002
