1 10 15 19 28 35 -> 42 fr=4352 (0.8837), cf=0.944, gamma=1.051, delta=0.043, M=-4.653e+002
1 15 19 28 31 35 -> 42 fr=4351 (0.8835), cf=0.944, gamma=1.051, delta=0.043, M=-4.638e+002
1 15 19 28 35 -> 42 fr=4352 (0.8837), cf=0.944, gamma=1.051, delta=0.043, M=-4.626e+002
10 15 19 28 35 -> 42 fr=4352 (0.8837), cf=0.944, gamma=1.051, delta=0.043, M=-4.626e+002
15 19 28 31 35 -> 42 fr=4351 (0.8835), cf=0.944, gamma=1.051, delta=0.043, M=-4.612e+002
15 19 28 35 -> 42 fr=4352 (0.8837), cf=0.944, gamma=1.051, delta=0.043, M=-4.600e+002
1 10 15 19 28 31 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.050, delta=0.042, M=-4.522e+002
1 15 19 28 31 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.050, delta=0.042, M=-4.496e+002
10 15 19 28 31 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.050, delta=0.042, M=-4.496e+002
15 19 28 31 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.050, delta=0.042, M=-4.470e+002
1 10 15 19 28 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.049, delta=0.041, M=-4.420e+002
10 15 19 28 38 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.049, delta=0.041, M=-4.368e+002
1 10 15 19 35 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.048, delta=0.041, M=-4.345e+002
1 15 19 28 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.048, delta=0.041, M=-4.343e+002
10 15 19 28 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.048, delta=0.041, M=-4.343e+002
1 15 19 31 35 -> 42 fr=4355 (0.8843), cf=0.941, gamma=1.048, delta=0.041, M=-4.331e+002
1 15 19 35 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.048, delta=0.041, M=-4.320e+002
10 15 19 35 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.048, delta=0.040, M=-4.294e+002
15 19 28 38 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.048, delta=0.040, M=-4.265e+002
15 19 31 35 -> 42 fr=4355 (0.8843), cf=0.941, gamma=1.048, delta=0.040, M=-4.254e+002
15 19 35 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.047, delta=0.040, M=-4.242e+002
15 19 28 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.048, delta=0.040, M=-4.240e+002
1 10 15 19 31 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.047, delta=0.040, M=-4.217e+002
1 15 19 31 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.047, delta=0.040, M=-4.191e+002
10 15 19 31 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.047, delta=0.039, M=-4.166e+002
1 10 15 19 -> 42 fr=4358 (0.8849), cf=0.939, gamma=1.046, delta=0.039, M=-4.118e+002
15 19 31 38 -> 42 fr=4356 (0.8845), cf=0.939, gamma=1.046, delta=0.039, M=-4.115e+002
15 19 31 -> 42 fr=4356 (0.8845), cf=0.939, gamma=1.046, delta=0.039, M=-4.089e+002
1 15 19 -> 42 fr=4358 (0.8849), cf=0.939, gamma=1.045, delta=0.038, M=-4.041e+002
10 15 19 38 -> 42 fr=4358 (0.8849), cf=0.939, gamma=1.045, delta=0.038, M=-4.041e+002
10 15 19 -> 42 fr=4358 (0.8849), cf=0.938, gamma=1.045, delta=0.038, M=-4.016e+002
15 19 38 -> 42 fr=4358 (0.8849), cf=0.938, gamma=1.044, delta=0.038, M=-3.915e+002
15 19 -> 42 fr=4358 (0.8849), cf=0.937, gamma=1.044, delta=0.037, M=-3.840e+002
1 10 19 28 35 -> 42 fr=4363 (0.8859), cf=0.935, gamma=1.041, delta=0.035, M=-3.612e+002
1 19 28 31 35 -> 42 fr=4362 (0.8857), cf=0.935, gamma=1.041, delta=0.035, M=-3.598e+002
1 19 28 35 -> 42 fr=4363 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.587e+002
10 19 28 35 -> 42 fr=4363 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.587e+002
19 28 31 35 -> 42 fr=4362 (0.8857), cf=0.934, gamma=1.041, delta=0.035, M=-3.573e+002
19 28 35 -> 42 fr=4363 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.563e+002
1 10 19 28 31 -> 42 fr=4363 (0.8859), cf=0.934, gamma=1.040, delta=0.034, M=-3.489e+002
1 19 28 31 -> 42 fr=4363 (0.8859), cf=0.933, gamma=1.040, delta=0.034, M=-3.465e+002
10 19 28 31 -> 42 fr=4363 (0.8859), cf=0.933, gamma=1.040, delta=0.034, M=-3.465e+002
19 28 31 -> 42 fr=4363 (0.8859), cf=0.933, gamma=1.039, delta=0.034, M=-3.440e+002
1 10 19 28 -> 42 fr=4365 (0.8863), cf=0.933, gamma=1.039, delta=0.033, M=-3.395e+002
10 19 28 38 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.038, delta=0.033, M=-3.346e+002
1 10 19 35 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.038, delta=0.032, M=-3.325e+002
1 19 28 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.038, delta=0.033, M=-3.322e+002
10 19 28 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.038, delta=0.033, M=-3.322e+002
1 19 31 35 -> 42 fr=4366 (0.8865), cf=0.932, gamma=1.038, delta=0.032, M=-3.311e+002
1 19 35 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.038, delta=0.032, M=-3.301e+002
10 19 35 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.037, delta=0.032, M=-3.277e+002
19 28 38 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.037, delta=0.032, M=-3.250e+002
19 31 35 -> 42 fr=4366 (0.8865), cf=0.931, gamma=1.037, delta=0.032, M=-3.239e+002
19 35 -> 42 fr=4367 (0.8867), cf=0.931, gamma=1.037, delta=0.032, M=-3.229e+002
19 28 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.037, delta=0.032, M=-3.225e+002
1 10 19 31 -> 42 fr=4367 (0.8867), cf=0.931, gamma=1.037, delta=0.031, M=-3.205e+002
1 19 31 -> 42 fr=4367 (0.8867), cf=0.931, gamma=1.037, delta=0.031, M=-3.181e+002
10 19 31 -> 42 fr=4367 (0.8867), cf=0.931, gamma=1.036, delta=0.031, M=-3.157e+002
1 10 19 -> 42 fr=4369 (0.8871), cf=0.930, gamma=1.036, delta=0.031, M=-3.112e+002
19 31 38 -> 42 fr=4367 (0.8867), cf=0.930, gamma=1.036, delta=0.031, M=-3.109e+002
19 31 -> 42 fr=4367 (0.8867), cf=0.930, gamma=1.036, delta=0.031, M=-3.085e+002
1 19 -> 42 fr=4369 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.041e+002
10 19 38 -> 42 fr=4369 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.041e+002
10 19 -> 42 fr=4369 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.017e+002
19 38 -> 42 fr=4369 (0.8871), cf=0.928, gamma=1.034, delta=0.029, M=-2.922e+002
15 19 -> ~43 fr=4507 (0.9151), cf=0.969, gamma=1.031, delta=0.028, M=-2.914e+002
1 15 28 31 35 -> 42 fr=4404 (0.8942), cf=0.918, gamma=1.023, delta=0.020, M=-2.192e+002
1 10 15 28 35 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.023, delta=0.020, M=-2.187e+002
15 28 31 35 -> 42 fr=4404 (0.8942), cf=0.918, gamma=1.023, delta=0.020, M=-2.168e+002
1 15 28 35 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.023, delta=0.020, M=-2.163e+002
10 15 28 35 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.023, delta=0.020, M=-2.163e+002
6 19 28 -> ~43 fr=4415 (0.8964), cf=0.967, gamma=1.029, delta=0.025, M=-2.141e+002
15 28 35 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.022, delta=0.020, M=-2.140e+002
6 19 -> ~43 fr=4433 (0.9001), cf=0.966, gamma=1.028, delta=0.024, M=-2.129e+002
1 10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.022, delta=0.019, M=-2.093e+002
1 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.022, delta=0.019, M=-2.069e+002
10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.022, delta=0.019, M=-2.069e+002
15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.021, delta=0.019, M=-2.046e+002
1 10 15 28 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.021, delta=0.018, M=-1.990e+002
1 15 31 35 -> 42 fr=4408 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.939e+002
1 10 15 35 -> 42 fr=4409 (0.8952), cf=0.916, gamma=1.020, delta=0.017, M=-1.936e+002
1 15 28 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.020, delta=0.018, M=-1.920e+002
10 15 28 38 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.020, delta=0.018, M=-1.920e+002
