1 10 15 19 28 35 -> 42 fr=4354 (0.8842), cf=0.945, gamma=1.053, delta=0.044, M=-4.828e+002
1 15 19 28 35 -> 42 fr=4354 (0.8842), cf=0.945, gamma=1.052, delta=0.044, M=-4.802e+002
10 15 19 28 35 -> 42 fr=4354 (0.8842), cf=0.945, gamma=1.052, delta=0.044, M=-4.775e+002
15 19 28 35 -> 42 fr=4354 (0.8842), cf=0.944, gamma=1.052, delta=0.044, M=-4.749e+002
1 10 15 19 28 31 -> 42 fr=4354 (0.8842), cf=0.944, gamma=1.051, delta=0.043, M=-4.696e+002
1 15 19 28 31 -> 42 fr=4354 (0.8842), cf=0.944, gamma=1.051, delta=0.043, M=-4.669e+002
10 15 19 28 31 -> 42 fr=4354 (0.8842), cf=0.944, gamma=1.051, delta=0.043, M=-4.643e+002
15 19 28 31 -> 42 fr=4354 (0.8842), cf=0.943, gamma=1.051, delta=0.043, M=-4.617e+002
1 10 15 19 28 -> 42 fr=4357 (0.8848), cf=0.943, gamma=1.050, delta=0.042, M=-4.609e+002
1 10 15 19 35 -> 42 fr=4359 (0.8853), cf=0.943, gamma=1.050, delta=0.042, M=-4.586e+002
1 15 19 35 -> 42 fr=4359 (0.8853), cf=0.942, gamma=1.050, delta=0.042, M=-4.560e+002
10 15 19 28 38 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.050, delta=0.042, M=-4.530e+002
10 15 19 35 -> 42 fr=4359 (0.8853), cf=0.942, gamma=1.049, delta=0.042, M=-4.507e+002
10 15 19 28 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.049, delta=0.042, M=-4.504e+002
15 19 35 -> 42 fr=4359 (0.8853), cf=0.942, gamma=1.049, delta=0.041, M=-4.481e+002
1 10 15 19 31 -> 42 fr=4359 (0.8853), cf=0.942, gamma=1.049, delta=0.041, M=-4.455e+002
1 15 19 28 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.049, delta=0.041, M=-4.452e+002
1 15 19 31 -> 42 fr=4359 (0.8853), cf=0.941, gamma=1.049, delta=0.041, M=-4.429e+002
