1 10 15 19 28 35 -> 42 fr=4354 (0.8839), cf=0.945, gamma=1.052, delta=0.044, M=-4.781e+002
1 15 19 28 35 -> 42 fr=4354 (0.8839), cf=0.944, gamma=1.052, delta=0.044, M=-4.755e+002
10 15 19 28 35 -> 42 fr=4354 (0.8839), cf=0.944, gamma=1.052, delta=0.044, M=-4.728e+002
15 19 28 35 -> 42 fr=4354 (0.8839), cf=0.944, gamma=1.052, delta=0.043, M=-4.702e+002
1 10 15 19 28 31 -> 42 fr=4354 (0.8839), cf=0.944, gamma=1.051, delta=0.043, M=-4.649e+002
1 15 19 28 31 -> 42 fr=4354 (0.8839), cf=0.943, gamma=1.051, delta=0.043, M=-4.623e+002
1 10 15 19 28 -> 42 fr=4357 (0.8845), cf=0.943, gamma=1.051, delta=0.043, M=-4.615e+002
10 15 19 28 31 -> 42 fr=4354 (0.8839), cf=0.943, gamma=1.051, delta=0.043, M=-4.597e+002
15 19 28 31 -> 42 fr=4354 (0.8839), cf=0.943, gamma=1.051, delta=0.043, M=-4.571e+002
10 15 19 28 38 -> 42 fr=4357 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.536e+002
1 10 15 19 35 -> 42 fr=4359 (0.8849), cf=0.942, gamma=1.049, delta=0.042, M=-4.513e+002
10 15 19 28 -> 42 fr=4357 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.510e+002
1 15 19 35 -> 42 fr=4359 (0.8849), cf=0.942, gamma=1.049, delta=0.042, M=-4.487e+002
1 15 19 28 -> 42 fr=4357 (0.8845), cf=0.942, gamma=1.049, delta=0.041, M=-4.458e+002
10 15 19 35 -> 42 fr=4359 (0.8849), cf=0.941, gamma=1.049, delta=0.041, M=-4.435e+002
15 19 35 -> 42 fr=4359 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.383e+002
1 10 15 19 31 -> 42 fr=4359 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.383e+002
1 15 19 31 -> 42 fr=4359 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.358e+002
15 19 28 38 -> 42 fr=4357 (0.8845), cf=0.941, gamma=1.048, delta=0.041, M=-4.354e+002
1 10 15 19 -> 42 fr=4362 (0.8855), cf=0.940, gamma=1.048, delta=0.040, M=-4.350e+002
15 19 28 -> 42 fr=4357 (0.8845), cf=0.941, gamma=1.048, delta=0.041, M=-4.328e+002
10 15 19 31 -> 42 fr=4359 (0.8849), cf=0.940, gamma=1.048, delta=0.040, M=-4.306e+002
15 19 31 38 -> 42 fr=4359 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.255e+002
10 15 19 38 -> 42 fr=4362 (0.8855), cf=0.940, gamma=1.047, delta=0.040, M=-4.247e+002
15 19 31 -> 42 fr=4359 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.229e+002
10 15 19 -> 42 fr=4362 (0.8855), cf=0.939, gamma=1.047, delta=0.039, M=-4.222e+002
1 15 19 -> 42 fr=4362 (0.8855), cf=0.939, gamma=1.046, delta=0.039, M=-4.196e+002
15 19 38 -> 42 fr=4362 (0.8855), cf=0.938, gamma=1.045, delta=0.038, M=-4.043e+002
15 19 -> 42 fr=4362 (0.8855), cf=0.937, gamma=1.044, delta=0.037, M=-3.942e+002
1 10 19 28 35 -> 42 fr=4364 (0.8859), cf=0.936, gamma=1.042, delta=0.036, M=-3.770e+002
1 19 28 35 -> 42 fr=4364 (0.8859), cf=0.935, gamma=1.042, delta=0.036, M=-3.745e+002
10 19 28 35 -> 42 fr=4364 (0.8859), cf=0.935, gamma=1.042, delta=0.036, M=-3.721e+002
19 28 35 -> 42 fr=4364 (0.8859), cf=0.935, gamma=1.042, delta=0.035, M=-3.696e+002
1 10 19 28 31 -> 42 fr=4364 (0.8859), cf=0.935, gamma=1.041, delta=0.035, M=-3.646e+002
1 19 28 31 -> 42 fr=4364 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.622e+002
1 10 19 28 -> 42 fr=4367 (0.8865), cf=0.934, gamma=1.041, delta=0.035, M=-3.615e+002
10 19 28 31 -> 42 fr=4364 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.597e+002
19 28 31 -> 42 fr=4364 (0.8859), cf=0.934, gamma=1.041, delta=0.035, M=-3.572e+002
10 19 28 38 -> 42 fr=4367 (0.8865), cf=0.934, gamma=1.040, delta=0.034, M=-3.541e+002
1 10 19 35 -> 42 fr=4369 (0.8869), cf=0.933, gamma=1.040, delta=0.034, M=-3.521e+002
10 19 28 -> 42 fr=4367 (0.8865), cf=0.933, gamma=1.040, delta=0.034, M=-3.516e+002
1 19 35 -> 42 fr=4369 (0.8869), cf=0.933, gamma=1.039, delta=0.034, M=-3.496e+002
1 19 28 -> 42 fr=4367 (0.8865), cf=0.933, gamma=1.039, delta=0.033, M=-3.467e+002
10 19 35 -> 42 fr=4369 (0.8869), cf=0.933, gamma=1.039, delta=0.033, M=-3.447e+002
19 35 -> 42 fr=4369 (0.8869), cf=0.932, gamma=1.038, delta=0.033, M=-3.398e+002
1 10 19 31 -> 42 fr=4369 (0.8869), cf=0.932, gamma=1.038, delta=0.033, M=-3.398e+002
1 19 31 -> 42 fr=4369 (0.8869), cf=0.932, gamma=1.038, delta=0.033, M=-3.374e+002
6 19 28 38 -> 42 fr=4283 (0.8695), cf=0.939, gamma=1.046, delta=0.038, M=-3.371e+002
19 28 38 -> 42 fr=4367 (0.8865), cf=0.932, gamma=1.038, delta=0.033, M=-3.370e+002
1 10 19 -> 42 fr=4372 (0.8875), cf=0.932, gamma=1.038, delta=0.032, M=-3.368e+002
6 19 28 -> 42 fr=4283 (0.8695), cf=0.939, gamma=1.046, delta=0.038, M=-3.348e+002
19 28 -> 42 fr=4367 (0.8865), cf=0.932, gamma=1.038, delta=0.033, M=-3.346e+002
10 19 31 -> 42 fr=4369 (0.8869), cf=0.932, gamma=1.038, delta=0.032, M=-3.325e+002
19 31 38 -> 42 fr=4369 (0.8869), cf=0.931, gamma=1.037, delta=0.032, M=-3.277e+002
10 19 38 -> 42 fr=4372 (0.8875), cf=0.931, gamma=1.037, delta=0.032, M=-3.271e+002
19 31 -> 42 fr=4369 (0.8869), cf=0.931, gamma=1.037, delta=0.032, M=-3.253e+002
10 19 -> 42 fr=4372 (0.8875), cf=0.931, gamma=1.037, delta=0.031, M=-3.247e+002
1 19 -> 42 fr=4372 (0.8875), cf=0.930, gamma=1.036, delta=0.031, M=-3.223e+002
19 38 -> 42 fr=4372 (0.8875), cf=0.929, gamma=1.035, delta=0.030, M=-3.078e+002
6 19 -> 42 fr=4288 (0.8705), cf=0.935, gamma=1.042, delta=0.035, M=-2.984e+002
15 19 28 -> ~43 fr=4492 (0.9119), cf=0.970, gamma=1.032, delta=0.028, M=-2.938e+002
15 19 -> ~43 fr=4510 (0.9156), cf=0.969, gamma=1.031, delta=0.028, M=-2.930e+002
1 10 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.213e+002
6 19 28 -> ~43 fr=4414 (0.8961), cf=0.967, gamma=1.029, delta=0.025, M=-2.206e+002
1 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.189e+002
6 19 -> ~43 fr=4432 (0.8997), cf=0.966, gamma=1.028, delta=0.025, M=-2.169e+002
10 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.166e+002
15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.022, delta=0.020, M=-2.142e+002
1 10 15 28 31 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.096e+002
1 10 15 28 -> 42 fr=4407 (0.8946), cf=0.917, gamma=1.021, delta=0.019, M=-2.082e+002
1 15 28 31 -> 42 fr=4404 (0.8940), cf=0.917, gamma=1.022, delta=0.019, M=-2.072e+002
10 15 28 31 -> 42 fr=4404 (0.8940), cf=0.917, gamma=1.022, delta=0.019, M=-2.049e+002
15 28 31 -> 42 fr=4404 (0.8940), cf=0.917, gamma=1.021, delta=0.019, M=-2.025e+002
1 10 15 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-2.004e+002
10 15 28 38 -> 42 fr=4407 (0.8946), cf=0.916, gamma=1.021, delta=0.018, M=-1.988e+002
1 15 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.981e+002
10 15 28 -> 42 fr=4407 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.965e+002
1 15 28 -> 42 fr=4407 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.941e+002
10 15 35 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.934e+002
15 -> ~43 fr=4620 (0.9379), cf=0.954, gamma=1.015, delta=0.014, M=-1.923e+002
15 35 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.887e+002
1 10 15 31 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.887e+002
1 10 15 -> 42 fr=4412 (0.8957), cf=0.915, gamma=1.019, delta=0.017, M=-1.879e+002
