27 52 56 -> ~96 fr=16567 (0.3769), cf=0.965, gamma=1.269, delta=0.080, M=-3.931e+003
27 52 56 -> 97 fr=16567 (0.3769), cf=0.965, gamma=1.269, delta=0.080, M=-3.931e+003
27 52 -> ~96 fr=16741 (0.3808), cf=0.962, gamma=1.265, delta=0.080, M=-3.882e+003
27 52 -> 97 fr=16741 (0.3808), cf=0.962, gamma=1.265, delta=0.080, M=-3.882e+003
43 51 -> 96 fr=7959 (0.1811), cf=0.448, gamma=1.873, delta=0.084, M=-3.594e+003
43 51 -> ~97 fr=7959 (0.1811), cf=0.448, gamma=1.873, delta=0.084, M=-3.594e+003
27 56 -> ~96 fr=16714 (0.3802), cf=0.951, gamma=1.250, delta=0.076, M=-3.409e+003
27 56 -> 97 fr=16714 (0.3802), cf=0.951, gamma=1.250, delta=0.076, M=-3.409e+003
27 -> ~96 fr=16888 (0.3842), cf=0.948, gamma=1.246, delta=0.076, M=-3.374e+003
27 -> 97 fr=16888 (0.3842), cf=0.948, gamma=1.246, delta=0.076, M=-3.374e+003
23 52 56 -> ~96 fr=26135 (0.5946), cf=0.875, gamma=1.151, delta=0.078, M=-3.202e+003
23 52 56 -> 97 fr=26135 (0.5946), cf=0.875, gamma=1.151, delta=0.078, M=-3.202e+003
42 52 56 -> ~96 fr=12241 (0.2785), cf=0.978, gamma=1.286, delta=0.062, M=-3.033e+003
42 52 56 -> 97 fr=12241 (0.2785), cf=0.978, gamma=1.286, delta=0.062, M=-3.033e+003
42 52 -> ~96 fr=12310 (0.2800), cf=0.976, gamma=1.283, delta=0.062, M=-2.976e+003
42 52 -> 97 fr=12310 (0.2800), cf=0.976, gamma=1.283, delta=0.062, M=-2.976e+003
52 56 -> ~96 fr=32618 (0.7420), cf=0.814, gamma=1.070, delta=0.049, M=-2.936e+003
52 56 -> 97 fr=32618 (0.7420), cf=0.814, gamma=1.070, delta=0.049, M=-2.936e+003
23 52 -> ~96 fr=26424 (0.6011), cf=0.866, gamma=1.138, delta=0.073, M=-2.867e+003
23 52 -> 97 fr=26424 (0.6011), cf=0.866, gamma=1.138, delta=0.073, M=-2.867e+003
42 56 -> ~96 fr=12327 (0.2804), cf=0.969, gamma=1.274, delta=0.060, M=-2.751e+003
42 56 -> 97 fr=12327 (0.2804), cf=0.969, gamma=1.274, delta=0.060, M=-2.751e+003
42 -> ~96 fr=12396 (0.2820), cf=0.967, gamma=1.271, delta=0.060, M=-2.704e+003
42 -> 97 fr=12396 (0.2820), cf=0.967, gamma=1.271, delta=0.060, M=-2.704e+003
24 51 -> 96 fr=4669 (0.1062), cf=0.549, gamma=2.293, delta=0.060, M=-2.457e+003
24 51 -> ~97 fr=4669 (0.1062), cf=0.549, gamma=2.293, delta=0.060, M=-2.457e+003
23 56 -> ~96 fr=26433 (0.6013), cf=0.853, gamma=1.121, delta=0.065, M=-2.296e+003
23 56 -> 97 fr=26433 (0.6013), cf=0.853, gamma=1.121, delta=0.065, M=-2.296e+003
52 -> ~96 fr=33014 (0.7511), cf=0.797, gamma=1.048, delta=0.034, M=-2.138e+003
23 -> ~96 fr=26722 (0.6079), cf=0.844, gamma=1.110, delta=0.060, M=-2.017e+003
23 -> 97 fr=26722 (0.6079), cf=0.844, gamma=1.110, delta=0.060, M=-2.017e+003
50 56 -> ~96 fr=12849 (0.2923), cf=0.898, gamma=1.180, delta=0.045, M=-1.225e+003
50 56 -> 97 fr=12849 (0.2923), cf=0.898, gamma=1.180, delta=0.045, M=-1.225e+003
9 51 -> 96 fr=8930 (0.2032), cf=0.304, gamma=1.270, delta=0.043, M=-1.124e+003
9 51 -> ~97 fr=8930 (0.2032), cf=0.304, gamma=1.270, delta=0.043, M=-1.124e+003
50 -> ~96 fr=12966 (0.2950), cf=0.891, gamma=1.171, delta=0.043, M=-1.124e+003
50 -> 97 fr=12966 (0.2950), cf=0.891, gamma=1.171, delta=0.043, M=-1.124e+003
31 56 61 -> ~96 fr=6080 (0.1383), cf=0.956, gamma=1.257, delta=0.028, M=-1.032e+003
31 56 61 -> 97 fr=6080 (0.1383), cf=0.956, gamma=1.257, delta=0.028, M=-1.032e+003
31 56 -> ~96 fr=6137 (0.1396), cf=0.955, gamma=1.256, delta=0.028, M=-1.031e+003
31 56 -> 97 fr=6137 (0.1396), cf=0.955, gamma=1.256, delta=0.028, M=-1.031e+003
31 61 -> ~96 fr=6122 (0.1393), cf=0.954, gamma=1.254, delta=0.028, M=-1.007e+003
31 61 -> 97 fr=6122 (0.1393), cf=0.954, gamma=1.254, delta=0.028, M=-1.007e+003
31 -> 97 fr=6179 (0.1406), cf=0.953, gamma=1.252, delta=0.028, M=-1.005e+003
44 56 61 -> ~96 fr=9845 (0.2240), cf=0.902, gamma=1.186, delta=0.035, M=-9.156e+002
44 56 61 -> 97 fr=9845 (0.2240), cf=0.902, gamma=1.186, delta=0.035, M=-9.156e+002
44 56 -> ~96 fr=9951 (0.2264), cf=0.901, gamma=1.184, delta=0.035, M=-9.137e+002
44 56 -> 97 fr=9951 (0.2264), cf=0.901, gamma=1.184, delta=0.035, M=-9.137e+002
44 61 -> ~96 fr=10017 (0.2279), cf=0.899, gamma=1.182, delta=0.035, M=-8.974e+002
44 61 -> 97 fr=10017 (0.2279), cf=0.899, gamma=1.182, delta=0.035, M=-8.974e+002
44 -> ~96 fr=10125 (0.2303), cf=0.898, gamma=1.180, delta=0.035, M=-8.933e+002
44 -> 97 fr=10125 (0.2303), cf=0.898, gamma=1.180, delta=0.035, M=-8.933e+002
16 56 61 -> ~96 fr=5320 (0.1210), cf=0.947, gamma=1.245, delta=0.024, M=-7.945e+002
16 56 61 -> 97 fr=5320 (0.1210), cf=0.947, gamma=1.245, delta=0.024, M=-7.945e+002
16 56 -> ~96 fr=5385 (0.1225), cf=0.945, gamma=1.243, delta=0.024, M=-7.903e+002
16 56 -> 97 fr=5385 (0.1225), cf=0.945, gamma=1.243, delta=0.024, M=-7.903e+002
16 61 -> ~96 fr=5370 (0.1222), cf=0.943, gamma=1.240, delta=0.024, M=-7.693e+002
16 61 -> 97 fr=5370 (0.1222), cf=0.943, gamma=1.240, delta=0.024, M=-7.693e+002
16 -> 97 fr=5435 (0.1236), cf=0.941, gamma=1.238, delta=0.024, M=-7.627e+002
56 -> ~96 fr=33043 (0.7517), cf=0.776, gamma=1.020, delta=0.014, M=-6.911e+002
26 61 -> ~96 fr=5292 (0.1204), cf=0.900, gamma=1.183, delta=0.019, M=-4.278e+002
26 61 -> 97 fr=5292 (0.1204), cf=0.900, gamma=1.183, delta=0.019, M=-4.278e+002
26 -> 97 fr=5348 (0.1217), cf=0.899, gamma=1.181, delta=0.019, M=-4.236e+002
17 61 -> ~96 fr=11797 (0.2684), cf=0.842, gamma=1.107, delta=0.026, M=-4.009e+002
17 61 -> 97 fr=11797 (0.2684), cf=0.842, gamma=1.107, delta=0.026, M=-4.009e+002
17 -> ~96 fr=11943 (0.2717), cf=0.841, gamma=1.106, delta=0.026, M=-3.951e+002
17 -> 97 fr=11943 (0.2717), cf=0.841, gamma=1.106, delta=0.026, M=-3.951e+002
9 45 66 -> 96 fr=8992 (0.2046), cf=0.260, gamma=1.085, delta=0.016, M=-1.996e+002
9 45 66 -> ~97 fr=8992 (0.2046), cf=0.260, gamma=1.085, delta=0.016, M=-1.996e+002
45 66 -> 96 fr=8993 (0.2046), cf=0.259, gamma=1.084, delta=0.016, M=-1.994e+002
45 66 -> ~97 fr=8993 (0.2046), cf=0.259, gamma=1.084, delta=0.016, M=-1.994e+002
9 45 -> 96 fr=9538 (0.2170), cf=0.254, gamma=1.061, delta=0.012, M=-1.657e+002
9 45 -> ~97 fr=9538 (0.2170), cf=0.254, gamma=1.061, delta=0.012, M=-1.657e+002
45 -> ~97 fr=9539 (0.2170), cf=0.254, gamma=1.060, delta=0.012, M=-1.654e+002
2 61 -> ~96 fr=23667 (0.5384), cf=0.784, gamma=1.030, delta=0.016, M=-1.386e+002
2 61 -> 97 fr=23667 (0.5384), cf=0.784, gamma=1.030, delta=0.016, M=-1.386e+002
2 -> ~96 fr=23844 (0.5424), cf=0.782, gamma=1.028, delta=0.015, M=-1.246e+002
2 -> 97 fr=23844 (0.5424), cf=0.782, gamma=1.028, delta=0.015, M=-1.246e+002
15 61 -> ~96 fr=7882 (0.1793), cf=0.812, gamma=1.067, delta=0.011, M=-9.603e+001
15 61 -> 97 fr=7882 (0.1793), cf=0.812, gamma=1.067, delta=0.011, M=-9.603e+001
15 -> 97 fr=7956 (0.1810), cf=0.810, gamma=1.064, delta=0.011, M=-8.984e+001
9 66 -> 96 fr=9625 (0.2190), cf=0.244, gamma=1.019, delta=0.004, M=-2.662e+001
9 66 -> ~97 fr=9625 (0.2190), cf=0.244, gamma=1.019, delta=0.004, M=-2.662e+001
66 -> ~97 fr=9626 (0.2190), cf=0.244, gamma=1.019, delta=0.004, M=-2.630e+001
61 -> ~96 fr=33048 (0.7518), cf=0.762, gamma=1.002, delta=0.001, M=-2.038e+001
