27 52 56 -> ~96 fr=16564 (0.3768), cf=0.967, gamma=1.271, delta=0.080, M=-3.999e+003
27 52 56 -> 97 fr=16564 (0.3768), cf=0.967, gamma=1.271, delta=0.080, M=-3.999e+003
27 52 -> ~96 fr=16735 (0.3807), cf=0.964, gamma=1.267, delta=0.080, M=-3.944e+003
27 52 -> 97 fr=16735 (0.3807), cf=0.964, gamma=1.267, delta=0.080, M=-3.944e+003
43 51 -> 96 fr=7960 (0.1811), cf=0.449, gamma=1.875, delta=0.085, M=-3.606e+003
43 51 -> ~97 fr=7960 (0.1811), cf=0.449, gamma=1.875, delta=0.085, M=-3.606e+003
27 56 -> ~96 fr=16713 (0.3802), cf=0.952, gamma=1.251, delta=0.076, M=-3.451e+003
27 56 -> 97 fr=16713 (0.3802), cf=0.952, gamma=1.251, delta=0.076, M=-3.451e+003
27 -> ~96 fr=16884 (0.3841), cf=0.949, gamma=1.248, delta=0.076, M=-3.412e+003
27 -> 97 fr=16884 (0.3841), cf=0.949, gamma=1.248, delta=0.076, M=-3.412e+003
23 52 56 -> ~96 fr=26102 (0.5938), cf=0.876, gamma=1.151, delta=0.078, M=-3.197e+003
23 52 56 -> 97 fr=26102 (0.5938), cf=0.876, gamma=1.151, delta=0.078, M=-3.197e+003
42 52 56 -> ~96 fr=12235 (0.2783), cf=0.979, gamma=1.287, delta=0.062, M=-3.055e+003
42 52 56 -> 97 fr=12235 (0.2783), cf=0.979, gamma=1.287, delta=0.062, M=-3.055e+003
42 52 -> ~96 fr=12306 (0.2799), cf=0.977, gamma=1.284, delta=0.062, M=-2.993e+003
42 52 -> 97 fr=12306 (0.2799), cf=0.977, gamma=1.284, delta=0.062, M=-2.993e+003
52 56 -> ~96 fr=32618 (0.7420), cf=0.814, gamma=1.070, delta=0.048, M=-2.924e+003
52 56 -> 97 fr=32618 (0.7420), cf=0.814, gamma=1.070, delta=0.048, M=-2.924e+003
23 52 -> ~96 fr=26390 (0.6003), cf=0.867, gamma=1.139, delta=0.073, M=-2.884e+003
23 52 -> 97 fr=26390 (0.6003), cf=0.867, gamma=1.139, delta=0.073, M=-2.884e+003
42 56 -> ~96 fr=12319 (0.2802), cf=0.969, gamma=1.274, delta=0.060, M=-2.767e+003
