10 76 -> 84 fr=1002 (0.1012), cf=0.627, gamma=6.029, delta=0.084, M=-2.065e+003
5 -> ~87 fr=4767 (0.4817), cf=0.996, gamma=1.112, delta=0.048, M=-6.477e+002
76 -> ~80 fr=4315 (0.4360), cf=0.998, gamma=1.114, delta=0.045, M=-5.968e+002
76 -> ~88 fr=4321 (0.4366), cf=1.000, gamma=1.106, delta=0.042, M=-5.773e+002
1 -> ~86 fr=4388 (0.4434), cf=0.999, gamma=1.105, delta=0.042, M=-5.639e+002
71 -> ~82 fr=3942 (0.3983), cf=1.000, gamma=1.116, delta=0.041, M=-5.623e+002
45 -> ~82 fr=4032 (0.4074), cf=0.998, gamma=1.114, delta=0.042, M=-5.422e+002
69 -> ~82 fr=3614 (0.3652), cf=1.000, gamma=1.116, delta=0.038, M=-4.955e+002
69 -> ~83 fr=3615 (0.3653), cf=1.000, gamma=1.106, delta=0.035, M=-4.604e+002
69 -> ~81 fr=3606 (0.3644), cf=0.998, gamma=1.113, delta=0.037, M=-4.553e+002
50 -> ~83 fr=4874 (0.4925), cf=0.985, gamma=1.090, delta=0.041, M=-4.399e+002
20 -> ~80 fr=4187 (0.4231), cf=0.988, gamma=1.103, delta=0.039, M=-4.245e+002
66 -> ~84 fr=3066 (0.3098), cf=1.000, gamma=1.116, delta=0.032, M=-4.082e+002
20 -> ~84 fr=4179 (0.4222), cf=0.986, gamma=1.101, delta=0.039, M=-4.030e+002
66 -> ~80 fr=3065 (0.3097), cf=1.000, gamma=1.116, delta=0.032, M=-4.015e+002
25 -> ~84 fr=3025 (0.3056), cf=1.000, gamma=1.116, delta=0.032, M=-3.954e+002
45 -> ~86 fr=4004 (0.4046), cf=0.991, gamma=1.097, delta=0.036, M=-3.930e+002
59 -> ~82 fr=2963 (0.2994), cf=1.000, gamma=1.116, delta=0.031, M=-3.915e+002
10 -> ~82 fr=3944 (0.3985), cf=0.987, gamma=1.102, delta=0.037, M=-3.830e+002
41 -> ~83 fr=3594 (0.3631), cf=0.995, gamma=1.100, delta=0.033, M=-3.768e+002
50 -> ~89 fr=4848 (0.4898), cf=0.980, gamma=1.084, delta=0.038, M=-3.754e+002
25 -> ~80 fr=3021 (0.3052), cf=0.998, gamma=1.114, delta=0.031, M=-3.746e+002
25 -> ~86 fr=3026 (0.3057), cf=1.000, gamma=1.106, delta=0.029, M=-3.689e+002
59 -> ~86 fr=2963 (0.2994), cf=1.000, gamma=1.106, delta=0.029, M=-3.595e+002
59 -> ~83 fr=2963 (0.2994), cf=1.000, gamma=1.106, delta=0.029, M=-3.591e+002
66 -> ~87 fr=3054 (0.3086), cf=0.996, gamma=1.112, delta=0.031, M=-3.518e+002
35 -> ~86 fr=2892 (0.2922), cf=1.000, gamma=1.106, delta=0.028, M=-3.491e+002
74 -> ~86 fr=2845 (0.2875), cf=1.000, gamma=1.106, delta=0.028, M=-3.423e+002
74 -> ~83 fr=2845 (0.2875), cf=1.000, gamma=1.106, delta=0.028, M=-3.419e+002
71 -> ~87 fr=3878 (0.3918), cf=0.984, gamma=1.098, delta=0.035, M=-3.396e+002
74 -> ~80 fr=2838 (0.2868), cf=0.998, gamma=1.113, delta=0.029, M=-3.375e+002
41 -> ~80 fr=3567 (0.3604), cf=0.987, gamma=1.102, delta=0.033, M=-3.337e+002
48 -> ~86 fr=2934 (0.2965), cf=0.998, gamma=1.104, delta=0.028, M=-3.301e+002
71 -> ~84 fr=3872 (0.3912), cf=0.982, gamma=1.096, delta=0.034, M=-3.262e+002
56 -> ~84 fr=2946 (0.2977), cf=0.995, gamma=1.111, delta=0.030, M=-3.255e+002
76 -> ~86 fr=4243 (0.4287), cf=0.982, gamma=1.086, delta=0.034, M=-3.222e+002
49 -> ~86 fr=2670 (0.2698), cf=1.000, gamma=1.106, delta=0.026, M=-3.173e+002
41 -> ~84 fr=3560 (0.3597), cf=0.985, gamma=1.100, delta=0.033, M=-3.161e+002
6 -> ~84 fr=2635 (0.2662), cf=0.998, gamma=1.114, delta=0.027, M=-3.152e+002
50 -> ~80 fr=4793 (0.4843), cf=0.969, gamma=1.081, delta=0.036, M=-3.111e+002
54 -> ~82 fr=2434 (0.2459), cf=1.000, gamma=1.116, delta=0.026, M=-3.098e+002
26 -> ~81 fr=2390 (0.2415), cf=1.000, gamma=1.116, delta=0.025, M=-3.029e+002
79 -> ~84 fr=2380 (0.2405), cf=1.000, gamma=1.116, delta=0.025, M=-3.018e+002
79 -> ~82 fr=2380 (0.2405), cf=1.000, gamma=1.116, delta=0.025, M=-3.018e+002
79 -> ~81 fr=2380 (0.2405), cf=1.000, gamma=1.116, delta=0.025, M=-3.015e+002
49 -> ~82 fr=2660 (0.2688), cf=0.996, gamma=1.112, delta=0.027, M=-2.996e+002
10 -> ~81 fr=3909 (0.3950), cf=0.978, gamma=1.092, delta=0.033, M=-2.979e+002
66 -> ~86 fr=3047 (0.3079), cf=0.994, gamma=1.099, delta=0.028, M=-2.965e+002
53 -> ~82 fr=2333 (0.2357), cf=1.000, gamma=1.116, delta=0.025, M=-2.949e+002
46 -> ~84 fr=2301 (0.2325), cf=1.000, gamma=1.116, delta=0.024, M=-2.902e+002
26 -> ~87 fr=2387 (0.2412), cf=0.999, gamma=1.115, delta=0.025, M=-2.866e+002
20 66 -> ~88 fr=2414 (0.2439), cf=1.000, gamma=1.106, delta=0.023, M=-2.815e+002
30 -> ~84 fr=2232 (0.2255), cf=1.000, gamma=1.116, delta=0.023, M=-2.802e+002
26 -> ~82 fr=2385 (0.2410), cf=0.998, gamma=1.114, delta=0.025, M=-2.783e+002
5 -> ~81 fr=4626 (0.4674), cf=0.967, gamma=1.079, delta=0.034, M=-2.780e+002
79 -> ~83 fr=2380 (0.2405), cf=1.000, gamma=1.106, delta=0.023, M=-2.769e+002
26 -> ~83 fr=2389 (0.2414), cf=1.000, gamma=1.106, delta=0.023, M=-2.724e+002
78 -> ~84 fr=2164 (0.2187), cf=1.000, gamma=1.116, delta=0.023, M=-2.704e+002
1 -> ~89 fr=4285 (0.4330), cf=0.975, gamma=1.079, delta=0.032, M=-2.687e+002
31 -> ~87 fr=2317 (0.2341), cf=0.998, gamma=1.114, delta=0.024, M=-2.679e+002
46 -> ~83 fr=2301 (0.2325), cf=1.000, gamma=1.106, delta=0.022, M=-2.663e+002
50 74 -> ~84 fr=2654 (0.2682), cf=0.992, gamma=1.107, delta=0.026, M=-2.638e+002
10 -> ~83 fr=3910 (0.3951), cf=0.979, gamma=1.083, delta=0.030, M=-2.614e+002
46 -> ~89 fr=2300 (0.2324), cf=1.000, gamma=1.106, delta=0.022, M=-2.605e+002
74 -> ~89 fr=2824 (0.2853), cf=0.993, gamma=1.098, delta=0.025, M=-2.596e+002
29 -> ~80 fr=2434 (0.2459), cf=0.995, gamma=1.110, delta=0.024, M=-2.564e+002
22 -> ~83 fr=2427 (0.2452), cf=0.998, gamma=1.103, delta=0.023, M=-2.554e+002
11 45 -> ~85 fr=2305 (0.2329), cf=0.999, gamma=1.105, delta=0.022, M=-2.516e+002
76 -> ~87 fr=4187 (0.4231), cf=0.969, gamma=1.081, delta=0.032, M=-2.501e+002
6 -> ~86 fr=2624 (0.2651), cf=0.994, gamma=1.100, delta=0.024, M=-2.481e+002
11 50 -> ~86 fr=2236 (0.2259), cf=0.999, gamma=1.105, delta=0.022, M=-2.474e+002
73 -> ~85 fr=2735 (0.2763), cf=0.992, gamma=1.097, delta=0.025, M=-2.450e+002
59 69 -> ~87 fr=1975 (0.1996), cf=1.000, gamma=1.116, delta=0.021, M=-2.433e+002
40 -> ~86 fr=2167 (0.2190), cf=1.000, gamma=1.106, delta=0.021, M=-2.432e+002
45 -> ~85 fr=3941 (0.3982), cf=0.976, gamma=1.079, delta=0.029, M=-2.415e+002
17 -> ~82 fr=2046 (0.2067), cf=0.999, gamma=1.115, delta=0.021, M=-2.387e+002
40 -> ~80 fr=2161 (0.2183), cf=0.997, gamma=1.112, delta=0.022, M=-2.386e+002
40 -> ~84 fr=2160 (0.2182), cf=0.996, gamma=1.112, delta=0.022, M=-2.351e+002
55 -> ~84 fr=1909 (0.1929), cf=1.000, gamma=1.116, delta=0.020, M=-2.346e+002
30 -> ~86 fr=2227 (0.2250), cf=0.998, gamma=1.104, delta=0.021, M=-2.334e+002
16 -> ~82 fr=1939 (0.1959), cf=0.999, gamma=1.116, delta=0.020, M=-2.332e+002
78 -> ~81 fr=2155 (0.2177), cf=0.996, gamma=1.111, delta=0.022, M=-2.307e+002
21 -> ~82 fr=1869 (0.1888), cf=1.000, gamma=1.116, delta=0.020, M=-2.291e+002
66 -> ~88 fr=3022 (0.3053), cf=0.986, gamma=1.090, delta=0.025, M=-2.281e+002
17 -> ~83 fr=2048 (0.2069), cf=1.000, gamma=1.106, delta=0.020, M=-2.276e+002
54 -> ~81 fr=2412 (0.2437), cf=0.991, gamma=1.106, delta=0.023, M=-2.270e+002
34 -> ~86 fr=2032 (0.2053), cf=1.000, gamma=1.106, delta=0.020, M=-2.258e+002
37 -> ~89 fr=1990 (0.2011), cf=1.000, gamma=1.106, delta=0.019, M=-2.256e+002
37 -> ~83 fr=1990 (0.2011), cf=1.000, gamma=1.106, delta=0.019, M=-2.256e+002
47 -> ~89 fr=1987 (0.2008), cf=1.000, gamma=1.106, delta=0.019, M=-2.252e+002
45 49 -> ~88 fr=1976 (0.1997), cf=1.000, gamma=1.106, delta=0.019, M=-2.238e+002
39 -> ~80 fr=2426 (0.2451), cf=0.990, gamma=1.105, delta=0.023, M=-2.236e+002
31 -> ~83 fr=2311 (0.2335), cf=0.995, gamma=1.101, delta=0.021, M=-2.228e+002
30 -> ~80 fr=2217 (0.2240), cf=0.993, gamma=1.109, delta=0.022, M=-2.202e+002
50 -> ~84 fr=4739 (0.4788), cf=0.958, gamma=1.069, delta=0.031, M=-2.200e+002
