10 76 -> 84 fr=1004 (0.1015), cf=0.634, gamma=6.087, delta=0.085, M=-2.090e+003
5 -> ~87 fr=4756 (0.4808), cf=0.997, gamma=1.112, delta=0.049, M=-6.499e+002
76 -> ~80 fr=4306 (0.4353), cf=0.999, gamma=1.115, delta=0.045, M=-6.002e+002
76 -> ~88 fr=4311 (0.4358), cf=1.000, gamma=1.106, delta=0.042, M=-5.752e+002
1 -> ~86 fr=4411 (0.4459), cf=0.999, gamma=1.105, delta=0.042, M=-5.680e+002
71 -> ~82 fr=3954 (0.3997), cf=1.000, gamma=1.116, delta=0.042, M=-5.650e+002
45 -> ~82 fr=4048 (0.4092), cf=0.998, gamma=1.114, delta=0.042, M=-5.456e+002
69 -> ~82 fr=3613 (0.3652), cf=1.000, gamma=1.116, delta=0.038, M=-4.957e+002
69 -> ~83 fr=3614 (0.3653), cf=1.000, gamma=1.106, delta=0.035, M=-4.600e+002
69 -> ~81 fr=3606 (0.3645), cf=0.998, gamma=1.114, delta=0.037, M=-4.598e+002
50 -> ~83 fr=4899 (0.4952), cf=0.984, gamma=1.089, delta=0.040, M=-4.319e+002
20 -> ~84 fr=4151 (0.4196), cf=0.988, gamma=1.103, delta=0.039, M=-4.217e+002
20 -> ~80 fr=4149 (0.4194), cf=0.988, gamma=1.102, delta=0.039, M=-4.155e+002
66 -> ~84 fr=3040 (0.3073), cf=1.000, gamma=1.116, delta=0.032, M=-4.042e+002
66 -> ~80 fr=3039 (0.3072), cf=1.000, gamma=1.116, delta=0.032, M=-3.975e+002
25 -> ~84 fr=3021 (0.3054), cf=1.000, gamma=1.116, delta=0.032, M=-3.950e+002
59 -> ~82 fr=2974 (0.3006), cf=1.000, gamma=1.116, delta=0.031, M=-3.935e+002
45 -> ~86 fr=4019 (0.4063), cf=0.991, gamma=1.096, delta=0.036, M=-3.923e+002
41 -> ~83 fr=3604 (0.3643), cf=0.995, gamma=1.101, delta=0.033, M=-3.849e+002
