10 76 -> 84 fr=1004 (0.1014), cf=0.633, gamma=6.083, delta=0.085, M=-2.089e+003
5 -> ~87 fr=4765 (0.4815), cf=0.997, gamma=1.112, delta=0.049, M=-6.513e+002
76 -> ~80 fr=4299 (0.4344), cf=0.998, gamma=1.114, delta=0.045, M=-5.936e+002
76 -> ~88 fr=4305 (0.4350), cf=1.000, gamma=1.106, delta=0.042, M=-5.743e+002
1 -> ~86 fr=4401 (0.4447), cf=0.999, gamma=1.105, delta=0.042, M=-5.664e+002
71 -> ~82 fr=3922 (0.3963), cf=1.000, gamma=1.116, delta=0.041, M=-5.586e+002
45 -> ~82 fr=4060 (0.4102), cf=0.999, gamma=1.115, delta=0.042, M=-5.569e+002
69 -> ~82 fr=3632 (0.3670), cf=1.000, gamma=1.116, delta=0.038, M=-4.987e+002
69 -> ~83 fr=3633 (0.3671), cf=1.000, gamma=1.106, delta=0.035, M=-4.634e+002
69 -> ~81 fr=3623 (0.3661), cf=0.997, gamma=1.113, delta=0.037, M=-4.542e+002
50 -> ~83 fr=4854 (0.4905), cf=0.986, gamma=1.090, delta=0.041, M=-4.437e+002
20 -> ~80 fr=4191 (0.4235), cf=0.988, gamma=1.102, delta=0.039, M=-4.199e+002
20 -> ~84 fr=4190 (0.4234), cf=0.987, gamma=1.102, delta=0.039, M=-4.177e+002
66 -> ~84 fr=3070 (0.3102), cf=1.000, gamma=1.116, delta=0.032, M=-4.088e+002
66 -> ~80 fr=3069 (0.3101), cf=1.000, gamma=1.116, delta=0.032, M=-4.021e+002
59 -> ~82 fr=2974 (0.3005), cf=1.000, gamma=1.116, delta=0.031, M=-3.933e+002
25 -> ~84 fr=3006 (0.3037), cf=1.000, gamma=1.116, delta=0.032, M=-3.923e+002
10 -> ~82 fr=3936 (0.3977), cf=0.988, gamma=1.102, delta=0.037, M=-3.868e+002
45 -> ~86 fr=4026 (0.4068), cf=0.990, gamma=1.096, delta=0.036, M=-3.852e+002
41 -> ~83 fr=3600 (0.3637), cf=0.995, gamma=1.101, delta=0.033, M=-3.811e+002
50 -> ~89 fr=4827 (0.4877), cf=0.980, gamma=1.084, delta=0.038, M=-3.761e+002
25 -> ~80 fr=3001 (0.3032), cf=0.998, gamma=1.114, delta=0.031, M=-3.671e+002
59 -> ~83 fr=2974 (0.3005), cf=1.000, gamma=1.106, delta=0.029, M=-3.607e+002
25 -> ~86 fr=3006 (0.3037), cf=1.000, gamma=1.106, delta=0.029, M=-3.599e+002
66 -> ~87 fr=3059 (0.3091), cf=0.996, gamma=1.112, delta=0.031, M=-3.563e+002
59 -> ~86 fr=2973 (0.3004), cf=1.000, gamma=1.106, delta=0.029, M=-3.550e+002
35 -> ~86 fr=2908 (0.2938), cf=1.000, gamma=1.106, delta=0.028, M=-3.515e+002
71 -> ~87 fr=3861 (0.3901), cf=0.984, gamma=1.099, delta=0.035, M=-3.438e+002
74 -> ~86 fr=2858 (0.2888), cf=1.000, gamma=1.106, delta=0.028, M=-3.382e+002
74 -> ~83 fr=2858 (0.2888), cf=1.000, gamma=1.106, delta=0.028, M=-3.378e+002
74 -> ~80 fr=2851 (0.2881), cf=0.997, gamma=1.113, delta=0.029, M=-3.356e+002
41 -> ~80 fr=3571 (0.3608), cf=0.987, gamma=1.102, delta=0.033, M=-3.319e+002
48 -> ~86 fr=2922 (0.2952), cf=0.998, gamma=1.104, delta=0.028, M=-3.283e+002
56 -> ~84 fr=2917 (0.2947), cf=0.995, gamma=1.111, delta=0.029, M=-3.244e+002
76 -> ~86 fr=4227 (0.4271), cf=0.982, gamma=1.086, delta=0.034, M=-3.198e+002
41 -> ~84 fr=3566 (0.3603), cf=0.986, gamma=1.100, delta=0.033, M=-3.194e+002
49 -> ~86 fr=2655 (0.2683), cf=1.000, gamma=1.106, delta=0.026, M=-3.152e+002
6 -> ~84 fr=2634 (0.2661), cf=0.998, gamma=1.114, delta=0.027, M=-3.151e+002
71 -> ~84 fr=3847 (0.3887), cf=0.981, gamma=1.095, delta=0.034, M=-3.115e+002
54 -> ~82 fr=2445 (0.2470), cf=1.000, gamma=1.116, delta=0.026, M=-3.114e+002
50 -> ~80 fr=4771 (0.4821), cf=0.969, gamma=1.081, delta=0.036, M=-3.093e+002
79 -> ~84 fr=2400 (0.2425), cf=1.000, gamma=1.116, delta=0.025, M=-3.047e+002
79 -> ~82 fr=2400 (0.2425), cf=1.000, gamma=1.116, delta=0.025, M=-3.047e+002
79 -> ~81 fr=2400 (0.2425), cf=1.000, gamma=1.116, delta=0.025, M=-3.044e+002
49 -> ~82 fr=2646 (0.2674), cf=0.997, gamma=1.112, delta=0.027, M=-3.012e+002
66 -> ~86 fr=3052 (0.3084), cf=0.994, gamma=1.100, delta=0.028, M=-3.003e+002
26 -> ~81 fr=2387 (0.2412), cf=1.000, gamma=1.116, delta=0.025, M=-2.967e+002
10 -> ~81 fr=3899 (0.3940), cf=0.978, gamma=1.092, delta=0.033, M=-2.963e+002
53 -> ~82 fr=2343 (0.2367), cf=1.000, gamma=1.116, delta=0.025, M=-2.963e+002
46 -> ~84 fr=2299 (0.2323), cf=1.000, gamma=1.116, delta=0.024, M=-2.899e+002
26 -> ~87 fr=2385 (0.2410), cf=0.999, gamma=1.115, delta=0.025, M=-2.863e+002
20 66 -> ~88 fr=2424 (0.2449), cf=1.000, gamma=1.106, delta=0.024, M=-2.829e+002
79 -> ~83 fr=2400 (0.2425), cf=1.000, gamma=1.106, delta=0.023, M=-2.796e+002
26 -> ~82 fr=2383 (0.2408), cf=0.998, gamma=1.114, delta=0.025, M=-2.780e+002
5 -> ~81 fr=4623 (0.4671), cf=0.967, gamma=1.079, delta=0.034, M=-2.775e+002
30 -> ~84 fr=2205 (0.2228), cf=1.000, gamma=1.116, delta=0.023, M=-2.763e+002
50 74 -> ~84 fr=2675 (0.2703), cf=0.993, gamma=1.109, delta=0.026, M=-2.756e+002
78 -> ~84 fr=2180 (0.2203), cf=1.000, gamma=1.116, delta=0.023, M=-2.727e+002
26 -> ~83 fr=2387 (0.2412), cf=1.000, gamma=1.106, delta=0.023, M=-2.721e+002
22 -> ~83 fr=2451 (0.2477), cf=0.998, gamma=1.104, delta=0.023, M=-2.667e+002
31 -> ~87 fr=2305 (0.2329), cf=0.998, gamma=1.113, delta=0.024, M=-2.662e+002
46 -> ~83 fr=2299 (0.2323), cf=1.000, gamma=1.106, delta=0.022, M=-2.660e+002
74 -> ~89 fr=2839 (0.2869), cf=0.993, gamma=1.098, delta=0.026, M=-2.645e+002
1 -> ~89 fr=4294 (0.4339), cf=0.974, gamma=1.078, delta=0.031, M=-2.628e+002
10 -> ~83 fr=3901 (0.3942), cf=0.979, gamma=1.083, delta=0.030, M=-2.621e+002
46 -> ~89 fr=2298 (0.2322), cf=1.000, gamma=1.106, delta=0.022, M=-2.602e+002
29 -> ~80 fr=2457 (0.2483), cf=0.995, gamma=1.110, delta=0.025, M=-2.596e+002
76 -> ~87 fr=4176 (0.4219), cf=0.970, gamma=1.082, delta=0.032, M=-2.568e+002
11 45 -> ~85 fr=2313 (0.2337), cf=0.999, gamma=1.105, delta=0.022, M=-2.527e+002
73 -> ~85 fr=2736 (0.2764), cf=0.992, gamma=1.098, delta=0.025, M=-2.479e+002
45 -> ~85 fr=3968 (0.4009), cf=0.976, gamma=1.080, delta=0.030, M=-2.469e+002
6 -> ~86 fr=2622 (0.2649), cf=0.994, gamma=1.099, delta=0.024, M=-2.448e+002
59 69 -> ~87 fr=1982 (0.2003), cf=1.000, gamma=1.116, delta=0.021, M=-2.442e+002
11 50 -> ~86 fr=2228 (0.2251), cf=0.999, gamma=1.105, delta=0.021, M=-2.418e+002
55 -> ~84 fr=1939 (0.1959), cf=1.000, gamma=1.116, delta=0.020, M=-2.388e+002
40 -> ~86 fr=2132 (0.2154), cf=1.000, gamma=1.106, delta=0.021, M=-2.387e+002
